entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-21 00:31:44,KXBTC15M-26MAR210045-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T04:45:10.854061Z
2026-03-21 01:18:00,KXBTC15M-26MAR210130-30,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T05:30:10.85992Z
2026-03-21 01:39:56,KXBTC15M-26MAR210145-45,no,5,91,91,,91,4.55,,,,,,,win,kalshi_api,no,0.45,9.8901,finalized,no,2026-03-21T05:45:10.865019Z
2026-03-21 01:52:34,KXBTC15M-26MAR210200-00,no,5,90,90,,90,4.5,2026-03-21 01:53:27,78,77,,77,3.85,exited_before_settlement,bot_exit_signal,,-0.65,-14.4444,,,
2026-03-21 02:13:46,KXBTC15M-26MAR210215-15,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T06:15:10.862145Z
2026-03-21 02:24:23,KXBTC15M-26MAR210230-30,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T06:30:10.860918Z
2026-03-21 02:57:42,KXBTC15M-26MAR210300-00,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,determined,no,
2026-03-21 03:11:47,KXBTC15M-26MAR210315-15,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T07:15:10.855415Z
2026-03-21 03:19:38,KXBTC15M-26MAR210330-30,yes,5,91,91,,91,4.55,2026-03-21 03:20:45,77,76,,76,3.8,exited_before_settlement,bot_exit_signal,,-0.75,-16.4835,,,
2026-03-21 03:33:18,KXBTC15M-26MAR210345-45,no,5,90,92,,92,4.6,,,,,,,win,kalshi_api,no,0.4,8.6957,finalized,no,2026-03-21T07:45:10.848369Z
2026-03-21 03:46:46,KXBTC15M-26MAR210400-00,no,5,90,90,,90,4.5,2026-03-21 03:48:06,77,75,,75,3.75,exited_before_settlement,bot_exit_signal,,-0.75,-16.6667,,,
2026-03-21 04:11:26,KXBTC15M-26MAR210415-15,yes,5,90,90,,90,4.5,2026-03-21 04:12:22,77,75,,75,3.75,exited_before_settlement,bot_exit_signal,,-0.75,-16.6667,,,
2026-03-21 04:18:53,KXBTC15M-26MAR210430-30,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T08:30:10.850104Z
