dataset,policy,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,coverage_pass,positive_net
current,book_margin_early,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,184.0,0.1398176291793313,64.0,True,True
current,book_margin_early,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,18,0.9,15,3,0.8333333333333334,268.0,0.21753246753246752,65.0,True,True
current,book_margin_early,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,62.0,True,True
current,book_margin_early,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,18,0.9,14,4,0.7777777777777778,166.0,0.13452188006482982,65.0,True,True
current,book_margin_early,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,19,0.95,11,8,0.5789473684210527,-199.0,-0.15319476520400307,66.0,True,False
current,book_margin_early,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,64.0,True,False
current,book_margin_early,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,62.5,True,True
current,book_margin_early,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,67.0,True,True
current,book_margin_early,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-64.0,-1.0,62.0,True,False
current,book_margin_gap015,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,19,0.95,12,7,0.631578947368421,-50.0,-0.04,63.0,True,False
current,book_margin_gap015,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,19,0.95,13,6,0.6842105263157895,31.0,0.02442868400315209,64.0,True,True
current,book_margin_gap015,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,17,0.85,14,3,0.8235294117647058,264.0,0.2323943661971831,63.0,True,True
current,book_margin_gap015,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,254.0,0.20385232744783308,63.0,True,True
current,book_margin_gap015,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,19,0.95,11,8,0.5789473684210527,-133.0,-0.10786699107866991,62.0,True,False
current,book_margin_gap015,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,19,0.95,12,7,0.631578947368421,-60.0,-0.047619047619047616,62.0,True,False
current,book_margin_gap015,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,16,0.8,13,3,0.8125,228.0,0.2126865671641791,62.0,True,True
current,book_margin_gap015,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,17,0.85,15,2,0.8823529411764706,346.0,0.29982668977469673,65.0,True,True
current,book_margin_gap015,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,17,0.85,13,4,0.7647058823529411,193.0,0.17434507678410116,62.0,True,True
current,book_margin_gap015,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,18,0.9,14,4,0.7777777777777778,177.0,0.14472608340147178,64.5,True,True
current,book_margin_gap015,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,17,0.85,11,6,0.6470588235294118,-45.0,-0.039301310043668124,65.0,True,False
current,book_margin_gap015,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,19,0.95,12,7,0.631578947368421,-99.0,-0.07621247113163972,64.0,True,False
current,book_margin_gap015,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,17,0.85,13,4,0.7647058823529411,181.0,0.16175156389633602,62.0,True,True
current,book_margin_gap015,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,16,0.8,13,3,0.8125,193.0,0.17434507678410116,65.0,True,True
current,book_margin_gap015,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-64.0,-1.0,62.0,True,False
current,score_min60,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,True,False
current,score_min60,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,score_min60,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,score_min60,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,score_min60,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,True,False
current,score_min60,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,score_min60,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,score_min60,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,score_min60,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,score_min60,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,score_min60,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,True,False
current,score_min60,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,True,False
current,score_min60,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,score_min60,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,score_min60,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-82.0,-1.0,80.0,True,False
current,score_min60_gap020,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,True,False
current,score_min60_gap020,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,score_min60_gap020,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,18,0.9,15,3,0.8333333333333334,251.0,0.20096076861489193,67.0,True,True
current,score_min60_gap020,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,score_min60_gap020,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,True,False
current,score_min60_gap020,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,score_min60_gap020,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,score_min60_gap020,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,18,0.9,14,4,0.7777777777777778,89.0,0.06788710907704043,69.0,True,True
current,score_min60_gap020,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,score_min60_gap020,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,score_min60_gap020,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,True,False
current,score_min60_gap020,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,True,False
current,score_min60_gap020,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,score_min60_gap020,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,score_min60_gap020,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-82.0,-1.0,80.0,True,False
current,v2_wait_score_min60_early,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.5,True,False
current,v2_wait_score_min60_early,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,v2_wait_score_min60_early,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,v2_wait_score_min60_early,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,v2_wait_score_min60_early,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,True,False
current,v2_wait_score_min60_early,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,v2_wait_score_min60_early,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,v2_wait_score_min60_early,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,v2_wait_score_min60_early,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,v2_wait_score_min60_early,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,465.0,0.34831460674157305,68.0,True,True
current,v2_wait_score_min60_early,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,True,False
current,v2_wait_score_min60_early,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,True,False
current,v2_wait_score_min60_early,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,v2_wait_score_min60_early,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,v2_wait_score_min60_early,14,2026-05-04 03:15:00+00:00,2026-05-04 03:15:00+00:00,1,1,1.0,0,1,0.0,-82.0,-1.0,80.0,True,False
current,v2_wait_score_min60_brownian70_early,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,65.0,True,False
current,v2_wait_score_min60_brownian70_early,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,66.0,True,True
current,v2_wait_score_min60_brownian70_early,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,67.0,True,True
current,v2_wait_score_min60_brownian70_early,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,68.0,True,True
current,v2_wait_score_min60_brownian70_early,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,True,False
current,v2_wait_score_min60_brownian70_early,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,v2_wait_score_min60_brownian70_early,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,34.0,0.023192360163710776,69.5,True,True
current,v2_wait_score_min60_brownian70_early,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,120.0,0.08695652173913043,69.0,True,True
current,v2_wait_score_min60_brownian70_early,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,16,4,0.8,185.0,0.13074204946996468,69.5,True,True
current,v2_wait_score_min60_brownian70_early,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,465.0,0.34831460674157305,68.0,True,True
current,v2_wait_score_min60_brownian70_early,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,True,False
current,v2_wait_score_min60_brownian70_early,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,True,False
current,v2_wait_score_min60_brownian70_early,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,16,4,0.8,178.0,0.12517580872011252,70.5,True,True
