dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,median_seconds_to_close,positive_net,coverage_pass
current,book_margin_window540_720,1,20,19,0.95,15,4,0.7894736842105263,109.0,0.07836089144500359,68.0,710.491,True,True
current,book_margin_window540_720,2,20,18,0.9,14,4,0.7777777777777778,79.0,0.05980317940953823,69.0,710.715,True,True
current,book_margin_window540_720,3,20,20,1.0,16,4,0.8,147.0,0.10116999311768754,68.0,708.6105,True,True
current,book_margin_window540_720,4,20,16,0.8,10,6,0.625,-151.0,-0.13119026933101652,68.5,707.1524999999999,False,True
current,book_margin_window540_720,5,20,20,1.0,13,7,0.65,-97.0,-0.06943450250536864,64.0,706.217,False,True
current,book_margin_window540_720,6,20,18,0.9,14,4,0.7777777777777778,73.0,0.055011303692539565,71.5,710.101,True,True
current,book_margin_window540_720,7,20,17,0.85,12,5,0.7058823529411765,-23.0,-0.018806214227309895,67.0,706.559,False,True
current,book_margin_window540_720,8,20,20,1.0,14,6,0.7,-20.0,-0.014084507042253521,68.0,707.631,False,True
current,book_margin_window540_720,9,20,18,0.9,16,2,0.8888888888888888,284.0,0.21580547112462006,70.5,709.863,True,True
current,book_margin_window540_720,10,20,17,0.85,11,6,0.6470588235294118,-126.0,-0.10277324632952692,70.0,706.746,False,True
current,book_margin_window540_720,11,20,20,1.0,12,8,0.6,-297.0,-0.19839679358717435,75.5,711.367,False,True
current,book_margin_window540_720,12,20,19,0.95,16,3,0.8421052631578947,200.0,0.14285714285714285,71.0,710.763,True,True
current,book_margin_window540_720,13,20,19,0.95,13,6,0.6842105263157895,-80.0,-0.057971014492753624,66.0,711.542,False,True
current,book_margin_window540_720,14,15,15,1.0,8,7,0.5333333333333333,-265.0,-0.24882629107981222,62.0,703.339,False,True
current,book_margin_window600_720,0,20,16,0.8,10,6,0.625,-119.0,-0.1063449508489723,65.0,707.5635,False,True
current,book_margin_window600_720,1,20,17,0.85,13,4,0.7647058823529411,42.0,0.033386327503974564,70.0,711.823,True,True
current,book_margin_window600_720,2,20,18,0.9,14,4,0.7777777777777778,79.0,0.05980317940953823,69.0,710.715,True,True
current,book_margin_window600_720,3,20,20,1.0,16,4,0.8,147.0,0.10116999311768754,68.0,708.6105,True,True
current,book_margin_window600_720,4,20,16,0.8,10,6,0.625,-151.0,-0.13119026933101652,68.5,707.1524999999999,False,True
current,book_margin_window600_720,5,20,18,0.9,11,7,0.6111111111111112,-167.0,-0.13180741910023677,64.5,707.529,False,True
current,book_margin_window600_720,6,20,17,0.85,13,4,0.7647058823529411,53.0,0.042502004811547714,71.0,710.871,True,True
current,book_margin_window600_720,7,20,15,0.75,11,4,0.7333333333333333,13.0,0.011959521619135235,67.0,706.858,True,False
current,book_margin_window600_720,8,20,17,0.85,13,4,0.7647058823529411,84.0,0.06907894736842106,69.0,709.33,True,True
current,book_margin_window600_720,9,20,17,0.85,15,2,0.8823529411764706,253.0,0.2028869286287089,71.0,712.193,True,True
current,book_margin_window600_720,10,20,16,0.8,10,6,0.625,-156.0,-0.13494809688581316,70.0,707.7065,False,True
current,book_margin_window600_720,11,20,19,0.95,11,8,0.5789473684210527,-315.0,-0.2226148409893993,75.0,711.87,False,True
current,book_margin_window600_720,12,20,18,0.9,15,3,0.8333333333333334,163.0,0.1219147344801795,71.5,711.1785,True,True
current,book_margin_window600_720,13,20,19,0.95,13,6,0.6842105263157895,-80.0,-0.057971014492753624,66.0,711.542,False,True
current,book_margin_window600_720,14,15,14,0.9333333333333333,8,6,0.5714285714285714,-202.0,-0.20159680638722555,63.0,704.6035,False,True
current,book_margin_window480_660,0,20,14,0.7,8,6,0.5714285714285714,-215.0,-0.21182266009852216,68.5,650.172,False,False
current,book_margin_window480_660,1,20,19,0.95,15,4,0.7894736842105263,46.0,0.03163686382393398,73.0,649.146,True,True
current,book_margin_window480_660,2,20,18,0.9,13,5,0.7222222222222222,-123.0,-0.08643710470836262,78.5,648.184,False,True
current,book_margin_window480_660,3,20,20,1.0,17,3,0.85,243.0,0.16678105696636925,65.5,648.5395000000001,True,True
current,book_margin_window480_660,4,20,18,0.9,12,6,0.6666666666666666,-144.0,-0.10714285714285714,72.0,647.0755,False,True
current,book_margin_window480_660,5,20,20,1.0,15,5,0.75,47.0,0.03234686854783207,68.0,649.81,True,True
current,book_margin_window480_660,6,20,19,0.95,15,4,0.7894736842105263,77.0,0.054111033028812365,74.0,647.383,True,True
current,book_margin_window480_660,7,20,18,0.9,12,6,0.6666666666666666,-171.0,-0.12472647702407003,70.5,647.855,False,True
current,book_margin_window480_660,8,20,19,0.95,13,6,0.6842105263157895,-120.0,-0.08450704225352113,70.0,648.181,False,True
current,book_margin_window480_660,9,20,18,0.9,16,2,0.8888888888888888,188.0,0.13314447592067988,74.0,652.6815,True,True
current,book_margin_window480_660,10,20,18,0.9,12,6,0.6666666666666666,-153.0,-0.1130820399113082,73.5,649.2805000000001,False,True
current,book_margin_window480_660,11,20,20,1.0,13,7,0.65,-300.0,-0.1875,81.0,651.9300000000001,False,True
current,book_margin_window480_660,12,20,19,0.95,16,3,0.8421052631578947,137.0,0.0936431989063568,73.0,651.741,True,True
current,book_margin_window480_660,13,20,19,0.95,15,4,0.7894736842105263,73.0,0.051156271899089,75.0,649.146,True,True
current,book_margin_window480_660,14,15,15,1.0,9,6,0.6,-185.0,-0.17050691244239632,64.0,647.802,False,True
current,book_margin_window540_660,0,20,12,0.6,8,4,0.6666666666666666,-85.0,-0.096045197740113,69.5,650.8465,False,False
current,book_margin_window540_660,1,20,19,0.95,15,4,0.7894736842105263,46.0,0.03163686382393398,73.0,649.146,True,True
current,book_margin_window540_660,2,20,17,0.85,12,5,0.7058823529411765,-153.0,-0.1130820399113082,80.0,648.693,False,True
current,book_margin_window540_660,3,20,20,1.0,17,3,0.85,243.0,0.16678105696636925,65.5,648.5395000000001,True,True
current,book_margin_window540_660,4,20,14,0.7,9,5,0.6428571428571429,-174.0,-0.16201117318435754,75.5,649.849,False,False
current,book_margin_window540_660,5,20,20,1.0,15,5,0.75,47.0,0.03234686854783207,68.0,649.81,True,True
current,book_margin_window540_660,6,20,16,0.8,13,3,0.8125,92.0,0.076158940397351,76.5,648.469,True,True
current,book_margin_window540_660,7,20,17,0.85,12,5,0.7058823529411765,-108.0,-0.08256880733944955,71.0,648.143,False,True
current,book_margin_window540_660,8,20,19,0.95,13,6,0.6842105263157895,-120.0,-0.08450704225352113,70.0,648.181,False,True
current,book_margin_window540_660,9,20,18,0.9,16,2,0.8888888888888888,188.0,0.13314447592067988,74.0,652.6815,True,True
current,book_margin_window540_660,10,20,17,0.85,11,6,0.6470588235294118,-176.0,-0.13793103448275862,73.0,649.994,False,True
current,book_margin_window540_660,11,20,20,1.0,13,7,0.65,-300.0,-0.1875,81.0,651.9300000000001,False,True
current,book_margin_window540_660,12,20,19,0.95,16,3,0.8421052631578947,137.0,0.0936431989063568,73.0,651.741,True,True
current,book_margin_window540_660,13,20,19,0.95,15,4,0.7894736842105263,73.0,0.051156271899089,75.0,649.146,True,True
current,book_margin_window540_660,14,15,15,1.0,9,6,0.6,-185.0,-0.17050691244239632,64.0,647.802,False,True
v21,book_margin_locked,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,70.0,779.317226,True,True
v21,book_margin_locked,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,65.0,839.2500055,False,True
v21,book_margin_locked,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,65.0,839.4340645,False,True
v21,book_margin_locked,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,66.0,779.984494,False,True
v21,book_margin_locked,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,65.5,779.150086,True,True
v21,book_margin_locked,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,66.5,839.166109,True,True
v21,book_margin_locked,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,64.5,839.2259785,True,True
v21,book_margin_locked,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,64.5,779.5411745,True,True
v21,book_margin_locked,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,63.5,779.87632,False,True
v21,book_margin_locked,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,67.0,779.279792,True,True
v21,book_margin_locked,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,68.0,779.187972,True,True
v21,book_margin_locked,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,839.635674,True,True
