mode,family,label,score_feature,min_score,ask_max,require_book_agreement,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.85; book agrees; ask<=100,brownian_p_rv_15m,0.85,100.0,True,False,False,1946,1894,0.9732785200411099,0.35177151120751987,5532,1124,1097,0.9759786476868327,0.3386562217535402,3319,423,412,0.9739952718676123,0.38245931283905965,1106,399,385,0.9649122807017544,0.3604336043360434,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.85; ask<=100,score_mean_book_rv15,0.85,100.0,False,False,False,2108,2055,0.9748576850094877,0.3810556760665221,5532,1204,1178,0.978405315614618,0.36275986742994876,3319,462,452,0.9783549783549783,0.4177215189873418,1106,442,425,0.9615384615384616,0.3992773261065944,1107
two_side_minute_bucket,book,book_p_side>=0.85; ask<=100,book_p_side,0.85,100.0,False,False,False,2267,2202,0.9713277459197177,0.40979754157628345,5532,1286,1250,0.9720062208398134,0.38746610424826755,3319,508,500,0.984251968503937,0.4593128390596745,1106,473,452,0.9556025369978859,0.42728093947606144,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.80; ask<=100,score_min_book_rv15,0.8,100.0,False,False,False,2211,2138,0.9669832654907282,0.39967462039045554,5532,1275,1235,0.9686274509803922,0.3841518529677614,3319,472,461,0.9766949152542372,0.4267631103074141,1106,464,442,0.9525862068965517,0.41915085817524844,1107
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.80; ask<=100,brownian_p_rv_30m,0.8,100.0,False,False,False,2257,2157,0.9556933983163491,0.4079898770788142,5532,1319,1256,0.9522365428354814,0.3974088580897861,3319,477,463,0.9706498951781971,0.43128390596745025,1106,461,438,0.9501084598698482,0.4164408310749774,1107
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.80; book agrees; ask<=100,brownian_p_rv_30m,0.8,100.0,True,False,False,2257,2157,0.9556933983163491,0.4079898770788142,5532,1319,1256,0.9522365428354814,0.3974088580897861,3319,477,463,0.9706498951781971,0.43128390596745025,1106,461,438,0.9501084598698482,0.4164408310749774,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.80; ask<=100,score_mean_book_rv15,0.8,100.0,False,False,False,2441,2342,0.9594428512904547,0.44125090383224874,5532,1411,1352,0.9581856839121191,0.4251280506176559,3319,524,512,0.9770992366412213,0.47377938517179025,1106,506,478,0.9446640316205533,0.45709123757904246,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.80; ask<=100,brownian_p_rv_15m,0.8,100.0,False,False,False,2303,2209,0.9591836734693877,0.4163051337671728,5532,1342,1289,0.9605067064083458,0.4043386562217535,3319,482,469,0.9730290456431535,0.4358047016274864,1106,479,451,0.941544885177453,0.4327009936766034,1107
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.80; book agrees; ask<=100,brownian_p_rv_15m,0.8,100.0,True,False,False,2303,2209,0.9591836734693877,0.4163051337671728,5532,1342,1289,0.9605067064083458,0.4043386562217535,3319,482,469,0.9730290456431535,0.4358047016274864,1106,479,451,0.941544885177453,0.4327009936766034,1107
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.75; ask<=100,brownian_p_rv_30m,0.75,100.0,False,False,False,2553,2409,0.9435957696827262,0.4614967462039046,5532,1502,1411,0.9394141145139814,0.4525459475745707,3319,539,516,0.9573283858998145,0.4873417721518987,1106,512,482,0.94140625,0.46251129177958444,1107
