name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fresh_coverage,fresh_net_pnl_cents,fresh_net_roi,fresh_avg_entry_cost_cents,all_accuracy,all_break_even,all_net_pnl_cents,all_net_roi,posterior_alpha,posterior_beta,prob_win_rate_gt_break_even,posterior_mean_win_rate,posterior_p05_win_rate,posterior_p95_win_rate,posterior_mean_edge_cents,posterior_p05_edge_cents,posterior_p95_edge_cents,posterior_extra_perfect_wins_to_gate,posterior_ready
hazard_mean_touch80,logs\edge_research\profit_hazard_mean_touch80_fresh_validation_latest.json,registered_signal_readiness,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,,2026-05-04T05:30:00+00:00,79,69,50,19,0.7246376811594203,0.7257971014492753,0.8734177215189873,-8.0,-0.001597444089456869,72.57971014492753,0.7517241379310344,0.7168275862068966,1012.0,0.0486819318837791,51.0,20.0,0.459725,0.7183993308033904,0.6274356287641666,0.8021387380880262,-0.7397770645884946,-9.836147268510876,7.634163663875076,27,False
logit_blend_edge10,logs\edge_research\profit_logit_blend_edge10_fresh_validation_latest.json,registered_signal_readiness,choose=blend_logit_book_rv_hazard_mean; fair_edge>=-10c; ask<=95; sec>=60,,2026-05-04T05:45:00+00:00,78,75,48,27,0.64,0.6225333333333333,0.9615384615384616,131.0,0.028057399871492826,62.25333333333333,0.621160409556314,0.6160750853242322,149.0,0.008254390338485403,49.0,28.0,0.608025,0.6365043822782741,0.5449148374724389,0.723840111865782,1.3971048944940923,-7.761849586089448,10.130677853244874,17,False
logit_blend_thresh55_edge15,logs\edge_research\profit_logit_blend_thresh55_edge15_fresh_validation_latest.json,registered_signal_readiness,choose=blend_logit_book_rv_hazard_mean; blend>=0.55; fair_edge>=-15c; ask<=95; sec>=60,,2026-05-04T06:15:00+00:00,76,69,49,20,0.7101449275362319,0.716376811594203,0.9078947368421053,-43.0,-0.008699170544203924,71.6376811594203,0.7431506849315068,0.7042465753424657,1136.0,0.055242170783894186,50.0,21.0,0.42543,0.7043512987585606,0.6125797489514795,0.7895756991532427,-1.2025512835642567,-10.379706264272345,7.319888755903976,28,False
hazard_fallback_logit55,logs\edge_research\profit_hazard_fallback_logit55_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T06:30:00+00:00,75,68,48,20,0.7058823529411765,0.7161764705882354,0.9066666666666666,-70.0,-0.014373716632443531,71.61764705882354,0.7417218543046358,0.7046688741721855,1119.0,0.05258211550209107,49.0,21.0,0.39446,0.6998325289075421,0.6075154498924765,0.7856007921053949,-1.6343941680693195,-10.866102069575879,6.9424321517159555,29,False
hazard_fallback_logit55_wait8,logs\edge_research\profit_hazard_fallback_logit55_wait8_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T07:30:00+00:00,71,61,42,19,0.6885245901639344,0.7259016393442623,0.8591549295774648,-228.0,-0.051490514905149054,72.59016393442623,0.7558528428093646,0.7195986622073578,1084.0,0.050381111730804985,43.0,20.0,0.234455,0.6823632689924509,0.5830481988841872,0.7747696703920022,-4.3538370351811295,-14.285344046007506,4.886803104773994,35,False
hazard_fallback_score60,logs\edge_research\profit_hazard_fallback_score60_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T07:45:00+00:00,70,64,46,18,0.71875,0.72125,0.9142857142857143,-16.0,-0.0034662045060658577,72.125,0.7516556291390728,0.709635761589404,1269.0,0.0592132891605618,47.0,19.0,0.45033,0.7121473593313371,0.6174747698522665,0.7995474135859494,-0.9102640668662885,-10.377523014773356,7.82974135859494,27,False
impulse_reversal_book_margin_fade,logs\edge_research\profit_impulse_reversal_book_margin_fade_fresh_validation_latest.json,registered_signal_readiness,,,,61,58,33,25,0.5689655172413793,0.5546551724137931,0.9508196721311475,83.0,0.025800435188063412,55.46551724137932,0.5689655172413793,0.5546551724137931,83.0,0.025800435188063412,34.0,26.0,0.57928,0.5667341567626917,0.4611898940582341,0.6696200902695958,1.2078984348898574,-9.34652783555591,11.49649178558026,14,False
kinetic_guard,logs\edge_research\profit_kinetic_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,kinetic>=0.57 AND adverse15<=50,2026-05-03T02:30:00+00:00,186,126,89,37,0.7063492063492064,0.7006349206349206,0.6774193548387096,72.0,0.008155867693701857,70.06349206349206,0.7044673539518901,0.6855670103092784,550.0,0.02756892230576441,90.0,38.0,0.5359,0.7031819936911623,0.6352737752939205,0.7672628139107119,0.25470730562416644,-6.536114534100007,6.662789327579131,30,False
kinetic_price_guard,logs\edge_research\profit_kinetic_price_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,adverse15<=100 AND ask<=70,2026-05-03T03:00:00+00:00,185,107,69,38,0.6448598130841121,0.6438317757009345,0.5783783783783784,11.0,0.0015967484395412977,64.38317757009345,0.667910447761194,0.6448134328358209,619.0,0.035819686360743015,70.0,39.0,0.49276,0.6421729411144727,0.5652604390300354,0.7162693212935936,-0.16588345864619009,-7.8571336670899035,7.243754559265907,26,False
kinetic_combo_price_guard,logs\edge_research\profit_kinetic_combo_price_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,kinetic>=0.57 AND adverse15<=100 AND ask<=70,2026-05-03T09:45:00+00:00,158,100,67,33,0.67,0.6507999999999999,0.6329113924050633,192.0,0.02950215119852489,65.08,0.6806083650190115,0.6509505703422053,780.0,0.0455607476635514,68.0,34.0,0.64202,0.6668315754746048,0.5883748313953914,0.7413068939045332,1.603157547460486,-6.242516860460857,9.050689390453316,20,False
kinetic_path_confirm,logs\edge_research\profit_kinetic_path_confirm_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,same_side_for>=60s AND confirm_score>=0.6,2026-05-03T04:00:00+00:00,180,118,89,29,0.7542372881355932,0.7548305084745763,0.6555555555555556,-7.0,-0.0007858987313349051,75.48305084745763,0.8006872852233677,0.7450515463917526,1619.0,0.07467367741340344,90.0,30.0,0.46668,0.750051566578744,0.6829505572895979,0.8121418216652649,-0.47789418958324037,-7.187995118497842,5.7311313190688615,37,False
book_p80_ask90_frontier,logs\edge_research\book_p80_ask90_frontier_validation_latest.json,registered_signal_readiness,,,,51,40,34,6,0.85,0.848,0.7843137254901961,8.0,0.0023584905660377358,84.8,0.85,0.848,8.0,0.0023584905660377358,35.0,7.0,0.434055,0.8334622999013926,0.7319597442487705,0.9169482267146221,-1.4537700098607165,-11.60402557512294,6.894822671462207,34,False
book_p80_profit_frontier,logs\edge_research\book_p80_profit_frontier_validation_latest.json,registered_signal_readiness,,,,52,41,34,7,0.8292682926829268,0.8502439024390245,0.7884615384615384,-86.0,-0.024670109007458405,85.02439024390245,0.8292682926829268,0.8502439024390245,-86.0,-0.024670109007458405,35.0,8.0,0.287185,0.8138535236673712,0.7091356554959907,0.9014408558281727,-3.6390378771653182,-14.110824694303378,5.1196953389148225,43,False
hazard_mean_touch80_ask76,logs\edge_research\hazard_mean_touch80_ask76_validation_latest.json,registered_signal_readiness,,,,65,53,37,16,0.6981132075471698,0.718867924528302,0.8153846153846154,-110.0,-0.028871391076115485,71.88679245283019,0.6981132075471698,0.718867924528302,-110.0,-0.028871391076115485,38.0,17.0,0.336975,0.6908352940530685,0.5852864005653954,0.7885733133155508,-2.8032630475233495,-13.35815239629065,6.970538878724889,29,False
