mode,split,model,horizon_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,all,v34_h140_t100,140,1.0,38042,19021,0.1459944150086483,0.4411361676016368,0.017210992283741917,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h140_t100,140,1.0,22796,11398,0.14961858852733745,0.45533168006008085,0.022886985946001227,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h140_t100,140,1.0,7636,3818,0.13428909295543046,0.4018639179758859,0.009197830975164956,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h140_t100,140,1.0,7610,3805,0.14688340051013762,0.4380194785266756,0.010682596629905602,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h140_t102,140,1.02,38042,19021,0.14602785923955872,0.4409365138589535,0.017671789773990976,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h140_t102,140,1.02,22796,11398,0.14968767746594053,0.455174783281931,0.0229658648281908,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h140_t102,140,1.02,7636,3818,0.13422775596669698,0.40152072054686594,0.00945147027505733,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h140_t102,140,1.02,7610,3805,0.14690517491669033,0.43783577903174,0.011090185333917825,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h150_t098,150,0.98,38042,19021,0.14599188353419176,0.4416237252664302,0.016228986015407718,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h150_t098,150,0.98,22796,11398,0.14958149716510497,0.45582591068778605,0.021679820423283924,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h150_t098,150,0.98,7636,3818,0.13434654520825076,0.40234070141971723,0.011866752061590123,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h150_t098,150,0.98,7610,3805,0.14692420562704187,0.4384978581479377,0.009810459434842857,2928,0.7695137976346912
two_side_all_heartbeats,all,v34_h150_t100,150,1.0,38042,19021,0.14600725242447626,0.44131656880191633,0.016841616140305476,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h150_t100,150,1.0,22796,11398,0.1496334053778775,0.4555613710023321,0.02211793866200758,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h150_t100,150,1.0,7636,3818,0.13426496894403622,0.4018827026430006,0.009830524602951226,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h150_t100,150,1.0,7610,3805,0.14692739617360978,0.4382143994233094,0.010237059953306222,2928,0.7695137976346912
two_side_all_heartbeats,all,v34_h150_t102,150,1.02,38042,19021,0.14603435009611523,0.44108328819939735,0.017141307930007805,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h150_t102,150,1.02,22796,11398,0.14969618587429717,0.4553689386501138,0.02262325946827464,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h150_t102,150,1.02,7636,3818,0.13419778430491588,0.40150876612356073,0.00939626406979691,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h150_t102,150,1.02,7610,3805,0.14694220922649162,0.4379998930478279,0.010787969546678093,2928,0.7695137976346912
two_side_minute_bucket,all,v34_h110_t098,110,0.98,9796,4898,0.14891426840145341,0.4439463638121554,0.015030053404471763,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h110_t098,110,0.98,5876,2938,0.1522124005530786,0.4545603078862842,0.019194743404781566,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h110_t098,110,0.98,1964,982,0.137454508383908,0.40986760048345555,0.01225996630659519,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h110_t098,110,0.98,1956,978,0.1505130128551903,0.44627926554936703,0.01130172008223489,745,0.7617586912065439
two_side_minute_bucket,all,v34_h110_t100,110,1.0,9796,4898,0.1489754821710869,0.44398397989260363,0.016704508499424113,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h110_t100,110,1.0,5876,2938,0.1523061963250819,0.4546792852959048,0.02180632999019705,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h110_t100,110,1.0,1964,982,0.13742708920101676,0.40970560626650504,0.01062486509413603,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h110_t100,110,1.0,1956,978,0.15056534281747908,0.44627289157555855,0.013550173561891553,745,0.7617586912065439
two_side_minute_bucket,all,v34_h110_t102,110,1.02,9796,4898,0.14904767186900952,0.44408066103731886,0.016334812184187197,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h110_t102,110,1.02,5876,2938,0.15241029862739147,0.4548539452969956,0.02157997036733207,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h110_t102,110,1.02,1964,982,0.1374131973541894,0.40961572268264007,0.006184342700448547,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h110_t102,110,1.02,1956,978,0.15062809779684933,0.44632264499372437,0.015371755901883643,745,0.7617586912065439
two_side_minute_bucket,all,v34_h120_t098,120,0.98,9796,4898,0.14916156222770424,0.4450252730865508,0.013989305959326025,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h120_t098,120,0.98,5876,2938,0.15263995440214806,0.45590323286016227,0.01923687404291949,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h120_t098,120,0.98,1964,982,0.1373813945525734,0.41035972774762014,0.00923234212753962,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h120_t098,120,0.98,1956,978,0.1505405074715311,0.4471542298431554,0.010729330460883407,745,0.7617586912065439
two_side_minute_bucket,all,v34_h120_t100,120,1.0,9796,4898,0.1492270311778105,0.44507458961002894,0.016212775264079573,3760,0.7676602694977542
