model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,entry_surface,entry_model,exit_surface,exit_model,exit_floor,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,block10_positive
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob54,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.38,332.92,0.05220473386999879,6.76,10.62,0.03189955544875645,6.52,5.52,174,31,155,50,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.3,106.74,0.07775904065954657,2.36,5.940000000000001,0.05564924114671165,4.600000000000001,4.280000000000001,54,13,51,16,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,5.04,99.14,0.050837199919306034,2.15,2.89,0.029150695985475088,1.6700000000000002,1.33,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.72,538.8,0.057015590200445436,11.27,19.45,0.03609873793615442,12.79,11.129999999999999,277,56,250,83,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,5.04,2.89,1.33,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.54,1.6700000000000002,True,5,5,8
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob56,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.52,332.92,0.04661780607953862,6.93,8.59,0.0258019944731467,4.49,3.41,174,31,151,54,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.92,106.74,0.0648304290800075,2.49,4.43,0.04150271688214353,3.09,2.71,54,13,48,19,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.52,99.14,0.04559209199112366,2.19,2.3299999999999996,0.0235021182166633,1.1099999999999997,0.7499999999999997,49,12,43,18,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,26.96,538.8,0.05003711952487009,11.61,15.350000000000001,0.02848923533778768,8.690000000000001,6.870000000000001,277,56,242,91,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.52,2.3299999999999996,0.7499999999999997,True,True,True,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.56,1.1099999999999997,True,4,5,7
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob58,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,14.78,332.92,0.04439504986182866,7.04,7.739999999999999,0.02324882854739877,3.6399999999999997,2.5,174,31,148,57,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.98,106.74,0.074761101742552,2.5,5.48,0.051339703953531955,4.140000000000001,3.7600000000000007,54,13,48,19,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.16,99.14,0.011700625378252975,2.34,-1.18,-0.011902360298567682,-2.4,-2.84,49,12,39,22,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,23.92,538.8,0.044394951744617675,11.88,12.040000000000001,0.022345953971789165,5.380000000000001,3.420000000000001,277,56,235,98,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.16,-1.18,-2.84,True,False,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.58,-2.4,False,4,5,6
v55_entry__v66_bal_exit,edge0_ask100_p0.65_stc0-600,hold15_v66_bal_prob60,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,13.82,332.92,0.04151147422804277,7.26,6.5600000000000005,0.019704433497536946,2.460000000000001,1.2200000000000009,174,31,143,62,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,5.62,106.74,0.052651302229717076,2.62,3.0,0.028105677346824058,1.66,1.22,54,13,45,22,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.44,99.14,0.014524914262658865,2.36,-0.9199999999999999,-0.009279806334476497,-2.1399999999999997,-2.5799999999999996,49,12,39,22,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,20.88,538.8,0.03875278396436526,12.24,8.639999999999999,0.016035634743875277,1.9799999999999986,-0.14000000000000146,277,56,227,106,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.44,-0.9199999999999999,-2.5799999999999996,True,False,False,True,v55,v55_bookanchor_m10_v20_g05_book_plus2,v66_bal,v66_no_bookgap_g08_blend75,0.6,-2.1399999999999997,False,3,5,5
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob48,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,15.62,336.16,0.04646596858638743,6.3,9.32,0.02772489290813898,5.220000000000001,4.36,173,32,162,43,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,6.88,108.36,0.06349206349206349,2.18,4.699999999999999,0.04337393872277592,3.3599999999999994,3.079999999999999,55,12,53,14,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,2.66,99.32,0.026782118405155056,2.03,0.6300000000000003,0.006343133306484096,-0.5899999999999996,-0.8899999999999997,50,11,46,15,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,25.16,543.84,0.04626360694321859,10.51,14.65,0.02693807002059429,7.99,6.550000000000001,278,55,261,72,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,2.66,0.6300000000000003,-0.8899999999999997,True,True,False,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.48,-0.5899999999999996,False,4,5,7
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.86,336.16,0.05015468824369347,6.33,10.53,0.03132436934792955,6.43,5.569999999999999,173,32,162,43,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,7.18,108.36,0.06626061277224067,2.18,5.0,0.04614248800295312,3.66,3.38,55,12,53,14,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,3.74,99.32,0.037656061216270645,2.03,1.7100000000000004,0.017217076117599685,0.49000000000000044,0.19000000000000045,50,11,46,15,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,27.78,543.84,0.05108120035304501,10.54,17.240000000000002,0.031700500147102094,10.580000000000002,9.140000000000002,278,55,261,72,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,3.74,1.7100000000000004,0.19000000000000045,True,True,True,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.5,0.49000000000000044,True,5,5,7
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob52,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.26,336.16,0.0513445978105664,6.44,10.82,0.03218705378391242,6.720000000000001,5.82,173,32,160,45,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,8.4,108.36,0.07751937984496124,2.21,6.19,0.05712440014765596,4.8500000000000005,4.57,55,12,53,14,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,4.08,99.32,0.041079339508658885,2.09,1.9900000000000002,0.020036246476037054,0.7700000000000002,0.45000000000000023,50,11,45,16,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,29.74,543.84,0.05468520152986172,10.74,19.0,0.03493674610179465,12.34,10.84,278,55,258,75,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,4.08,1.9900000000000002,0.45000000000000023,True,True,True,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.52,0.7700000000000002,True,5,5,8
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob54,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,17.4,336.16,0.05176106615897191,6.48,10.919999999999998,0.032484531175630646,6.8199999999999985,5.899999999999999,173,32,159,46,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,8.4,108.36,0.07751937984496124,2.21,6.19,0.05712440014765596,4.8500000000000005,4.57,55,12,53,14,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,3.54,99.32,0.03564236810310109,2.13,1.4100000000000001,0.01419653644784535,0.19000000000000017,-0.14999999999999986,50,11,44,17,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,29.34,543.84,0.05394969108561341,10.82,18.52,0.03405413356869667,11.86,10.32,278,55,256,77,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,3.54,1.4100000000000001,-0.14999999999999986,True,True,False,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.54,0.19000000000000017,True,5,5,8
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob56,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.02,336.16,0.04765587815326035,6.61,9.41,0.027992622560685385,5.3100000000000005,4.33,173,32,156,49,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,6.46,108.36,0.05961609449981543,2.35,4.109999999999999,0.03792912513842746,2.7699999999999996,2.4299999999999997,55,12,50,17,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,4.36,99.32,0.04389850986709626,2.17,2.1900000000000004,0.02204993958920661,0.9700000000000004,0.6100000000000004,50,11,43,18,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,26.84,543.84,0.049352750809061485,11.13,15.709999999999999,0.028887172697852306,9.049999999999999,7.369999999999999,278,55,249,84,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,4.36,2.1900000000000004,0.6100000000000004,True,True,True,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.56,0.9700000000000004,True,4,5,6
v66_bal_entry__v55_exit,edge0_ask100_p0.65_stc0-600,hold15_v55_prob58,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,14.54,336.16,0.04325321275583055,6.79,7.749999999999999,0.023054497858162774,3.6499999999999995,2.5699999999999994,173,32,151,54,81.99024390243902,2.7044307087474984,0.8469467461118653,416.33628292682926,74,67,0.9054054054054054,6.12,108.36,0.05647840531561462,2.39,3.73,0.03442229605020303,2.3899999999999997,2.03,55,12,49,18,80.86567164179104,2.311006225287789,0.8317667786707883,499.3308208955224,75,61,0.8133333333333334,1.84,99.32,0.01852597664115989,2.29,-0.44999999999999996,-0.004530809504631494,-1.67,-2.09,50,11,40,21,81.40983606557377,2.552514283470822,0.8396235034904458,420.8334590163935,372,333,0.8951612903225806,22.5,543.84,0.04137246248896734,11.47,11.03,0.0202817005001471,4.369999999999999,2.509999999999999,278,55,240,93,81.65765765765765,2.597444695733451,0.8425510235339111,433.85869069069076,0.8133333333333334,1.84,-0.44999999999999996,-2.09,True,False,False,True,v66_bal,v66_no_bookgap_g08_blend75,v55,v55_bookanchor_m10_v20_g05_book_plus2,0.58,-1.67,False,4,5,5
