guard,trade_retention,market_retention,recurring_market_coverage,trades,markets,net_pnl_dollars,net_delta_vs_baseline_dollars,negative_trades,negative_trades_delta,settled_losses,train_net,validation_net,holdout_net,train_retention,validation_retention,holdout_retention,strict_pass
p_side>=0.85 AND sigma_t_dollars<=150,0.9087301587301587,0.9230769230769231,0.3842364532019704,229,156,17.759999999999998,-0.8400000000000034,106,-14,3,14.579999999999998,0.11999999999999894,3.0599999999999996,0.9761904761904762,0.9047619047619048,0.7777777777777778,False
sigma_t_dollars>=35 AND btc_age_ms<=350,0.8293650793650794,0.8757396449704142,0.3645320197044335,209,148,17.72,-0.8800000000000026,103,-17,0,12.4,3.4200000000000004,1.9000000000000001,0.8333333333333334,0.7936507936507936,0.8571428571428571,False
ask_cents>=60 AND abs_d_sigma<=1.2,0.8571428571428571,0.8994082840236687,0.37438423645320196,216,152,17.68,-0.9200000000000017,103,-17,1,12.539999999999997,1.7199999999999995,3.42,0.8571428571428571,0.873015873015873,0.8412698412698413,False
ask_cents<=87 AND abs_d_sigma<=1.35,0.9166666666666666,0.9230769230769231,0.3842364532019704,231,156,17.66,-0.9400000000000013,113,-7,3,14.5,0.76,2.3999999999999995,0.8968253968253969,0.9523809523809523,0.9206349206349206,False
abs_d_sigma>=0.8 AND sigma_t_dollars<=175,0.9047619047619048,0.9349112426035503,0.3891625615763547,228,158,17.659999999999997,-0.9400000000000048,106,-14,3,13.399999999999999,0.9599999999999991,3.3000000000000007,0.9126984126984127,0.9206349206349206,0.873015873015873,False
edge_cents>=2.1 AND abs_d_sigma<=1.2,0.8571428571428571,0.8875739644970414,0.3694581280788177,216,150,17.62,-0.9800000000000004,104,-16,3,13.599999999999998,1.1999999999999995,2.820000000000001,0.873015873015873,0.8412698412698413,0.8412698412698413,False
edge_cents>=2.1 AND eligible_depth>=25,0.8174603174603174,0.893491124260355,0.37192118226600984,206,151,17.6,-1.0,94,-26,3,12.539999999999997,0.43999999999999945,4.620000000000001,0.873015873015873,0.746031746031746,0.7777777777777778,False
abs_d_sigma<=1.35 AND sigma_t_dollars<=150,0.8531746031746031,0.8698224852071006,0.3620689655172414,215,147,17.599999999999998,-1.0000000000000036,101,-19,3,14.559999999999997,0.29999999999999954,2.74,0.9047619047619048,0.873015873015873,0.7301587301587301,False
ask_cents<=87 AND ask_cents>=60,0.9087301587301587,0.9408284023668639,0.3916256157635468,229,159,17.58,-1.0200000000000031,110,-10,1,12.979999999999995,1.3399999999999992,3.2599999999999993,0.8809523809523809,0.9365079365079365,0.9365079365079365,False
ask_cents<=87 AND eligible_depth<=2000,0.9047619047619048,0.9230769230769231,0.3842364532019704,228,156,17.54,-1.0600000000000023,113,-7,3,14.879999999999995,0.5599999999999994,2.0999999999999996,0.8809523809523809,0.9365079365079365,0.9206349206349206,False
edge_cents>=2.5 AND ask_cents<=87,0.8214285714285714,0.8579881656804734,0.35714285714285715,207,145,17.54,-1.0600000000000023,106,-14,2,12.039999999999997,4.119999999999999,1.3799999999999992,0.8174603174603174,0.8095238095238095,0.8412698412698413,False
p_side<=0.945 AND sigma_t_dollars<=150,0.8492063492063492,0.8698224852071006,0.3620689655172414,214,147,17.5,-1.1000000000000014,101,-19,3,14.559999999999997,0.05999999999999983,2.88,0.9047619047619048,0.8888888888888888,0.6984126984126984,False
eligible_depth>=25,0.8492063492063492,0.9112426035502958,0.3793103448275862,214,154,17.480000000000004,-1.1199999999999974,98,-22,3,12.72,0.29999999999999943,4.46,0.8968253968253969,0.8095238095238095,0.7936507936507936,False
p_side>=0.85 AND eligible_depth>=25,0.8492063492063492,0.9112426035502958,0.3793103448275862,214,154,17.480000000000004,-1.1199999999999974,98,-22,3,12.72,0.29999999999999943,4.46,0.8968253968253969,0.8095238095238095,0.7936507936507936,False
abs_d_sigma<=1.35 AND eligible_depth>=10,0.8531746031746031,0.8994082840236687,0.37438423645320196,215,152,17.46,-1.1400000000000006,102,-18,3,12.66,0.6999999999999988,4.1,0.8968253968253969,0.8095238095238095,0.8095238095238095,False
ask_cents<=85 AND btc_age_ms<=350,0.8174603174603174,0.8520710059171598,0.35467980295566504,206,144,17.42,-1.1799999999999997,104,-16,2,11.099999999999998,3.12,3.200000000000001,0.7857142857142857,0.8253968253968254,0.873015873015873,False
abs_d_sigma>=0.8 AND abs_d_sigma<=1.35,0.8849206349206349,0.9112426035502958,0.3793103448275862,223,154,17.4,-1.2000000000000028,107,-13,3,13.379999999999997,1.0199999999999998,2.999999999999999,0.8412698412698413,0.9365079365079365,0.9206349206349206,False
abs_d_sigma<=1.2,0.8928571428571429,0.9112426035502958,0.3793103448275862,225,154,17.4,-1.2000000000000028,109,-11,3,13.779999999999998,0.96,2.66,0.8968253968253969,0.9206349206349206,0.8571428571428571,False
p_side>=0.85 AND abs_d_sigma<=1.2,0.8928571428571429,0.9112426035502958,0.3793103448275862,225,154,17.4,-1.2000000000000028,109,-11,3,13.779999999999998,0.96,2.66,0.8968253968253969,0.9206349206349206,0.8571428571428571,False
p_side<=0.945 AND abs_d_sigma<=1.2,0.8928571428571429,0.9112426035502958,0.3793103448275862,225,154,17.4,-1.2000000000000028,109,-11,3,13.779999999999998,0.96,2.66,0.8968253968253969,0.9206349206349206,0.8571428571428571,False
p_side<=0.945 AND abs_d_sigma>=0.8,0.8809523809523809,0.9053254437869822,0.3768472906403941,222,153,17.299999999999997,-1.3000000000000043,107,-13,3,13.379999999999997,0.7799999999999996,3.1399999999999997,0.8412698412698413,0.9523809523809523,0.8888888888888888,False
sigma_t_dollars<=175 AND eligible_depth>=10,0.8690476190476191,0.9289940828402367,0.3866995073891626,219,157,17.28,-1.3200000000000003,101,-19,3,12.48,0.2799999999999997,4.52,0.9603174603174603,0.8095238095238095,0.746031746031746,False
edge_cents>=2.1 AND ask_cents<=87,0.9126984126984127,0.9349112426035503,0.3891625615763547,230,158,17.28,-1.3200000000000003,112,-8,3,13.799999999999997,0.8199999999999996,2.6599999999999993,0.9047619047619048,0.9047619047619048,0.9365079365079365,False
abs_d_sigma<=1.2 AND sigma_t_dollars<=175,0.8531746031746031,0.8757396449704142,0.3645320197044335,215,148,17.28,-1.3200000000000003,103,-17,3,13.779999999999998,1.0799999999999992,2.42,0.8968253968253969,0.873015873015873,0.746031746031746,False
ask_cents<=87 AND abs_d_sigma<=1.2,0.8888888888888888,0.9053254437869822,0.3768472906403941,224,153,17.16,-1.4400000000000013,109,-11,3,13.54,0.96,2.66,0.8888888888888888,0.9206349206349206,0.8571428571428571,False
ask_cents<=87,0.9484126984126984,0.9585798816568047,0.39901477832512317,239,162,17.06,-1.5400000000000027,117,-3,3,13.979999999999999,0.5799999999999996,2.499999999999999,0.9285714285714286,0.9841269841269841,0.9523809523809523,False
p_side>=0.85 AND ask_cents<=87,0.9484126984126984,0.9585798816568047,0.39901477832512317,239,162,17.06,-1.5400000000000027,117,-3,3,13.979999999999999,0.5799999999999996,2.499999999999999,0.9285714285714286,0.9841269841269841,0.9523809523809523,False
sigma_t_dollars<=175 AND eligible_depth>=25,0.8134920634920635,0.8816568047337278,0.3669950738916256,205,149,17.0,-1.6000000000000014,93,-27,3,12.72,0.05999999999999944,4.22,0.8968253968253969,0.7777777777777778,0.6825396825396826,False
abs_d_sigma>=0.8 AND eligible_depth>=10,0.8492063492063492,0.9289940828402367,0.3866995073891626,214,157,16.94,-1.6600000000000001,98,-22,3,11.339999999999998,0.6399999999999997,4.96,0.873015873015873,0.8095238095238095,0.8412698412698413,False
edge_cents>=2.1 AND sigma_t_dollars>=35,0.8928571428571429,0.9349112426035503,0.3891625615763547,225,158,16.94,-1.6600000000000001,107,-13,1,13.98,0.8600000000000005,2.1000000000000005,0.8968253968253969,0.8412698412698413,0.9365079365079365,False
abs_d_sigma>=0.8 AND sigma_t_dollars<=150,0.8531746031746031,0.8875739644970414,0.3694581280788177,215,150,16.939999999999998,-1.6600000000000037,98,-22,3,13.440000000000001,0.23999999999999916,3.2600000000000007,0.8888888888888888,0.873015873015873,0.7619047619047619,False
ask_cents<=87 AND sigma_t_dollars<=175,0.9087301587301587,0.9230769230769231,0.3842364532019704,229,156,16.939999999999998,-1.6600000000000037,111,-9,3,13.979999999999999,0.7,2.26,0.9285714285714286,0.9365079365079365,0.8412698412698413,False
ask_cents>=60 AND sigma_t_dollars<=135,0.8253968253968254,0.8698224852071006,0.3620689655172414,208,147,16.919999999999998,-1.6800000000000033,93,-27,1,13.499999999999998,0.8999999999999995,2.52,0.8968253968253969,0.8412698412698413,0.6666666666666666,False
seconds_to_close>=180 AND btc_age_ms<=600,0.8690476190476191,0.9112426035502958,0.3793103448275862,219,154,16.88,-1.7200000000000024,111,-9,0,12.359999999999998,3.44,1.0799999999999998,0.8650793650793651,0.873015873015873,0.873015873015873,False
sigma_t_dollars<=135 AND eligible_depth<=2000,0.8214285714285714,0.8461538461538461,0.3522167487684729,207,143,16.879999999999995,-1.720000000000006,96,-24,3,15.4,0.1200000000000003,1.3599999999999997,0.8968253968253969,0.8412698412698413,0.6507936507936508,False
eligible_depth>=40,0.8015873015873016,0.8875739644970414,0.3694581280788177,202,150,16.86,-1.740000000000002,90,-30,3,12.699999999999998,0.2199999999999997,3.9399999999999995,0.873015873015873,0.7301587301587301,0.7301587301587301,False
p_side>=0.85 AND eligible_depth>=40,0.8015873015873016,0.8875739644970414,0.3694581280788177,202,150,16.86,-1.740000000000002,90,-30,3,12.699999999999998,0.2199999999999997,3.9399999999999995,0.873015873015873,0.7301587301587301,0.7301587301587301,False
seconds_to_close>=240 AND btc_age_ms<=600,0.8174603174603174,0.8875739644970414,0.3694581280788177,206,150,16.849999999999998,-1.7500000000000036,103,-17,0,12.169999999999996,3.7800000000000007,0.9000000000000001,0.7936507936507936,0.8253968253968254,0.8571428571428571,False
p_side<=0.945 AND eligible_depth>=10,0.8531746031746031,0.8994082840236687,0.37438423645320196,215,152,16.82,-1.7800000000000011,103,-17,3,12.66,0.45999999999999935,3.7,0.8968253968253969,0.8253968253968254,0.7936507936507936,False
abs_d_sigma<=1.2 AND sigma_t_dollars<=150,0.8055555555555556,0.8402366863905325,0.3497536945812808,203,142,16.78,-1.8200000000000003,95,-25,3,13.819999999999997,0.35999999999999927,2.6000000000000005,0.873015873015873,0.8253968253968254,0.6507936507936508,False
edge_cents>=2.1 AND sigma_t_dollars<=135,0.8293650793650794,0.8698224852071006,0.3620689655172414,209,147,16.740000000000002,-1.8599999999999994,95,-25,3,14.54,0.27999999999999975,1.9200000000000002,0.9126984126984127,0.8253968253968254,0.6666666666666666,False
sigma_t_dollars>=35 AND eligible_depth<=2000,0.8928571428571429,0.9289940828402367,0.3866995073891626,225,157,16.740000000000002,-1.8599999999999994,110,-10,1,14.6,0.6000000000000001,1.5400000000000003,0.8888888888888888,0.873015873015873,0.9206349206349206,False
sigma_t_dollars>=35 AND eligible_depth>=10,0.8452380952380952,0.9112426035502958,0.3793103448275862,213,154,16.72,-1.8800000000000026,99,-21,1,12.94,0.4199999999999997,3.3599999999999994,0.9047619047619048,0.7619047619047619,0.8095238095238095,False
ask_cents<=87 AND eligible_depth>=10,0.8611111111111112,0.9171597633136095,0.3817733990147783,217,155,16.64,-1.9600000000000009,103,-17,3,12.339999999999998,0.37999999999999895,3.92,0.9047619047619048,0.8253968253968254,0.8095238095238095,False
abs_d_sigma>=0.8 AND abs_d_sigma<=1.2,0.8373015873015873,0.8757396449704142,0.3645320197044335,211,148,16.58,-2.020000000000003,101,-19,3,12.639999999999999,1.0799999999999994,2.8600000000000003,0.8095238095238095,0.8888888888888888,0.8412698412698413,False
abs_d_sigma<=1.35 AND sigma_t_dollars>=35,0.8888888888888888,0.9171597633136095,0.3817733990147783,224,155,16.54,-2.0600000000000023,109,-11,1,14.34,0.8000000000000003,1.4,0.8888888888888888,0.8888888888888888,0.8888888888888888,False
sigma_t_dollars>=35,0.9325396825396826,0.9585798816568047,0.39901477832512317,235,162,16.5,-2.1000000000000014,113,-7,1,13.939999999999998,0.6199999999999992,1.9400000000000006,0.9285714285714286,0.9206349206349206,0.9523809523809523,False
p_side>=0.85 AND sigma_t_dollars>=35,0.9325396825396826,0.9585798816568047,0.39901477832512317,235,162,16.5,-2.1000000000000014,113,-7,1,13.939999999999998,0.6199999999999992,1.9400000000000006,0.9285714285714286,0.9206349206349206,0.9523809523809523,False
ask_cents<=87 AND sigma_t_dollars<=150,0.8611111111111112,0.8875739644970414,0.3694581280788177,217,150,16.44,-2.16,103,-17,3,14.019999999999998,-0.02000000000000024,2.4400000000000013,0.9047619047619048,0.8888888888888888,0.746031746031746,False
p_side<=0.945 AND sigma_t_dollars>=35,0.8849206349206349,0.9171597633136095,0.3817733990147783,223,155,16.439999999999998,-2.1600000000000037,109,-11,1,14.34,0.5599999999999994,1.5399999999999998,0.8888888888888888,0.9047619047619048,0.8571428571428571,False
sigma_t_dollars<=135,0.8650793650793651,0.8875739644970414,0.3694581280788177,218,150,16.4,-2.200000000000003,100,-20,3,14.499999999999996,0.1400000000000008,1.76,0.9444444444444444,0.8888888888888888,0.6825396825396826,False
p_side>=0.85 AND sigma_t_dollars<=135,0.8650793650793651,0.8875739644970414,0.3694581280788177,218,150,16.4,-2.200000000000003,100,-20,3,14.499999999999996,0.1400000000000008,1.76,0.9444444444444444,0.8888888888888888,0.6825396825396826,False
ask_cents>=60 AND sigma_t_dollars>=35,0.9166666666666666,0.9467455621301775,0.39408866995073893,231,160,16.380000000000003,-2.219999999999999,111,-9,1,13.060000000000002,0.6199999999999992,2.7000000000000006,0.9047619047619048,0.9206349206349206,0.9365079365079365,False
sigma_t_dollars<=175 AND sigma_t_dollars>=35,0.8928571428571429,0.9230769230769231,0.3842364532019704,225,156,16.380000000000003,-2.219999999999999,107,-13,1,13.939999999999998,0.7399999999999998,1.7000000000000004,0.9285714285714286,0.873015873015873,0.8412698412698413,False
abs_d_sigma<=1.2 AND eligible_depth>=10,0.8134920634920635,0.8698224852071006,0.3620689655172414,205,147,16.32,-2.280000000000001,97,-23,3,12.139999999999997,0.7599999999999996,3.420000000000001,0.873015873015873,0.7619047619047619,0.746031746031746,False
ask_cents<=85 AND abs_d_sigma<=1.2,0.8531746031746031,0.8816568047337278,0.3669950738916256,215,149,16.279999999999998,-2.320000000000004,106,-14,3,12.739999999999998,0.76,2.7800000000000002,0.8333333333333334,0.9047619047619048,0.8412698412698413,False
abs_d_sigma<=1.35 AND sigma_t_dollars<=135,0.8095238095238095,0.834319526627219,0.3472906403940887,204,141,16.240000000000002,-2.3599999999999994,95,-25,3,14.479999999999997,0.3199999999999987,1.44,0.873015873015873,0.8571428571428571,0.6349206349206349,False
ask_cents<=87 AND abs_d_sigma>=0.8,0.8928571428571429,0.9230769230769231,0.3842364532019704,225,156,16.24,-2.360000000000003,109,-11,3,12.839999999999998,0.6999999999999995,2.7,0.8412698412698413,0.9523809523809523,0.9365079365079365,False
sigma_t_dollars<=150 AND eligible_depth>=10,0.8333333333333334,0.8875739644970414,0.3694581280788177,210,150,16.160000000000004,-2.4399999999999977,97,-23,3,12.519999999999998,-0.5400000000000003,4.179999999999999,0.9365079365079365,0.7777777777777778,0.6825396825396826,False
ask_cents<=87 AND eligible_depth>=25,0.8095238095238095,0.8698224852071006,0.3620689655172414,204,147,16.14,-2.460000000000001,96,-24,3,12.36,0.1599999999999993,3.62,0.8492063492063492,0.7936507936507936,0.746031746031746,False
p_side<=0.945 AND sigma_t_dollars<=135,0.8055555555555556,0.834319526627219,0.3472906403940887,203,141,16.14,-2.460000000000001,95,-25,3,14.479999999999997,0.0799999999999999,1.5799999999999998,0.873015873015873,0.873015873015873,0.6031746031746031,False
p_side<=0.945 AND ask_cents<=85,0.876984126984127,0.893491124260355,0.37192118226600984,221,151,16.119999999999997,-2.480000000000004,110,-10,3,12.739999999999998,0.31999999999999934,3.0599999999999996,0.8333333333333334,0.9523809523809523,0.8888888888888888,False
abs_d_sigma>=0.8 AND sigma_t_dollars<=135,0.8134920634920635,0.8579881656804734,0.35714285714285715,205,145,16.08,-2.520000000000003,92,-28,3,13.859999999999998,0.2599999999999996,1.9600000000000002,0.8650793650793651,0.8571428571428571,0.6666666666666666,False
ask_cents<=85 AND abs_d_sigma<=1.35,0.876984126984127,0.893491124260355,0.37192118226600984,221,151,15.819999999999997,-2.7800000000000047,110,-10,3,12.739999999999998,0.56,2.5200000000000005,0.8333333333333334,0.9365079365079365,0.9047619047619048,False
seconds_to_close>=180 AND btc_age_ms<=350,0.8293650793650794,0.8757396449704142,0.3645320197044335,209,148,15.8,-2.8000000000000007,107,-13,0,11.36,3.2199999999999998,1.22,0.8253968253968254,0.8253968253968254,0.8412698412698413,False
abs_d_sigma<=1.2 AND sigma_t_dollars>=35,0.8412698412698413,0.8875739644970414,0.3694581280788177,212,150,15.719999999999999,-2.8800000000000026,103,-17,1,13.599999999999998,0.8599999999999999,1.26,0.8571428571428571,0.8412698412698413,0.8095238095238095,False
abs_d_sigma>=0.8 AND sigma_t_dollars>=35,0.876984126984127,0.9230769230769231,0.3842364532019704,221,156,15.679999999999996,-2.9200000000000053,105,-15,1,12.799999999999997,0.7399999999999989,2.1400000000000006,0.8412698412698413,0.8888888888888888,0.9365079365079365,False
sigma_t_dollars<=150 AND sigma_t_dollars>=35,0.8412698412698413,0.8816568047337278,0.3669950738916256,212,149,15.659999999999998,-2.940000000000003,99,-21,1,13.98,0.019999999999999074,1.6600000000000008,0.9047619047619048,0.8253968253968254,0.7301587301587301,False
ask_cents<=85 AND eligible_depth<=2000,0.8611111111111112,0.8816568047337278,0.3669950738916256,217,149,15.579999999999998,-3.020000000000003,110,-10,3,12.859999999999996,0.4999999999999994,2.2199999999999998,0.8095238095238095,0.9206349206349206,0.9047619047619048,False
ask_cents<=87 AND sigma_t_dollars>=35,0.8888888888888888,0.9230769230769231,0.3842364532019704,224,156,15.36,-3.240000000000002,110,-10,1,13.779999999999996,0.48000000000000015,1.0999999999999999,0.873015873015873,0.9047619047619048,0.9047619047619048,False
seconds_to_close>=240 AND eligible_depth<=2000,0.8253968253968254,0.8875739644970414,0.3694581280788177,208,150,15.25,-3.3500000000000014,104,-16,1,13.429999999999998,0.9599999999999995,0.8599999999999999,0.7936507936507936,0.8095238095238095,0.9047619047619048,False
ask_cents<=85 AND ask_cents>=60,0.8571428571428571,0.8875739644970414,0.3694581280788177,216,150,15.159999999999998,-3.440000000000003,107,-13,1,10.699999999999996,1.0799999999999998,3.38,0.8015873015873016,0.9047619047619048,0.9206349206349206,False
seconds_to_close>=180 AND eligible_depth<=2000,0.873015873015873,0.9112426035502958,0.3793103448275862,220,154,15.1,-3.5000000000000018,112,-8,1,13.619999999999997,0.6200000000000001,0.8599999999999999,0.8650793650793651,0.8571428571428571,0.9047619047619048,False
ask_cents<=87 AND sigma_t_dollars<=135,0.8174603174603174,0.8520710059171598,0.35467980295566504,206,144,15.079999999999998,-3.520000000000003,97,-23,3,13.939999999999996,-3.885780586188048e-16,1.14,0.873015873015873,0.873015873015873,0.6507936507936508,False
ask_cents>=60 AND seconds_to_close>=240,0.8452380952380952,0.9112426035502958,0.3793103448275862,213,154,14.95,-3.650000000000002,104,-16,1,12.109999999999998,0.9999999999999991,1.8399999999999996,0.8174603174603174,0.8412698412698413,0.9047619047619048,False
seconds_to_close>=180 AND abs_d_sigma<=1.35,0.8690476190476191,0.9053254437869822,0.3768472906403941,219,153,14.899999999999999,-3.700000000000003,111,-9,1,13.359999999999998,0.8200000000000001,0.72,0.8650793650793651,0.873015873015873,0.873015873015873,False
seconds_to_close>=240 AND sigma_t_dollars>=35,0.8571428571428571,0.9230769230769231,0.3842364532019704,216,156,14.85,-3.7500000000000018,106,-14,1,12.77,0.9999999999999991,1.0799999999999996,0.8333333333333334,0.8412698412698413,0.9206349206349206,False
p_side<=0.945 AND seconds_to_close>=180,0.8650793650793651,0.9053254437869822,0.3768472906403941,218,153,14.799999999999999,-3.8000000000000025,111,-9,1,13.359999999999998,0.5799999999999996,0.8600000000000001,0.8650793650793651,0.8888888888888888,0.8412698412698413,False
edge_cents>=2.1 AND ask_cents<=85,0.8650793650793651,0.8875739644970414,0.3694581280788177,218,150,14.759999999999998,-3.8400000000000034,110,-10,3,11.419999999999998,0.56,2.7800000000000002,0.8333333333333334,0.873015873015873,0.9206349206349206,False
seconds_to_close>=180 AND sigma_t_dollars>=35,0.8968253968253969,0.9467455621301775,0.39408866995073893,226,160,14.700000000000003,-3.8999999999999986,112,-8,1,12.600000000000001,0.8399999999999996,1.2600000000000005,0.8888888888888888,0.873015873015873,0.9365079365079365,False
ask_cents<=85,0.8968253968253969,0.9112426035502958,0.3793103448275862,226,154,14.64,-3.960000000000001,114,-6,3,11.699999999999998,0.31999999999999934,2.62,0.8492063492063492,0.9523809523809523,0.9365079365079365,False
p_side>=0.85 AND ask_cents<=85,0.8968253968253969,0.9112426035502958,0.3793103448275862,226,154,14.64,-3.960000000000001,114,-6,3,11.699999999999998,0.31999999999999934,2.62,0.8492063492063492,0.9523809523809523,0.9365079365079365,False
seconds_to_close>=180,0.9166666666666666,0.9526627218934911,0.39655172413793105,231,161,14.62,-3.980000000000002,116,-4,1,12.719999999999999,0.6399999999999999,1.2600000000000005,0.9126984126984127,0.9047619047619048,0.9365079365079365,False
p_side>=0.85 AND seconds_to_close>=180,0.9166666666666666,0.9526627218934911,0.39655172413793105,231,161,14.62,-3.980000000000002,116,-4,1,12.719999999999999,0.6399999999999999,1.2600000000000005,0.9126984126984127,0.9047619047619048,0.9365079365079365,False
seconds_to_close>=240,0.8650793650793651,0.9289940828402367,0.3866995073891626,218,157,14.59,-4.010000000000002,108,-12,1,12.53,0.98,1.0799999999999996,0.8412698412698413,0.8571428571428571,0.9206349206349206,False
p_side>=0.85 AND seconds_to_close>=240,0.8650793650793651,0.9289940828402367,0.3866995073891626,218,157,14.59,-4.010000000000002,108,-12,1,12.53,0.98,1.0799999999999996,0.8412698412698413,0.8571428571428571,0.9206349206349206,False
seconds_to_close>=240 AND abs_d_sigma<=1.35,0.8214285714285714,0.8816568047337278,0.3669950738916256,207,149,14.569999999999997,-4.030000000000005,104,-16,1,12.869999999999996,1.1600000000000001,0.5399999999999998,0.8015873015873016,0.8253968253968254,0.8571428571428571,False
seconds_to_close>=180 AND sigma_t_dollars<=175,0.876984126984127,0.9171597633136095,0.3817733990147783,221,155,14.5,-4.100000000000001,110,-10,1,12.719999999999999,0.7599999999999998,1.020000000000001,0.9126984126984127,0.8571428571428571,0.8253968253968254,False
seconds_to_close>=240 AND sigma_t_dollars<=175,0.8253968253968254,0.893491124260355,0.37192118226600984,208,151,14.469999999999999,-4.130000000000003,102,-18,1,12.53,1.0999999999999994,0.8400000000000003,0.8412698412698413,0.8095238095238095,0.8095238095238095,False
p_side<=0.945 AND seconds_to_close>=240,0.8174603174603174,0.8816568047337278,0.3669950738916256,206,149,14.469999999999995,-4.130000000000006,104,-16,1,12.869999999999996,0.9199999999999999,0.6799999999999995,0.8015873015873016,0.8412698412698413,0.8253968253968254,False
edge_cents>=2.1 AND seconds_to_close>=180,0.8809523809523809,0.9349112426035503,0.3891625615763547,222,158,14.459999999999997,-4.140000000000004,111,-9,1,12.759999999999996,0.27999999999999975,1.4200000000000006,0.8809523809523809,0.8412698412698413,0.9206349206349206,False
edge_cents>=2.1 AND seconds_to_close>=240,0.8293650793650794,0.9053254437869822,0.3768472906403941,209,153,14.43,-4.170000000000002,103,-17,1,12.569999999999999,0.6199999999999997,1.2399999999999998,0.8095238095238095,0.7936507936507936,0.9047619047619048,False
ask_cents<=85 AND sigma_t_dollars<=175,0.8611111111111112,0.8757396449704142,0.3645320197044335,217,148,14.399999999999999,-4.200000000000003,109,-11,3,11.699999999999998,0.4399999999999992,2.26,0.8492063492063492,0.9047619047619048,0.8412698412698413,False
ask_cents>=60 AND seconds_to_close>=180,0.8888888888888888,0.9349112426035503,0.3891625615763547,224,158,14.3,-4.300000000000001,111,-9,1,11.439999999999998,0.8399999999999996,2.0200000000000005,0.8809523809523809,0.873015873015873,0.9206349206349206,False
seconds_to_close>=180 AND abs_d_sigma<=1.2,0.8253968253968254,0.8757396449704142,0.3645320197044335,208,148,14.279999999999998,-4.320000000000004,105,-15,1,12.62,1.0799999999999996,0.5799999999999998,0.8333333333333334,0.8412698412698413,0.7936507936507936,False
ask_cents<=85 AND eligible_depth>=10,0.8095238095238095,0.8698224852071006,0.3620689655172414,204,147,14.219999999999999,-4.380000000000003,100,-20,3,10.06,0.11999999999999972,4.039999999999999,0.8253968253968254,0.7936507936507936,0.7936507936507936,False
seconds_to_close>=180 AND eligible_depth>=10,0.8293650793650794,0.9053254437869822,0.3768472906403941,209,153,14.160000000000004,-4.439999999999998,102,-18,1,10.86,0.6199999999999997,2.6800000000000006,0.8809523809523809,0.7619047619047619,0.7936507936507936,False
ask_cents<=85 AND sigma_t_dollars<=150,0.8134920634920635,0.8402366863905325,0.3497536945812808,205,142,13.899999999999999,-4.700000000000003,101,-19,3,11.739999999999998,-0.2800000000000002,2.4400000000000013,0.8253968253968254,0.8571428571428571,0.746031746031746,False
ask_cents<=85 AND abs_d_sigma>=0.8,0.8412698412698413,0.8757396449704142,0.3645320197044335,212,148,13.82,-4.780000000000001,106,-14,3,10.559999999999999,0.43999999999999867,2.8199999999999994,0.7619047619047619,0.9206349206349206,0.9206349206349206,False
seconds_to_close>=180 AND abs_d_sigma>=0.8,0.8611111111111112,0.9230769230769231,0.3842364532019704,217,156,13.799999999999997,-4.800000000000004,108,-12,1,11.579999999999998,0.7599999999999996,1.4600000000000006,0.8253968253968254,0.873015873015873,0.9206349206349206,False
seconds_to_close>=180 AND sigma_t_dollars<=150,0.8253968253968254,0.8757396449704142,0.3645320197044335,208,148,13.780000000000001,-4.82,102,-18,1,12.759999999999998,0.039999999999999425,0.9800000000000004,0.8888888888888888,0.8095238095238095,0.7142857142857143,False
seconds_to_close>=240 AND abs_d_sigma>=0.8,0.8095238095238095,0.8994082840236687,0.37438423645320196,204,152,13.77,-4.830000000000002,100,-20,1,11.389999999999997,1.1,1.28,0.753968253968254,0.8253968253968254,0.9047619047619048,False
ask_cents>=70 AND eligible_depth<=2000,0.8015873015873016,0.8757396449704142,0.3645320197044335,202,148,13.620000000000001,-4.98,95,-25,1,11.0,1.2799999999999998,1.3400000000000003,0.7380952380952381,0.8412698412698413,0.8888888888888888,False
ask_cents<=87 AND seconds_to_close>=180,0.873015873015873,0.9171597633136095,0.3817733990147783,220,155,13.48,-5.120000000000001,113,-7,1,12.559999999999999,0.4999999999999999,0.4199999999999997,0.8571428571428571,0.8888888888888888,0.8888888888888888,False
ask_cents<=85 AND sigma_t_dollars>=35,0.8412698412698413,0.8757396449704142,0.3645320197044335,212,148,13.199999999999996,-5.400000000000006,107,-13,1,11.759999999999994,0.2199999999999997,1.2199999999999998,0.8015873015873016,0.873015873015873,0.8888888888888888,False
ask_cents<=87 AND seconds_to_close>=240,0.8293650793650794,0.893491124260355,0.37192118226600984,209,151,12.93,-5.670000000000002,107,-13,1,11.849999999999996,0.8399999999999992,0.23999999999999888,0.8015873015873016,0.8412698412698413,0.873015873015873,False
ask_cents>=70,0.8333333333333334,0.9053254437869822,0.3768472906403941,210,153,12.84,-5.760000000000002,98,-22,1,9.8,1.3000000000000005,1.74,0.7619047619047619,0.8888888888888888,0.9206349206349206,False
p_side>=0.85 AND ask_cents>=70,0.8333333333333334,0.9053254437869822,0.3768472906403941,210,153,12.84,-5.760000000000002,98,-22,1,9.8,1.3000000000000005,1.74,0.7619047619047619,0.8888888888888888,0.9206349206349206,False
