market,entry_dt,side,ask_cents,overlay,net_pnl_cents,entry_dt_anchor,entry_dt_reference,legacy_key,executable_match,selected_anchor,reference_after_selected,stale_anchor_after_future_reference,dataset,lock
KXBTC15M-26MAY031500-00,2026-05-03 18:48:46.073000+00:00,yes,72.0,session_switch:book_margin,26.0,2026-05-03 18:48:46.073000+00:00,2026-05-03 18:45:30.685000+00:00,"('KXBTC15M-26MAY031500-00', '2026-05-03 18:48:46.073000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031515-15,2026-05-03 19:00:46.915000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-03 19:00:46.915000+00:00,2026-05-03 19:02:02.047000+00:00,"('KXBTC15M-26MAY031515-15', '2026-05-03 19:00:46.915000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031530-30,2026-05-03 19:15:48.675000+00:00,yes,61.0,session_switch:book_margin,-63.0,2026-05-03 19:15:48.675000+00:00,2026-05-03 19:15:48.675000+00:00,"('KXBTC15M-26MAY031530-30', '2026-05-03 19:15:48.675000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031545-45,2026-05-03 19:31:05.034000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-03 19:31:05.034000+00:00,2026-05-03 19:31:05.034000+00:00,"('KXBTC15M-26MAY031545-45', '2026-05-03 19:31:05.034000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031600-00,2026-05-03 19:47:06.618000+00:00,no,81.0,session_switch:book_margin,17.0,2026-05-03 19:47:06.618000+00:00,2026-05-03 19:47:06.618000+00:00,"('KXBTC15M-26MAY031600-00', '2026-05-03 19:47:06.618000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031615-15,2026-05-03 20:00:52.889000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-03 20:00:52.889000+00:00,2026-05-03 20:00:22.809000+00:00,"('KXBTC15M-26MAY031615-15', '2026-05-03 20:00:52.889000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031630-30,2026-05-03 20:17:47.977000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-03 20:17:47.977000+00:00,2026-05-03 20:15:47.820000+00:00,"('KXBTC15M-26MAY031630-30', '2026-05-03 20:17:47.977000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031645-45,2026-05-03 20:31:19.324000+00:00,yes,69.0,session_switch:book_margin,29.0,2026-05-03 20:31:19.324000+00:00,2026-05-03 20:30:34.221000+00:00,"('KXBTC15M-26MAY031645-45', '2026-05-03 20:31:19.324000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031700-00,2026-05-03 20:46:20.742000+00:00,no,68.0,session_switch:book_margin,30.0,2026-05-03 20:46:20.742000+00:00,2026-05-03 20:47:05.779000+00:00,"('KXBTC15M-26MAY031700-00', '2026-05-03 20:46:20.742000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031715-15,2026-05-03 21:01:22.029000+00:00,no,62.0,session_switch:book_margin,-64.0,2026-05-03 21:01:22.029000+00:00,2026-05-03 21:01:06.987000+00:00,"('KXBTC15M-26MAY031715-15', '2026-05-03 21:01:22.029000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031730-30,2026-05-03 21:17:08.393000+00:00,no,65.0,session_switch:book_margin,33.0,2026-05-03 21:17:08.393000+00:00,2026-05-03 21:17:08.393000+00:00,"('KXBTC15M-26MAY031730-30', '2026-05-03 21:17:08.393000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031745-45,2026-05-03 21:35:40.234000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-03 21:35:40.234000+00:00,2026-05-03 21:31:09.825000+00:00,"('KXBTC15M-26MAY031745-45', '2026-05-03 21:35:40.234000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031800-00,2026-05-03 21:45:41.125000+00:00,yes,66.0,session_switch:book_margin,32.0,2026-05-03 21:45:41.125000+00:00,2026-05-03 21:45:41.125000+00:00,"('KXBTC15M-26MAY031800-00', '2026-05-03 21:45:41.125000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031815-15,2026-05-03 22:01:12.227000+00:00,yes,89.0,session_switch:book_margin,10.0,2026-05-03 22:01:12.227000+00:00,2026-05-03 22:01:12.227000+00:00,"('KXBTC15M-26MAY031815-15', '2026-05-03 22:01:12.227000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031830-30,2026-05-03 22:16:13.726000+00:00,yes,68.0,session_switch:book_margin,-70.0,2026-05-03 22:16:13.726000+00:00,2026-05-03 22:16:13.726000+00:00,"('KXBTC15M-26MAY031830-30', '2026-05-03 22:16:13.726000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031845-45,2026-05-03 22:30:29.667000+00:00,yes,66.0,session_switch:book_margin,32.0,2026-05-03 22:30:29.667000+00:00,2026-05-03 22:33:14.893000+00:00,"('KXBTC15M-26MAY031845-45', '2026-05-03 22:30:29.667000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031900-00,2026-05-03 22:46:31.093000+00:00,yes,64.0,session_switch:book_margin,-66.0,2026-05-03 22:46:31.093000+00:00,2026-05-03 22:47:01.114000+00:00,"('KXBTC15M-26MAY031900-00', '2026-05-03 22:46:31.093000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031915-15,2026-05-03 23:01:02.425000+00:00,no,64.0,session_switch:book_margin,34.0,2026-05-03 23:01:02.425000+00:00,2026-05-03 23:01:02.425000+00:00,"('KXBTC15M-26MAY031915-15', '2026-05-03 23:01:02.425000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031930-30,2026-05-03 23:16:03.781000+00:00,no,68.0,session_switch:book_margin,30.0,2026-05-03 23:16:03.781000+00:00,2026-05-03 23:16:03.781000+00:00,"('KXBTC15M-26MAY031930-30', '2026-05-03 23:16:03.781000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY031945-45,2026-05-03 23:30:35.143000+00:00,no,63.0,session_switch:book_margin,35.0,2026-05-03 23:30:35.143000+00:00,2026-05-03 23:31:05.159000+00:00,"('KXBTC15M-26MAY031945-45', '2026-05-03 23:30:35.143000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032000-00,2026-05-03 23:45:36.396000+00:00,no,69.0,session_switch:book_margin,29.0,2026-05-03 23:45:36.396000+00:00,2026-05-03 23:46:06.411000+00:00,"('KXBTC15M-26MAY032000-00', '2026-05-03 23:45:36.396000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032015-15,2026-05-04 00:01:07.904000+00:00,no,69.0,session_switch:book_margin,29.0,2026-05-04 00:01:07.904000+00:00,2026-05-04 00:01:07.904000+00:00,"('KXBTC15M-26MAY032015-15', '2026-05-04 00:01:07.904000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032030-30,2026-05-04 00:17:09.296000+00:00,no,65.0,session_switch:book_margin,33.0,2026-05-04 00:17:09.296000+00:00,2026-05-04 00:17:09.296000+00:00,"('KXBTC15M-26MAY032030-30', '2026-05-04 00:17:09.296000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032045-45,2026-05-04 00:30:40.452000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-04 00:30:40.452000+00:00,2026-05-04 00:30:40.452000+00:00,"('KXBTC15M-26MAY032045-45', '2026-05-04 00:30:40.452000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032100-00,2026-05-04 00:45:42.029000+00:00,yes,70.0,session_switch:book_margin,28.0,2026-05-04 00:45:42.029000+00:00,2026-05-04 00:46:12.052000+00:00,"('KXBTC15M-26MAY032100-00', '2026-05-04 00:45:42.029000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032115-15,2026-05-04 01:01:13.732000+00:00,no,69.0,session_switch:book_margin,29.0,2026-05-04 01:01:13.732000+00:00,2026-05-04 01:01:13.732000+00:00,"('KXBTC15M-26MAY032115-15', '2026-05-04 01:01:13.732000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032130-30,2026-05-04 01:16:00.076000+00:00,yes,62.0,session_switch:book_margin,36.0,2026-05-04 01:16:00.076000+00:00,2026-05-04 01:16:00.076000+00:00,"('KXBTC15M-26MAY032130-30', '2026-05-04 01:16:00.076000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032145-45,2026-05-04 01:30:46.396000+00:00,yes,84.0,session_switch:book_margin,15.0,2026-05-04 01:30:46.396000+00:00,2026-05-04 01:30:46.396000+00:00,"('KXBTC15M-26MAY032145-45', '2026-05-04 01:30:46.396000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032200-00,2026-05-04 01:46:47.686000+00:00,yes,63.0,session_switch:book_margin,35.0,2026-05-04 01:46:47.686000+00:00,2026-05-04 01:47:02.728000+00:00,"('KXBTC15M-26MAY032200-00', '2026-05-04 01:46:47.686000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032215-15,2026-05-04 02:00:34.132000+00:00,yes,78.0,session_switch:book_margin,20.0,2026-05-04 02:00:34.132000+00:00,2026-05-04 02:00:34.132000+00:00,"('KXBTC15M-26MAY032215-15', '2026-05-04 02:00:34.132000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032230-30,2026-05-04 02:17:05.641000+00:00,no,79.0,session_switch:book_margin,19.0,2026-05-04 02:17:05.641000+00:00,2026-05-04 02:17:05.641000+00:00,"('KXBTC15M-26MAY032230-30', '2026-05-04 02:17:05.641000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032245-45,2026-05-04 02:30:36.949000+00:00,yes,61.0,session_switch:book_margin,37.0,2026-05-04 02:30:36.949000+00:00,2026-05-04 02:31:06.969000+00:00,"('KXBTC15M-26MAY032245-45', '2026-05-04 02:30:36.949000+00:00', 'yes')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032300-00,2026-05-04 02:46:23.320000+00:00,no,65.0,session_switch:book_margin,-67.0,2026-05-04 02:46:23.320000+00:00,2026-05-04 02:47:08.343000+00:00,"('KXBTC15M-26MAY032300-00', '2026-05-04 02:46:23.320000+00:00', 'no')",True,True,True,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032315-15,2026-05-04 03:00:39.715000+00:00,no,62.0,session_switch:book_margin,-64.0,2026-05-04 03:00:39.715000+00:00,2026-05-04 03:00:39.715000+00:00,"('KXBTC15M-26MAY032315-15', '2026-05-04 03:00:39.715000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032330-30,2026-05-04 03:16:10.999000+00:00,no,61.0,session_switch:book_margin,37.0,2026-05-04 03:16:10.999000+00:00,2026-05-04 03:15:10.975000+00:00,"('KXBTC15M-26MAY032330-30', '2026-05-04 03:16:10.999000+00:00', 'no')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY032345-45,2026-05-04 03:34:12.627000+00:00,yes,62.0,session_switch:book_margin,-64.0,2026-05-04 03:34:12.627000+00:00,2026-05-04 03:30:27.408000+00:00,"('KXBTC15M-26MAY032345-45', '2026-05-04 03:34:12.627000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY040000-00,2026-05-04 03:47:13.963000+00:00,yes,80.0,session_switch:book_margin,18.0,2026-05-04 03:47:13.963000+00:00,2026-05-04 03:47:13.963000+00:00,"('KXBTC15M-26MAY040000-00', '2026-05-04 03:47:13.963000+00:00', 'yes')",True,True,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY040015-15,2026-05-04 04:00:45.169000+00:00,yes,58.0,session_switch:frontier_v2,40.0,2026-05-04 04:01:00.169000+00:00,2026-05-04 04:00:45.169000+00:00,"('KXBTC15M-26MAY040015-15', '2026-05-04 04:00:45.169000+00:00', 'yes')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY040030-30,2026-05-04 04:16:01.419000+00:00,yes,68.0,session_switch:frontier_v2,-70.0,2026-05-04 04:15:46.393000+00:00,2026-05-04 04:16:01.419000+00:00,"('KXBTC15M-26MAY040030-30', '2026-05-04 04:16:01.419000+00:00', 'yes')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26MAY040045-45,2026-05-04 04:35:03.054000+00:00,yes,69.0,session_switch:frontier_v2,-71.0,2026-05-04 04:31:32.681000+00:00,2026-05-04 04:35:03.054000+00:00,"('KXBTC15M-26MAY040045-45', '2026-05-04 04:35:03.054000+00:00', 'yes')",True,False,False,False,current,book_hour04_v2_switch
KXBTC15M-26APR302230-30,2026-05-01 02:17:13.847000+00:00,yes,70.0,refmargin_score_switch:score_min60_gap020,-72.0,2026-05-01 02:16:28.787000+00:00,2026-05-01 02:17:13.847000+00:00,"('KXBTC15M-26APR302230-30', '2026-05-01 02:17:13.847000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26APR302245-45,2026-05-01 02:31:15.054000+00:00,no,63.0,refmargin_score_switch:score_min60_gap020,35.0,2026-05-01 02:31:15.054000+00:00,2026-05-01 02:31:15.054000+00:00,"('KXBTC15M-26APR302245-45', '2026-05-01 02:31:15.054000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26APR302300-00,2026-05-01 02:45:46.371000+00:00,no,61.0,refmargin_score_switch:book_margin,37.0,2026-05-01 02:45:46.371000+00:00,2026-05-01 02:46:01.424000+00:00,"('KXBTC15M-26APR302300-00', '2026-05-01 02:45:46.371000+00:00', 'no')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26APR302315-15,2026-05-01 03:01:32.704000+00:00,no,67.0,refmargin_score_switch:book_margin,-69.0,2026-05-01 03:01:32.704000+00:00,2026-05-01 03:02:02.767000+00:00,"('KXBTC15M-26APR302315-15', '2026-05-01 03:01:32.704000+00:00', 'no')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26APR302330-30,2026-05-01 03:16:04.060000+00:00,yes,72.0,refmargin_score_switch:score_min60_gap020,26.0,2026-05-01 03:16:04.060000+00:00,2026-05-01 03:16:04.060000+00:00,"('KXBTC15M-26APR302330-30', '2026-05-01 03:16:04.060000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26APR302345-45,2026-05-01 03:39:05.762000+00:00,no,70.0,refmargin_score_switch:score_min60_gap020,28.0,2026-05-01 03:31:49.987000+00:00,2026-05-01 03:39:05.762000+00:00,"('KXBTC15M-26APR302345-45', '2026-05-01 03:39:05.762000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010000-00,2026-05-01 03:52:06.802000+00:00,yes,74.0,refmargin_score_switch:score_min60_gap020,-76.0,2026-05-01 03:48:36.506000+00:00,2026-05-01 03:52:06.802000+00:00,"('KXBTC15M-26MAY010000-00', '2026-05-01 03:52:06.802000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010015-15,2026-05-01 04:02:07.599000+00:00,yes,62.0,refmargin_score_switch:score_min60_gap020,36.0,2026-05-01 04:02:07.599000+00:00,2026-05-01 04:02:07.599000+00:00,"('KXBTC15M-26MAY010015-15', '2026-05-01 04:02:07.599000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010030-30,2026-05-01 04:19:08.946000+00:00,yes,73.0,refmargin_score_switch:score_min60_gap020,-75.0,2026-05-01 04:18:38.910000+00:00,2026-05-01 04:19:08.946000+00:00,"('KXBTC15M-26MAY010030-30', '2026-05-01 04:19:08.946000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010045-45,2026-05-01 04:32:10.192000+00:00,yes,72.0,refmargin_score_switch:score_min60_gap020,26.0,2026-05-01 04:30:55.131000+00:00,2026-05-01 04:32:10.192000+00:00,"('KXBTC15M-26MAY010045-45', '2026-05-01 04:32:10.192000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010100-00,2026-05-01 04:52:12.213000+00:00,yes,64.0,refmargin_score_switch:book_margin,-66.0,2026-05-01 04:52:12.213000+00:00,2026-05-01 04:53:12.320000+00:00,"('KXBTC15M-26MAY010100-00', '2026-05-01 04:52:12.213000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010115-15,2026-05-01 05:04:28.364000+00:00,yes,62.0,refmargin_score_switch:score_min60_gap020,36.0,2026-05-01 05:04:28.364000+00:00,2026-05-01 05:04:28.364000+00:00,"('KXBTC15M-26MAY010115-15', '2026-05-01 05:04:28.364000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010130-30,2026-05-01 05:17:14.474000+00:00,no,64.0,refmargin_score_switch:score_min60_gap020,34.0,2026-05-01 05:16:14.396000+00:00,2026-05-01 05:17:14.474000+00:00,"('KXBTC15M-26MAY010130-30', '2026-05-01 05:17:14.474000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010145-45,2026-05-01 05:37:31.528000+00:00,no,61.0,refmargin_score_switch:book_margin,-63.0,2026-05-01 05:37:31.528000+00:00,2026-05-01 05:39:01.651000+00:00,"('KXBTC15M-26MAY010145-45', '2026-05-01 05:37:31.528000+00:00', 'no')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010200-00,2026-05-01 05:47:17.330000+00:00,yes,63.0,refmargin_score_switch:book_margin,35.0,2026-05-01 05:47:17.330000+00:00,2026-05-01 05:48:02.363000+00:00,"('KXBTC15M-26MAY010200-00', '2026-05-01 05:47:17.330000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010215-15,2026-05-01 06:06:48.950000+00:00,yes,65.0,refmargin_score_switch:book_margin,-67.0,2026-05-01 06:06:48.950000+00:00,2026-05-01 06:07:03.960000+00:00,"('KXBTC15M-26MAY010215-15', '2026-05-01 06:06:48.950000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010230-30,2026-05-01 06:16:04.667000+00:00,yes,64.0,refmargin_score_switch:score_min60_gap020,34.0,2026-05-01 06:16:04.667000+00:00,2026-05-01 06:16:04.667000+00:00,"('KXBTC15M-26MAY010230-30', '2026-05-01 06:16:04.667000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010245-45,2026-05-01 06:33:06.589000+00:00,no,61.0,refmargin_score_switch:score_min60_gap020,37.0,2026-05-01 06:32:51.577000+00:00,2026-05-01 06:33:06.589000+00:00,"('KXBTC15M-26MAY010245-45', '2026-05-01 06:33:06.589000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010300-00,2026-05-01 06:45:37.835000+00:00,yes,71.0,refmargin_score_switch:score_min60_gap020,27.0,2026-05-01 06:45:37.835000+00:00,2026-05-01 06:45:37.835000+00:00,"('KXBTC15M-26MAY010300-00', '2026-05-01 06:45:37.835000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010315-15,2026-05-01 07:02:09.248000+00:00,no,64.0,refmargin_score_switch:score_min60_gap020,-66.0,2026-05-01 07:01:24.190000+00:00,2026-05-01 07:02:09.248000+00:00,"('KXBTC15M-26MAY010315-15', '2026-05-01 07:02:09.248000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010330-30,2026-05-01 07:16:10.484000+00:00,no,62.0,refmargin_score_switch:score_min60_gap020,36.0,2026-05-01 07:15:55.466000+00:00,2026-05-01 07:16:10.484000+00:00,"('KXBTC15M-26MAY010330-30', '2026-05-01 07:16:10.484000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010345-45,2026-05-01 07:37:13.738000+00:00,yes,61.0,refmargin_score_switch:score_min60_gap020,37.0,2026-05-01 07:31:28.144000+00:00,2026-05-01 07:37:13.738000+00:00,"('KXBTC15M-26MAY010345-45', '2026-05-01 07:37:13.738000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010400-00,2026-05-01 07:47:14.675000+00:00,yes,63.0,refmargin_score_switch:score_min60_gap020,35.0,2026-05-01 07:47:14.675000+00:00,2026-05-01 07:47:14.675000+00:00,"('KXBTC15M-26MAY010400-00', '2026-05-01 07:47:14.675000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010415-15,2026-05-01 08:01:00.792000+00:00,no,69.0,refmargin_score_switch:score_min60_gap020,-71.0,2026-05-01 08:00:45.795000+00:00,2026-05-01 08:01:00.792000+00:00,"('KXBTC15M-26MAY010415-15', '2026-05-01 08:01:00.792000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010430-30,2026-05-01 08:15:47.179000+00:00,yes,65.0,refmargin_score_switch:score_min60_gap020,33.0,2026-05-01 08:15:47.179000+00:00,2026-05-01 08:15:47.179000+00:00,"('KXBTC15M-26MAY010430-30', '2026-05-01 08:15:47.179000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010445-45,2026-05-01 08:35:04.066000+00:00,no,76.0,refmargin_score_switch:score_min60_gap020,22.0,2026-05-01 08:31:03.537000+00:00,2026-05-01 08:35:04.066000+00:00,"('KXBTC15M-26MAY010445-45', '2026-05-01 08:35:04.066000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010500-00,2026-05-01 08:57:36.162000+00:00,no,61.0,refmargin_score_switch:score_min60_gap020,-63.0,2026-05-01 08:57:06.103000+00:00,2026-05-01 08:57:36.162000+00:00,"('KXBTC15M-26MAY010500-00', '2026-05-01 08:57:36.162000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010515-15,2026-05-01 09:02:21.425000+00:00,no,61.0,refmargin_score_switch:book_margin,37.0,2026-05-01 09:02:21.425000+00:00,2026-05-01 09:02:21.425000+00:00,"('KXBTC15M-26MAY010515-15', '2026-05-01 09:02:21.425000+00:00', 'no')",True,True,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010530-30,2026-05-01 09:18:08.177000+00:00,no,63.0,refmargin_score_switch:score_min60_gap020,-65.0,2026-05-01 09:17:23.073000+00:00,2026-05-01 09:18:08.177000+00:00,"('KXBTC15M-26MAY010530-30', '2026-05-01 09:18:08.177000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010545-45,2026-05-01 09:31:09.365000+00:00,no,67.0,refmargin_score_switch:score_min60_gap020,31.0,2026-05-01 09:30:24.305000+00:00,2026-05-01 09:31:09.365000+00:00,"('KXBTC15M-26MAY010545-45', '2026-05-01 09:31:09.365000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010600-00,2026-05-01 09:45:40.622000+00:00,no,68.0,refmargin_score_switch:book_margin,30.0,2026-05-01 09:45:40.622000+00:00,2026-05-01 09:46:10.646000+00:00,"('KXBTC15M-26MAY010600-00', '2026-05-01 09:45:40.622000+00:00', 'no')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010615-15,2026-05-01 10:01:11.973000+00:00,no,65.0,refmargin_score_switch:score_min60_gap020,33.0,2026-05-01 10:01:11.973000+00:00,2026-05-01 10:01:11.973000+00:00,"('KXBTC15M-26MAY010615-15', '2026-05-01 10:01:11.973000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010630-30,2026-05-01 10:16:28.615000+00:00,yes,69.0,refmargin_score_switch:book_margin,29.0,2026-05-01 10:16:28.615000+00:00,2026-05-01 10:17:13.722000+00:00,"('KXBTC15M-26MAY010630-30', '2026-05-01 10:16:28.615000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010645-45,2026-05-01 10:33:00.078000+00:00,no,70.0,refmargin_score_switch:score_min60_gap020,28.0,2026-05-01 10:33:00.078000+00:00,2026-05-01 10:33:00.078000+00:00,"('KXBTC15M-26MAY010645-45', '2026-05-01 10:33:00.078000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010700-00,2026-05-01 10:49:16.519000+00:00,yes,64.0,refmargin_score_switch:score_min60_gap020,34.0,2026-05-01 10:49:16.519000+00:00,2026-05-01 10:49:16.519000+00:00,"('KXBTC15M-26MAY010700-00', '2026-05-01 10:49:16.519000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010715-15,2026-05-01 11:00:32.301000+00:00,yes,64.0,refmargin_score_switch:book_margin,34.0,2026-05-01 11:00:32.301000+00:00,2026-05-01 11:01:02.355000+00:00,"('KXBTC15M-26MAY010715-15', '2026-05-01 11:00:32.301000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010730-30,2026-05-01 11:16:03.632000+00:00,no,61.0,refmargin_score_switch:book_margin,-63.0,2026-05-01 11:16:03.632000+00:00,2026-05-01 11:17:03.735000+00:00,"('KXBTC15M-26MAY010730-30', '2026-05-01 11:16:03.632000+00:00', 'no')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010745-45,2026-05-01 11:31:04.710000+00:00,yes,75.0,refmargin_score_switch:score_min60_gap020,23.0,2026-05-01 11:30:34.653000+00:00,2026-05-01 11:31:04.710000+00:00,"('KXBTC15M-26MAY010745-45', '2026-05-01 11:31:04.710000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010800-00,2026-05-01 11:48:06.351000+00:00,no,63.0,refmargin_score_switch:score_min60_gap020,-65.0,2026-05-01 11:47:51.311000+00:00,2026-05-01 11:48:06.351000+00:00,"('KXBTC15M-26MAY010800-00', '2026-05-01 11:48:06.351000+00:00', 'no')",True,False,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010815-15,2026-05-01 12:03:07.543000+00:00,yes,68.0,refmargin_score_switch:book_margin,30.0,2026-05-01 12:03:07.543000+00:00,2026-05-01 12:03:07.543000+00:00,"('KXBTC15M-26MAY010815-15', '2026-05-01 12:03:07.543000+00:00', 'yes')",True,True,False,False,current,book_refmargin_score_switch
KXBTC15M-26MAY010830-30,2026-05-01 12:16:08.489000+00:00,yes,63.0,refmargin_score_switch:book_margin,35.0,2026-05-01 12:16:08.489000+00:00,2026-05-01 12:18:08.611000+00:00,"('KXBTC15M-26MAY010830-30', '2026-05-01 12:16:08.489000+00:00', 'yes')",False,True,True,True,current,book_refmargin_score_switch
KXBTC15M-26MAY010845-45,2026-05-01 12:31:09.776000+00:00,yes,65.0,refmargin_score_switch:score_min60_gap020,33.0,2026-05-01 12:31:09.776000+00:00,2026-05-01 12:31:09.776000+00:00,"('KXBTC15M-26MAY010845-45', '2026-05-01 12:31:09.776000+00:00', 'yes')",True,False,False,False,current,book_refmargin_score_switch
