entries,wins_if_held,losses_if_held,win_rate_if_held,early_exits,early_exited_winners,early_exited_losers,left_censored_entries,rows_with_post_entry_predictor,net_pnl_cents,avg_pnl_cents,median_pnl_cents,max_drawdown_cents,lcb_avg_pnl_cents,entry_fee_cents,threshold,entry_mode,exit_gate,markets_considered,markets_with_raw_ticker,markets_with_threshold_touch
60,56,4,0.933333,9,9,0,0,15,15.100000,0.251667,9.000000,174.000000,-6.116599,1,90.000000,strict_cross,candidate_fair_lt_85,188,79,60
60,56,4,0.933333,9,9,0,0,15,31.400000,0.523333,9.000000,174.000000,-5.818486,1,90.000000,strict_cross,candidate_fair_lt_90,188,79,60
60,56,4,0.933333,5,2,3,0,35,91.200000,1.520000,9.000000,207.800000,-4.688212,1,90.000000,strict_cross,v28_fair_lt_60,188,79,60
60,56,4,0.933333,5,2,3,0,35,93.200000,1.553333,9.000000,207.800000,-4.652593,1,90.000000,strict_cross,v28_fair_lt_70,188,79,60
60,56,4,0.933333,7,4,3,0,35,73.100000,1.218333,9.000000,207.800000,-4.978508,1,90.000000,strict_cross,v28_fair_lt_75,188,79,60
60,56,4,0.933333,9,6,3,0,35,42.100000,0.701667,9.000000,207.800000,-5.494695,1,90.000000,strict_cross,v28_fair_lt_80,188,79,60
60,56,4,0.933333,12,9,3,0,35,50.200000,0.836667,9.000000,144.900000,-4.725161,1,90.000000,strict_cross,v28_fair_lt_85,188,79,60
60,56,4,0.933333,9,9,0,0,15,15.100000,0.251667,9.000000,174.000000,-6.116599,1,90.000000,strict_cross,candidate_fair_lt_entry_minus_5,188,79,60
60,56,4,0.933333,5,5,0,0,15,75.900000,1.265000,9.000000,174.000000,-5.095042,1,90.000000,strict_cross,candidate_fair_lt_entry_minus_10,188,79,60
60,56,4,0.933333,10,7,3,0,35,-44.800000,-0.746667,9.000000,235.800000,-7.110867,1,90.000000,strict_cross,bid_lt_entry_minus_5,188,79,60
60,56,4,0.933333,7,4,3,0,35,11.200000,0.186667,9.000000,235.800000,-6.176285,1,90.000000,strict_cross,bid_lt_entry_minus_10,188,79,60
60,56,4,0.933333,5,2,3,0,35,60.200000,1.003333,9.000000,235.800000,-5.327019,1,90.000000,strict_cross,bid_lt_entry_minus_15,188,79,60
60,56,4,0.933333,13,13,0,0,15,18.100000,0.301667,9.000000,174.000000,-6.025224,1,90.000000,strict_cross,candidate_net_edge_lt_0,188,79,60
60,56,4,0.933333,6,6,0,0,15,49.900000,0.831667,9.000000,174.000000,-5.550732,1,90.000000,strict_cross,candidate_fair_lt_80_or_bid_lt_entry_minus_10,188,79,60
60,56,4,0.933333,10,10,0,0,15,-5.900000,-0.098333,9.000000,174.000000,-6.472238,1,90.000000,strict_cross,candidate_fair_lt_85_or_bid_lt_entry_minus_5,188,79,60
63,59,4,0.936508,0,0,0,4,15,167.000000,2.650794,9.000000,174.000000,-3.419024,1,90.000000,include_left_censored,hold,188,79,63
63,59,4,0.936508,1,1,0,4,15,152.000000,2.412698,9.000000,174.000000,-3.659627,1,90.000000,include_left_censored,candidate_fair_lt_60,188,79,63
63,59,4,0.936508,1,1,0,4,15,154.000000,2.444444,9.000000,174.000000,-3.625474,1,90.000000,include_left_censored,candidate_fair_lt_70,188,79,63
63,59,4,0.936508,3,3,0,4,15,133.900000,2.125397,9.000000,174.000000,-3.939035,1,90.000000,include_left_censored,candidate_fair_lt_75,188,79,63
63,59,4,0.936508,5,5,0,4,15,102.900000,1.633333,9.000000,174.000000,-4.435274,1,90.000000,include_left_censored,candidate_fair_lt_80,188,79,63
63,59,4,0.936508,9,9,0,4,15,42.100000,0.668254,9.000000,174.000000,-5.412026,1,90.000000,include_left_censored,candidate_fair_lt_85,188,79,63
63,59,4,0.936508,9,9,0,4,15,58.400000,0.926984,9.000000,174.000000,-5.127107,1,90.000000,include_left_censored,candidate_fair_lt_90,188,79,63
63,59,4,0.936508,5,2,3,4,36,118.200000,1.876190,9.000000,207.800000,-4.047294,1,90.000000,include_left_censored,v28_fair_lt_60,188,79,63
63,59,4,0.936508,5,2,3,4,36,120.200000,1.907937,9.000000,207.800000,-4.013259,1,90.000000,include_left_censored,v28_fair_lt_70,188,79,63
63,59,4,0.936508,7,4,3,4,36,100.100000,1.588889,9.000000,207.800000,-4.324889,1,90.000000,include_left_censored,v28_fair_lt_75,188,79,63
63,59,4,0.936508,9,6,3,4,36,69.100000,1.096825,9.000000,207.800000,-4.818470,1,90.000000,include_left_censored,v28_fair_lt_80,188,79,63
63,59,4,0.936508,12,9,3,4,36,77.200000,1.225397,9.000000,144.900000,-4.087100,1,90.000000,include_left_censored,v28_fair_lt_85,188,79,63
63,59,4,0.936508,9,9,0,4,15,42.100000,0.668254,9.000000,174.000000,-5.412026,1,90.000000,include_left_censored,candidate_fair_lt_entry_minus_5,188,79,63
63,59,4,0.936508,5,5,0,4,15,102.900000,1.633333,9.000000,174.000000,-4.435274,1,90.000000,include_left_censored,candidate_fair_lt_entry_minus_10,188,79,63
63,59,4,0.936508,10,7,3,4,36,-17.800000,-0.282540,9.000000,235.800000,-6.363228,1,90.000000,include_left_censored,bid_lt_entry_minus_5,188,79,63
63,59,4,0.936508,7,4,3,4,36,38.200000,0.606349,9.000000,235.800000,-5.469150,1,90.000000,include_left_censored,bid_lt_entry_minus_10,188,79,63
63,59,4,0.936508,5,2,3,4,36,87.200000,1.384127,9.000000,235.800000,-4.657238,1,90.000000,include_left_censored,bid_lt_entry_minus_15,188,79,63
63,59,4,0.936508,13,13,0,4,15,45.100000,0.715873,9.000000,174.000000,-5.324931,1,90.000000,include_left_censored,candidate_net_edge_lt_0,188,79,63
63,59,4,0.936508,6,6,0,4,15,76.900000,1.220635,9.000000,174.000000,-4.870798,1,90.000000,include_left_censored,candidate_fair_lt_80_or_bid_lt_entry_minus_10,188,79,63
63,59,4,0.936508,10,10,0,4,15,21.100000,0.334921,9.000000,174.000000,-5.752154,1,90.000000,include_left_censored,candidate_fair_lt_85_or_bid_lt_entry_minus_5,188,79,63
