dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
v21,book_margin_window600_780,score,p>0.80,22,20,2,0.9090909090909091,107.0,4.863636363636363,83.5,779.4190565
v21,book_margin_window480_720,split,holdout,39,29,10,0.7435897435897436,25.0,0.6410256410256411,71.0,719.12733
v21,book_margin_window480_720,split,train,118,88,30,0.7457627118644068,137.0,1.1610169491525424,69.0,719.3205005
v21,book_margin_window480_720,split,validation,40,30,10,0.75,133.0,3.325,67.0,719.2404385
v21,book_margin_window480_720,side,no,94,70,24,0.7446808510638298,159.0,1.6914893617021276,69.0,719.2262069999999
v21,book_margin_window480_720,side,yes,103,77,26,0.7475728155339806,136.0,1.3203883495145632,69.0,719.281504
v21,book_margin_window480_720,hour,0,7,3,4,0.42857142857142855,-219.0,-31.285714285714285,72.0,719.176977
v21,book_margin_window480_720,hour,1,7,5,2,0.7142857142857143,-2.0,-0.2857142857142857,69.0,719.049713
v21,book_margin_window480_720,hour,10,10,9,1,0.9,146.0,14.6,74.5,719.1181939999999
v21,book_margin_window480_720,hour,11,12,11,1,0.9166666666666666,234.0,19.5,68.0,719.3281095
v21,book_margin_window480_720,hour,12,11,9,2,0.8181818181818182,79.0,7.181818181818182,72.0,719.251203
v21,book_margin_window480_720,hour,13,11,7,4,0.6363636363636364,-119.0,-10.818181818181818,69.0,719.406429
v21,book_margin_window480_720,hour,14,11,7,4,0.6363636363636364,-115.0,-10.454545454545455,68.0,719.314906
v21,book_margin_window480_720,hour,15,11,7,4,0.6363636363636364,-98.0,-8.909090909090908,68.0,659.139432
v21,book_margin_window480_720,hour,16,8,6,2,0.75,28.0,3.5,66.5,719.4296835
v21,book_margin_window480_720,hour,17,7,5,2,0.7142857142857143,1.0,0.14285714285714285,69.0,719.101909
v21,book_margin_window480_720,hour,18,8,6,2,0.75,7.0,0.875,67.0,719.4823935
v21,book_margin_window480_720,hour,19,7,5,2,0.7142857142857143,6.0,0.8571428571428571,67.0,719.071248
v21,book_margin_window480_720,hour,2,7,5,2,0.7142857142857143,2.0,0.2857142857142857,67.0,719.693119
v21,book_margin_window480_720,hour,20,8,4,4,0.5,-184.0,-23.0,72.0,719.230735
v21,book_margin_window480_720,hour,21,8,7,1,0.875,87.0,10.875,74.5,719.454327
v21,book_margin_window480_720,hour,22,8,7,1,0.875,81.0,10.125,74.5,689.3023945
v21,book_margin_window480_720,hour,23,6,6,0,1.0,205.0,34.166666666666664,63.0,719.2618
