dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_brier,all_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_brier,train_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_brier,validation_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_brier,holdout_logloss,oos_positive,oos_coverage_pass
current,prob3_C0.1,-30.0,307,305,175,130,0.5737704918032787,0.5176920251496903,0.993485342019544,-724.0,-0.03972783143107989,56.0,0.24253992208025474,0.677647344183092,184,182,115,67,0.6318681318681318,0.5597475218575272,0.9891304347826086,676.0,0.06245380635624538,56.0,0.2427955423137155,0.6791726383034816,61,61,27,34,0.4426229508196721,0.32507805521482874,1.0,-915.0,-0.25311203319502074,55.0,0.25181826024404486,0.6966227356392545,62,62,33,29,0.532258064516129,0.40984032508164014,1.0,-485.0,-0.12813738441215325,57.5,0.23266086545959266,0.65450053113895,False,True
v21,prob3_C0.1,-30.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,270.0,0.02072141212586339,56.0,0.23282767679532632,0.6572851822795134,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-309.0,-0.039569727237802534,56.0,0.23266532752222183,0.6566707717251618,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2377288887571674,0.6683839417932431,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.22840982289659173,0.6480156905526046,True,True
current,prob3_C0.1,-20.0,307,305,175,130,0.5737704918032787,0.5176920251496903,0.993485342019544,-724.0,-0.03972783143107989,56.0,0.24253992208025474,0.677647344183092,184,182,115,67,0.6318681318681318,0.5597475218575272,0.9891304347826086,676.0,0.06245380635624538,56.0,0.2427955423137155,0.6791726383034816,61,61,27,34,0.4426229508196721,0.32507805521482874,1.0,-915.0,-0.25311203319502074,55.0,0.25181826024404486,0.6966227356392545,62,62,33,29,0.532258064516129,0.40984032508164014,1.0,-485.0,-0.12813738441215325,57.5,0.23266086545959266,0.65450053113895,False,True
v21,prob3_C0.1,-20.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,270.0,0.02072141212586339,56.0,0.23282767679532632,0.6572851822795134,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-309.0,-0.039569727237802534,56.0,0.23266532752222183,0.6566707717251618,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2377288887571674,0.6683839417932431,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.22840982289659173,0.6480156905526046,True,True
current,prob3_C0.1,-15.0,307,305,175,130,0.5737704918032787,0.5176920251496903,0.993485342019544,-724.0,-0.03972783143107989,56.0,0.24253992208025474,0.677647344183092,184,182,115,67,0.6318681318681318,0.5597475218575272,0.9891304347826086,676.0,0.06245380635624538,56.0,0.2427955423137155,0.6791726383034816,61,61,27,34,0.4426229508196721,0.32507805521482874,1.0,-915.0,-0.25311203319502074,55.0,0.25181826024404486,0.6966227356392545,62,62,33,29,0.532258064516129,0.40984032508164014,1.0,-485.0,-0.12813738441215325,57.5,0.23266086545959266,0.65450053113895,False,True
v21,prob3_C0.1,-15.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,270.0,0.02072141212586339,56.0,0.23282767679532632,0.6572851822795134,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-309.0,-0.039569727237802534,56.0,0.23266532752222183,0.6566707717251618,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2377288887571674,0.6683839417932431,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.22840982289659173,0.6480156905526046,True,True
current,prob3_C0.1,-10.0,307,305,175,130,0.5737704918032787,0.5176920251496903,0.993485342019544,-724.0,-0.03972783143107989,56.0,0.24253992208025474,0.677647344183092,184,182,115,67,0.6318681318681318,0.5597475218575272,0.9891304347826086,676.0,0.06245380635624538,56.0,0.2427955423137155,0.6791726383034816,61,61,27,34,0.4426229508196721,0.32507805521482874,1.0,-915.0,-0.25311203319502074,55.0,0.25181826024404486,0.6966227356392545,62,62,33,29,0.532258064516129,0.40984032508164014,1.0,-485.0,-0.12813738441215325,57.5,0.23266086545959266,0.65450053113895,False,True
v21,prob3_C0.1,-10.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,270.0,0.02072141212586339,56.0,0.23282767679532632,0.6572851822795134,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-309.0,-0.039569727237802534,56.0,0.23266532752222183,0.6566707717251618,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2377288887571674,0.6683839417932431,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.22840982289659173,0.6480156905526046,True,True
current,prob3_C0.1,-5.0,307,305,175,130,0.5737704918032787,0.5176920251496903,0.993485342019544,-741.0,-0.04062277287429417,56.0,0.24204037980594376,0.6765819352041793,184,182,115,67,0.6318681318681318,0.5597475218575272,0.9891304347826086,659.0,0.06078775020754543,56.0,0.24195839729357904,0.6773872001794796,61,61,27,34,0.4426229508196721,0.32507805521482874,1.0,-915.0,-0.25311203319502074,55.0,0.25181826024404486,0.6966227356392545,62,62,33,29,0.532258064516129,0.40984032508164014,1.0,-485.0,-0.12813738441215325,57.5,0.23266086545959266,0.65450053113895,False,True
v21,prob3_C0.1,-5.0,221,219,133,86,0.6073059360730594,0.5413113057595218,0.9909502262443439,251.0,0.019235190436048738,56.0,0.23415536756901684,0.6602273150866598,132,131,75,56,0.5725190839694656,0.486926931044424,0.9924242424242424,-328.0,-0.04190086867654573,56.0,0.23488490217442204,0.66158929908978,44,44,27,17,0.6136363636363636,0.4662357539237828,1.0,127.0,0.049358725223474544,55.0,0.2377288887571674,0.6683839417932431,45,44,31,13,0.7045454545454546,0.5577979987383977,0.9777777777777777,452.0,0.17069486404833836,55.0,0.22840982289659173,0.6480156905526046,True,True
