model,min_edge_cents,cost_cents,block_kind,block,denominator_markets,selected_markets,coverage,wins,losses,gross_net_cents,net_after_cost_cents
book_time_v32drift85,1.0,0.0,block10,6,33,33,1.0,22,11,276.0,276.0
book_time_v32drift85,1.0,0.0,block10,7,33,33,1.0,20,13,77.0,77.0
book_time_v32drift85,1.0,0.0,block10,8,33,33,1.0,24,9,524.0,524.0
book_time_v32drift85,1.0,0.0,block10,9,33,33,1.0,18,15,-23.0,-23.0
book_time_v32drift85,1.0,0.0,block20,0,17,17,1.0,10,7,7.0,7.0
book_time_v32drift85,1.0,0.0,block20,1,16,16,1.0,10,6,75.0,75.0
book_time_v32drift85,1.0,0.0,block20,2,17,17,1.0,11,6,94.0,94.0
book_time_v32drift85,1.0,0.0,block20,3,16,16,1.0,8,8,-93.0,-93.0
book_time_v32drift85,1.0,0.0,block20,4,17,17,1.0,13,4,289.0,289.0
book_time_v32drift85,1.0,0.0,block20,5,16,16,1.0,10,6,66.0,66.0
book_time_v32drift85,1.0,0.0,block20,6,17,17,1.0,10,7,-9.0,-9.0
book_time_v32drift85,1.0,0.0,block20,7,16,16,1.0,10,6,25.0,25.0
book_time_v32drift85,1.0,0.0,block20,8,17,17,1.0,10,7,14.0,14.0
book_time_v32drift85,1.0,0.0,block20,9,16,16,1.0,9,7,-105.0,-105.0
book_time_v32drift85,1.0,0.0,block20,10,16,16,1.0,10,6,-56.0,-56.0
book_time_v32drift85,1.0,0.0,block20,11,17,16,0.9411764705882353,12,4,209.0,209.0
book_time_v32drift85,1.0,0.0,block20,12,16,16,1.0,9,7,-69.0,-69.0
book_time_v32drift85,1.0,0.0,block20,13,17,17,1.0,13,4,345.0,345.0
book_time_v32drift85,1.0,0.0,block20,14,16,16,1.0,9,7,-30.0,-30.0
book_time_v32drift85,1.0,0.0,block20,15,17,17,1.0,11,6,107.0,107.0
book_time_v32drift85,1.0,0.0,block20,16,16,16,1.0,12,4,267.0,267.0
book_time_v32drift85,1.0,0.0,block20,17,17,17,1.0,12,5,257.0,257.0
book_time_v32drift85,1.0,0.0,block20,18,16,16,1.0,9,7,38.0,38.0
book_time_v32drift85,1.0,0.0,block20,19,17,17,1.0,9,8,-61.0,-61.0
book_time_v32drift85,1.0,1.0,block10,0,33,33,1.0,20,13,82.0,49.0
book_time_v32drift85,1.0,1.0,block10,1,33,33,1.0,19,14,1.0,-32.0
book_time_v32drift85,1.0,1.0,block10,2,33,33,1.0,23,10,355.0,322.0
book_time_v32drift85,1.0,1.0,block10,3,33,33,1.0,20,13,16.0,-17.0
book_time_v32drift85,1.0,1.0,block10,4,33,33,1.0,19,14,-91.0,-124.0
book_time_v32drift85,1.0,1.0,block10,5,33,32,0.9696969696969697,22,10,153.0,121.0
book_time_v32drift85,1.0,1.0,block10,6,33,33,1.0,22,11,276.0,243.0
book_time_v32drift85,1.0,1.0,block10,7,33,33,1.0,20,13,77.0,44.0
book_time_v32drift85,1.0,1.0,block10,8,33,33,1.0,24,9,524.0,491.0
book_time_v32drift85,1.0,1.0,block10,9,33,33,1.0,18,15,-23.0,-56.0
book_time_v32drift85,1.0,1.0,block20,0,17,17,1.0,10,7,7.0,-10.0
book_time_v32drift85,1.0,1.0,block20,1,16,16,1.0,10,6,75.0,59.0
book_time_v32drift85,1.0,1.0,block20,2,17,17,1.0,11,6,94.0,77.0
book_time_v32drift85,1.0,1.0,block20,3,16,16,1.0,8,8,-93.0,-109.0
book_time_v32drift85,1.0,1.0,block20,4,17,17,1.0,13,4,289.0,272.0
book_time_v32drift85,1.0,1.0,block20,5,16,16,1.0,10,6,66.0,50.0
book_time_v32drift85,1.0,1.0,block20,6,17,17,1.0,10,7,-9.0,-26.0
book_time_v32drift85,1.0,1.0,block20,7,16,16,1.0,10,6,25.0,9.0
book_time_v32drift85,1.0,1.0,block20,8,17,17,1.0,10,7,14.0,-3.0
book_time_v32drift85,1.0,1.0,block20,9,16,16,1.0,9,7,-105.0,-121.0
book_time_v32drift85,1.0,1.0,block20,10,16,16,1.0,10,6,-56.0,-72.0
book_time_v32drift85,1.0,1.0,block20,11,17,16,0.9411764705882353,12,4,209.0,193.0
book_time_v32drift85,1.0,1.0,block20,12,16,16,1.0,9,7,-69.0,-85.0
book_time_v32drift85,1.0,1.0,block20,13,17,17,1.0,13,4,345.0,328.0
book_time_v32drift85,1.0,1.0,block20,14,16,16,1.0,9,7,-30.0,-46.0
book_time_v32drift85,1.0,1.0,block20,15,17,17,1.0,11,6,107.0,90.0
book_time_v32drift85,1.0,1.0,block20,16,16,16,1.0,12,4,267.0,251.0
book_time_v32drift85,1.0,1.0,block20,17,17,17,1.0,12,5,257.0,240.0
book_time_v32drift85,1.0,1.0,block20,18,16,16,1.0,9,7,38.0,22.0
book_time_v32drift85,1.0,1.0,block20,19,17,17,1.0,9,8,-61.0,-78.0
book_time_v32drift85,1.0,2.0,block10,0,33,33,1.0,20,13,82.0,16.0
book_time_v32drift85,1.0,2.0,block10,1,33,33,1.0,19,14,1.0,-65.0
book_time_v32drift85,1.0,2.0,block10,2,33,33,1.0,23,10,355.0,289.0
book_time_v32drift85,1.0,2.0,block10,3,33,33,1.0,20,13,16.0,-50.0
book_time_v32drift85,1.0,2.0,block10,4,33,33,1.0,19,14,-91.0,-157.0
book_time_v32drift85,1.0,2.0,block10,5,33,32,0.9696969696969697,22,10,153.0,89.0
book_time_v32drift85,1.0,2.0,block10,6,33,33,1.0,22,11,276.0,210.0
book_time_v32drift85,1.0,2.0,block10,7,33,33,1.0,20,13,77.0,11.0
book_time_v32drift85,1.0,2.0,block10,8,33,33,1.0,24,9,524.0,458.0
book_time_v32drift85,1.0,2.0,block10,9,33,33,1.0,18,15,-23.0,-89.0
book_time_v32drift85,1.0,2.0,block20,0,17,17,1.0,10,7,7.0,-27.0
book_time_v32drift85,1.0,2.0,block20,1,16,16,1.0,10,6,75.0,43.0
book_time_v32drift85,1.0,2.0,block20,2,17,17,1.0,11,6,94.0,60.0
book_time_v32drift85,1.0,2.0,block20,3,16,16,1.0,8,8,-93.0,-125.0
book_time_v32drift85,1.0,2.0,block20,4,17,17,1.0,13,4,289.0,255.0
book_time_v32drift85,1.0,2.0,block20,5,16,16,1.0,10,6,66.0,34.0
book_time_v32drift85,1.0,2.0,block20,6,17,17,1.0,10,7,-9.0,-43.0
book_time_v32drift85,1.0,2.0,block20,7,16,16,1.0,10,6,25.0,-7.0
book_time_v32drift85,1.0,2.0,block20,8,17,17,1.0,10,7,14.0,-20.0
book_time_v32drift85,1.0,2.0,block20,9,16,16,1.0,9,7,-105.0,-137.0
book_time_v32drift85,1.0,2.0,block20,10,16,16,1.0,10,6,-56.0,-88.0
book_time_v32drift85,1.0,2.0,block20,11,17,16,0.9411764705882353,12,4,209.0,177.0
book_time_v32drift85,1.0,2.0,block20,12,16,16,1.0,9,7,-69.0,-101.0
book_time_v32drift85,1.0,2.0,block20,13,17,17,1.0,13,4,345.0,311.0
book_time_v32drift85,1.0,2.0,block20,14,16,16,1.0,9,7,-30.0,-62.0
book_time_v32drift85,1.0,2.0,block20,15,17,17,1.0,11,6,107.0,73.0
book_time_v32drift85,1.0,2.0,block20,16,16,16,1.0,12,4,267.0,235.0
book_time_v32drift85,1.0,2.0,block20,17,17,17,1.0,12,5,257.0,223.0
book_time_v32drift85,1.0,2.0,block20,18,16,16,1.0,9,7,38.0,6.0
book_time_v32drift85,1.0,2.0,block20,19,17,17,1.0,9,8,-61.0,-95.0
book_v33_drift3_platt,1.0,0.0,block10,0,33,33,1.0,21,12,217.0,217.0
book_v33_drift3_platt,1.0,0.0,block10,1,33,33,1.0,15,18,-325.0,-325.0
book_v33_drift3_platt,1.0,0.0,block10,2,33,33,1.0,21,12,204.0,204.0
book_v33_drift3_platt,1.0,0.0,block10,3,33,33,1.0,20,13,71.0,71.0
book_v33_drift3_platt,1.0,0.0,block10,4,33,33,1.0,18,15,-162.0,-162.0
book_v33_drift3_platt,1.0,0.0,block10,5,33,32,0.9696969696969697,21,11,134.0,134.0
