policy,model,edge_floor_cents,ask_cap_cents,pside_floor,book_side_floor,cost_cents,all_coverage,all_selected,all_net_after_cost_cents,train_coverage,train_selected,train_net_after_cost_cents,validation_coverage,validation_selected,validation_net_after_cost_cents,holdout_coverage,holdout_selected,holdout_net_after_cost_cents,block10_positive,block10_worst_net_cents
book_time_v32drift85_edge0_ask60_pside0.65_book0.65,book_time_v32drift85,0.0,60.0,0.65,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0,book_time_v32drift85,0.0,60.0,0.7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0,book_time_v32drift85,0.0,60.0,0.7,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0,book_time_v32drift85,0.0,60.0,0.7,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.52,book_time_v32drift85,0.0,60.0,0.7,0.52,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.52,book_time_v32drift85,0.0,60.0,0.7,0.52,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.52,book_time_v32drift85,0.0,60.0,0.7,0.52,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.55,book_time_v32drift85,0.0,60.0,0.7,0.55,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.55,book_time_v32drift85,0.0,60.0,0.7,0.55,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.55,book_time_v32drift85,0.0,60.0,0.7,0.55,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.6,book_time_v32drift85,0.0,60.0,0.7,0.6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.6,book_time_v32drift85,0.0,60.0,0.7,0.6,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.6,book_time_v32drift85,0.0,60.0,0.7,0.6,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.65,book_time_v32drift85,0.0,60.0,0.7,0.65,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.65,book_time_v32drift85,0.0,60.0,0.7,0.65,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask60_pside0.7_book0.65,book_time_v32drift85,0.0,60.0,0.7,0.65,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0
book_time_v32drift85_edge0_ask65_pside0_book0,book_time_v32drift85,0.0,65.0,0.0,0.0,0.0,1.0,330,1702.0,1.0,198,1004.0,1.0,66,49.0,1.0,66,649.0,8,-161.0
book_time_v32drift85_edge0_ask65_pside0_book0,book_time_v32drift85,0.0,65.0,0.0,0.0,1.0,1.0,330,1372.0,1.0,198,806.0,1.0,66,-17.0,1.0,66,583.0,7,-194.0
