market,ts_wall,side,reason,status,result,side_won,ask_cents,qty,hypothetical_hold_gross_cents,verdict,actionable_shadow,p_side,brier,edge_cents,raw_edge_cents,fair_side_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,recross_hazard_score,btc_age_ms,book_age_ms,eligible_depth,p_ok,edge_ok,model_price_ok,ask_ok,book_ok,btc_ok,risk_ok,h6_recross_hazard_high
KXBTC15M-26MAY070015-15,2026-05-07T04:15:00.009415+00:00,yes,missing_horizon,finalized,yes,True,100,1,0,neutral,False,,,,,,0.0,,,,31516.0,2407.0,0.0,,,,False,False,False,,False
KXBTC15M-26MAY070015-15,2026-05-07T04:15:00.011423+00:00,no,missing_horizon,finalized,yes,False,0,1,0,neutral,False,,,,,,0.0,,,,31516.0,2407.0,1652.22,,,,True,False,False,,False
KXBTC15M-26MAY070030-30,2026-05-07T04:16:00.451079+00:00,yes,btc_stale,finalized,yes,True,45,2,110,missed_profit,False,0.599863,0.16010961876899998,10.986337,12.986337,59.986337,839.55,107.847411,0.23932,0.8199292821988321,55172.0,0.0,5.13,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:16:00.452078+00:00,no,btc_stale,finalized,yes,False,56,2,-112,protected_loss,False,0.400137,0.160109618769,-19.986337,-17.986337,40.013663,839.55,107.847411,0.23932,0.8199292821988321,55172.0,0.0,147.49,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:17:09.888471+00:00,yes,p_below_floor,finalized,yes,True,70,2,60,missed_profit,True,0.476395,0.27416219602499997,-25.860541,-23.860541,47.639459,770.113,103.433979,0.059362,0.9016513046480161,16.0,438.0,119.0,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:17:09.890473+00:00,no,p_below_floor,finalized,yes,False,33,2,-66,protected_loss,True,0.523605,0.27416219602499997,15.360541,17.360541,52.360541,770.113,103.433979,0.059362,0.9016513046480161,16.0,438.0,1897.53,False,True,True,True,True,True,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:20:19.457963+00:00,yes,book_stale,finalized,yes,True,74,2,52,missed_profit,False,0.749796,0.06260204161599998,-2.520395,-0.520395,74.979605,580.543,89.851885,0.585185,0.4019578530590314,189594.0,1016.0,68.75,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:20:19.458964+00:00,no,book_stale,finalized,yes,False,27,2,-54,protected_loss,False,0.250204,0.06260204161599998,-5.479605,-3.479605,25.020395,580.543,89.851885,0.585185,0.4019578530590314,189594.0,1016.0,745.03,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070030-30,2026-05-07T04:25:51.040325+00:00,yes,ask_too_high,finalized,yes,True,98,2,4,missed_profit,True,0.921743,0.006124158049000003,-8.325729,-6.325729,92.174271,248.961,58.89437,1.165476,0.09657359310329863,0.0,594.0,1439.0,True,False,False,False,True,True,True,False
KXBTC15M-26MAY070030-30,2026-05-07T04:28:50.029224+00:00,yes,time_window,finalized,yes,True,97,2,6,missed_profit,False,0.833228,0.027812899984000012,-16.177229,-14.177229,83.322771,69.971,31.114188,0.786137,0.039525857086254876,62172.0,578.0,10.0,False,False,False,False,True,False,True,False
KXBTC15M-26MAY070030-30,2026-05-07T04:28:50.031131+00:00,no,time_window,finalized,yes,False,4,2,-8,protected_loss,False,0.166772,0.027812899984,10.177229,12.177229,16.677229,69.971,31.114188,0.786137,0.039525857086254876,62172.0,578.0,671.6,False,True,True,True,True,False,True,False
KXBTC15M-26MAY070030-30,2026-05-07T04:30:00.037877+00:00,yes,missing_horizon,finalized,yes,True,100,1,0,neutral,False,,,,,,0.0,,,,132188.0,1594.0,0.0,,,,False,False,False,,False
KXBTC15M-26MAY070030-30,2026-05-07T04:30:00.038877+00:00,no,missing_horizon,finalized,yes,False,0,1,0,neutral,False,,,,,,0.0,,,,132188.0,1594.0,14150.28,,,,True,False,False,,False
KXBTC15M-26MAY070045-45,2026-05-07T04:30:39.967984+00:00,yes,btc_stale,finalized,no,False,46,2,-92,protected_loss,False,0.539698,0.291273931204,3.969836,5.969836,53.969836,860.033,108.942517,0.116392,0.947949724654532,172110.0,0.0,50.0,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:30:39.968983+00:00,no,btc_stale,finalized,no,True,55,2,90,missed_profit,False,0.460302,0.291273931204,-12.969836,-10.969836,46.030164,860.033,108.942517,0.116392,0.947949724654532,172125.0,0.0,795.0,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:31:16.994580+00:00,yes,book_stale,finalized,no,False,53,2,-106,protected_loss,False,0.531183,0.28215537948899994,-3.881698,-1.881698,53.118302,823.006,106.545411,0.087662,0.9333485822559139,209141.0,1031.0,255.59,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:31:16.995580+00:00,no,book_stale,finalized,no,True,48,2,104,missed_profit,False,0.468817,0.28215537948899994,-5.118302,-3.118302,46.881698,823.006,106.545411,0.087662,0.9333485822559139,209141.0,1031.0,654.0,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:31:29.649226+00:00,yes,p_below_floor,finalized,no,False,54,2,-108,protected_loss,True,0.417836,0.17458692289599997,-16.216384,-14.216384,41.783616,810.351,105.557194,0.187292,0.8305452261842349,0.0,687.0,1565.92,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:31:29.650225+00:00,no,p_below_floor,finalized,no,True,48,2,104,missed_profit,True,0.582164,0.17458692289599997,6.216384,8.216384,58.216384,810.351,105.557194,0.187292,0.8305452261842349,0.0,687.0,574.17,False,True,True,True,True,True,True,True
KXBTC15M-26MAY070045-45,2026-05-07T04:43:50.007924+00:00,yes,time_window,finalized,no,False,3,2,-6,protected_loss,False,0.030333,0.000920090889,-2.466691,-0.466691,3.033309,69.992,30.850717,1.614873,0.017113458107638733,635938.0,47.0,1012.09,False,False,False,True,True,False,True,False
KXBTC15M-26MAY070045-45,2026-05-07T04:43:50.009924+00:00,no,time_window,finalized,no,True,98,2,4,missed_profit,False,0.969667,0.0009200908890000033,-3.533309,-1.533309,96.966691,69.992,30.850717,1.614873,0.017113458107638733,635938.0,47.0,32.0,True,False,False,False,True,False,True,False
KXBTC15M-26MAY070045-45,2026-05-07T04:45:00.057707+00:00,yes,missing_horizon,finalized,no,False,0,1,0,neutral,False,,,,,,0.0,,,,13032.0,94.0,16285.23,,,,True,True,False,,False
KXBTC15M-26MAY070045-45,2026-05-07T04:45:00.057707+00:00,no,missing_horizon,finalized,no,True,100,1,0,neutral,False,,,,,,0.0,,,,13032.0,94.0,0.0,,,,False,True,False,,False
KXBTC15M-26MAY070100-00,2026-05-07T04:45:46.500277+00:00,yes,btc_stale,finalized,yes,True,67,2,66,missed_profit,False,0.51313,0.23704239690000004,-19.687048,-17.687048,51.312952,853.5,108.844896,0.006156,1.053452746917944,59485.0,16.0,63.9,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:45:46.502279+00:00,no,btc_stale,finalized,yes,False,34,2,-68,protected_loss,False,0.48687,0.23704239690000004,10.687048,12.687048,48.687048,853.5,108.844896,0.006156,1.053452746917944,59485.0,16.0,543.0,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:46:54.506212+00:00,yes,book_stale,finalized,yes,True,61,2,78,missed_profit,False,0.66721,0.11074918410000002,1.720963,3.720963,66.720963,785.495,104.492019,0.369311,0.6747514850372092,127485.0,1016.0,142.93,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:46:54.507213+00:00,no,book_stale,finalized,yes,False,40,2,-80,protected_loss,False,0.33279,0.11074918409999998,-10.720963,-8.720963,33.279037,785.495,104.492019,0.369311,0.6747514850372092,127485.0,1016.0,515.95,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:48:45.107301+00:00,yes,p_below_floor,finalized,yes,True,71,2,58,missed_profit,True,0.53329,0.21781822409999996,-21.171006,-19.171006,53.328994,674.894,96.272867,0.059622,0.785428992877996,15.0,609.0,75.75,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:48:45.108299+00:00,no,p_below_floor,finalized,yes,False,30,2,-60,protected_loss,True,0.46671,0.2178182241,13.171006,15.171006,46.671006,674.894,96.272867,0.059622,0.785428992877996,15.0,609.0,361.16,False,True,True,True,True,True,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:51:56.785884+00:00,yes,ask_too_high,finalized,yes,True,94,2,12,missed_profit,True,0.755148,0.05995250190399998,-20.985218,-18.985218,75.514782,483.215,81.313275,0.578011,0.3342592345524568,16.0,297.0,175.04,False,False,False,False,True,True,True,True
KXBTC15M-26MAY070100-00,2026-05-07T04:58:50.032045+00:00,yes,time_window,finalized,yes,True,100,1,0,neutral,False,0.997029,8.826840999999679e-06,-2.797115,-0.797115,99.702885,69.969,30.386901,2.827534,0.0050122829108332585,74797.0,1531.0,10.0,True,False,False,False,False,False,True,False
KXBTC15M-26MAY070100-00,2026-05-07T04:58:50.034043+00:00,no,time_window,finalized,yes,False,0,2,0,neutral,False,0.002971,8.826841e-06,-2.202885,-0.202885,0.297115,69.969,30.386901,2.827534,0.0050122829108332585,74813.0,1531.0,14345.84,False,False,True,True,False,False,True,False
KXBTC15M-26MAY070100-00,2026-05-07T05:00:00.036326+00:00,yes,missing_horizon,finalized,yes,True,100,1,0,neutral,False,,,,,,0.0,,,,39656.0,2547.0,0.0,,,,False,False,False,,False
