model,split,n,brier,logloss,side_accuracy,mean_p_yes,yes_rate
v31_book_logit_blend_w0.10,validation,3818,0.1336753492590461,0.4002240029355433,0.7891566265060241,0.5201200195900633,0.5188580408590885
v31_book_logit_blend_w0.10,holdout,3805,0.14520943100693137,0.43290063382085975,0.7758212877792379,0.4744116383663056,0.4323258869908016
v31_book_logit_blend_w0.15,all,19021,0.14313050207276903,0.4307338878784794,0.7815046527522213,0.5072577197638556,0.4958204090216077
v31_book_logit_blend_w0.15,validation,3818,0.13258866130345778,0.39711971644317795,0.7878470403352541,0.5200457494117507,0.5188580408590885
v31_book_logit_blend_w0.15,holdout,3805,0.1442811936566661,0.430326977755492,0.7800262812089356,0.4738658728285259,0.4323258869908016
v31_book_logit_blend_w0.20,all,19021,0.14217750590473818,0.42772588760385577,0.7839756059092582,0.5073046290535865,0.4958204090216077
v31_book_logit_blend_w0.20,validation,3818,0.13155204342752172,0.3941545930044654,0.7907281299109481,0.5199665233136181,0.5188580408590885
v31_book_logit_blend_w0.20,holdout,3805,0.14343484045520288,0.42795731298993417,0.7821287779237845,0.4733468863523942,0.4323258869908016
v31_book_logit_blend_w0.25,all,19021,0.1412800371368402,0.42487798400144194,0.7863414121234426,0.5073530135453744,0.4958204090216077
v31_book_logit_blend_w0.25,validation,3818,0.1305657706665585,0.39132653679189616,0.7946568884232582,0.5198814519153355,0.5188580408590885
v31_book_logit_blend_w0.25,holdout,3805,0.14266013731799823,0.425772251174083,0.783442838370565,0.4728581554357238,0.4323258869908016
v31_book_logit_blend_w0.30,all,19021,0.140433478089112,0.4221827398652654,0.788076336680511,0.5074014891614979,0.4958204090216077
v31_book_logit_blend_w0.30,validation,3818,0.12962965605494498,0.38863391061462793,0.7954426401257203,0.5197896456572771,0.5188580408590885
v31_book_logit_blend_w0.30,holdout,3805,0.1419463192057139,0.4237545248935019,0.7863337713534823,0.47239585245007354,0.4323258869908016
v31_book_logit_blend_w0.35,all,19021,0.13963458147331323,0.4196355752476322,0.7896009673518742,0.5074483166575297,0.4958204090216077
v31_book_logit_blend_w0.35,validation,3818,0.1287431277831186,0.38607536323296116,0.7988475641697224,0.5196902757229267,0.5188580408590885
v31_book_logit_blend_w0.35,holdout,3805,0.14128743324789877,0.42189163968550714,0.7886990801576873,0.47195472973205765,0.4323258869908016
v31_book_logit_blend_w0.40,all,19021,0.13888134351138706,0.4172340803469137,0.7904947163661217,0.5074920958831937,0.4958204090216077
v31_book_logit_blend_w0.40,validation,3818,0.12790534264829165,0.3836497481943369,0.8017286537454165,0.5195826060527909,0.5188580408590885
v31_book_logit_blend_w0.40,holdout,3805,0.1406802820885332,0.42017519715359775,0.7892247043363995,0.4715309570488733,0.4323258869908016
v31_book_logit_blend_w0.50,all,19021,0.13751009865701852,0.4128650646670802,0.7928605225803059,0.5075682763097727,0.4958204090216077
v31_book_logit_blend_w0.50,validation,3818,0.1263719512053778,0.3791936410758587,0.8040859088528025,0.5193398702940767,0.5188580408590885
v31_book_logit_blend_w0.50,holdout,3805,0.13961258638911322,0.41715996519014326,0.7910643889618922,0.47072721344217183,0.4323258869908016
v31_book_logit_blend_w0.60,all,19021,0.13632010755919066,0.40907558244558373,0.794017138951685,0.5076315587838104,0.4958204090216077
