candidate_id,model_hash,model_type,model_track,slice,rows,markets,candidate_brier,v28_brier,delta_brier_candidate_minus_v28,candidate_logloss,v28_logloss,delta_logloss_candidate_minus_v28,candidate_side_accuracy,v28_side_accuracy,delta_side_accuracy_candidate_minus_v28,candidate_ece_10bin,v28_ece_10bin,candidate_shadow_net_pnl_cents,candidate_shadow_expected_ev_cents
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,side_no,877,152,0.13042472169015282,0.12983777073802324,0.0005869509521295724,0.402964036320415,0.4013560536591946,0.0016079826612204196,0.814139110604333,0.814139110604333,0.0,0.08697064092634406,0.08246575685275513,-2938.3000000000006,3828.802873465029
v28s_boundary_monotonic_light_v001,c1edea2fdb0e0eb8b405faf0,monotonic_tabular_calibration,pure_physics,book_disagreement_gt_10c,361,50,0.18301738434695747,0.18231199359637767,0.000705390750579793,0.5558724532678629,0.5565897520751313,-0.0007172988072683406,0.7340720221606648,0.7340720221606648,0.0,0.19833458968971193,0.19857789454284214,-1591.5,2539.0781526953006
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,all_rows,1620,117,0.12538712637510288,0.12536515381938892,2.1972555713956066e-05,0.39110122139483255,0.39112811704141115,-2.6895646578595223e-05,0.825925925925926,0.825925925925926,0.0,0.09462139560849883,0.0944933337288939,-5295.100000000004,4628.758315897666
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,near_boundary_abs_d_lte_1,1046,104,0.18182054534680334,0.18178616291734892,3.438242945441594e-05,0.5473330018076338,0.5472438136221275,8.918818550629481e-05,0.7418738049713193,0.7418738049713193,0.0,0.13216571456615683,0.132087223575717,-4869.0999999999985,3866.1250537899978
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,late_lte_180s,308,31,0.05335858096524567,0.05335858096524567,0.0,0.17408449448016766,0.17408449448016766,0.0,0.922077922077922,0.922077922077922,0.0,0.08953748853149313,0.08953748853149313,-773.9000000000004,913.2167833080754
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,side_yes,810,117,0.12538712637510288,0.12536515381938892,2.1972555713956066e-05,0.39110122139483255,0.39112811704141115,-2.6895646578595223e-05,0.825925925925926,0.825925925925926,0.0,0.09462139560849883,0.0944933337288939,-1527.0999999999992,967.8194704157
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,side_no,810,117,0.12538712637510288,0.12536515381938892,2.1972555713956066e-05,0.39110122139483255,0.39112811704141115,-2.6895646578595223e-05,0.825925925925926,0.825925925925926,0.0,0.09462139560849883,0.0944933337288939,-3768.0,3660.9388454819646
v28s_boundary_monotonic_micro_time_safe_v001,9c831d7954e3c65fec6c0794,monotonic_tabular_calibration,pure_physics,book_disagreement_gt_10c,343,45,0.1778767434273481,0.17787664522612937,9.820121874004606e-08,0.5473579568417419,0.5476602705291852,-0.0003023136874432675,0.7463556851311953,0.7463556851311953,0.0,0.22375679498418657,0.2237903413182682,-1820.2,2419.5408696362997
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,all_rows,1752,151,0.1298566763239932,0.12978757052266648,6.910580132671318e-05,0.40115376553867277,0.40119845542318927,-4.468988451650224e-05,0.8139269406392694,0.8139269406392694,0.0,0.08344718808017838,0.0830358194223359,-4607.6,4903.8399389867245
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,near_boundary_abs_d_lte_1,1148,136,0.18678866797516988,0.18669052217143922,9.814580373065929e-05,0.5579743435096881,0.5577089622387986,0.0002653812708894865,0.7264808362369338,0.7264808362369338,0.0,0.11276610379128921,0.1125349188695122,-4187.299999999998,4129.88499994
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,late_lte_180s,322,36,0.05257759919709126,0.05257759919709126,0.0,0.17213227098595993,0.17213227098595993,0.0,0.9254658385093167,0.9254658385093167,0.0,0.09023145009464689,0.09023145009464689,-801.5000000000005,959.4073647915353
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,side_yes,876,151,0.1298566763239932,0.12978757052266648,6.910580132671318e-05,0.40115376553867277,0.40119845542318927,-4.468988451650224e-05,0.8139269406392694,0.8139269406392694,0.0,0.08344718808017838,0.0830358194223359,-1770.0999999999995,1060.3334389647007
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,side_no,876,151,0.1298566763239932,0.12978757052266648,6.910580132671318e-05,0.40115376553867277,0.40119845542318927,-4.468988451650224e-05,0.8139269406392694,0.8139269406392694,0.0,0.08344718808017838,0.0830358194223359,-2837.5000000000005,3843.506500022025
v28s_boundary_monotonic_time_safe_v001,9b461a310d06c06b55af2e2d,monotonic_tabular_calibration,pure_physics,book_disagreement_gt_10c,361,50,0.1823529176920116,0.18231199359637767,4.092409563391519e-05,0.5557747447569001,0.5565897520751313,-0.0008150073182311424,0.7340720221606648,0.7340720221606648,0.0,0.19851166113932414,0.19857789454284214,-1591.5,2532.1976540902997
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,all_rows,1558,111,0.12316849545223837,0.12413020974731291,-0.0009617142950745367,0.3832706236570643,0.38707369130158936,-0.0038030676445250378,0.8241335044929397,0.8241335044929397,0.0,0.08992411675780118,0.09555439871001806,-4877.800000000002,4152.478436949459
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,near_boundary_abs_d_lte_1,984,98,0.18231402891215873,0.18338581708379112,-0.001071788171632393,0.547996258067948,0.5506608643186336,-0.0026646062506855417,0.733739837398374,0.733739837398374,0.0,0.12798233165101625,0.13613596383089432,-4626.699999999998,3497.8608194700014
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,late_lte_180s,306,30,0.05204176718170989,0.052982038959135294,-0.0009402717774254013,0.1668857830881705,0.17257428562000518,-0.005688502531834672,0.9215686274509803,0.9215686274509803,0.0,0.07932567563678752,0.08794544034673166,-756.4000000000003,820.9300989149004
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,side_yes,779,111,0.12316849545223837,0.12413020974731291,-0.0009617142950745367,0.3832706236570643,0.38707369130158936,-0.0038030676445250378,0.8241335044929397,0.8241335044929397,0.0,0.08992411675780118,0.09555439871001806,-1057.2000000000003,748.8946629202001
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,side_no,779,111,0.12316849545223837,0.12413020974731291,-0.0009617142950745367,0.3832706236570643,0.38707369130158936,-0.0038030676445250378,0.8241335044929397,0.8241335044929397,0.0,0.08992411675780118,0.09555439871001806,-3820.5999999999995,3403.583774029263
v28s_late_dsigma_residual_tilt_v001,b160fbf8edd98b998b089805,fixed_logit_residual,pure_physics,book_disagreement_gt_10c,324,41,0.17736367911258227,0.17983113006849036,-0.002467450955908085,0.5456961893446134,0.5522713348112501,-0.006575145466636734,0.7438271604938271,0.7438271604938271,0.0,0.230304891856216,0.23488995984156172,-1839.3,2185.4072838886996
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,all_rows,2104,195,0.3719319953153969,0.13346673942163315,0.23846525589376374,1.189291481840989,0.40742561881652267,0.7818658630244664,0.501425855513308,0.8003802281368821,-0.29895437262357416,0.34997596930403996,0.07173301810913361,150.80000000000084,41951.83298945997
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,near_boundary_abs_d_lte_1,1364,178,0.3378560692067826,0.19479334475926463,0.143062724447518,1.0419272151462806,0.5751622159753466,0.46676499917093406,0.5373900293255132,0.7023460410557185,-0.16495601173020535,0.2861282434298388,0.09588752495879764,651.1000000000001,24070.91032233002
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,late_lte_180s,406,72,0.3881572163530631,0.04863501137873195,0.33952220497433117,1.400952405062316,0.16186783035130026,1.2390845747110157,0.5197044334975369,0.9310344827586207,-0.41133004926108374,0.38279390095517235,0.08136705102774591,-79.60000000000005,8947.212395479997
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,side_yes,1052,195,0.35727903285109447,0.13346673942163315,0.22381229342946132,1.1244567080495385,0.40742561881652267,0.7170310892330158,0.5161596958174905,0.8003802281368821,-0.2842205323193916,0.36562264800903044,0.07173301810913361,709.1000000000005,39234.354363309976
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,side_no,1052,195,0.3865849577796993,0.13346673942163315,0.25311821835806614,1.2541262556324397,0.40742561881652267,0.8467006368159171,0.4866920152091255,0.8003802281368821,-0.31368821292775667,0.3432081954176806,0.07173301810913361,-558.3000000000003,2717.47862615
v28s_logistic_book_reliability_diag_v001,1612cf1a1fd3d451ff05ccad,regularized_logistic,book_aware_diagnostic,book_disagreement_gt_10c,381,60,0.2219352093737974,0.17496772665318955,0.046967482720607856,0.7070576448581677,0.5380947450019609,0.16896289985620683,0.7112860892388452,0.7480314960629921,-0.03674540682414695,0.15009099935853015,0.1862399445442677,794.3,5298.442839709998
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,all_rows,2104,195,0.4758989785447385,0.13346673942163315,0.3424322391231054,2.3142608193576826,0.40742561881652267,1.90683520054116,0.5085551330798479,0.8003802281368821,-0.29182509505703425,0.4779675891963763,0.07173301810913361,759.1000000000009,51051.432662988176
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,near_boundary_abs_d_lte_1,1364,178,0.45807949906814466,0.19479334475926463,0.26328615430888,2.06732375627712,0.5751622159753466,1.4921615403017734,0.5278592375366569,0.7023460410557185,-0.17448680351906165,0.459063248549501,0.09588752495879764,1007.0000000000002,32016.041404569492
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,late_lte_180s,406,72,0.3559697468670582,0.04863501137873195,0.30733473548832624,1.8820077186887583,0.16186783035130026,1.720139888337458,0.6108374384236454,0.9310344827586207,-0.3201970443349753,0.36348803225437376,0.08136705102774591,196.19999999999987,7884.012231838132
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,side_yes,1052,195,0.47582014487844276,0.13346673942163315,0.3423534054568096,2.3118295445607036,0.40742561881652267,1.904403925744181,0.5085551330798479,0.8003802281368821,-0.29182509505703425,0.47831246075295525,0.07173301810913361,737.9999999999994,49237.16315003495
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,side_no,1052,195,0.47597781221103425,0.13346673942163315,0.34251107278940107,2.3166920941546607,0.40742561881652267,1.909266475338138,0.5085551330798479,0.8003802281368821,-0.29182509505703425,0.47762271763979736,0.07173301810913361,21.09999999999998,1814.2695129532315
v28s_logistic_boundary_physics_v001,a938bf30c29577fc972b5a7d,regularized_logistic,pure_physics,book_disagreement_gt_10c,381,60,0.2785968666266179,0.17496772665318955,0.10362913997342837,1.4097211308173443,0.5380947450019609,0.8716263858153834,0.7112860892388452,0.7480314960629921,-0.03674540682414695,0.27939513856775516,0.1862399445442677,1120.4999999999998,6615.33410721338
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,all_rows,2104,195,0.1699900542900075,0.13346673942163315,0.036523314868374346,0.5128939712888949,0.40742561881652267,0.10546835247237224,0.8079847908745247,0.8003802281368821,0.0076045627376425395,0.1732775278587006,0.07173301810913361,-3774.399999999998,16609.030311162092
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,near_boundary_abs_d_lte_1,1364,178,0.2220237965767183,0.19479334475926463,0.027230451817453677,0.6364712857676224,0.5751622159753466,0.061309069792275794,0.7140762463343109,0.7023460410557185,0.011730205278592365,0.15355459829941345,0.09588752495879764,-2898.7999999999997,9804.838850770006
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,late_lte_180s,406,72,0.0837398715153114,0.04863501137873195,0.03510486013657945,0.29036822516593214,0.16186783035130026,0.12850039481463188,0.9408866995073891,0.9310344827586207,0.009852216748768461,0.16874154016254678,0.08136705102774591,-716.5000000000006,3257.098169921901
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,side_yes,1052,195,0.1699900542900075,0.13346673942163315,0.036523314868374346,0.5128939712888949,0.40742561881652267,0.10546835247237224,0.8079847908745247,0.8003802281368821,0.0076045627376425395,0.1732775278587006,0.07173301810913361,-1363.5000000000002,10158.929143889916
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,side_no,1052,195,0.1699900542900075,0.13346673942163315,0.036523314868374346,0.5128939712888949,0.40742561881652267,0.10546835247237224,0.8079847908745247,0.8003802281368821,0.0076045627376425395,0.1732775278587006,0.07173301810913361,-2410.899999999998,6450.101167272196
v28s_logistic_calibration_v001,065072105a4f4792a473a741,regularized_logistic,pure_physics,book_disagreement_gt_10c,381,60,0.1947958886957867,0.17496772665318955,0.01982816204259716,0.5801732575704096,0.5380947450019609,0.042078512568448745,0.8267716535433071,0.7480314960629921,0.07874015748031493,0.23857849388713911,0.1862399445442677,-1189.7000000000003,3439.01117388
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,all_rows,2104,195,0.1391230223920663,0.13346673942163315,0.005656282970433163,0.4351752496476201,0.40742561881652267,0.027749630831097438,0.8003802281368821,0.8003802281368821,0.0,0.10350156555922052,0.07173301810913361,-3807.2999999999975,8355.430238680001
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,near_boundary_abs_d_lte_1,1364,178,0.1959612558604757,0.19479334475926463,0.001167911101211061,0.5782833308221222,0.5751622159753466,0.0031211148467756855,0.7023460410557185,0.7023460410557185,0.0,0.09905289687096773,0.09588752495879764,-3452.7999999999993,4820.059344570004
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,late_lte_180s,406,72,0.06000052694993925,0.04863501137873195,0.011365515571207303,0.2307102579045315,0.16186783035130026,0.06884242755323125,0.9310344827586207,0.9310344827586207,0.0,0.13336706816403943,0.08136705102774591,-842.4000000000015,2359.1309259900027
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,side_yes,1052,195,0.1391230223920663,0.13346673942163315,0.005656282970433163,0.4351752496476201,0.40742561881652267,0.027749630831097438,0.8003802281368821,0.8003802281368821,0.0,0.10350156555922052,0.07173301810913361,-1402.7000000000003,4097.425882920002
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,side_no,1052,195,0.1391230223920663,0.13346673942163315,0.005656282970433163,0.4351752496476201,0.40742561881652267,0.027749630831097438,0.8003802281368821,0.8003802281368821,0.0,0.10350156555922052,0.07173301810913361,-2404.599999999997,4258.004355760001
v28s_monotonic_tabular_v001,f01a85e32739def20cd8c3b0,monotonic_tabular_calibration,pure_physics,book_disagreement_gt_10c,381,60,0.17690134173540217,0.17496772665318955,0.0019336150822126252,0.5364181676010696,0.5380947450019609,-0.0016765774008912215,0.7480314960629921,0.7480314960629921,0.0,0.1857092565892389,0.1862399445442677,-1171.7000000000003,2609.793392769999
