policy,source,market,ts_wall,side,reason,p_side,ask_cents,ask_prob,v28_minus_ask_prob,edge_cents,raw_edge_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,eligible_depth,recross_hazard_score,h6_recross_hazard_high,book_age_ms,btc_age_ms,actionable,status,result,side_won,gross_cents,hold_gross_cents
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052300-00,2026-05-06T02:52:05.427121+00:00,yes,approved_entry,0.918967,85.0,0.85,0.068967,3.896671,5.896671,474.591,82.766141,1.210157,90.0,0.17919533255862446,False,656.0,0.0,True,finalized,yes,True,28,30
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052315-15,2026-05-06T03:07:10.446683+00:00,yes,approved_entry,0.884999,81.0,0.81,0.07499899999999993,3.999851,5.999851,469.554,83.314172,1.030077,41.68,0.21482441758698537,False,718.0,0.0,True,finalized,yes,True,-38,38
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060045-45,2026-05-06T04:35:52.822002+00:00,no,approved_entry,0.85093,79.0,0.79,0.06092999999999993,2.593011,4.593011,547.179,87.429279,0.873163,131.0,0.28470197519819407,True,531.0,141.0,True,finalized,no,True,-10,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060100-00,2026-05-06T04:52:00.792111+00:00,no,approved_entry,0.867914,78.0,0.78,0.08791399999999994,5.29135,7.29135,479.218,79.455366,0.923286,95.03,0.23029818959354578,False,922.0,16.0,True,finalized,no,True,-4,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060145-45,2026-05-06T05:35:37.565607+00:00,no,approved_entry,0.935752,88.0,0.88,0.055752000000000024,2.575198,4.575198,562.435,79.360876,1.258933,1100.0,0.17814503082894895,False,797.0,218.0,True,finalized,no,True,22,24
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060200-00,2026-05-06T05:48:08.232637+00:00,yes,approved_entry,0.858683,80.0,0.8,0.05868299999999993,2.368332,4.368332,711.768,91.775185,0.847506,50.0,0.3497083999828257,True,609.0,15.0,True,finalized,yes,True,-12,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060215-15,2026-05-06T06:01:30.148317+00:00,yes,approved_entry,0.869074,77.0,0.77,0.099074,6.407435,8.407435,809.853,96.426352,0.921532,8.0,0.3639664202953999,True,812.0,16.0,True,finalized,no,False,-16,-154
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060230-30,2026-05-06T06:24:48.564514+00:00,yes,approved_entry,0.890973,84.0,0.84,0.050973000000000046,2.097279,4.097279,311.448,56.916598,0.996194,50.0,0.1236428180917944,False,62.0,234.0,True,finalized,yes,True,-20,32
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060245-45,2026-05-06T06:37:19.508201+00:00,yes,approved_entry,0.857529,80.0,0.8,0.05752899999999994,2.252876,4.252876,460.502,67.412411,0.854887,40.0,0.2050981102340683,False,235.0,16.0,True,finalized,yes,True,-8,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060300-00,2026-05-06T06:48:57.418644+00:00,yes,approved_entry,0.866164,81.0,0.81,0.05616399999999999,2.116434,4.116434,662.583,81.545408,0.882698,40.0,0.28943265545756386,True,813.0,0.0,True,finalized,yes,True,-14,38
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060315-15,2026-05-06T07:09:07.548710+00:00,yes,approved_entry,0.910009,86.0,0.86,0.05000899999999997,2.000939,4.000939,352.461,58.82295,1.083761,4.0,0.12454022861601939,False,266.0,0.0,True,finalized,yes,True,26,28
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060330-30,2026-05-06T07:23:07.902567+00:00,yes,approved_entry,0.908265,79.0,0.79,0.11826499999999995,8.32655,10.32655,412.099,63.974662,1.072456,2212.09,0.14812412666257624,False,641.0,469.0,True,finalized,yes,True,-52,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060345-45,2026-05-06T07:33:39.943177+00:00,no,approved_entry,0.893931,78.0,0.78,0.113931,7.893144,9.893144,680.06,87.473403,1.004534,62.32,0.2784612767640184,True,781.0,31.0,True,finalized,no,True,34,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060445-45,2026-05-06T08:33:40.109299+00:00,yes,approved_entry,0.951245,90.0,0.9,0.051244999999999985,2.124484,4.124484,679.892,84.84819,1.384119,684.42,0.18476769845807034,False,906.0,0.0,True,finalized,yes,True,18,20
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060500-00,2026-05-06T08:50:25.686133+00:00,yes,approved_entry,0.904525,79.0,0.79,0.11452499999999999,7.952498,9.952498,574.324,82.772638,1.081154,360.0,0.22428736467274224,False,797.0,0.0,True,finalized,yes,True,42,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060515-15,2026-05-06T09:02:01.771447+00:00,no,approved_entry,0.882737,79.0,0.79,0.09273699999999996,5.773652,7.773652,778.232,112.071162,0.970009,83.0,0.3950550396110429,True,531.0,0.0,True,finalized,no,True,-26,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060530-30,2026-05-06T09:21:23.562108+00:00,no,approved_entry,0.878245,78.0,0.78,0.09824500000000003,6.324454,8.324454,516.449,88.575995,0.974192,405.73,0.2532924795100611,True,0.0,15.0,True,finalized,no,True,34,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060545-45,2026-05-06T09:32:15.173806+00:00,yes,approved_entry,0.960233,90.0,0.9,0.06023299999999998,3.023343,5.023343,764.836,96.698956,1.49226,65.0,0.2004492371382108,False,547.0,16.0,True,finalized,yes,True,20,20
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060600-00,2026-05-06T09:45:48.010869+00:00,no,approved_entry,0.870169,75.0,0.75,0.12016899999999997,8.516936,10.516936,851.99,108.984225,0.936833,2050.0,0.41552602726017807,True,890.0,0.0,True,finalized,no,True,12,50
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060615-15,2026-05-06T10:04:35.124553+00:00,yes,approved_entry,0.85204,75.0,0.75,0.10204000000000002,6.704033,8.704033,624.888,95.837283,0.888798,1003.0,0.3283327949656283,True,234.0,0.0,True,finalized,yes,True,-30,50
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060630-30,2026-05-06T10:20:56.350151+00:00,yes,approved_entry,0.852499,79.0,0.79,0.06249899999999997,2.749855,4.749855,543.652,85.663234,0.8949,9.0,0.2720718279701733,True,266.0,0.0,True,finalized,yes,True,-12,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060645-45,2026-05-06T10:34:24.627024+00:00,yes,approved_entry,0.875253,82.0,0.82,0.055253,2.025331,4.025331,635.374,96.886241,0.980738,384.0,0.30529976479941184,True,828.0,0.0,True,finalized,yes,True,-16,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060700-00,2026-05-06T10:49:34.845804+00:00,no,approved_entry,0.890574,84.0,0.84,0.05057400000000001,2.05744,4.05744,625.155,97.205676,1.04212,2717.89,0.2857440916011646,True,625.0,0.0,True,finalized,yes,False,-8,-168
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060715-15,2026-05-06T11:04:13.932587+00:00,yes,approved_entry,0.872115,81.0,0.81,0.06211499999999992,2.711512,4.711512,646.069,103.247452,0.965012,154.34,0.33327148213923247,True,78.0,0.0,True,finalized,yes,True,24,38
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060730-30,2026-05-06T11:17:21.814934+00:00,yes,approved_entry,0.899565,84.0,0.84,0.05956499999999998,2.95653,4.95653,758.195,108.093945,1.086416,50.0,0.3347696641718883,True,937.0,297.0,True,finalized,yes,True,32,32
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060745-45,2026-05-06T11:36:48.678566+00:00,yes,approved_entry,0.851843,69.0,0.69,0.16184300000000007,12.684309,14.684309,491.325,99.908025,0.889718,578.57,0.3032242515016857,True,453.0,16.0,True,finalized,no,False,-24,-138
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060800-00,2026-05-06T11:55:23.357323+00:00,yes,approved_entry,0.85,79.0,0.79,0.05999999999999994,2.500023,4.500023,276.653,71.231918,0.843583,99.39,0.1698860167511377,False,469.0,360.0,True,finalized,yes,True,-18,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060815-15,2026-05-06T12:03:25.667738+00:00,no,approved_entry,0.860153,79.0,0.79,0.07015299999999991,3.515349,5.515349,694.343,110.693222,0.900687,204.67,0.39502393499448535,True,203.0,0.0,True,finalized,no,True,42,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060830-30,2026-05-06T12:20:52.620287+00:00,yes,approved_entry,0.873796,76.0,0.76,0.11379600000000001,7.879562,9.879562,547.393,101.970105,0.951357,967.0,0.3071369986810028,True,812.0,0.0,True,finalized,yes,True,48,48
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060900-00,2026-05-06T12:47:36.190511+00:00,yes,approved_entry,0.856054,78.0,0.78,0.07605399999999995,4.105411,6.105411,743.816,111.415066,0.872054,500.0,0.42347442313737094,True,359.0,0.0,True,finalized,no,False,-10,-156
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060915-15,2026-05-06T13:01:03.021665+00:00,no,approved_entry,0.850409,70.0,0.7,0.15040900000000001,11.540902,13.540902,836.982,128.899563,0.894029,4953.55,0.5084126970275672,True,672.0,0.0,True,finalized,no,True,0,60
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060930-30,2026-05-06T13:20:00.426065+00:00,no,approved_entry,0.866835,76.0,0.76,0.10683500000000001,7.183483,9.183483,599.586,127.632912,0.920139,227.0,0.41510300263167554,True,781.0,0.0,True,finalized,no,True,-20,48
baseline_v28_approved,approved_entry,KXBTC15M-26MAY060945-45,2026-05-06T13:30:42.918976+00:00,no,approved_entry,0.854149,59.0,0.59,0.2641490000000001,22.414906,24.414906,857.092,149.202987,0.906349,8757.49,0.5882306018534502,True,297.0,16.0,True,finalized,no,True,-16,82
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061000-00,2026-05-06T13:46:04.291263+00:00,no,approved_entry,0.854748,65.0,0.65,0.20474799999999993,16.474759,18.474759,835.709,150.536104,0.901711,107.0,0.5866639910305327,True,672.0,0.0,True,finalized,no,True,70,70
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061015-15,2026-05-06T14:01:01.694849+00:00,no,approved_entry,0.859312,68.0,0.68,0.17931199999999992,13.931175,15.931175,838.309,154.496323,0.912125,269.86,0.5814886127535356,True,703.0,0.0,True,finalized,no,True,-6,64
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061030-30,2026-05-06T14:21:21.955274+00:00,yes,approved_entry,0.851204,78.0,0.78,0.07120399999999993,3.620359,5.620359,518.045,129.182932,0.866678,221.3,0.4119781212705184,True,906.0,0.0,True,finalized,yes,True,-16,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061045-45,2026-05-06T14:36:03.487946+00:00,yes,approved_entry,0.861569,80.0,0.8,0.061568999999999985,2.656943,4.656943,536.526,132.521908,0.917282,185.0,0.4088757000780344,True,328.0,94.0,True,finalized,yes,True,-6,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061100-00,2026-05-06T14:49:02.524922+00:00,no,approved_entry,0.880408,83.0,0.83,0.05040800000000001,2.040808,4.040808,657.485,137.175264,0.975249,527.42,0.4421322714023326,True,453.0,0.0,True,finalized,no,True,-40,34
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061130-30,2026-05-06T15:16:07.754622+00:00,yes,approved_entry,0.877418,80.0,0.8,0.07741799999999999,4.241773,6.241773,832.26,151.382846,0.989346,133.26,0.5363298971132572,True,235.0,78.0,True,finalized,yes,True,40,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061200-00,2026-05-06T15:45:31.352501+00:00,yes,approved_entry,0.876246,82.0,0.82,0.05624600000000002,2.124613,4.124613,868.655,154.679749,0.980704,126.0,0.5526871033269218,True,0.0,0.0,True,finalized,yes,True,16,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061300-00,2026-05-06T16:51:53.747448+00:00,yes,approved_entry,0.860906,80.0,0.8,0.060905999999999905,2.590566,4.590566,486.266,102.313366,0.913273,1412.0,0.30173010638435865,True,360.0,16.0,True,finalized,no,False,-30,-160
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061400-00,2026-05-06T17:56:31.054630+00:00,no,approved_entry,0.97364,89.0,0.89,0.08363999999999994,5.364022,7.364022,208.945,65.953573,1.815216,1564.77,0.05173622929495089,False,766.0,0.0,True,finalized,no,True,-10,22
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061415-15,2026-05-06T18:13:31.826504+00:00,no,approved_entry,0.936538,88.0,0.88,0.05653799999999998,2.653786,4.653786,88.182,42.787954,1.31322,100.0,0.036021852060430126,False,860.0,172.0,True,finalized,no,True,24,24
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061445-45,2026-05-06T18:33:05.291432+00:00,no,approved_entry,0.931168,88.0,0.88,0.05116799999999999,2.116797,4.116797,714.71,123.96563,1.282896,55.0,0.30626002441386213,True,687.0,16.0,True,finalized,no,True,-22,24
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061545-45,2026-05-06T19:39:22.225110+00:00,yes,approved_entry,0.894983,84.0,0.84,0.054983000000000004,2.498288,4.498288,337.776,71.803,1.033104,16.0,0.15655407010504802,False,781.0,0.0,True,finalized,yes,True,22,32
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061615-15,2026-05-06T20:04:49.362032+00:00,yes,approved_entry,0.957239,90.0,0.9,0.05723899999999993,2.723898,4.723898,610.641,90.658184,1.526062,435.42,0.16233734364968389,False,563.0,0.0,True,finalized,yes,True,8,20
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061645-45,2026-05-06T20:30:50.142599+00:00,no,approved_entry,0.855564,76.0,0.76,0.09556399999999998,6.056402,8.056402,849.86,105.062382,0.899418,27.93,0.41532436376612036,True,375.0,953.0,True,finalized,no,True,48,48
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061800-00,2026-05-06T21:48:44.171608+00:00,no,approved_entry,0.897587,67.0,0.67,0.22758699999999998,18.758707,20.758707,675.841,83.420093,1.041596,132.0,0.2551010740832833,True,672.0,16.0,True,finalized,no,True,-86,66
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061815-15,2026-05-06T22:05:33.833890+00:00,no,approved_entry,0.948944,84.0,0.84,0.10894400000000004,7.894387,9.894387,566.176,76.887084,1.420915,60.0,0.14726933295332775,False,704.0,0.0,True,finalized,no,True,24,32
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061830-30,2026-05-06T22:24:05.666236+00:00,no,approved_entry,0.94737,89.0,0.89,0.05737000000000003,2.737019,4.737019,354.337,60.063508,1.390029,55.0,0.09386761131456846,False,437.0,187.0,True,finalized,no,True,20,22
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061900-00,2026-05-06T22:55:11.351814+00:00,yes,approved_entry,0.955382,90.0,0.9,0.05538199999999993,2.5382,4.5382,288.66,52.39474,1.451672,132.0,0.06948748597263207,False,16.0,188.0,True,finalized,yes,True,20,20
baseline_v28_approved,approved_entry,KXBTC15M-26MAY061915-15,2026-05-06T23:03:05.391564+00:00,no,approved_entry,0.923342,87.0,0.87,0.053342,2.334214,4.334214,714.621,83.126581,1.171707,185.54,0.2295042151020138,False,703.0,31.0,True,finalized,no,True,24,26
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062015-15,2026-05-07T00:10:50.463746+00:00,no,approved_entry,0.871622,42.0,0.42,0.451622,41.162189,43.162189,249.54,44.824649,0.91646,108.0,0.09439569910943164,False,266.0,15.0,True,finalized,no,True,-60,116
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062030-30,2026-05-07T00:19:56.465037+00:00,no,approved_entry,0.874426,67.0,0.67,0.204426,16.442646,18.442646,603.539,69.962658,0.939215,192.08,0.223976175011057,False,313.0,15.0,True,finalized,no,True,32,66
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062045-45,2026-05-07T00:34:48.726250+00:00,no,approved_entry,0.925277,80.0,0.8,0.12527699999999997,9.027718,11.027718,611.277,73.762938,1.2166,182.48,0.18008324702870745,False,500.0,0.0,True,finalized,no,True,24,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062100-00,2026-05-07T00:48:37.529673+00:00,yes,approved_entry,0.909296,83.0,0.83,0.07929600000000003,4.929645,6.929645,682.483,81.601676,1.100713,1091.93,0.23636880575375532,False,547.0,0.0,True,finalized,yes,True,-4,34
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062115-15,2026-05-07T01:02:05.343442+00:00,yes,approved_entry,0.942571,73.0,0.73,0.21257100000000007,17.757121,19.757121,774.658,95.357648,1.308547,1252.35,0.23905318791075164,False,500.0,78.0,True,finalized,yes,True,-12,54
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062130-30,2026-05-07T01:19:31.919768+00:00,no,approved_entry,0.887777,76.0,0.76,0.12777700000000003,9.277671,11.277671,628.084,98.793384,0.999156,24.0,0.3038697963028121,True,297.0,0.0,True,finalized,yes,False,-32,-152
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062215-15,2026-05-07T02:02:18.109889+00:00,no,approved_entry,0.889241,65.0,0.65,0.23924099999999993,19.92409,21.92409,761.901,96.701078,1.024084,548.68,0.3195253376053145,True,750.0,0.0,True,finalized,no,True,14,70
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062245-45,2026-05-07T02:33:18.249412+00:00,yes,approved_entry,0.949793,86.0,0.86,0.08979300000000001,5.979256,7.979256,701.753,100.035973,1.416091,2329.71,0.2143515250453267,False,812.0,0.0,True,finalized,yes,True,8,28
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062300-00,2026-05-07T02:47:13.718042+00:00,yes,approved_entry,0.923042,87.0,0.87,0.053042000000000034,2.304222,4.304222,766.284,103.911432,1.169169,1125.39,0.2978333379290589,True,578.0,0.0,True,finalized,yes,True,16,26
baseline_v28_approved,approved_entry,KXBTC15M-26MAY062315-15,2026-05-07T03:07:00.520511+00:00,no,approved_entry,0.91617,84.0,0.84,0.07617000000000007,4.616959,6.616959,479.481,81.898993,1.139452,54.0,0.19128692789448937,False,562.0,0.0,True,finalized,no,True,6,32
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070000-00,2026-05-07T03:53:32.799784+00:00,no,approved_entry,0.863962,78.0,0.78,0.08396199999999998,4.896244,6.896244,387.203,72.906016,0.906372,60.35,0.1931875391606329,False,703.0,16.0,True,finalized,no,True,2,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070015-15,2026-05-07T04:10:20.371309+00:00,no,approved_entry,0.963659,70.0,0.7,0.2636590000000001,22.865923,24.865923,279.632,61.940476,1.543579,522.86,0.07375286170271013,False,766.0,0.0,True,finalized,yes,False,-2,-140
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070030-30,2026-05-07T04:22:22.987474+00:00,yes,approved_entry,0.924288,82.0,0.82,0.10428800000000005,6.928791,8.928791,457.016,79.866432,1.178593,236.0,0.1751266718605662,False,547.0,0.0,True,finalized,yes,True,30,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070115-15,2026-05-07T05:03:36.061580+00:00,yes,approved_entry,0.879857,82.0,0.82,0.05985700000000005,2.485652,4.485652,683.939,94.791324,0.944285,55.0,0.3214091633389714,True,657.0,32.0,True,finalized,yes,True,0,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070545-45,2026-05-07T09:39:08.515673+00:00,no,approved_entry,0.925171,82.0,0.82,0.10517100000000001,7.017143,9.017143,351.487,66.690641,1.204817,510.0,0.12492601757355813,False,203.0,0.0,True,finalized,no,True,18,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070645-45,2026-05-07T10:31:23.542448+00:00,yes,approved_entry,0.895399,81.0,0.81,0.08539899999999989,5.039895,7.039895,816.468,106.686678,1.013529,1405.25,0.36879792565874936,True,16.0,0.0,True,finalized,yes,True,38,38
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070745-45,2026-05-07T11:37:05.530271+00:00,yes,approved_entry,0.903807,68.0,0.68,0.22380699999999998,18.380737,20.380737,474.481,80.242802,1.081343,1155.7,0.1975936328082862,False,609.0,16.0,True,finalized,yes,True,34,64
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070815-15,2026-05-07T12:04:59.759684+00:00,yes,approved_entry,0.950799,90.0,0.9,0.05079899999999993,2.079863,4.079863,600.244,91.905021,1.397312,665.0,0.1855824939071499,False,390.0,62.0,True,finalized,yes,True,2,20
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070830-30,2026-05-07T12:20:30.562448+00:00,no,approved_entry,0.875926,82.0,0.82,0.05592600000000003,2.09255,4.09255,569.448,91.61227,0.951073,1230.2,0.2815228625858157,True,282.0,16.0,True,finalized,no,True,18,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070915-15,2026-05-07T13:05:15.668521+00:00,no,approved_entry,0.876673,77.0,0.77,0.10667300000000002,7.167327,9.167327,584.336,91.174412,0.951089,10.0,0.28381172517459047,True,0.0,0.0,True,finalized,no,True,46,46
baseline_v28_approved,approved_entry,KXBTC15M-26MAY070930-30,2026-05-07T13:18:34.086601+00:00,yes,approved_entry,0.855936,80.0,0.8,0.055935999999999986,2.09357,4.09357,685.928,103.619489,0.878792,146.03,0.37566863848192883,True,297.0,15.0,True,finalized,yes,True,34,40
