variant,source,market,side,reason,p,outcome,brier,raw_v28_p,book_p,v28_minus_book_p,edge_cents,recross_hazard_score,gross_cents
book_ask_prior,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.82,0.0,0.6723999999999999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8631632499999999,0.0,0.7450507961505624,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8487754999999999,0.0,0.7204198494002498,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
recross_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8545305999999999,0.0,0.7302225463363599,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8717959,0.0,0.7600280912568099,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,0.877551,0.82,0.05755100000000002,2.255072,0.3259898292285944,-28.0
v28_raw,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.880552,0.0,0.775371824704,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
book_ask_prior,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.69,0.0,0.4760999999999999,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
fixed_shrink_75_v28_25_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.832914,0.0,0.693745731396,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
fixed_shrink_50_v28_50_book,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.785276,0.0,0.6166583961759999,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
recross_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8424415999999999,0.0,0.7097078494105599,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
edge_confidence_shrink,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.8233864,0.0,0.67796516370496,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
book_when_v28_coinflip,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.880552,0.0,0.775371824704,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
book_when_v28_coinflip_else_edge,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.880552,0.0,0.775371824704,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
large_disagreement_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.7566932,0.0,0.5725845989262399,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
v28_premium_book_anchor,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.7471656,0.0,0.55825643382336,0.880552,0.69,0.19055200000000005,15.555165,0.07487322238906284,-48.0
v28_raw,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.868759,0.0,0.7547422000809999,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
book_ask_prior,entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.4,0.0,0.16000000000000003,0.868759,0.4,0.4687589999999999,42.87586,0.05680344649000784,-22.0
