dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,logit60_edge15_sec600,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,13,0.65,12,1,0.9230769230769231,221.0,0.2257405515832482,71.0,True,False
v21,logit60_edge15_sec600,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,11,0.55,10,1,0.9090909090909091,181.0,0.221001221001221,71.0,True,False
v21,logit60_edge15_sec600,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,11,0.55,7,4,0.6363636363636364,-112.0,-0.13793103448275862,72.0,False,False
v21,logit60_edge15_sec600,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,9,0.45,8,1,0.8888888888888888,123.0,0.18168389955686853,70.0,True,False
v21,logit60_edge15_sec600,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,13,0.65,10,3,0.7692307692307693,22.0,0.022494887525562373,71.0,True,False
v21,logit60_edge15_sec600,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,0,0.0,0,0,,0.0,,,False,False
v21,logit65_edge10_sec600,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,11,0.55,11,0,1.0,228.0,0.26146788990825687,76.0,True,False
v21,logit65_edge10_sec600,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,15,0.75,9,6,0.6,-280.0,-0.23728813559322035,75.0,False,False
v21,logit65_edge10_sec600,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,7,0.35,6,1,0.8571428571428571,48.0,0.08695652173913043,75.0,True,False
v21,logit65_edge10_sec600,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,8,0.4,7,1,0.875,66.0,0.10410094637223975,76.0,True,False
v21,logit65_edge10_sec600,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,8,0.4,7,1,0.875,113.0,0.19250425894378195,71.5,True,False
v21,logit65_edge10_sec600,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,12,0.6,11,1,0.9166666666666666,154.0,0.16279069767441862,77.0,True,False
v21,logit65_edge10_sec600,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,9,0.45,9,0,1.0,207.0,0.2987012987012987,75.0,True,False
v21,logit65_edge10_sec600,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,9,0.45,8,1,0.8888888888888888,112.0,0.16279069767441862,72.0,True,False
v21,logit65_edge10_sec600,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,9,0.45,6,3,0.6666666666666666,-97.0,-0.13916786226685796,75.0,False,False
v21,logit65_edge10_sec600,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,8,0.4,7,1,0.875,81.0,0.1308562197092084,74.5,True,False
v21,logit65_edge10_sec600,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,7,0.35,7,0,1.0,137.0,0.2433392539964476,80.0,True,False
v21,logit65_edge10_sec600,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,0,0.0,0,0,,0.0,,,False,False
