dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,5,20,20,1.0,12,8,0.6,-152.0,-0.11242603550295859,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,7,20,19,0.95,14,5,0.7368421052631579,102.0,0.07858243451463791,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,8,20,20,1.0,14,6,0.7,74.0,0.05580693815987934,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,9,20,19,0.95,15,4,0.7894736842105263,207.0,0.16009280742459397,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,10,20,20,1.0,13,7,0.65,-89.0,-0.06407487401007919,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,11,20,20,1.0,13,7,0.65,-76.0,-0.055232558139534885,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,12,20,20,1.0,16,4,0.8,242.0,0.17820324005891017,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,13,20,20,1.0,16,4,0.8,155.0,0.10726643598615918,True,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,14,20,20,1.0,11,9,0.55,-328.0,-0.22969187675070027,False,True,0
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,15,7,7,1.0,5,2,0.7142857142857143,10.0,0.02040816326530612,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,0,20,19,0.95,17,2,0.8947368421052632,313.0,0.22566690699351116,True,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,1,20,20,1.0,12,8,0.6,-284.0,-0.19137466307277629,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,2,20,20,1.0,13,7,0.65,-131.0,-0.09154437456324249,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,3,20,20,1.0,13,7,0.65,-89.0,-0.06407487401007919,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,4,20,20,1.0,13,7,0.65,-133.0,-0.0928122819260293,False,True,0
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.75,5,20,20,1.0,14,6,0.7,-10.0,-0.0070921985815602835,False,True,0
