model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,exit_surface,exit_probability_floor,exit_min_hold_seconds,exit_margin_ceiling_sigma15,exit_margin_gate_side,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob56_noside_marginlte0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,21.1,332.92,0.06337858945091913,6.6,14.500000000000002,0.04355400696864112,10.400000000000002,9.480000000000002,174,31,159,46,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.7,106.74,0.08150646430578977,2.38,6.319999999999999,0.05920929361064268,4.9799999999999995,4.659999999999999,54,13,51,16,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.36,99.14,0.04397821262860602,2.15,2.2100000000000004,0.02229170869477507,0.9900000000000004,0.6500000000000004,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,34.16,538.8,0.06340014847809948,11.13,23.029999999999994,0.04274313288789903,16.369999999999994,14.789999999999994,277,56,254,79,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.36,2.2100000000000004,0.6500000000000004,True,True,True,True,v55,0.56,15.0,0.25,no,0.9900000000000004,True,5,5,38.0,8,-160.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob56_yesside_marginlte0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.48,332.92,0.04950138171332452,6.73,9.75,0.02928631503063799,5.65,4.630000000000001,174,31,154,51,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.1,106.74,0.06651676972081694,2.44,4.66,0.043657485478733375,3.3200000000000003,2.9600000000000004,54,13,49,18,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.22,99.14,0.042566068186403065,2.17,2.05,0.02067782933225741,0.8299999999999998,0.46999999999999986,49,12,43,18,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,27.8,538.8,0.051596139569413516,11.34,16.46,0.030549368968077212,9.8,8.06,277,56,246,87,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.22,2.05,0.46999999999999986,True,True,True,True,v55,0.56,15.0,0.25,yes,0.8299999999999998,True,4,5,-120.0,6,-194.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob56_marginlte0p5,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,19.0,332.92,0.057070767752012495,6.69,12.309999999999999,0.03697585005406704,8.209999999999999,7.249999999999999,174,31,157,48,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.32,106.74,0.06857785272625071,2.42,4.9,0.0459059396664793,3.5600000000000005,3.2200000000000006,54,13,50,17,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.06,99.14,0.04095218882388541,2.15,1.9099999999999997,0.019265684890054466,0.6899999999999997,0.3499999999999997,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.38,538.8,0.05638455827765405,11.26,19.119999999999997,0.03548626577579807,12.459999999999997,10.819999999999997,277,56,251,82,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.06,1.9099999999999997,0.3499999999999997,True,True,True,True,v55,0.56,15.0,0.5,,0.6899999999999997,True,4,5,-138.0,7,-179.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob56_noside_marginlte0p5,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,18.92,332.92,0.05683046978253034,6.69,12.23,0.036735552084584885,8.13,7.170000000000001,174,31,157,48,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.42,106.74,0.0695147086378115,2.42,5.0,0.0468427955780401,3.66,3.3200000000000003,54,13,50,17,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.36,99.14,0.04397821262860602,2.15,2.2100000000000004,0.02229170869477507,0.9900000000000004,0.6500000000000004,49,12,44,17,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,30.7,538.8,0.056978470675575356,11.26,19.439999999999998,0.03608017817371938,12.779999999999998,11.139999999999997,277,56,251,82,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.36,2.2100000000000004,0.6500000000000004,True,True,True,True,v55,0.56,15.0,0.5,no,0.9900000000000004,True,4,5,-140.0,7,-179.0
v55_entry__v55_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob56_yesside_marginlte0p5,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.96,332.92,0.05094316953021747,6.74,10.22,0.030698065601345668,6.120000000000001,5.100000000000001,174,31,154,51,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.1,106.74,0.06651676972081694,2.44,4.66,0.043657485478733375,3.3200000000000003,2.9600000000000004,54,13,49,18,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,4.22,99.14,0.042566068186403065,2.17,2.05,0.02067782933225741,0.8299999999999998,0.46999999999999986,49,12,43,18,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.28,538.8,0.05248700816629548,11.35,16.93,0.03142167780252413,10.27,8.53,277,56,246,87,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,4.22,2.05,0.46999999999999986,True,True,True,True,v55,0.56,15.0,0.5,yes,0.8299999999999998,True,4,5,-120.0,7,-194.0
v55_entry__v66_bal_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.46,332.92,0.04944130722095398,6.6,9.860000000000001,0.02961672473867596,5.760000000000002,4.820000000000002,174,31,158,47,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,8.6,106.74,0.08056960839422897,2.32,6.279999999999999,0.05883455124601836,4.9399999999999995,4.64,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,3.82,99.14,0.03853136978010893,2.09,1.73,0.01745007060722211,0.51,0.19,49,12,45,16,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,28.88,538.8,0.05360059391239792,11.01,17.869999999999997,0.033166295471417966,11.209999999999997,9.649999999999997,277,56,255,78,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,3.82,1.73,0.19,True,True,True,True,v66_bal,0.5,15.0,,,0.51,True,3,5,-84.0,7,-198.0
v55_entry__v66_bal_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,16.86,332.92,0.05064279706836477,5.77,11.09,0.03331130601946413,6.99,6.41,174,31,176,29,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,3.62,106.74,0.03391418399850103,2.12,1.5,0.014052838673412029,0.15999999999999992,-0.06000000000000008,54,13,56,11,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,-1.82,99.14,-0.01835787774863829,1.67,-3.49,-0.035202743594916285,-4.71,-4.83,49,12,55,6,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,18.66,538.8,0.0346325167037862,9.56,9.1,0.016889383815887157,2.4399999999999995,1.5199999999999996,277,56,287,46,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,-1.82,-3.49,-4.83,False,False,False,True,v66_bal,0.5,15.0,-0.25,,-4.71,False,2,5,-262.0,6,-468.0
v55_entry__v66_bal_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_noside_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,19.1,332.92,0.0573711402138652,5.99,13.110000000000001,0.03937882974888862,9.010000000000002,8.370000000000001,174,31,173,32,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,5.4,106.74,0.05059021922428331,2.16,3.24,0.030354131534569985,1.9000000000000001,1.6800000000000002,54,13,56,11,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,0.22,99.14,0.0022190841234617713,1.75,-1.53,-0.015432721404075046,-2.75,-2.89,49,12,54,7,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,24.72,538.8,0.04587973273942094,9.9,14.819999999999999,0.02750556792873051,8.159999999999998,7.159999999999998,277,56,283,50,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,0.22,-1.53,-2.89,True,False,False,True,v66_bal,0.5,15.0,-0.25,no,-2.75,False,4,5,-262.0,6,-390.0
v55_entry__v66_bal_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_yesside_marginltem0p25,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,14.22,332.92,0.04271296407545356,6.38,7.840000000000001,0.023549201009251473,3.740000000000001,2.860000000000001,174,31,161,44,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,6.82,106.74,0.0638935731684467,2.28,4.540000000000001,0.04253325838486042,3.200000000000001,2.9000000000000012,54,13,52,15,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.78,99.14,0.017954407908008875,2.01,-0.22999999999999976,-0.002319951583619122,-1.4499999999999997,-1.7499999999999998,49,12,46,15,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,22.82,538.8,0.04235337787676318,10.67,12.15,0.022550111358574612,5.49,4.01,277,56,259,74,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.78,-0.22999999999999976,-1.7499999999999998,True,False,False,True,v66_bal,0.5,15.0,-0.25,yes,-1.4499999999999997,False,2,5,-84.0,6,-316.0
v55_entry__v66_bal_margin_exit,edge0_ask100_p0.65_stc0-600,hold15_prob50_marginlte0p0,0.0,100.0,0.65,600.0,0.0,223,205,0.9192825112107623,20.56,332.92,0.061756578156914564,6.25,14.309999999999999,0.042983299291120984,10.209999999999999,9.43,174,31,166,39,81.2,3.188820742138968,0.8438882074213896,419.12041463414636,74,67,0.9054054054054054,7.94,106.74,0.07438635937792769,2.28,5.66,0.0530260445943414,4.32,4.04,54,13,53,14,79.65671641791045,2.9415902248011876,0.8259830664271163,504.48513432835824,75,61,0.8133333333333334,1.1,99.14,0.011095420617308857,1.97,-0.8699999999999999,-0.00877546903368973,-2.09,-2.3499999999999996,49,12,48,13,81.26229508196721,3.1480618005497627,0.8441035688251697,423.7884918032787,372,333,0.8951612903225806,29.6,538.8,0.05493689680772087,10.5,19.1,0.035449146250927994,12.440000000000001,11.120000000000001,277,56,267,66,80.90090090090091,3.131611312413524,0.8403251221331443,437.151012012012,0.8133333333333334,1.1,-0.8699999999999999,-2.3499999999999996,True,False,False,True,v66_bal,0.5,15.0,0.0,,-2.09,False,4,5,-84.0,7,-273.0
