rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND fair_minus_exit_bid_cents>=15,3,0.04477611940298507,-36.680000000000014,3.739999999999995,3,0,-16.639999999999997,-14.580000000000002,-5.46,3,0,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=4,4,0.05970149253731343,-36.740000000000016,3.6799999999999926,4,0,-18.020000000000003,-14.580000000000002,-4.14,2,0,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND entry_to_exit_loss_cents<=10,5,0.07462686567164178,-36.86000000000001,3.5600000000000023,5,0,-18.840000000000007,-14.580000000000002,-3.4400000000000004,2,0,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=100,7,0.1044776119402985,-36.96000000000001,3.460000000000001,6,1,-16.919999999999998,-14.580000000000002,-5.46,7,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=10,14,0.208955223880597,-37.02000000000001,3.3999999999999986,9,5,-18.78,-14.580000000000002,-3.66,8,0,6,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND position_seconds<=45,22,0.3283582089552239,-37.040000000000006,3.3800000000000026,15,7,-20.160000000000004,-13.3,-3.58,14,2,6,True,True
suppress_collapse_exit_if_position_seconds<=45 AND fair_minus_exit_bid_cents>=15,3,0.04477611940298507,-37.220000000000006,3.200000000000003,2,1,-20.180000000000003,-11.580000000000002,-5.46,2,1,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_sigma_t_dollars>=100,4,0.05970149253731343,-37.50000000000001,2.9200000000000017,4,0,-17.46,-14.580000000000002,-5.46,4,0,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND entry_to_exit_loss_cents>=10,6,0.08955223880597014,-37.52000000000001,2.8999999999999986,5,1,-17.48,-14.580000000000002,-5.46,6,0,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_p_hold>=0.65,4,0.05970149253731343,-37.52000000000001,2.8999999999999986,3,1,-17.48,-14.580000000000002,-5.46,4,0,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND entry_to_exit_loss_cents>=10,4,0.05970149253731343,-37.54000000000001,2.8799999999999955,3,1,-17.5,-14.580000000000002,-5.46,4,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.68 AND exit_fair_drawdown_cents<=4,5,0.07462686567164178,-37.56000000000001,2.8599999999999994,4,1,-18.840000000000007,-14.580000000000002,-4.14,3,0,2,True,True
