dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,2,254,9.698225512999592e-06,1.4341162594910806e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,3,239,-7.210966879644953e-05,-0.00020622632921640793
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,4,255,-1.3532806418942167e-06,1.4445590761691385e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,5,240,-8.470383160430472e-07,-1.411399221229459e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,6,255,2.6925064742944205e-05,6.836310384344957e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,7,240,-1.5908139089970685e-05,-2.8140036286150583e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,8,254,-1.791759385999514e-05,-4.54302453757327e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,9,226,-7.198955737752755e-06,-7.603598571714887e-06
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,10,240,-3.570722278128935e-05,-0.00011017150169967405
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,11,241,9.720850669317493e-06,3.192537800195128e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,12,239,1.4455663142787234e-05,3.5794226777352556e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,13,254,-2.1414432495592273e-05,-0.00010485931809989246
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,14,240,-6.576881344255714e-06,-2.0863522618708163e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,15,249,-8.971802570185983e-05,-0.00018409263584812097
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,16,240,0.0008641011700130791,0.001837670706609007
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,17,255,-2.2057757703503045e-05,-2.861469077369838e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,18,239,-0.00044052408104225393,-0.0008901833032698425
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,19,244,-0.0007576650796672357,-0.0016850279946664104
