lock_name,rule,kept,base,retention,wins,losses,accuracy,net_pnl_cents,net_delta_vs_base,diagnostic_only
hazard_fallback_logit55,score>=0.65,36,68,0.5294117647058824,23,13,0.6388888888888888,-348.0,-278.0,True
logit_blend_thresh55_edge15,score>=0.65,36,69,0.5217391304347826,23,13,0.6388888888888888,-348.0,-305.0,True
kinetic_guard,score>=0.65,61,126,0.48412698412698413,43,18,0.7049180327868853,-348.0,-420.0,True
kinetic_guard,signal_score>=0.65,61,126,0.48412698412698413,43,18,0.7049180327868853,-348.0,-420.0,True
hazard_fallback_logit55_wait8,touch_loss<=0.75,53,61,0.8688524590163934,35,18,0.660377358490566,-350.0,-122.0,True
hazard_mean_touch80_ask76,score>=0.65,34,53,0.6415094339622641,21,13,0.6176470588235294,-353.0,-243.0,True
book_margin_delayed_adv100_brownian55,score>=0.60,60,81,0.7407407407407407,40,20,0.6666666666666666,-360.0,-99.0,True
kinetic_touch,book>=0.65,73,134,0.5447761194029851,51,22,0.6986301369863014,-360.0,-75.0,True
kinetic_touch,adverse15<=10,93,134,0.6940298507462687,59,34,0.6344086021505376,-365.0,-80.0,True
hazard_mean_touch80,score>=0.65,46,69,0.6666666666666666,30,16,0.6521739130434783,-373.0,-365.0,True
kinetic_touch,book>=0.55,121,134,0.9029850746268657,81,40,0.6694214876033058,-374.0,-89.0,True
kinetic_touch,score>=0.60,87,134,0.6492537313432836,58,29,0.6666666666666666,-378.0,-93.0,True
kinetic_touch,signal_score>=0.60,87,134,0.6492537313432836,58,29,0.6666666666666666,-378.0,-93.0,True
hazard_fallback_logit55_wait8,hazard>=0.50,36,61,0.5901639344262295,23,13,0.6388888888888888,-383.0,-155.0,True
kinetic_touch,adverse15<=0,89,134,0.664179104477612,56,33,0.6292134831460674,-396.0,-111.0,True
book_margin_delayed_adv100_brownian55,touch_loss<=0.75,44,81,0.5432098765432098,29,15,0.6590909090909091,-410.0,-149.0,True
kinetic_touch,touch_loss<=0.75,68,134,0.5074626865671642,45,23,0.6617647058823529,-426.0,-141.0,True
kinetic_touch,score>=0.65,50,134,0.373134328358209,33,17,0.66,-437.0,-152.0,True
kinetic_touch,signal_score>=0.65,50,134,0.373134328358209,33,17,0.66,-437.0,-152.0,True
kinetic_touch,touch_loss<=0.85,110,134,0.8208955223880597,71,39,0.6454545454545455,-490.0,-205.0,True
kinetic_touch,book>=0.60,100,134,0.746268656716418,67,33,0.67,-500.0,-215.0,True
hazard_fallback_logit55_wait8,score>=0.65,41,61,0.6721311475409836,25,16,0.6097560975609756,-507.0,-279.0,True
book_margin_delayed_adv100_brownian55,score>=0.65,33,81,0.4074074074074074,20,13,0.6060606060606061,-540.0,-279.0,True
