label,chooser,min_score,ask_max,min_seconds_to_close,gate,coverage_pass,target_pass,nondegenerate_pass,wilson_pass,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,all_median_ask,all_median_seconds_to_close,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,train_median_ask,train_median_seconds_to_close,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,validation_median_ask,validation_median_seconds_to_close,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents,holdout_median_ask,holdout_median_seconds_to_close
pure=brownian_p_rv_30m; brownian_p_rv_30m>=0.95; ask<=100; sec>=120; adverse15<=10,brownian_p_rv_30m,0.95,100.0,120.0,adverse15<=10,False,False,False,False,1.0,0.4375,0.7846891972623642,156,82,81,1,0.9878048780487805,0.5256410256410257,0.934106603115861,194.0,97.0,288.111,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,76.0,97.0,290.6465,31,16,16,0,1.0,0.5161290322580645,0.8063923194655636,66.0,97.0,298.8865,32,14,14,0,1.0,0.4375,0.7846891972623642,52.0,97.0,262.0745
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=120; margin_rv15>=0.5,score_physics_mean_rv15_rv30,0.95,100.0,120.0,margin_rv15>=0.5,False,False,False,False,1.0,0.4375,0.7846891972623642,156,81,80,1,0.9876543209876543,0.5192307692307693,0.9333311840195164,187.0,97.0,293.948,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,83.0,97.0,294.4735,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,50.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,54.0,96.5,284.6025
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=120,score_physics_mean_rv15_rv30,0.95,100.0,120.0,none,False,False,False,False,1.0,0.4375,0.7846891972623642,156,81,80,1,0.9876543209876543,0.5192307692307693,0.9333311840195164,187.0,97.0,293.948,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,83.0,97.0,294.4735,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,50.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,54.0,96.5,284.6025
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=120; spread<=4,score_physics_mean_rv15_rv30,0.95,100.0,120.0,spread<=4,False,False,False,False,1.0,0.4375,0.7846891972623642,156,81,80,1,0.9876543209876543,0.5192307692307693,0.9333311840195164,187.0,97.0,293.948,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,83.0,97.0,294.4735,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,50.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,54.0,96.5,284.6025
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=120; adverse15<=10,score_physics_mean_rv15_rv30,0.95,100.0,120.0,adverse15<=10,False,False,False,False,1.0,0.4375,0.7846891972623642,156,81,80,1,0.9876543209876543,0.5192307692307693,0.9333311840195164,187.0,97.0,293.948,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,83.0,97.0,294.4735,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,50.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,54.0,96.5,284.6025
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=120; margin_rv15>=0,score_physics_mean_rv15_rv30,0.95,100.0,120.0,margin_rv15>=0,False,False,False,False,1.0,0.4375,0.7846891972623642,156,81,80,1,0.9876543209876543,0.5192307692307693,0.9333311840195164,187.0,97.0,293.948,93,52,51,1,0.9807692307692307,0.5591397849462365,0.8987948887210773,83.0,97.0,294.4735,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,50.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,54.0,96.5,284.6025
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=120; margin_rv15>=0.5,score_physics_min_rv_drift,0.95,100.0,120.0,margin_rv15>=0.5,False,False,False,False,1.0,0.40625,0.7719046276458015,156,77,76,1,0.987012987012987,0.4935897435897436,0.9300380108531947,149.0,97.0,286.895,93,50,49,1,0.98,0.5376344086021505,0.895045564103622,59.0,97.0,287.028,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,42.0,97.0,298.8865,32,13,13,0,1.0,0.40625,0.7719046276458015,48.0,97.0,286.895
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=120; margin_rv15>=0,score_physics_min_rv_drift,0.95,100.0,120.0,margin_rv15>=0,False,False,False,False,1.0,0.40625,0.7719046276458015,156,77,76,1,0.987012987012987,0.4935897435897436,0.9300380108531947,149.0,97.0,286.895,93,50,49,1,0.98,0.5376344086021505,0.895045564103622,59.0,97.0,287.028,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,42.0,97.0,298.8865,32,13,13,0,1.0,0.40625,0.7719046276458015,48.0,97.0,286.895
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=120; adverse15<=10,score_physics_min_rv_drift,0.95,100.0,120.0,adverse15<=10,False,False,False,False,1.0,0.40625,0.7719046276458015,156,77,76,1,0.987012987012987,0.4935897435897436,0.9300380108531947,149.0,97.0,286.895,93,50,49,1,0.98,0.5376344086021505,0.895045564103622,59.0,97.0,287.028,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,42.0,97.0,298.8865,32,13,13,0,1.0,0.40625,0.7719046276458015,48.0,97.0,286.895
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=120; spread<=4,score_physics_min_rv_drift,0.95,100.0,120.0,spread<=4,False,False,False,False,1.0,0.40625,0.7719046276458015,156,77,76,1,0.987012987012987,0.4935897435897436,0.9300380108531947,149.0,97.0,286.895,93,50,49,1,0.98,0.5376344086021505,0.895045564103622,59.0,97.0,287.028,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,42.0,97.0,298.8865,32,13,13,0,1.0,0.40625,0.7719046276458015,48.0,97.0,286.895
