dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(0.0826, 0.1]",923,-0.0002311548916502093,-0.001616229306449779,0.19732825703090806,0.5684879714317428,0.6706392199349945,0.5066026374279144,0.5027085590465872
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(3.39e-05, 3.7e-05]",390,-0.0002067821749965476,-0.0009817765916677046,0.08354609577355573,0.26091287937639307,0.8743589743589744,0.4352359629949679,0.3871794871794872
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(3.7e-05, 4.94e-05]",359,-0.0001527881379201207,0.0005123595798905423,0.11460523258470207,0.371254606460657,0.8607242339832869,0.46034286311032224,0.46518105849582175
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(4.94e-05, 9.25e-05]",380,-1.3473219701576333e-06,0.0007358170430908917,0.1466188523327395,0.45794355660885516,0.7657894736842106,0.5040360158035063,0.4763157894736842
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_logit_weight,"(9.25e-05, 0.00031]",406,-0.00012294433761245172,-9.759789180652234e-05,0.14650536512299434,0.44445266540285316,0.7980295566502463,0.4606167616921322,0.43842364532019706
all_heartbeats,all,signed_velocity_dps_3m,"(-0.0533, 0.000278]",2379,-3.3794513603163656e-05,-5.936604670681023e-05,0.16083418433281185,0.4687030291871645,0.7461118116855822,0.45577506572783427,0.4485077763766288
all_heartbeats,all,signed_velocity_dps_3m,"(-0.122, -0.0533]",2378,-5.291538755919367e-06,0.0002843507829798919,0.15997948203570472,0.477223397698692,0.7636669470142977,0.41943298134619994,0.3814129520605551
all_heartbeats,all,signed_velocity_dps_3m,"(-0.257, -0.122]",2375,-0.0007305340717848607,-0.0014904867398341515,0.14636428462552684,0.45139357519399786,0.783578947368421,0.3421156572990587,0.3410526315789474
all_heartbeats,all,signed_velocity_dps_3m,"(-3.35, -0.257]",2382,-0.0013879381013874453,-0.004102418255616136,0.12090514399813118,0.374677169664203,0.8211586901763224,0.28473899158527605,0.27329974811083124
all_heartbeats,all,signed_velocity_dps_3m,"(0.000278, 0.0593]",2376,-6.418336670910296e-05,-0.00022123867994156,0.16177467979708496,0.47153143503766703,0.7293771043771043,0.5160978572106707,0.5075757575757576
all_heartbeats,all,signed_velocity_dps_3m,"(0.0593, 0.134]",2378,-0.00030404324420990614,-0.0005916839254314632,0.15454810774004069,0.4615037002243562,0.7619848612279226,0.5872261119485536,0.5664423885618166
all_heartbeats,all,signed_velocity_dps_3m,"(0.134, 0.273]",2377,-3.1786671491590424e-05,0.00031645038036126616,0.15111498297093756,0.46699785613693845,0.7702986958350863,0.6753701867537697,0.6739587715607909
