dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",516,-0.00011507086159614349,-0.0007613474173917278,0.05678299936608322,0.1728867648063579,0.8895348837209303,0.5860547941350481,0.5872093023255814
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",532,-9.420120735551679e-05,-0.0008933285449092138,0.03481828764081777,0.1130721939342536,0.9417293233082706,0.3955680639030993,0.39097744360902253
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(-22.816, -5.332]",505,0.000118825795718841,0.0006410357222839114,0.1730090859284565,0.5102349478002317,0.7128712871287128,0.6729764288928942,0.7267326732673267
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(-5.332, -0.529]",453,-0.00025077296430871254,-0.00022308287722122566,0.1139677990366688,0.3672031321988584,0.8211920529801324,0.639500202637923,0.6622516556291391
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(-920.275, -22.816]",418,-0.009949470614985773,-0.028427935099553436,0.1772147982837238,0.5462215538760632,0.7631578947368421,0.7183966478820716,0.6866028708133971
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(0.431, 4.79]",498,6.740620337250536e-05,0.0002694387599397885,0.12745899879613354,0.38915526754677676,0.8092369477911646,0.4414549186292405,0.3514056224899598
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(21.671, 520.961]",429,-0.005330156176954343,-0.01671035607129301,0.21074569895954143,0.6168694440992323,0.696969696969697,0.3134734818599756,0.3939393939393939
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",467,0.0004134789728615085,0.0008926802685350621,0.21017535452312916,0.5878713898785466,0.6573875802997858,0.40040411300357714,0.3683083511777302
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",399,-0.00012656952933012833,-0.0006216925851905419,0.06181669772825865,0.19510367094809508,0.9047619047619048,0.49377118310972423,0.43859649122807015
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",366,-9.676877050920213e-05,-0.0005294278657264617,0.0482589960015005,0.15121487976422404,0.9344262295081968,0.38394320986743763,0.3633879781420765
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(-22.816, -5.332]",378,0.00019521839669747743,0.0005369259062298903,0.18192589034214257,0.5242402262713395,0.6957671957671958,0.6185728482256553,0.5687830687830688
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(-5.332, -0.529]",390,7.915272870284706e-05,0.0003171714917085122,0.1325340897241003,0.39844423766440257,0.7974358974358975,0.6324989578999495,0.6153846153846154
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(-920.275, -22.816]",713,0.00030185618219061294,0.00018633894523045758,0.19399065165719792,0.5498597620240968,0.6605890603085554,0.6654069889948704,0.6002805049088359
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(0.431, 4.79]",350,-0.00025390924411272664,0.0009422490542006501,0.12910370495424178,0.43525354109490927,0.8314285714285714,0.31514264984407414,0.3142857142857143
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(21.671, 520.961]",714,-0.0006071385412708963,-0.0022002311448690026,0.20050888708584103,0.5873891212773624,0.6750700280112045,0.3268746828273432,0.29551820728291317
all_heartbeats,holdout,v34_material_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",495,-0.0004398395938847721,-0.0011982238903096576,0.14125570506016008,0.4365008120365338,0.8242424242424242,0.34110192464066824,0.2686868686868687
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(-0.000665, 0.000339]",2378,-6.731429628721586e-05,0.00036725178043395257,0.04422687200545783,0.1684960938107261,0.9373423044575273,0.492420759005105,0.48317914213624896
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000339, 0.00037]",2378,-0.0001922129079172108,-0.0006185555479068516,0.08219190905580448,0.26658497674556164,0.8826745164003365,0.4958009701801657,0.4693019343986543
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.00037, 0.000494]",2377,-0.00011048278660968913,3.928072336212285e-05,0.12567774573569132,0.3923429389996529,0.8195204038704249,0.500848873311039,0.5056794278502313
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000494, 0.000925]",2378,-5.8499814108436965e-06,4.216622353397925e-05,0.15915970375393237,0.47412558342898264,0.7539949537426409,0.5118766630674026,0.4945332211942809
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000925, 0.0031]",2377,2.0529618350195733e-05,0.0002891455617732852,0.17917648174442466,0.5278732019293051,0.7185527976440892,0.5083034407839406,0.4938998737904922
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.0031, 0.028]",2378,3.029250873806677e-05,0.00033701326291823985,0.19465196882759492,0.5681661072504791,0.6925988225399495,0.5090661572387499,0.4907485281749369
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.028, 0.826]",2377,-2.3878953066908126e-05,9.68655762544346e-05,0.1882328380605626,0.5533145395620289,0.7118216238956668,0.5097695464737063,0.492637778712663
all_heartbeats,all,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.826, 1.0]",2378,-0.002509505033123277,-0.008596660755553653,0.19464657449233308,0.5718004650264589,0.6947014297729184,0.5254302065775293,0.5365853658536586
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(-0.000665, 0.000339]",492,-7.545249366331178e-05,-0.0005191709685678642,0.026875711488634407,0.08376263729438449,0.959349593495935,0.49906627797261266,0.49796747967479676
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000339, 0.00037]",560,-0.00012683537821978064,-0.0010760935676048244,0.06207089097979104,0.1945766181751158,0.8821428571428571,0.4746259977120746,0.4714285714285714
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.00037, 0.000494]",512,-0.00024027521464728419,-0.0003711381789964774,0.08924237017810727,0.3003150976488674,0.865234375,0.5125971846292947,0.455078125
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000494, 0.000925]",436,8.657657334595892e-05,0.0005697496729947793,0.15965396443124952,0.47585056701722805,0.7568807339449541,0.5690389027621988,0.5619266055045872
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.000925, 0.0031]",478,0.00033264271954128177,0.0012993289834808408,0.19596751838353307,0.5638535449711449,0.6610878661087866,0.554912122066865,0.5146443514644351
all_heartbeats,validation,v34_material_antipersist3_anti_persistence_materiality_gate,"(0.0031, 0.028]",497,0.00019644983763450474,0.00016784403246850044,0.18552970758410184,0.5288834025041145,0.7062374245472837,0.5258927962207242,0.5855130784708249
