mode,split,model,family,blend_start_seconds,blend_end_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,holdout,v36_s120_e300_t102,v36_piecewise,120,300,1.02,7610,3805,0.14691309776232633,0.4377817920138056,0.009914726667676038,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s120_e300_t104,v36_piecewise,120,300,1.04,38042,19021,0.1460343738893256,0.4399313452592459,0.01819963259869083,14767,0.776352452552442
two_side_all_heartbeats,train,v36_s120_e300_t104,v36_piecewise,120,300,1.04,22796,11398,0.14968558491526987,0.4535970454715183,0.024041956688871328,8819,0.7737322337252149
two_side_all_heartbeats,validation,v36_s120_e300_t104,v36_piecewise,120,300,1.04,7636,3818,0.13422924742197892,0.40140191521085816,0.008086619152171588,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s120_e300_t104,v36_piecewise,120,300,1.04,7610,3805,0.14694251306898845,0.4376563683618115,0.012154567336011923,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e450_t100,v36_piecewise,180,450,1.0,38042,19021,0.14602877643276369,0.4404173870842942,0.016580259701757853,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e450_t100,v36_piecewise,180,450,1.0,22796,11398,0.14959659968390487,0.45399348312444265,0.022468859948093486,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e450_t100,v36_piecewise,180,450,1.0,7636,3818,0.1344241400691125,0.40226343644631113,0.008959322523155469,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e450_t100,v36_piecewise,180,450,1.0,7610,3805,0.14698553128688013,0.4380340601119435,0.010719760436093953,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e450_t102,v36_piecewise,180,450,1.02,38042,19021,0.14606419574961152,0.4402438804456367,0.016671981618732384,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e450_t102,v36_piecewise,180,450,1.02,22796,11398,0.14966731137673314,0.45386587598828154,0.02249303549318079,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e450_t102,v36_piecewise,180,450,1.02,7636,3818,0.13436425113433303,0.40193271680391307,0.008332466352539083,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e450_t102,v36_piecewise,180,450,1.02,7610,3805,0.14701086503297595,0.43788081016680247,0.011011965937767723,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e450_t104,v36_piecewise,180,450,1.04,38042,19021,0.1461106743087679,0.44013682535188237,0.0179359907465567,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e450_t104,v36_piecewise,180,450,1.04,22796,11398,0.14974829645634385,0.4538027727057155,0.023553866683984428,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e450_t104,v36_piecewise,180,450,1.04,7636,3818,0.13431800244799072,0.40167908040135325,0.00878456780433022,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e450_t104,v36_piecewise,180,450,1.04,7610,3805,0.14704702225262495,0.4377891781198537,0.013213340133997215,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e600_t100,v36_piecewise,180,600,1.0,38042,19021,0.1460410326429313,0.44038492337565394,0.0166461317470775,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e600_t100,v36_piecewise,180,600,1.0,22796,11398,0.14959288607659266,0.45391016842747156,0.0222405726898363,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e600_t100,v36_piecewise,180,600,1.0,7636,3818,0.13444019161265353,0.4023074774289201,0.008277252308369534,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e600_t100,v36_piecewise,180,600,1.0,7610,3805,0.1470418172991018,0.4380771561020702,0.010860407308808377,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e600_t102,v36_piecewise,180,600,1.02,38042,19021,0.1460800913561882,0.44023017240584067,0.01689015562455993,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e600_t102,v36_piecewise,180,600,1.02,22796,11398,0.14966749192024986,0.45380249933341466,0.022764306849921003,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e600_t102,v36_piecewise,180,600,1.02,7636,3818,0.1343838906518895,0.40199494194705127,0.00784026034157302,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e600_t102,v36_piecewise,180,600,1.02,7610,3805,0.14707007891462137,0.437939693449512,0.011542512454343094,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s180_e600_t104,v36_piecewise,180,600,1.04,38042,19021,0.14613015763958698,0.44014109122844325,0.0180683571155264,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s180_e600_t104,v36_piecewise,180,600,1.04,22796,11398,0.14975231697828484,0.453758481047375,0.02404390565363205,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s180_e600_t104,v36_piecewise,180,600,1.04,7636,3818,0.1343411969124724,0.40175882066485724,0.009050107385678798,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s180_e600_t104,v36_piecewise,180,600,1.04,7610,3805,0.14710910111229253,0.4378631674059961,0.013225171382250486,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e600_t100,v36_piecewise,300,600,1.0,38042,19021,0.1460504860667176,0.4403749862224625,0.01650459634850611,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e600_t100,v36_piecewise,300,600,1.0,22796,11398,0.14959268843602375,0.45387710253511343,0.02215040643076164,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e600_t100,v36_piecewise,300,600,1.0,7636,3818,0.13444790250876418,0.40233821569462175,0.008018428540225922,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e600_t100,v36_piecewise,300,600,1.0,7610,3805,0.14708192927799618,0.43809568744288296,0.010464037538660615,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e600_t102,v36_piecewise,300,600,1.02,38042,19021,0.14609247531893618,0.44023452039554767,0.01737369016761424,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e600_t102,v36_piecewise,300,600,1.02,22796,11398,0.1496703855651557,0.4537842502890179,0.02304743195003503,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e600_t102,v36_piecewise,300,600,1.02,7636,3818,0.1343946917689789,0.40204044787237225,0.008479748991520058,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e600_t102,v36_piecewise,300,600,1.02,7610,3805,0.1471124796835424,0.437970433028323,0.011480778454588845,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e600_t104,v36_piecewise,300,600,1.04,38042,19021,0.14614542780767764,0.4401591270844376,0.017757912859139555,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e600_t104,v36_piecewise,300,600,1.04,22796,11398,0.14975825717199354,0.45375441036930014,0.024118497045755607,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e600_t104,v36_piecewise,300,600,1.04,7636,3818,0.1343550541274051,0.40181854564724373,0.009369796972037735,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e600_t104,v36_piecewise,300,600,1.04,7610,3805,0.14715373729961156,0.4379055925368274,0.013216839149139075,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e900_t100,v36_piecewise,300,900,1.0,38042,19021,0.14603392356377914,0.44024347959708887,0.016876856752815195,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e900_t100,v36_piecewise,300,900,1.0,22796,11398,0.14959649252249044,0.453805186400237,0.022457006847909012,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e900_t100,v36_piecewise,300,900,1.0,7636,3818,0.13437812761085804,0.40204527179900207,0.008320555705989701,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e900_t100,v36_piecewise,300,900,1.0,7610,3805,0.1470577521989597,0.4379476644146484,0.011199009774649805,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e900_t102,v36_piecewise,300,900,1.02,38042,19021,0.14608036055253,0.44012362672716465,0.01819156970536733,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e900_t102,v36_piecewise,300,900,1.02,22796,11398,0.14967859115535548,0.4537316505740618,0.023870676412810918,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e900_t102,v36_piecewise,300,900,1.02,7636,3818,0.13433009367848134,0.4017741565842469,0.010824334756502942,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e900_t102,v36_piecewise,300,900,1.02,7610,3805,0.1470921572710879,0.43784084649029886,0.012165214533658467,2928,0.7695137976346912
two_side_all_heartbeats,all,v36_s300_e900_t104,v36_piecewise,300,900,1.04,38042,19021,0.1461376528118125,0.44006784872327825,0.018524004299707474,14768,0.7764050260238684
two_side_all_heartbeats,train,v36_s300_e900_t104,v36_piecewise,300,900,1.04,22796,11398,0.14977074804156193,0.4537201533361264,0.02498314839893248,8820,0.7738199684155115
two_side_all_heartbeats,validation,v36_s300_e900_t104,v36_piecewise,300,900,1.04,7636,3818,0.13429554469740568,0.40157771786889,0.010144734410790269,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v36_s300_e900_t104,v36_piecewise,300,900,1.04,7610,3805,0.1471371664391768,0.43779356531324154,0.013849243565366128,2928,0.7695137976346912
two_side_minute_bucket,all,v34_h110_t098,v34_ref,0,0,0.98,9796,4898,0.14891426840145341,0.4439463638121554,0.015030053404471763,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h110_t098,v34_ref,0,0,0.98,5876,2938,0.1522124005530786,0.4545603078862842,0.019194743404781566,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h110_t098,v34_ref,0,0,0.98,1964,982,0.137454508383908,0.40986760048345555,0.01225996630659519,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h110_t098,v34_ref,0,0,0.98,1956,978,0.1505130128551903,0.44627926554936703,0.01130172008223489,745,0.7617586912065439
two_side_minute_bucket,all,v35_h150_t102,v35_ref,0,0,1.02,9796,4898,0.14902512836114787,0.4445243462411638,0.014615209832763695,3760,0.7676602694977542
two_side_minute_bucket,train,v35_h150_t102,v35_ref,0,0,1.02,5876,2938,0.15254502641913903,0.4557992512868646,0.020850124281982966,2248,0.765146358066712
