model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,candidate,entry_policy,exit_policy,fee_adjusted_pnl_cents,fee_adjusted_1c_entry_pnl_cents,fee_adjusted_1c_roundtrip_pnl_cents
v38_long60_antipersist,KXBTC15M-26MAY010115-15,train,2026-05-01 05:05:13.411000+00:00,yes,yes,True,80.0,79.0,0.8418310894361716,0.8418310894361716,4.183108943617157,586.589,settlement_win,,,,,,40.0,True,160.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,37.0,35.0,35.0
v38_long60_antipersist,KXBTC15M-26MAY010130-30,train,2026-05-01 05:20:14.982000+00:00,no,no,True,88.0,87.0,0.9014235490353864,0.0985764509646135,2.1423549035386316,585.018,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,22.0,20.0,20.0
v38_long60_antipersist,KXBTC15M-26MAY010145-45,train,2026-05-01 05:39:31.706000+00:00,no,yes,False,57.0,56.0,0.7072469744752404,0.2927530255247595,13.724697447524036,328.294,probability_reduce,2026-05-01 05:40:01.727000+00:00,298.273,33.0,0.3448013498328142,1.4801349832814168,-48.0,False,114.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-56.0,-58.0,-60.0
v38_long60_antipersist,KXBTC15M-26MAY010200-00,train,2026-05-01 05:51:17.698000+00:00,yes,yes,True,61.0,60.0,0.6809022013323286,0.6809022013323286,7.090220133232862,522.302,settlement_win,,,,,,78.0,True,122.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,74.0,72.0,72.0
v38_long60_antipersist,KXBTC15M-26MAY010215-15,train,2026-05-01 06:07:03.960000+00:00,yes,no,False,65.0,64.0,0.6668216070999833,0.6668216070999833,1.6821607099983282,476.04,probability_reduce,2026-05-01 06:10:04.203000+00:00,295.797,23.0,0.3008670696999803,7.08670696999803,-84.0,False,130.0,4.0,3.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-91.0,-93.0,-95.0
v38_long60_antipersist,KXBTC15M-26MAY010230-30,train,2026-05-01 06:21:05.227000+00:00,no,yes,False,58.0,56.0,0.6753460253612793,0.3246539746387207,9.534602536127935,534.773,probability_reduce,2026-05-01 06:25:05.634000+00:00,294.366,32.0,0.4492494733420369,12.924947334203694,-52.0,False,116.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-60.0,-62.0,-64.0
v38_long60_antipersist,KXBTC15M-26MAY010245-45,train,2026-05-01 06:40:07.380000+00:00,no,no,True,97.0,96.0,0.983692526266754,0.0163074737332459,1.3692526266753902,292.62,settlement_win,,,,,,6.0,True,194.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,5.0,3.0,3.0
v38_long60_antipersist,KXBTC15M-26MAY010300-00,train,2026-05-01 06:50:08.181000+00:00,no,yes,False,59.0,58.0,0.6881090162274266,0.3118909837725734,9.810901622742662,591.819,probability_reduce,2026-05-01 06:56:08.658000+00:00,231.342,14.0,0.1304710697808002,-0.95289302191998,-90.0,False,118.0,4.0,2.0,6.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-96.0,-98.0,-100.0
v38_long60_antipersist,KXBTC15M-26MAY010315-15,train,2026-05-01 07:05:09.417000+00:00,no,yes,False,76.0,75.0,0.8150755018871372,0.1849244981128627,5.507550188713722,590.583,probability_reduce,2026-05-01 07:10:10.020000+00:00,289.98,35.0,0.1399667305644796,-21.00332694355204,-82.0,False,152.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-89.0,-91.0,-93.0
v38_long60_antipersist,KXBTC15M-26MAY010330-30,train,2026-05-01 07:21:11.051000+00:00,yes,no,False,77.0,76.0,0.8030684664211067,0.8030684664211067,3.3068466421106706,528.949,probability_reduce,2026-05-01 07:23:11.273000+00:00,408.727,40.0,0.4484975805468056,4.849758054680564,-74.0,False,154.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-81.0,-83.0,-85.0
v38_long60_antipersist,KXBTC15M-26MAY010345-45,train,2026-05-01 07:44:14.459000+00:00,yes,yes,True,100.0,99.0,0.999792626741626,0.999792626741626,-0.020737325837401954,45.541,settlement_win,,,,,,0.0,True,200.0,0.0,0.0,0.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,0.0,-2.0,-2.0
v38_long60_antipersist,KXBTC15M-26MAY010400-00,train,2026-05-01 07:50:14.912000+00:00,yes,yes,True,88.0,87.0,0.885095199955205,0.885095199955205,0.5095199955205061,585.088,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,22.0,20.0,20.0
v38_long60_antipersist,KXBTC15M-26MAY010415-15,train,2026-05-01 08:05:01.073000+00:00,no,yes,False,75.0,74.0,0.7760775880305332,0.2239224119694668,2.607758803053315,598.927,probability_reduce,2026-05-01 08:09:01.425000+00:00,358.575,43.0,0.386630041863882,-4.3369958136118,-64.0,False,150.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-71.0,-73.0,-75.0
v38_long60_antipersist,KXBTC15M-26MAY010430-30,train,2026-05-01 08:20:02.577000+00:00,yes,yes,True,96.0,96.0,0.9723030102719444,0.9723030102719444,1.230301027194443,597.423,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,7.0,5.0,5.0
v38_long60_antipersist,KXBTC15M-26MAY010445-45,train,2026-05-01 08:35:19.069000+00:00,no,no,True,68.0,67.0,0.6879198297788504,0.3120801702211496,0.7919829778850414,580.931,settlement_win,,,,,,64.0,True,136.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,60.0,58.0,58.0
v38_long60_antipersist,KXBTC15M-26MAY010500-00,train,2026-05-01 08:59:51.272000+00:00,yes,yes,True,100.0,98.0,0.9911619692406606,0.9911619692406606,-0.8838030759339404,8.728,settlement_win,,,,,,0.0,True,200.0,0.0,0.0,0.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,0.0,-2.0,-2.0
v38_long60_antipersist,KXBTC15M-26MAY010515-15,train,2026-05-01 09:05:36.832000+00:00,no,no,True,81.0,80.0,0.813641556688066,0.186358443311934,0.3641556688066032,563.168,settlement_win,,,,,,38.0,True,162.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,35.0,33.0,33.0
v38_long60_antipersist,KXBTC15M-26MAY010530-30,train,2026-05-01 09:25:23.790000+00:00,yes,yes,True,70.0,68.0,0.8510677853148574,0.8510677853148574,15.106778531485745,276.21,settlement_win,,,,,,60.0,True,140.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,57.0,55.0,55.0
v38_long60_antipersist,KXBTC15M-26MAY010545-45,train,2026-05-01 09:37:24.815000+00:00,no,no,True,80.0,79.0,0.8226107768730326,0.1773892231269674,2.2610776873032705,455.185,settlement_win,,,,,,40.0,True,160.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,37.0,35.0,35.0
v38_long60_antipersist,KXBTC15M-26MAY010600-00,train,2026-05-01 09:50:10.901000+00:00,no,no,True,90.0,89.0,0.9125114955931958,0.0874885044068042,1.2511495593195718,589.099,settlement_win,,,,,,20.0,True,180.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,18.0,16.0,16.0
v38_long60_antipersist,KXBTC15M-26MAY010615-15,train,2026-05-01 10:05:12.248000+00:00,no,no,True,76.0,75.0,0.7975524424062703,0.2024475575937297,3.755244240627036,587.752,settlement_win,,,,,,48.0,True,152.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,45.0,43.0,43.0
v38_long60_antipersist,KXBTC15M-26MAY010630-30,train,2026-05-01 10:21:14.083000+00:00,yes,yes,True,98.0,98.0,0.984933946082952,0.984933946082952,0.49339460829520476,525.917,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,3.0,1.0,1.0
v38_long60_antipersist,KXBTC15M-26MAY010645-45,train,2026-05-01 10:35:00.327000+00:00,no,no,True,73.0,72.0,0.7296307548204634,0.2703692451795366,-0.036924517953664804,599.673,settlement_win,,,,,,54.0,True,146.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,51.0,49.0,49.0
v38_long60_antipersist,KXBTC15M-26MAY010715-15,train,2026-05-01 11:10:18.231000+00:00,no,yes,False,62.0,61.0,0.7107653393715886,0.2892346606284114,9.076533937158857,281.769,probability_reduce,2026-05-01 11:12:03.302000+00:00,176.698,65.0,0.4825946359240421,-16.74053640759579,6.0,False,124.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-2.0,-4.0,-6.0
v38_long60_antipersist,KXBTC15M-26MAY010730-30,train,2026-05-01 11:21:04.075000+00:00,yes,yes,True,98.0,97.0,0.9818983216547372,0.9818983216547372,0.1898321654737174,535.925,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,3.0,1.0,1.0
v38_long60_antipersist,KXBTC15M-26MAY010745-45,train,2026-05-01 11:42:35.717000+00:00,yes,yes,True,64.0,63.0,0.6582469556172921,0.6582469556172921,1.8246955617292144,144.283,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,68.0,66.0,66.0
v38_long60_antipersist,KXBTC15M-26MAY010800-00,train,2026-05-01 11:50:21.576000+00:00,no,yes,False,71.0,70.0,0.7389010933111446,0.2610989066888553,2.8901093311144592,578.424,probability_reduce,2026-05-01 11:52:06.728000+00:00,473.272,48.0,0.4788851598028849,-0.11148401971151145,-46.0,False,142.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-53.0,-55.0,-57.0
v38_long60_antipersist,KXBTC15M-26MAY010815-15,train,2026-05-01 12:07:07.854000+00:00,no,yes,False,71.0,70.0,0.7280819011030993,0.2719180988969006,1.808190110309937,472.146,probability_reduce,2026-05-01 12:13:08.358000+00:00,111.642,24.0,0.4277154023530471,18.771540235304712,-94.0,False,142.0,3.0,3.0,6.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-100.0,-102.0,-104.0
v38_long60_antipersist,KXBTC15M-26MAY010830-30,train,2026-05-01 12:20:08.735000+00:00,yes,yes,True,84.0,83.0,0.9369655410401516,0.9369655410401516,9.696554104015163,591.265,settlement_win,,,,,,32.0,True,168.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,30.0,28.0,28.0
v38_long60_antipersist,KXBTC15M-26MAY010845-45,train,2026-05-01 12:35:10.056000+00:00,yes,yes,True,89.0,88.0,0.9747354426059034,0.9747354426059034,8.473544260590344,589.944,settlement_win,,,,,,22.0,True,178.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,20.0,18.0,18.0
v38_long60_antipersist,KXBTC15M-26MAY010900-00,train,2026-05-01 12:52:11.585000+00:00,yes,yes,True,70.0,69.0,0.7203714140666199,0.7203714140666199,2.0371414066619877,468.415,probability_reduce,2026-05-01 12:55:11.855000+00:00,288.145,68.0,0.3842992327006156,-29.570076729938435,-4.0,False,140.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-11.0,-13.0,-15.0
v38_long60_antipersist,KXBTC15M-26MAY010915-15,train,2026-05-01 13:05:12.621000+00:00,yes,yes,True,96.0,96.0,0.9846775838486196,0.9846775838486196,2.467758384861952,587.379,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,7.0,5.0,5.0
v38_long60_antipersist,KXBTC15M-26MAY010930-30,train,2026-05-01 13:26:14.486000+00:00,no,no,True,67.0,66.0,0.7038234270432775,0.2961765729567225,3.3823427043277547,225.514,settlement_win,,,,,,66.0,True,134.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,62.0,60.0,60.0
v38_long60_antipersist,KXBTC15M-26MAY010945-45,train,2026-05-01 13:35:00.141000+00:00,yes,no,False,81.0,80.0,0.936905656308876,0.936905656308876,12.690565630887605,599.859,probability_reduce,2026-05-01 13:40:00.488000+00:00,299.512,25.0,0.0950448562002043,-15.495514379979571,-112.0,False,162.0,3.0,3.0,6.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-118.0,-120.0,-122.0
v38_long60_antipersist,KXBTC15M-26MAY011000-00,train,2026-05-01 13:50:01.146000+00:00,yes,yes,True,85.0,84.0,0.9352256938311932,0.9352256938311932,8.522569383119318,598.854,settlement_win,,,,,,30.0,True,170.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,28.0,26.0,26.0
v38_long60_antipersist,KXBTC15M-26MAY011015-15,train,2026-05-01 14:06:02.296000+00:00,no,yes,False,73.0,72.0,0.8135074534818287,0.1864925465181712,8.350745348182869,537.704,probability_reduce,2026-05-01 14:13:02.834000+00:00,117.166,16.0,0.074596898636325,-8.5403101363675,-114.0,False,146.0,3.0,2.0,5.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-119.0,-121.0,-123.0
v38_long60_antipersist,KXBTC15M-26MAY011030-30,train,2026-05-01 14:20:03.486000+00:00,no,no,True,92.0,92.0,0.9769237337530569,0.0230762662469433,5.692373375305692,596.514,settlement_win,,,,,,16.0,True,184.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,14.0,12.0,12.0
v38_long60_antipersist,KXBTC15M-26MAY011045-45,train,2026-05-01 14:37:04.784000+00:00,no,no,True,80.0,79.0,0.8828880653271042,0.1171119346728958,8.288806532710424,475.216,settlement_win,,,,,,40.0,True,160.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,37.0,35.0,35.0
v38_long60_antipersist,KXBTC15M-26MAY011100-00,train,2026-05-01 14:50:05.734000+00:00,yes,yes,True,88.0,87.0,0.9373937747161848,0.9373937747161848,5.739377471618482,594.266,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,22.0,20.0,20.0
v38_long60_antipersist,KXBTC15M-26MAY011115-15,train,2026-05-01 15:05:07.133000+00:00,no,yes,False,69.0,68.0,0.7499348488320712,0.2500651511679288,5.993484883207117,592.867,probability_reduce,2026-05-01 15:12:07.753000+00:00,172.247,50.0,0.4493498399466693,-5.065016005333064,-38.0,False,138.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-45.0,-47.0,-49.0
v38_long60_antipersist,KXBTC15M-26MAY011130-30,train,2026-05-01 15:23:08.814000+00:00,yes,yes,True,67.0,66.0,0.7077558306362608,0.7077558306362608,3.7755830636260725,411.186,settlement_win,,,,,,66.0,True,134.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,62.0,60.0,60.0
v38_long60_antipersist,KXBTC15M-26MAY011145-45,train,2026-05-01 15:35:09.708000+00:00,yes,yes,True,63.0,62.0,0.695187190324907,0.695187190324907,6.518719032490694,590.292,probability_reduce,2026-05-01 15:36:09.791000+00:00,530.209,56.0,0.4674392427505957,-9.25607572494043,-14.0,False,126.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-22.0,-24.0,-26.0
v38_long60_antipersist,KXBTC15M-26MAY011200-00,train,2026-05-01 15:51:11.132000+00:00,no,no,True,96.0,95.0,0.9659511419898,0.0340488580101998,0.5951141989799993,528.868,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,7.0,5.0,5.0
v38_long60_antipersist,KXBTC15M-26MAY011215-15,train,2026-05-01 16:05:12.463000+00:00,yes,no,False,93.0,93.0,0.9422120835781196,0.9422120835781196,1.2212083578119604,587.537,probability_reduce,2026-05-01 16:14:13.205000+00:00,46.795,1.0,2.278499167037217e-05,-0.9977215008329627,-184.0,False,186.0,1.0,1.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-186.0,-188.0,-190.0
v38_long60_antipersist,KXBTC15M-26MAY011230-30,train,2026-05-01 16:20:58.804000+00:00,no,no,True,74.0,73.0,0.759058543244121,0.2409414567558789,1.905854324412104,541.196,probability_reduce,2026-05-01 16:23:13.941000+00:00,406.059,29.0,0.3445883474144543,5.458834741445429,-90.0,False,148.0,3.0,3.0,6.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-96.0,-98.0,-100.0
v38_long60_antipersist,KXBTC15M-26MAY011245-45,train,2026-05-01 16:36:00.115000+00:00,no,no,True,72.0,71.0,0.7248249387524704,0.2751750612475295,0.48249387524704446,539.885,probability_reduce,2026-05-01 16:40:00.469000+00:00,299.531,49.0,0.4633024510317018,-2.669754896829822,-46.0,False,144.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-53.0,-55.0,-57.0
v38_long60_antipersist,KXBTC15M-26MAY011300-00,train,2026-05-01 16:50:01.408000+00:00,no,no,True,77.0,76.0,0.7755418513206193,0.2244581486793807,0.5541851320619315,598.592,probability_reduce,2026-05-01 16:55:01.875000+00:00,298.125,40.0,0.3795891640249393,-2.0410835975060664,-74.0,False,154.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-81.0,-83.0,-85.0
v38_long60_antipersist,KXBTC15M-26MAY011315-15,train,2026-05-01 17:05:32.696000+00:00,no,yes,False,73.0,72.0,0.7315523733063012,0.2684476266936988,0.1552373306301149,567.304,probability_reduce,2026-05-01 17:12:03.273000+00:00,176.727,40.0,0.3724075644804413,-2.759243551955869,-66.0,False,146.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-73.0,-75.0,-77.0
v38_long60_antipersist,KXBTC15M-26MAY011330-30,train,2026-05-01 17:23:34.431000+00:00,no,no,True,69.0,68.0,0.6992288670793391,0.3007711329206609,0.9228867079339125,385.569,settlement_win,,,,,,62.0,True,138.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,59.0,57.0,57.0
v38_long60_antipersist,KXBTC15M-26MAY011345-45,train,2026-05-01 17:37:05.581000+00:00,yes,yes,True,88.0,87.0,0.887086087840822,0.887086087840822,0.7086087840822017,474.419,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,22.0,20.0,20.0
v38_long60_antipersist,KXBTC15M-26MAY011400-00,train,2026-05-01 17:54:07.105000+00:00,yes,yes,True,74.0,73.0,0.802489290566097,0.802489290566097,6.248929056609697,352.895,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,49.0,47.0,47.0
v38_long60_antipersist,KXBTC15M-26MAY011415-15,train,2026-05-01 18:08:08.275000+00:00,no,no,True,68.0,67.0,0.7719663842455102,0.2280336157544898,9.196638424551026,411.725,probability_reduce,2026-05-01 18:13:08.629000+00:00,111.371,44.0,0.3939181334734817,-4.608186652651831,-48.0,False,136.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-56.0,-58.0,-60.0
v38_long60_antipersist,KXBTC15M-26MAY011430-30,train,2026-05-01 18:21:09.226000+00:00,yes,yes,True,74.0,73.0,0.7420628382513611,0.7420628382513611,0.20628382513611143,530.774,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,49.0,47.0,47.0
v38_long60_antipersist,KXBTC15M-26MAY011445-45,train,2026-05-01 18:36:40.360000+00:00,no,no,True,67.0,65.0,0.7480686493952706,0.2519313506047294,7.80686493952706,499.64,settlement_win,,,,,,66.0,True,134.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,62.0,60.0,60.0
v38_long60_antipersist,KXBTC15M-26MAY011500-00,train,2026-05-01 18:50:11.475000+00:00,yes,no,False,73.0,72.0,0.737251075204341,0.737251075204341,0.7251075204340935,588.525,probability_reduce,2026-05-01 18:57:12.083000+00:00,167.917,8.0,0.1170208150128945,3.7020815012894506,-130.0,False,146.0,3.0,2.0,5.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-135.0,-137.0,-139.0
v38_long60_antipersist,KXBTC15M-26MAY011515-15,train,2026-05-01 19:10:13.279000+00:00,yes,yes,True,90.0,89.0,0.9320485014691612,0.9320485014691612,3.2048501469161152,286.721,settlement_win,,,,,,20.0,True,180.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,18.0,16.0,16.0
v38_long60_antipersist,KXBTC15M-26MAY011530-30,train,2026-05-01 19:23:29.192000+00:00,no,no,True,91.0,91.0,0.9277527376550893,0.0722472623449109,1.7752737655089277,390.808,settlement_win,,,,,,18.0,True,182.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,16.0,14.0,14.0
