dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard50_sec60_else_logit_thresh55_edge15,12,20,20,1.0,16,4,0.8,155.0,0.10726643598615918,71.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,13,20,20,1.0,16,4,0.8,66.0,0.04302477183833116,76.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,14,15,15,1.0,10,5,0.6666666666666666,-126.0,-0.11190053285968028,73.0,False,True
current,hazard50_sec60_else_score_min60,0,20,20,1.0,14,6,0.7,-34.0,-0.023709902370990237,70.0,False,True
current,hazard50_sec60_else_score_min60,1,20,20,1.0,16,4,0.8,154.0,0.10650069156293222,71.0,True,True
current,hazard50_sec60_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,79.0,0.055594651653764954,73.0,True,True
current,hazard50_sec60_else_score_min60,3,20,20,1.0,18,2,0.9,323.0,0.21868652674339878,73.5,True,True
current,hazard50_sec60_else_score_min60,4,20,20,1.0,14,6,0.7,-93.0,-0.0622906898861353,72.5,False,True
current,hazard50_sec60_else_score_min60,5,20,20,1.0,16,4,0.8,129.0,0.08769544527532291,71.5,True,True
current,hazard50_sec60_else_score_min60,6,20,20,1.0,16,4,0.8,73.0,0.04780615586116568,76.0,True,True
current,hazard50_sec60_else_score_min60,7,20,19,0.95,15,4,0.7894736842105263,93.0,0.06609808102345416,70.0,True,True
current,hazard50_sec60_else_score_min60,8,20,20,1.0,16,4,0.8,140.0,0.0958904109589041,72.0,True,True
current,hazard50_sec60_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,376.0,0.2640449438202247,73.0,True,True
current,hazard50_sec60_else_score_min60,10,20,20,1.0,14,6,0.7,-74.0,-0.050203527815468114,71.0,False,True
current,hazard50_sec60_else_score_min60,11,20,20,1.0,14,6,0.7,-129.0,-0.08436886854153042,75.0,False,True
current,hazard50_sec60_else_score_min60,12,20,20,1.0,16,4,0.8,153.0,0.10573600552868002,71.0,True,True
current,hazard50_sec60_else_score_min60,13,20,20,1.0,16,4,0.8,66.0,0.04302477183833116,76.0,True,True
current,hazard50_sec60_else_score_min60,14,15,15,1.0,10,5,0.6666666666666666,-126.0,-0.11190053285968028,73.0,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,0,20,16,0.8,12,4,0.75,94.0,0.08499095840867993,67.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,1,20,17,0.85,14,3,0.8235294117647058,206.0,0.17252931323283083,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,2,20,18,0.9,14,4,0.7777777777777778,80.0,0.06060606060606061,70.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,3,20,17,0.85,14,3,0.8235294117647058,188.0,0.1551155115511551,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,4,20,15,0.75,10,5,0.6666666666666666,-70.0,-0.06542056074766354,69.0,False,False
current,hazard50_sec600_else_logit_thresh55_edge15,5,20,18,0.9,11,7,0.6111111111111112,-181.0,-0.141295862607338,69.0,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,6,20,15,0.75,11,4,0.7333333333333333,2.0,0.0018214936247723133,71.0,True,False
current,hazard50_sec600_else_logit_thresh55_edge15,7,20,16,0.8,14,2,0.875,254.0,0.22164048865619546,68.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,8,20,16,0.8,12,4,0.75,26.0,0.022146507666098807,72.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,9,20,15,0.75,14,1,0.9333333333333333,295.0,0.2669683257918552,73.0,True,False
current,hazard50_sec600_else_logit_thresh55_edge15,10,20,15,0.75,9,6,0.6,-202.0,-0.18330308529945555,71.0,False,False
current,hazard50_sec600_else_logit_thresh55_edge15,11,20,19,0.95,12,7,0.631578947368421,-222.0,-0.15611814345991562,73.0,False,True
current,hazard50_sec600_else_logit_thresh55_edge15,12,20,18,0.9,14,4,0.7777777777777778,103.0,0.07941403238242097,71.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,13,20,18,0.9,14,4,0.7777777777777778,40.0,0.029411764705882353,73.0,True,True
current,hazard50_sec600_else_logit_thresh55_edge15,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-164.0,-0.17012448132780084,71.0,False,True
current,hazard50_sec600_else_score_min60,0,20,15,0.75,12,3,0.8,153.0,0.14613180515759314,68.0,True,False
current,hazard50_sec600_else_score_min60,1,20,17,0.85,14,3,0.8235294117647058,189.0,0.15606936416184972,68.0,True,True
current,hazard50_sec600_else_score_min60,2,20,18,0.9,14,4,0.7777777777777778,81.0,0.06141015921152388,70.0,True,True
current,hazard50_sec600_else_score_min60,3,20,16,0.8,14,2,0.875,242.0,0.20898100172711573,69.5,True,True
current,hazard50_sec600_else_score_min60,4,20,15,0.75,9,6,0.6,-174.0,-0.16201117318435754,69.0,False,False
current,hazard50_sec600_else_score_min60,5,20,17,0.85,12,5,0.7058823529411765,-6.0,-0.004975124378109453,69.0,False,True
current,hazard50_sec600_else_score_min60,6,20,14,0.7,11,3,0.7857142857142857,62.0,0.05973025048169557,71.5,True,False
current,hazard50_sec600_else_score_min60,7,20,15,0.75,13,2,0.8666666666666667,215.0,0.19815668202764977,69.0,True,False
current,hazard50_sec600_else_score_min60,8,20,15,0.75,12,3,0.8,99.0,0.08991825613079019,73.0,True,False
current,hazard50_sec600_else_score_min60,9,20,15,0.75,14,1,0.9333333333333333,294.0,0.26582278481012656,73.0,True,False
current,hazard50_sec600_else_score_min60,10,20,16,0.8,10,6,0.625,-165.0,-0.14163090128755365,70.5,False,True
current,hazard50_sec600_else_score_min60,11,20,18,0.9,12,6,0.6666666666666666,-154.0,-0.1137370753323486,74.0,False,True
current,hazard50_sec600_else_score_min60,12,20,18,0.9,14,4,0.7777777777777778,98.0,0.07526881720430108,71.0,True,True
current,hazard50_sec600_else_score_min60,13,20,18,0.9,14,4,0.7777777777777778,27.0,0.019664967225054626,74.0,True,True
current,hazard50_sec600_else_score_min60,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-164.0,-0.17012448132780084,71.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,0,20,20,1.0,13,7,0.65,-191.0,-0.12810194500335345,73.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,1,20,20,1.0,16,4,0.8,157.0,0.1088011088011088,71.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,2,20,19,0.95,14,5,0.7368421052631579,-50.0,-0.034482758620689655,75.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,3,20,20,1.0,18,2,0.9,315.0,0.21212121212121213,74.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,4,20,20,1.0,14,6,0.7,-143.0,-0.09267660401814647,76.5,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,5,20,20,1.0,17,3,0.85,204.0,0.13636363636363635,74.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,6,20,20,1.0,16,4,0.8,47.0,0.030264005151320026,77.5,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,7,20,19,0.95,14,5,0.7368421052631579,-101.0,-0.06728847435043304,78.0,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,156.0,0.10803324099722991,70.5,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,383.0,0.2702893436838391,73.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,10,20,20,1.0,16,4,0.8,95.0,0.06312292358803986,75.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,11,20,20,1.0,12,8,0.6,-356.0,-0.22879177377892032,75.5,False,True
current,hazard55_sec60_else_logit_thresh55_edge15,12,20,20,1.0,17,3,0.85,238.0,0.16279069767441862,72.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,13,20,20,1.0,18,2,0.9,228.0,0.1450381679389313,77.0,True,True
current,hazard55_sec60_else_logit_thresh55_edge15,14,15,15,1.0,12,3,0.8,64.0,0.056338028169014086,74.0,True,True
current,hazard55_sec60_else_score_min60,0,20,20,1.0,12,8,0.6,-304.0,-0.20212765957446807,73.0,False,True
current,hazard55_sec60_else_score_min60,1,20,20,1.0,16,4,0.8,141.0,0.09664153529814942,72.0,True,True
current,hazard55_sec60_else_score_min60,2,20,19,0.95,14,5,0.7368421052631579,-50.0,-0.034482758620689655,75.0,False,True
current,hazard55_sec60_else_score_min60,3,20,20,1.0,18,2,0.9,315.0,0.21212121212121213,74.0,True,True
current,hazard55_sec60_else_score_min60,4,20,20,1.0,13,7,0.65,-237.0,-0.1541964866623292,76.5,False,True
current,hazard55_sec60_else_score_min60,5,20,20,1.0,17,3,0.85,204.0,0.13636363636363635,74.0,True,True
current,hazard55_sec60_else_score_min60,6,20,20,1.0,16,4,0.8,51.0,0.0329244673983215,77.5,True,True
current,hazard55_sec60_else_score_min60,7,20,19,0.95,14,5,0.7368421052631579,-104.0,-0.06914893617021277,78.0,False,True
current,hazard55_sec60_else_score_min60,8,20,20,1.0,17,3,0.85,235.0,0.16040955631399317,71.5,True,True
current,hazard55_sec60_else_score_min60,9,20,19,0.95,18,1,0.9473684210526315,383.0,0.2702893436838391,73.0,True,True
current,hazard55_sec60_else_score_min60,10,20,20,1.0,16,4,0.8,95.0,0.06312292358803986,75.0,True,True
current,hazard55_sec60_else_score_min60,11,20,20,1.0,12,8,0.6,-356.0,-0.22879177377892032,75.5,False,True
current,hazard55_sec60_else_score_min60,12,20,20,1.0,17,3,0.85,236.0,0.16120218579234974,73.0,True,True
current,hazard55_sec60_else_score_min60,13,20,20,1.0,18,2,0.9,217.0,0.13708149084017687,77.5,True,True
current,hazard55_sec60_else_score_min60,14,15,15,1.0,12,3,0.8,63.0,0.055408970976253295,74.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,0,20,16,0.8,12,4,0.75,92.0,0.08303249097472924,66.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,1,20,17,0.85,14,3,0.8235294117647058,193.0,0.15990057995028997,68.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,2,20,18,0.9,13,5,0.7222222222222222,-14.0,-0.0106544901065449,72.0,False,True
current,hazard55_sec600_else_logit_thresh55_edge15,3,20,17,0.85,14,3,0.8235294117647058,187.0,0.15416323165704865,68.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,4,20,15,0.75,10,5,0.6666666666666666,-104.0,-0.09420289855072464,74.0,False,False
current,hazard55_sec600_else_logit_thresh55_edge15,5,20,18,0.9,11,7,0.6111111111111112,-198.0,-0.15254237288135594,70.0,False,True
current,hazard55_sec600_else_logit_thresh55_edge15,6,20,15,0.75,11,4,0.7333333333333333,-19.0,-0.016979445933869526,74.0,False,False
current,hazard55_sec600_else_logit_thresh55_edge15,7,20,16,0.8,14,2,0.875,222.0,0.18845500848896435,71.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,8,20,16,0.8,12,4,0.75,35.0,0.030042918454935622,71.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,9,20,15,0.75,14,1,0.9333333333333333,294.0,0.26582278481012656,73.0,True,False
current,hazard55_sec600_else_logit_thresh55_edge15,10,20,15,0.75,9,6,0.6,-222.0,-0.19786096256684493,72.0,False,False
current,hazard55_sec600_else_logit_thresh55_edge15,11,20,19,0.95,11,8,0.5789473684210527,-350.0,-0.2413793103448276,74.0,False,True
current,hazard55_sec600_else_logit_thresh55_edge15,12,20,18,0.9,15,3,0.8333333333333334,188.0,0.14329268292682926,71.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,13,20,18,0.9,14,4,0.7777777777777778,36.0,0.026392961876832845,74.0,True,True
current,hazard55_sec600_else_logit_thresh55_edge15,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-146.0,-0.1543340380549683,70.0,False,True
current,hazard55_sec600_else_score_min60,0,20,15,0.75,11,4,0.7333333333333333,32.0,0.0299625468164794,71.0,True,False
current,hazard55_sec600_else_score_min60,1,20,17,0.85,14,3,0.8235294117647058,176.0,0.1437908496732026,68.0,True,True
current,hazard55_sec600_else_score_min60,2,20,18,0.9,14,4,0.7777777777777778,75.0,0.05660377358490566,72.0,True,True
current,hazard55_sec600_else_score_min60,3,20,16,0.8,14,2,0.875,241.0,0.2079378774805867,69.5,True,True
current,hazard55_sec600_else_score_min60,4,20,15,0.75,9,6,0.6,-208.0,-0.18772563176895307,74.0,False,False
current,hazard55_sec600_else_score_min60,5,20,17,0.85,12,5,0.7058823529411765,-23.0,-0.018806214227309895,71.0,False,True
current,hazard55_sec600_else_score_min60,6,20,14,0.7,11,3,0.7857142857142857,41.0,0.03871576959395656,74.0,True,False
current,hazard55_sec600_else_score_min60,7,20,15,0.75,12,3,0.8,69.0,0.0610079575596817,74.0,True,False
current,hazard55_sec600_else_score_min60,8,20,14,0.7,12,2,0.8571428571428571,165.0,0.15942028985507245,72.0,True,False
current,hazard55_sec600_else_score_min60,9,20,15,0.75,14,1,0.9333333333333333,293.0,0.2646793134598013,73.0,True,False
current,hazard55_sec600_else_score_min60,10,20,16,0.8,10,6,0.625,-193.0,-0.16177703269069574,73.5,False,True
current,hazard55_sec600_else_score_min60,11,20,18,0.9,11,7,0.6111111111111112,-282.0,-0.2040520984081042,74.5,False,True
current,hazard55_sec600_else_score_min60,12,20,18,0.9,15,3,0.8333333333333334,184.0,0.1398176291793313,72.0,True,True
current,hazard55_sec600_else_score_min60,13,20,18,0.9,14,4,0.7777777777777778,23.0,0.01670297748729121,75.5,True,True
current,hazard55_sec600_else_score_min60,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-152.0,-0.15966386554621848,70.0,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,0,20,20,1.0,14,6,0.7,-97.0,-0.06479625918503674,73.5,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,1,20,20,1.0,15,5,0.75,30.0,0.02040816326530612,74.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,2,20,19,0.95,15,4,0.7894736842105263,59.0,0.040943789035392086,75.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,3,20,20,1.0,16,4,0.8,134.0,0.09140518417462483,72.5,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,4,20,20,1.0,13,7,0.65,-219.0,-0.14417379855167872,77.0,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,5,20,20,1.0,16,4,0.8,143.0,0.09814687714481812,72.5,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,6,20,20,1.0,16,4,0.8,89.0,0.05890138980807412,74.5,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,7,20,19,0.95,15,4,0.7894736842105263,15.0,0.010101010101010102,78.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,138.0,0.09439124487004104,72.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,353.0,0.24395300621976504,75.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,10,20,20,1.0,15,5,0.75,-7.0,-0.0046449900464499,74.5,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,11,20,20,1.0,14,6,0.7,-155.0,-0.09967845659163987,77.0,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,12,20,20,1.0,15,5,0.75,47.0,0.03234686854783207,71.0,True,True
current,hazard60_sec60_else_logit_thresh55_edge15,13,20,20,1.0,15,5,0.75,-46.0,-0.029754204398447608,76.0,False,True
current,hazard60_sec60_else_logit_thresh55_edge15,14,15,15,1.0,12,3,0.8,72.0,0.06382978723404255,74.0,True,True
current,hazard60_sec60_else_score_min60,0,20,20,1.0,13,7,0.65,-210.0,-0.1390728476821192,73.5,False,True
current,hazard60_sec60_else_score_min60,1,20,20,1.0,15,5,0.75,14.0,0.009421265141318977,74.0,True,True
current,hazard60_sec60_else_score_min60,2,20,19,0.95,15,4,0.7894736842105263,59.0,0.040943789035392086,75.0,True,True
current,hazard60_sec60_else_score_min60,3,20,20,1.0,17,3,0.85,227.0,0.15410726408689748,72.5,True,True
current,hazard60_sec60_else_score_min60,4,20,20,1.0,13,7,0.65,-223.0,-0.1464215364412344,77.0,False,True
current,hazard60_sec60_else_score_min60,5,20,20,1.0,16,4,0.8,142.0,0.09739368998628258,72.5,True,True
current,hazard60_sec60_else_score_min60,6,20,20,1.0,16,4,0.8,77.0,0.050558108995403805,76.0,True,True
