threshold_cents,max_entry_ask_cents,window,exit_gate,entries,wins,losses,win_rate,wrong_side,exits,settlement_losses,net_pnl_cents,avg_pnl_cents,max_drawdown_cents,remove_best_market_net_cents,market_lcb_cents,worst_trade_cents,best_trade_cents
90.000000,98.000000,last_5_min,bid_lt_entry_minus_10,50,44,6,0.880000,5,1,5,-203.000000,-4.060000,299.000000,-212.000000,-10.938337,-92.000000,9.000000
90.000000,98.000000,last_5_min,edge_lt_0,50,38,11,0.760000,5,7,5,-250.400000,-5.008000,313.800000,-259.400000,-11.821808,-92.000000,9.000000
90.000000,98.000000,last_5_min,fair_lt_75_or_bid_lt_entry_minus_10,50,42,8,0.840000,5,3,5,-213.200000,-4.264000,299.000000,-222.200000,-11.113331,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,hold,62,57,5,0.919355,5,0,5,17.000000,0.274194,177.000000,8.000000,-5.424577,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,fair_lt_70,62,56,6,0.903226,5,1,5,4.000000,0.064516,177.000000,-5.000000,-5.630472,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,fair_lt_75,62,54,8,0.870968,5,3,5,-16.100000,-0.259677,177.000000,-25.100000,-5.944450,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,fair_lt_80,62,52,10,0.838710,5,5,5,-47.100000,-0.759677,180.000000,-56.100000,-6.441660,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,v28_fair_lt_75,62,54,8,0.870968,5,3,5,-16.100000,-0.259677,177.000000,-25.100000,-5.944450,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,bid_lt_entry_minus_10,62,55,7,0.887097,5,2,5,-30.000000,-0.483871,179.000000,-39.000000,-6.201525,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,edge_lt_0,62,48,13,0.774194,5,13,5,-104.900000,-1.691935,215.200000,-113.900000,-7.336583,-92.000000,9.000000
90.000000,98.000000,all_recorded_preclose,fair_lt_75_or_bid_lt_entry_minus_10,62,53,9,0.854839,5,4,5,-41.100000,-0.662903,179.000000,-50.100000,-6.360293,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,hold,63,56,5,0.888889,5,0,7,16.000000,0.253968,177.000000,7.000000,-5.353592,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,fair_lt_70,63,55,6,0.873016,5,1,7,3.000000,0.047619,177.000000,-6.000000,-5.556189,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,fair_lt_75,63,53,8,0.841270,5,3,7,-17.100000,-0.271429,177.000000,-26.100000,-5.865149,-92.000000,9.000000
90.000000,99.900000,1_to_15_min,fair_lt_80,63,51,10,0.809524,5,5,7,-48.100000,-0.763492,180.000000,-57.100000,-6.354437,-92.000000,9.000000
