policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,spot,margin_per_rv_sigma_15m,signed_velocity_dps_1m,signed_velocity_dps_3m,brownian_p_rv_15m,raw_p_yes,book_mid_p_yes,raw_selected_side,raw_selected_edge_cents,latent_hole_active,latent_disagreement_book_switch,recross_hazard_active,recross_side_margin_sigma15,recross_side_velocity_3m,thin_edge_certainty_active,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050615-15,heartbeat:62183,2026-05-05 10:07:33.094000+00:00,2026-05-05 10:15:00+00:00,62183,yes,96.0,0.12486098935001166,0.9612486098935001,0.9612486098935001,80679.81,-1.7253742300329842,-0.6721666666666958,-0.568388888888876,0.04223002617947663,0.9612486098935001,0.955,yes,0.12486098935001166,False,False,False,1.7253742300329842,0.568388888888876,False,2026-05-05 10:10:38.187970+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,8.0,1.0,1.0,7.0,5.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050630-30,heartbeat:62271,2026-05-05 10:24:49.831000+00:00,2026-05-05 10:30:00+00:00,62271,yes,91.0,0.0,0.91,0.91,80731.5,-0.9523085304999955,0.0800000000000485,0.04249999999996766,0.17047026640913449,0.8676767098894764,0.91,no,4.232329011052357,True,True,False,0.9523085304999955,-0.04249999999996766,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,18.0,2.0,2.0,16.0,14.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050645-45,heartbeat:62320,2026-05-05 10:35:35.682000+00:00,2026-05-05 10:45:00+00:00,62320,yes,92.0,1.6444209068620097,0.9364442090686201,0.9364442090686201,80833.74,-1.3618063522658599,-1.2525000000001456,-0.3815555555555976,0.08662950317197254,0.9364442090686201,0.92,yes,1.6444209068620097,False,False,False,1.3618063522658599,0.3815555555555976,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,16.0,2.0,2.0,14.0,12.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050700-00,heartbeat:62405,2026-05-05 10:55:22.582000+00:00,2026-05-05 11:00:00+00:00,62405,no,97.0,1.160910294197123,0.9816091029419712,0.018390897058028766,80734.36,3.2443631726086535,0.3230000000000776,0.3551666666666279,0.9994114322179068,0.01839089705802873,0.035,no,1.160910294197123,False,False,False,3.2443631726086535,0.3551666666666279,False,2026-05-05 12:35:38.354517+00:00,2026-05-05 10:58:07.712000+00:00,45.0,0.4678692198681563,4.0,,,,-104.0,1.0,5.0,-109.0,-111.0,exited
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050715-15,heartbeat:62466,2026-05-05 11:09:08.649000+00:00,2026-05-05 11:15:00+00:00,62466,yes,63.0,2.4578497637202474,0.6545784976372024,0.6545784976372024,80852.48,-0.4302657174771356,-0.09599999999991268,-0.03194444444444444,0.33350118105735393,0.6545784976372024,0.625,yes,2.4578497637202474,False,False,False,0.4302657174771356,0.03194444444444444,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,74.0,4.0,4.0,70.0,68.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050730-30,heartbeat:62530,2026-05-05 11:23:39.859000+00:00,2026-05-05 11:30:00+00:00,62530,no,86.0,0.04398762622483332,0.8604398762622484,0.13956012373775162,80853.98,0.6067698015858071,-0.2736666666666376,0.04577777777780688,0.7279981541869158,0.13956012373775165,0.145,no,0.04398762622483332,False,False,False,0.6067698015858071,0.04577777777780688,False,2026-05-05 12:35:38.354517+00:00,2026-05-05 11:28:10.264000+00:00,7.0,0.13423503477510534,1.0,,,,-158.0,2.0,3.0,-161.0,-163.0,exited
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050745-45,heartbeat:62593,2026-05-05 11:35:11.058000+00:00,2026-05-05 11:45:00+00:00,62593,yes,67.0,0.471078258016675,0.6747107825801667,0.6747107825801667,81016.15,-0.9207801608777305,-0.808833333333314,-0.2563333333333301,0.17858260742221505,0.7901859222300429,0.66,yes,12.01859222300429,True,False,False,0.9207801608777305,0.2563333333333301,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,66.0,4.0,4.0,62.0,60.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050800-00,heartbeat:62663,2026-05-05 11:51:12.163000+00:00,2026-05-05 12:00:00+00:00,62663,no,95.0,1.9553558830433957,0.9695535588304339,0.030446441169566074,80907.06,1.1225286504219607,1.7675000000000485,0.9090555555555814,0.869181133559332,0.03044644116956606,0.05,no,1.9553558830433957,False,False,False,1.1225286504219607,0.9090555555555814,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,no,2026-05-05 12:35:39.081278+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050815-15,heartbeat:62735,2026-05-05 12:07:43.591000+00:00,2026-05-05 12:15:00+00:00,62735,yes,64.0,2.2719183988315024,0.662719183988315,0.662719183988315,81064.62,-0.7287268990499938,-1.1439999999999904,-0.34733333333327515,0.23308436760297158,0.8545578774160636,0.635,yes,21.455787741606358,True,False,True,0.7287268990499938,0.34733333333327515,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,72.0,4.0,4.0,68.0,66.0,settled
v53_weakrecross_sigma08_v3p15_cap68_thin_ask90_edge1_stc450_cap75_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050830-30,heartbeat:62825,2026-05-05 12:26:00.241000+00:00,2026-05-05 12:30:00+00:00,62825,yes,91.0,0.9633179842237496,0.9196331798422375,0.9196331798422375,81187.85,-1.2426418769704253,-1.1504999999999805,-0.5713888888889213,0.10699991550365884,0.9721051068686002,0.91,yes,6.210510686860019,True,False,False,1.2426418769704253,0.5713888888889213,False,2026-05-05 12:35:38.354517+00:00,,,,0.0,yes,2026-05-05 12:35:39.081278+00:00,True,18.0,2.0,2.0,16.0,14.0,settled
