source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,ask_prob,v28_minus_ask_prob,disagreement_bucket,book_brier,v28_brier,v28_brier_minus_book_brier
rejected_actionable,KXBTC15M-26MAY070200-00,yes,p_below_floor,0.50571,0.0,0.2557426041,50_60,True,17.071017,30,532.791,79.862484,0.6024318401067633,True,-60.0,0.3,0.20571,v28_plus_15,0.09,0.2557426041,0.1657426041
rejected_actionable,KXBTC15M-26MAY070530-30,no,p_below_floor,0.540822,1.0,0.21084443568399996,50_60,True,2.082177,48,879.618,103.336826,0.8946677145970718,True,104.0,0.48,0.06082200000000004,v28_plus_03_08,0.27040000000000003,0.21084443568399996,-0.059555564316000065
rejected_actionable,KXBTC15M-26MAY070530-30,no,ask_too_high,0.957387,1.0,0.001815867769000001,95_100,True,1.738741,91,319.32,61.783713,0.08590227945297774,False,18.0,0.91,0.04738699999999996,v28_plus_03_08,0.008099999999999994,0.001815867769000001,-0.006284132230999993
rejected_actionable,KXBTC15M-26MAY070530-30,yes,p_below_floor,0.459178,0.0,0.21084443568399996,00_50,True,-11.082177,53,879.618,103.336826,0.8946677145970718,True,-106.0,0.53,-0.07082200000000005,v28_below_book,0.28090000000000004,0.21084443568399996,-0.07005556431600007
entry,KXBTC15M-26MAY070545-45,no,approved_entry,0.925171,1.0,0.005599379241000005,90_95,True,7.017143,82,351.487,66.690641,0.12492601757355813,False,18.0,0.82,0.10517100000000001,v28_plus_08_15,0.03240000000000002,0.005599379241000005,-0.026800620759000013
rejected_actionable,KXBTC15M-26MAY070545-45,no,p_below_floor,0.292353,1.0,0.500764276609,00_50,True,-15.764695,41,855.69,101.328958,0.6220148866755595,True,118.0,0.41,-0.117647,v28_below_book,0.3481000000000001,0.500764276609,0.15266427660899995
rejected_actionable,KXBTC15M-26MAY070545-45,no,edge_below_floor,0.892011,1.0,0.011661624121,85_90,True,-3.798902,90,379.714,68.787024,0.15993028518986532,False,20.0,0.9,-0.007989000000000024,slightly_below_book,0.009999999999999995,0.011661624121,0.0016616241210000056
rejected_actionable,KXBTC15M-26MAY070545-45,no,ask_too_high,0.892025,1.0,0.01165860062500001,85_90,True,-4.79748,91,379.544,68.771624,0.1598219200025223,False,18.0,0.91,-0.017975000000000074,slightly_below_book,0.008099999999999994,0.01165860062500001,0.0035586006250000156
rejected_actionable,KXBTC15M-26MAY070545-45,yes,p_below_floor,0.707647,0.0,0.500764276609,70_80,True,6.764695,60,855.69,101.328958,0.6220148866755595,True,-120.0,0.6,0.10764700000000005,v28_plus_08_15,0.36,0.500764276609,0.14076427660900004
rejected_actionable,KXBTC15M-26MAY070600-00,no,p_below_floor,0.408775,0.0,0.167097000625,00_50,True,-0.122484,37,739.991,98.623231,0.7591949273414819,True,-74.0,0.37,0.038775000000000004,v28_plus_03_08,0.1369,0.167097000625,0.030197000624999998
