mode,split,model,horizon_seconds,family,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_minute_bucket,train,v34_h100_antipersist,100,v34_antipersist,5876,2938,0.15214184412763795,0.45375824694458805,0.019304321685998622,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h100_antipersist,100,v34_antipersist,1964,982,0.13736199336064167,0.4095491174173792,0.013761369927332399,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h100_antipersist,100,v34_antipersist,1956,978,0.15062278524073014,0.4467851022246024,0.01302967870293159,744,0.7607361963190185
two_side_minute_bucket,all,v32_h110_settle,110,v32_settle,9796,4898,0.14934782139035718,0.44527531166629947,0.014326732430718275,3759,0.7674561045324623
two_side_minute_bucket,train,v32_h110_settle,110,v32_settle,5876,2938,0.15219721388921814,0.4545750821821977,0.0199747405631568,2248,0.765146358066712
two_side_minute_bucket,validation,v32_h110_settle,110,v32_settle,1964,982,0.13955792430113886,0.4159302951996375,0.013575134636822923,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h110_settle,110,v32_settle,1956,978,0.1506179275048345,0.4468030012312816,0.012592778492806734,749,0.7658486707566462
two_side_minute_bucket,all,v34_h110_antipersist,110,v34_antipersist,9796,4898,0.14891426840145341,0.4439463638121554,0.015030053404471763,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h110_antipersist,110,v34_antipersist,5876,2938,0.1522124005530786,0.4545603078862842,0.019194743404781566,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h110_antipersist,110,v34_antipersist,1964,982,0.137454508383908,0.40986760048345555,0.01225996630659519,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h110_antipersist,110,v34_antipersist,1956,978,0.1505130128551903,0.44627926554936703,0.01130172008223489,745,0.7617586912065439
two_side_minute_bucket,all,v32_h120_settle,120,v32_settle,9796,4898,0.14960535574527503,0.44639060883023873,0.013462306055895783,3759,0.7674561045324623
two_side_minute_bucket,train,v32_h120_settle,120,v32_settle,5876,2938,0.1526321793432737,0.45593972049425424,0.019680778509890594,2248,0.765146358066712
two_side_minute_bucket,validation,v32_h120_settle,120,v32_settle,1964,982,0.1394997228750987,0.41649146780185026,0.011687250873393258,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h120_settle,120,v32_settle,1956,978,0.15065947000661756,0.44772564607052456,0.01271422697878986,749,0.7658486707566462
two_side_minute_bucket,all,v34_h120_antipersist,120,v34_antipersist,9796,4898,0.14916156222770424,0.4450252730865508,0.013989305959326025,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h120_antipersist,120,v34_antipersist,5876,2938,0.15263995440214806,0.45590323286016227,0.01923687404291949,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h120_antipersist,120,v34_antipersist,1964,982,0.1373813945525734,0.41035972774762014,0.00923234212753962,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h120_antipersist,120,v34_antipersist,1956,978,0.1505405074715311,0.4471542298431554,0.010729330460883407,745,0.7617586912065439
two_side_minute_bucket,all,v32_h130_settle,130,v32_settle,9796,4898,0.1495189585769184,0.44618592958643094,0.012291187135212414,3759,0.7674561045324623
two_side_minute_bucket,train,v32_h130_settle,130,v32_settle,5876,2938,0.15253671529047594,0.4558049446729074,0.017890801537218136,2248,0.765146358066712
two_side_minute_bucket,validation,v32_h130_settle,130,v32_settle,1964,982,0.1394692319611128,0.4162534633876253,0.015205161295967136,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h130_settle,130,v32_settle,1956,978,0.1505441756651485,0.4473444321254485,0.010920231131932261,749,0.7658486707566462
two_side_minute_bucket,all,v34_h130_antipersist,130,v34_antipersist,9796,4898,0.14907935853841028,0.4448458379349011,0.014339403199282697,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h130_antipersist,130,v34_antipersist,5876,2938,0.1525505786882608,0.4558063583651125,0.019404537479644185,2247,0.7648059904697073
two_side_minute_bucket,validation,v34_h130_antipersist,130,v34_antipersist,1964,982,0.1373484851407399,0.4101097873430951,0.009398979141670505,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h130_antipersist,130,v34_antipersist,1956,978,0.15043035329940355,0.4467975686682266,0.011479357786381029,745,0.7617586912065439
two_side_minute_bucket,all,v32_h140_settle,140,v32_settle,9796,4898,0.14944710167246764,0.44605559835059383,0.011936858326874973,3760,0.7676602694977542
two_side_minute_bucket,train,v32_h140_settle,140,v32_settle,5876,2938,0.15245826888475522,0.45573569288910654,0.018899550970652945,2249,0.7654867256637168
two_side_minute_bucket,validation,v32_h140_settle,140,v32_settle,1964,982,0.13943551543537952,0.41605472478861383,0.014298537456148046,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h140_settle,140,v32_settle,1956,978,0.15045381784334655,0.44709929986768393,0.009336864497316515,749,0.7658486707566462
two_side_minute_bucket,all,v34_h140_antipersist,140,v34_antipersist,9796,4898,0.14901069013041585,0.4447407447446679,0.013830652562272122,3761,0.7678644344630461
two_side_minute_bucket,train,v34_h140_antipersist,140,v34_antipersist,5876,2938,0.15247778540592424,0.45577574434645735,0.018244767479691067,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h140_antipersist,140,v34_antipersist,1964,982,0.13731249840809065,0.40990762148294724,0.009383552335313801,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h140_antipersist,140,v34_antipersist,1956,978,0.15034126104235807,0.44656620304011985,0.011655918366538549,745,0.7617586912065439
two_side_minute_bucket,all,v32_h150_settle,150,v32_settle,9796,4898,0.1493717830014792,0.4459468127798975,0.011836122750810411,3760,0.7676602694977542
two_side_minute_bucket,train,v32_h150_settle,150,v32_settle,5876,2938,0.15237231704574544,0.4557225182867327,0.019185901387205728,2249,0.7654867256637168
two_side_minute_bucket,validation,v32_h150_settle,150,v32_settle,1964,982,0.13940018854276132,0.41579775162151017,0.01557436565162577,762,0.7759674134419552
two_side_minute_bucket,holdout,v32_h150_settle,150,v32_settle,1956,978,0.15037028682193607,0.4468520840257609,0.008526784966120023,749,0.7658486707566462
two_side_minute_bucket,all,v34_h150_antipersist,150,v34_antipersist,9796,4898,0.14893852705082547,0.44466092171428395,0.01420954842006773,3760,0.7676602694977542
two_side_minute_bucket,train,v34_h150_antipersist,150,v34_antipersist,5876,2938,0.15239729419541473,0.4558071659807315,0.01872367690336495,2248,0.765146358066712
two_side_minute_bucket,validation,v34_h150_antipersist,150,v34_antipersist,1964,982,0.13727315657315003,0.4096429697862866,0.011273538232423667,768,0.7820773930753564
two_side_minute_bucket,holdout,v34_h150_antipersist,150,v34_antipersist,1956,978,0.1502611609345412,0.4463377756391003,0.015884440954212722,744,0.7607361963190185
