dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec600_else_logit_thresh55_edge15,hour,1,7,5,2,0.7142857142857143,-4.0,-0.5714285714285714,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,10,10,9,1,0.9,213.0,21.3,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,11,11,8,3,0.7272727272727273,7.0,0.6363636363636364,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,12,11,10,1,0.9090909090909091,195.0,17.727272727272727,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,13,11,6,5,0.5454545454545454,-195.0,-17.727272727272727,72.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,14,10,7,3,0.7,-20.0,-2.0,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,15,8,5,3,0.625,-54.0,-6.75,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,17,11,9,2,0.8181818181818182,124.0,11.272727272727273,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,18,11,8,3,0.7272727272727273,22.0,2.0,70.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,19,9,8,1,0.8888888888888888,138.0,15.333333333333334,71.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,2,12,9,3,0.75,41.0,3.4166666666666665,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,20,11,8,3,0.7272727272727273,27.0,2.4545454545454546,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,21,10,8,2,0.8,33.0,3.3,73.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,22,11,9,2,0.8181818181818182,124.0,11.272727272727273,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,23,10,9,1,0.9,185.0,18.5,68.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,3,12,6,6,0.5,-258.0,-21.5,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,4,13,10,3,0.7692307692307693,100.0,7.6923076923076925,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,5,14,10,4,0.7142857142857143,26.0,1.8571428571428572,67.5
current,hazard45_sec600_else_logit_thresh55_edge15,hour,6,12,12,0,1.0,351.0,29.25,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,7,9,7,2,0.7777777777777778,84.0,9.333333333333334,66.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,8,8,3,5,0.375,-267.0,-33.375,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,9,9,4,5,0.4444444444444444,-247.0,-27.444444444444443,70.0
current,hazard45_sec600_else_logit_thresh55_edge15,ask,ask<=60,18,10,8,0.5555555555555556,-71.0,-3.9444444444444446,58.0
current,hazard45_sec600_else_logit_thresh55_edge15,ask,ask<=70,134,90,44,0.6716417910447762,-209.0,-1.5597014925373134,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,ask,ask<=80,90,76,14,0.8444444444444444,709.0,7.877777777777778,74.0
current,hazard45_sec600_else_logit_thresh55_edge15,ask,ask<=95,4,4,0,1.0,54.0,13.5,84.5
current,hazard45_sec600_else_logit_thresh55_edge15,time,sec<=900,246,180,66,0.7317073170731707,483.0,1.9634146341463414,69.0
current,hazard45_sec600_else_score_min60,selector,fallback_score_min60,18,12,6,0.6666666666666666,-95.0,-5.277777777777778,64.5
current,hazard45_sec600_else_score_min60,selector,hazard_primary_0.45,223,169,54,0.757847533632287,997.0,4.4708520179372195,69.0
current,hazard45_sec600_else_score_min60,split,holdout,53,38,15,0.7169811320754716,-80.0,-1.509433962264151,71.0
current,hazard45_sec600_else_score_min60,split,train,141,107,34,0.7588652482269503,758.0,5.375886524822695,68.0
current,hazard45_sec600_else_score_min60,split,validation,47,36,11,0.7659574468085106,224.0,4.76595744680851,69.0
current,hazard45_sec600_else_score_min60,side,no,122,89,33,0.7295081967213115,217.0,1.778688524590164,69.0
current,hazard45_sec600_else_score_min60,side,yes,119,92,27,0.773109243697479,685.0,5.756302521008403,69.0
current,hazard45_sec600_else_score_min60,hour,0,8,5,3,0.625,-75.0,-9.375,69.0
current,hazard45_sec600_else_score_min60,hour,1,6,5,1,0.8333333333333334,54.0,9.0,70.0
current,hazard45_sec600_else_score_min60,hour,10,10,10,0,1.0,305.0,30.5,66.5
current,hazard45_sec600_else_score_min60,hour,11,11,8,3,0.7272727272727273,7.0,0.6363636363636364,69.0
current,hazard45_sec600_else_score_min60,hour,12,11,10,1,0.9090909090909091,195.0,17.727272727272727,69.0
current,hazard45_sec600_else_score_min60,hour,13,11,6,5,0.5454545454545454,-195.0,-17.727272727272727,72.0
current,hazard45_sec600_else_score_min60,hour,14,10,7,3,0.7,-20.0,-2.0,69.0
current,hazard45_sec600_else_score_min60,hour,15,7,5,2,0.7142857142857143,14.0,2.0,68.0
current,hazard45_sec600_else_score_min60,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,hazard45_sec600_else_score_min60,hour,17,10,8,2,0.8,94.0,9.4,69.5
current,hazard45_sec600_else_score_min60,hour,18,10,8,2,0.8,84.0,8.4,71.0
current,hazard45_sec600_else_score_min60,hour,19,9,8,1,0.8888888888888888,138.0,15.333333333333334,71.0
