label,feature_set,c_value,prob_threshold,ask_cap,min_seconds,target_pass,wilson_pass,train_selected_candidate,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,all_median_ask,all_median_seconds_to_close,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,train_median_ask,train_median_seconds_to_close,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,validation_median_ask,validation_median_seconds_to_close,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents,holdout_median_ask,holdout_median_seconds_to_close
physics_no_book_price; C=0.05; p>=0.95; ask<=100; sec>=120,physics_no_book_price,0.05,0.95,100.0,120.0,False,False,False,1.0,0.4375,0.7846891972623642,156,82,80,2,0.975609756097561,0.5256410256410257,0.9153662160893605,102.0,97.0,296.32050000000004,93,53,51,2,0.9622641509433962,0.5698924731182796,0.8724571280258164,2.0,97.0,297.642,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,54.0,97.0,285.129,32,14,14,0,1.0,0.4375,0.7846891972623642,46.0,97.0,284.6025
book_physics; C=0.1; p>=0.95; ask<=95; sec>=0,book_physics,0.1,0.95,95.0,0.0,False,False,False,1.0,0.15625,0.5655175352168252,156,39,38,1,0.9743589743589743,0.25,0.8681900983014994,146.0,94.0,310.723,93,25,24,1,0.96,0.26881720430107525,0.8045593626380625,48.0,94.0,331.366,31,9,9,0,1.0,0.2903225806451613,0.700854951580456,70.0,95.0,105.65,32,5,5,0,1.0,0.15625,0.5655175352168252,28.0,94.0,316.971
book_physics; C=0.1; p>=0.95; ask<=95; sec>=60,book_physics,0.1,0.95,95.0,60.0,False,False,False,1.0,0.15625,0.5655175352168252,156,37,36,1,0.972972972972973,0.23717948717948717,0.861759301362695,113.0,94.0,316.971,93,24,23,1,0.9583333333333334,0.25806451612903225,0.7975819352134406,40.0,94.0,346.062,31,8,8,0,1.0,0.25806451612903225,0.6755924351161198,45.0,95.0,168.015,32,5,5,0,1.0,0.15625,0.5655175352168252,28.0,94.0,316.971
book_physics; C=1; p>=0.95; ask<=95; sec>=0,book_physics,1.0,0.95,95.0,0.0,False,False,False,1.0,0.375,0.7575059933447591,156,64,62,2,0.96875,0.41025641025641024,0.8930270822904168,200.0,94.0,328.848,93,37,35,2,0.9459459459459459,0.3978494623655914,0.822953456491869,13.0,95.0,333.75,31,15,15,0,1.0,0.4838709677419355,0.7961166989641514,114.0,94.0,230.38,32,12,12,0,1.0,0.375,0.7575059933447591,73.0,94.0,318.702
book_physics; C=1; p>=0.95; ask<=100; sec>=240,book_physics,1.0,0.95,100.0,240.0,False,False,False,1.0,0.3225806451612903,0.7224672001371106,156,64,62,2,0.96875,0.41025641025641024,0.8930270822904168,87.0,96.0,412.96000000000004,93,43,41,2,0.9534883720930233,0.46236559139784944,0.8454450199593604,-17.0,96.0,412.618,31,10,10,0,1.0,0.3225806451612903,0.7224672001371106,55.0,95.0,442.6645,32,11,11,0,1.0,0.34375,0.7411670330319683,49.0,96.0,410.086
book_physics; C=0.1; p>=0.95; ask<=95; sec>=120,book_physics,0.1,0.95,95.0,120.0,False,False,False,1.0,0.12903225806451613,0.5101091635454027,156,32,31,1,0.96875,0.20512820512820512,0.8425573617998744,87.0,94.0,371.674,93,23,22,1,0.9565217391304348,0.24731182795698925,0.7900884492974113,35.0,94.0,360.758,31,4,4,0,1.0,0.12903225806451613,0.5101091635454027,24.0,94.0,397.776,32,5,5,0,1.0,0.15625,0.5655175352168252,28.0,94.0,316.971
book_physics_price; C=1; p>=0.95; ask<=100; sec>=240,book_physics_price,1.0,0.95,100.0,240.0,False,False,False,1.0,0.3225806451612903,0.7224672001371106,156,63,61,2,0.9682539682539683,0.40384615384615385,0.8914352295339256,81.0,96.0,409.393,93,41,39,2,0.9512195121951219,0.44086021505376344,0.8386102112962914,-33.0,96.0,406.421,31,10,10,0,1.0,0.3225806451612903,0.7224672001371106,53.0,95.0,416.9225,32,12,12,0,1.0,0.375,0.7575059933447591,61.0,95.0,410.22950000000003
book_physics; C=1; p>=0.95; ask<=95; sec>=60,book_physics,1.0,0.95,95.0,60.0,False,False,False,1.0,0.375,0.7575059933447591,156,62,60,2,0.967741935483871,0.3974358974358974,0.8897953040501456,170.0,94.0,334.003,93,36,34,2,0.9444444444444444,0.3870967741935484,0.8185534279135275,8.0,95.0,334.003,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,89.0,94.5,319.0915,32,12,12,0,1.0,0.375,0.7575059933447591,73.0,94.0,318.702
book_physics; C=0.05; p>=0.95; ask<=95; sec>=0,book_physics,0.05,0.95,95.0,0.0,False,False,False,1.0,0.15625,0.5655175352168252,156,31,30,1,0.967741935483871,0.1987179487179487,0.838058948352751,94.0,95.0,300.678,93,19,18,1,0.9473684210526315,0.20430107526881722,0.753612688331012,8.0,95.0,310.723,31,7,7,0,1.0,0.22580645161290322,0.6456695649333126,59.0,94.0,98.325,32,5,5,0,1.0,0.15625,0.5655175352168252,27.0,95.0,316.971
book_physics_price; C=0.3; p>=0.95; ask<=100; sec>=240,book_physics_price,0.3,0.95,100.0,240.0,False,False,False,1.0,0.2903225806451613,0.700854951580456,156,61,59,2,0.9672131147540983,0.391025641025641,0.8881050958050438,43.0,96.0,405.662,93,41,39,2,0.9512195121951219,0.44086021505376344,0.8386102112962914,-44.0,96.0,405.232,31,9,9,0,1.0,0.2903225806451613,0.700854951580456,41.0,97.0,416.096,32,11,11,0,1.0,0.34375,0.7411670330319683,46.0,96.0,365.004
book_physics; C=0.3; p>=0.95; ask<=100; sec>=240,book_physics,0.3,0.95,100.0,240.0,False,False,False,1.0,0.28125,0.700854951580456,156,60,58,2,0.9666666666666667,0.38461538461538464,0.886362257256914,38.0,96.0,409.45000000000005,93,41,39,2,0.9512195121951219,0.44086021505376344,0.8386102112962914,-44.0,97.0,408.814,31,10,10,0,1.0,0.3225806451612903,0.7224672001371106,48.0,96.0,420.1175,32,9,9,0,1.0,0.28125,0.700854951580456,34.0,96.0,407.157
book_physics_price; C=0.05; p>=0.95; ask<=95; sec>=0,book_physics_price,0.05,0.95,95.0,0.0,False,False,False,1.0,0.125,0.5101091635454027,156,30,29,1,0.9666666666666667,0.19230769230769232,0.8332960900859081,66.0,95.0,259.544,93,18,17,1,0.9444444444444444,0.1935483870967742,0.7424269921812741,0.0,95.0,259.544,31,8,8,0,1.0,0.25806451612903225,0.6755924351161198,45.0,95.0,165.297,32,4,4,0,1.0,0.125,0.5101091635454027,21.0,95.0,338.79949999999997
book_physics_price; C=0.1; p>=0.95; ask<=100; sec>=240,book_physics_price,0.1,0.95,100.0,240.0,False,False,False,1.0,0.28125,0.700854951580456,156,59,57,2,0.9661016949152542,0.3782051282051282,0.8845642924988926,7.0,97.0,390.649,93,40,38,2,0.95,0.43010752688172044,0.8349612263085904,-58.0,97.0,394.5045,31,10,10,0,1.0,0.3225806451612903,0.7224672001371106,37.0,97.0,405.117,32,9,9,0,1.0,0.28125,0.700854951580456,28.0,97.0,348.583
book_physics; C=0.05; p>=0.95; ask<=95; sec>=60,book_physics,0.05,0.95,95.0,60.0,False,False,False,1.0,0.15625,0.5655175352168252,156,29,28,1,0.9655172413793104,0.1858974358974359,0.8282447812067973,61.0,95.0,310.723,93,18,17,1,0.9444444444444444,0.1935483870967742,0.7424269921812741,0.0,95.0,346.6565,31,6,6,0,1.0,0.1935483870967742,0.6096657120978346,34.0,94.5,101.98750000000001,32,5,5,0,1.0,0.15625,0.5655175352168252,27.0,95.0,316.971
book_physics_price; C=0.05; p>=0.95; ask<=95; sec>=60,book_physics_price,0.05,0.95,95.0,60.0,False,False,False,1.0,0.125,0.5101091635454027,156,29,28,1,0.9655172413793104,0.1858974358974359,0.8282447812067973,58.0,95.0,284.19,93,17,16,1,0.9411764705882353,0.1827956989247312,0.7301796936242461,-8.0,95.0,284.19,31,8,8,0,1.0,0.25806451612903225,0.6755924351161198,45.0,95.0,165.297,32,4,4,0,1.0,0.125,0.5101091635454027,21.0,95.0,338.79949999999997
book_physics_price; C=1; p>=0.95; ask<=95; sec>=0,book_physics_price,1.0,0.95,95.0,0.0,False,False,False,1.0,0.375,0.7575059933447591,156,57,55,2,0.9649122807017544,0.36538461538461536,0.8807921863237419,176.0,94.0,301.606,93,31,29,2,0.9354838709677419,0.3333333333333333,0.7928136326370187,-16.0,94.0,310.723,31,14,14,0,1.0,0.45161290322580644,0.7846891972623642,113.0,93.0,207.0235,32,12,12,0,1.0,0.375,0.7575059933447591,79.0,94.0,402.7245
book_physics; C=1; p>=0.95; ask<=95; sec>=120,book_physics,1.0,0.95,95.0,120.0,False,False,False,1.0,0.3548387096774194,0.7411670330319683,156,57,55,2,0.9649122807017544,0.36538461538461536,0.8807921863237419,142.0,94.0,382.59,93,34,32,2,0.9411764705882353,0.3655913978494624,0.8090639309571899,-2.0,95.0,340.3255,31,11,11,0,1.0,0.3548387096774194,0.7411670330319683,71.0,94.0,409.393,32,12,12,0,1.0,0.375,0.7575059933447591,73.0,94.0,318.702
book_physics; C=0.05; p>=0.95; ask<=100; sec>=240,book_physics,0.05,0.95,100.0,240.0,False,False,False,1.0,0.21875,0.6456695649333126,156,56,54,2,0.9642857142857143,0.358974358974359,0.878812198195099,-3.0,97.0,405.3345,93,40,38,2,0.95,0.43010752688172044,0.8349612263085904,-66.0,97.0,405.3345,31,9,9,0,1.0,0.2903225806451613,0.700854951580456,35.0,97.0,392.797,32,7,7,0,1.0,0.21875,0.6456695649333126,28.0,96.0,410.086
book_physics; C=0.1; p>=0.95; ask<=100; sec>=240,book_physics,0.1,0.95,100.0,240.0,False,False,False,1.0,0.21875,0.6456695649333126,156,56,54,2,0.9642857142857143,0.358974358974359,0.878812198195099,10.0,97.0,407.645,93,40,38,2,0.95,0.43010752688172044,0.8349612263085904,-55.0,97.0,407.6175,31,9,9,0,1.0,0.2903225806451613,0.700854951580456,37.0,97.0,407.487,32,7,7,0,1.0,0.21875,0.6456695649333126,28.0,96.0,410.086
