dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_raw_brier,all_cal_brier,all_raw_logloss,all_cal_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_raw_brier,train_cal_brier,train_raw_logloss,train_cal_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_raw_brier,validation_cal_brier,validation_raw_logloss,validation_cal_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_raw_brier,holdout_cal_brier,holdout_raw_logloss,holdout_cal_logloss,oos_positive,oos_coverage_pass
v21,book,5.0,221,0,0,0,,,0.0,0.0,,,,,,,132,0,0,0,,,0.0,0.0,,,,,,,44,0,0,0,,,0.0,0.0,,,,,,,45,0,0,0,,,0.0,0.0,,,,,,,False,False
v21,book,10.0,221,0,0,0,,,0.0,0.0,,,,,,,132,0,0,0,,,0.0,0.0,,,,,,,44,0,0,0,,,0.0,0.0,,,,,,,45,0,0,0,,,0.0,0.0,,,,,,,False,False
current,brownian15,-50.0,307,305,150,155,0.4918032786885246,0.4361490971473897,0.993485342019544,-1768.0,-0.10543893129770993,53.0,0.2531943762749352,0.2550126890088163,0.7000036121116636,0.7032778448437024,184,182,96,86,0.5274725274725275,0.45512459045707115,0.9891304347826086,-456.0,-0.045346062052505964,53.0,0.2485855492023418,0.2498059907173738,0.6903670402521538,0.6927488916558748,61,61,23,38,0.3770491803278688,0.26614510331117014,1.0,-976.0,-0.2979242979242979,52.0,0.2622414728041708,0.2696062825098056,0.7181245376049581,0.7326417455088607,62,62,31,31,0.5,0.3792274119456608,1.0,-336.0,-0.09778812572759023,51.0,0.257822338193139,0.25593865490369005,0.7104629608752092,0.7052951277406373,False,True
current,brownian15,-40.0,307,305,150,155,0.4918032786885246,0.4361490971473897,0.993485342019544,-1768.0,-0.10543893129770993,53.0,0.2531943762749352,0.2550126890088163,0.7000036121116636,0.7032778448437024,184,182,96,86,0.5274725274725275,0.45512459045707115,0.9891304347826086,-456.0,-0.045346062052505964,53.0,0.2485855492023418,0.2498059907173738,0.6903670402521538,0.6927488916558748,61,61,23,38,0.3770491803278688,0.26614510331117014,1.0,-976.0,-0.2979242979242979,52.0,0.2622414728041708,0.2696062825098056,0.7181245376049581,0.7326417455088607,62,62,31,31,0.5,0.3792274119456608,1.0,-336.0,-0.09778812572759023,51.0,0.257822338193139,0.25593865490369005,0.7104629608752092,0.7052951277406373,False,True
current,brownian15,-30.0,307,305,150,155,0.4918032786885246,0.4361490971473897,0.993485342019544,-1768.0,-0.10543893129770993,53.0,0.2531943762749352,0.2550126890088163,0.7000036121116636,0.7032778448437024,184,182,96,86,0.5274725274725275,0.45512459045707115,0.9891304347826086,-456.0,-0.045346062052505964,53.0,0.2485855492023418,0.2498059907173738,0.6903670402521538,0.6927488916558748,61,61,23,38,0.3770491803278688,0.26614510331117014,1.0,-976.0,-0.2979242979242979,52.0,0.2622414728041708,0.2696062825098056,0.7181245376049581,0.7326417455088607,62,62,31,31,0.5,0.3792274119456608,1.0,-336.0,-0.09778812572759023,51.0,0.257822338193139,0.25593865490369005,0.7104629608752092,0.7052951277406373,False,True
current,brownian15,-20.0,307,304,149,155,0.4901315789473684,0.43441143449237585,0.990228013029316,-1778.0,-0.10660750689531119,53.0,0.25349030827911684,0.25522322527716684,0.7011735008999149,0.7037345923955952,184,182,96,86,0.5274725274725275,0.45512459045707115,0.9891304347826086,-459.0,-0.045630778407396363,53.0,0.24967674222965594,0.2501313653802157,0.6936443772069917,0.6934814855251005,61,61,23,38,0.3770491803278688,0.26614510331117014,1.0,-978.0,-0.29835265405735206,52.0,0.2595248552078281,0.26854055169376606,0.7122899915937664,0.7304288033933243,62,61,30,31,0.4918032786885246,0.3706039532371102,0.9838709677419355,-341.0,-0.1020652499251721,51.0,0.2588339420225678,0.25709800543835615,0.7125209530275725,0.7076316182901613,False,True
current,brownian15,-15.0,307,304,149,155,0.4901315789473684,0.43441143449237585,0.990228013029316,-1736.0,-0.10435200769415726,53.0,0.2543654309345964,0.25547827758008657,0.7032076620995118,0.7042715179615853,184,182,96,86,0.5274725274725275,0.45512459045707115,0.9891304347826086,-446.0,-0.044395779414692416,53.0,0.2512879477608815,0.2506929602990738,0.6974401901442806,0.6946695080274732,61,61,23,38,0.3770491803278688,0.26614510331117014,1.0,-953.0,-0.29296034429757145,52.0,0.2630126468418241,0.2697529895971681,0.7197074917025684,0.7329342476417823,62,61,30,31,0.4918032786885246,0.3706039532371102,0.9838709677419355,-337.0,-0.10098891219658376,51.0,0.2549002140046818,0.2554810695817641,0.703915699641571,0.7042574080848041,False,True
current,brownian15,-10.0,307,300,145,155,0.48333333333333334,0.4273544128335898,0.9771986970684039,-1780.0,-0.10933660933660934,52.0,0.2574501271817699,0.2572248114031165,0.7098157645247553,0.707840161545534,184,180,94,86,0.5222222222222223,0.4495514284463794,0.9782608695652174,-462.0,-0.04684648144392618,53.0,0.2541699908607209,0.25220238257914446,0.7036377156091668,0.6977578146315155,61,60,22,38,0.36666666666666664,0.2562091668722543,0.9836065573770492,-973.0,-0.3066498581783801,51.5,0.26354147768366365,0.2709699888049145,0.7207743849694666,0.7353803107834668,62,60,29,31,0.48333333333333334,0.36175049539732784,0.967741935483871,-345.0,-0.10631741140215717,51.0,0.26119918564302297,0.2585469204732347,0.7173912908268101,0.7105470530496566,False,True
current,brownian15,-5.0,307,295,140,155,0.4745762711864407,0.4182866150998825,0.9609120521172638,-1747.0,-0.11094176668571791,52.0,0.2634167369490397,0.26103717995046616,0.7363861001908939,0.7177274536681151,184,175,89,86,0.5085714285714286,0.4351181016291239,0.9510869565217391,-543.0,-0.05750291221010272,53.0,0.2586989580442752,0.2566028167143049,0.7357532542139444,0.7101714398039622,61,60,22,38,0.36666666666666664,0.2562091668722543,0.9836065573770492,-956.0,-0.302915082382763,51.5,0.26937456838564017,0.2730700182398227,0.7348740691174763,0.7398495706178017,62,60,29,31,0.48333333333333334,0.36175049539732784,0.967741935483871,-248.0,-0.07878017789072427,50.5,0.27121909398466915,0.2619379010999134,0.739743932030414,0.717643710488875,False,True
current,brownian15,0.0,307,283,131,152,0.4628975265017668,0.40568930771339423,0.9218241042345277,-1413.0,-0.09736098670157789,50.0,0.2630258468230975,0.2609364441809343,0.7218981826463218,0.7153677244990405,184,165,80,85,0.48484848484848486,0.40980844327633836,0.8967391304347826,-570.0,-0.06651108518086347,51.0,0.2591121329284596,0.25729010286400966,0.7127406744149357,0.7078870975180497,61,59,23,36,0.3898305084745763,0.2757936183396798,0.9672131147540983,-613.0,-0.210435976656368,50.0,0.26821939793449506,0.2701514353822931,0.7315406851762889,0.7338919424161348,62,59,28,31,0.4745762711864407,0.35265876715068556,0.9516129032258065,-230.0,-0.07590759075907591,50.0,0.2687774277899245,0.26191884818792427,0.737865660763451,0.717763904071158,False,True
current,brownian15,2.0,307,272,121,151,0.44485294117647056,0.3869709648216992,0.8859934853420195,-1514.0,-0.11120904950785955,49.0,0.26248134550949137,0.2623827723681347,0.7203460627104623,0.7181820019378005,184,159,75,84,0.4716981132075472,0.3956905073832912,0.8641304347826086,-577.0,-0.07143741488176303,50.0,0.257268746290098,0.2576189209027883,0.7081506829118154,0.7083772689130391,61,57,21,36,0.3684210526315789,0.255235570344157,0.9344262295081968,-635.0,-0.23217550274223034,48.0,0.2653486722296238,0.2712792429523798,0.7251959343150457,0.7360650961052739,62,56,25,31,0.44642857142857145,0.3238672125478336,0.9032258064516129,-302.0,-0.10778015703069237,49.5,0.27436287502441997,0.266853371648279,0.7500357538983841,0.7278180052126405,False,True
current,brownian15,5.0,307,254,109,145,0.42913385826771655,0.36976676037762657,0.8273615635179153,-1035.0,-0.08671973188102221,46.0,0.26545534242188246,0.26529854967167,0.7285114895268879,0.7242749675793104,184,148,64,84,0.43243243243243246,0.3553242740039382,0.8043478260869565,-648.0,-0.09194097616345062,47.0,0.2668478622981205,0.2653633824517034,0.7333957769806577,0.7245426842014601,61,54,18,36,0.3333333333333333,0.22241416537492575,0.8852459016393442,-659.0,-0.26799511996746644,46.0,0.27661991882866693,0.27903347877273027,0.7488730273527072,0.751855782685542,62,52,27,25,0.5192307692307693,0.3868568276805605,0.8387096774193549,272.0,0.11202635914332784,46.0,0.2498980334286212,0.25085083000047426,0.6934653821085769,0.6948713891982593,False,True
current,brownian15,10.0,307,215,69,146,0.3209302325581395,0.26214286384727176,0.7003257328990228,-2245.0,-0.245489338436304,41.0,0.2924281141387714,0.28657162524863566,0.7973748645175089,0.7685833970701806,184,129,39,90,0.3023255813953488,0.2297340030641076,0.7010869565217391,-1645.0,-0.29666366095581603,41.0,0.3039837603751418,0.2932965120055784,0.8299275659569924,0.7831492565534147,61,44,13,31,0.29545454545454547,0.18155529118504887,0.7213114754098361,-524.0,-0.28728070175438597,40.0,0.2908456064496894,0.2869882933557837,0.7838400354467298,0.7680872143861389,62,42,17,25,0.40476190476190477,0.2704286114748133,0.6774193548387096,-76.0,-0.04279279279279279,42.0,0.2585936373251486,0.26548010647815656,0.7115709119799118,0.7243652105168625,False,False
v21,brownian15,-50.0,221,219,136,83,0.6210045662100456,0.5551881390598166,0.9909502262443439,1582.0,0.13163587951406225,52.0,0.24194328877321228,0.23787407675586422,0.6762657977451318,0.6684136237684656,132,131,83,48,0.6335877862595419,0.5483679187154883,0.9924242424242424,1168.0,0.16376892877173305,52.0,0.2430293201113437,0.23671981274660953,0.6780755283683918,0.6658857484690386,44,44,24,20,0.5454545454545454,0.40066183198961974,1.0,-54.0,-0.022004889975550123,53.5,0.2528529601501618,0.2497234773194753,0.699481432754898,0.6927033385155021,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,468.0,0.1924342105263158,53.0,0.22780020591228037,0.22946123494707962,0.6476621011070237,0.6516500832083604,False,True
v21,brownian15,-40.0,221,219,136,83,0.6210045662100456,0.5551881390598166,0.9909502262443439,1582.0,0.13163587951406225,52.0,0.24194328877321228,0.23787407675586422,0.6762657977451318,0.6684136237684656,132,131,83,48,0.6335877862595419,0.5483679187154883,0.9924242424242424,1168.0,0.16376892877173305,52.0,0.2430293201113437,0.23671981274660953,0.6780755283683918,0.6658857484690386,44,44,24,20,0.5454545454545454,0.40066183198961974,1.0,-54.0,-0.022004889975550123,53.5,0.2528529601501618,0.2497234773194753,0.699481432754898,0.6927033385155021,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,468.0,0.1924342105263158,53.0,0.22780020591228037,0.22946123494707962,0.6476621011070237,0.6516500832083604,False,True
v21,brownian15,-30.0,221,219,136,83,0.6210045662100456,0.5551881390598166,0.9909502262443439,1582.0,0.13163587951406225,52.0,0.24194328877321228,0.23787407675586422,0.6762657977451318,0.6684136237684656,132,131,83,48,0.6335877862595419,0.5483679187154883,0.9924242424242424,1168.0,0.16376892877173305,52.0,0.2430293201113437,0.23671981274660953,0.6780755283683918,0.6658857484690386,44,44,24,20,0.5454545454545454,0.40066183198961974,1.0,-54.0,-0.022004889975550123,53.5,0.2528529601501618,0.2497234773194753,0.699481432754898,0.6927033385155021,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,468.0,0.1924342105263158,53.0,0.22780020591228037,0.22946123494707962,0.6476621011070237,0.6516500832083604,False,True
v21,brownian15,-20.0,221,219,136,83,0.6210045662100456,0.5551881390598166,0.9909502262443439,1579.0,0.13135346476998586,52.0,0.23975835229378348,0.23688788838768732,0.6712781984871831,0.6663246179876446,132,131,83,48,0.6335877862595419,0.5483679187154883,0.9924242424242424,1168.0,0.16376892877173305,52.0,0.2422761182017408,0.23645393370828657,0.676525505695032,0.6653406933020313,44,44,24,20,0.5454545454545454,0.40066183198961974,1.0,-54.0,-0.022004889975550123,53.5,0.2528529601501618,0.2497234773194753,0.699481432754898,0.6927033385155021,45,44,29,15,0.6590909090909091,0.5113914121793824,0.9777777777777777,465.0,0.19096509240246407,53.0,0.2191676686659867,0.22534430088775145,0.627452299577918,0.6428753095919543,False,True
