dataset,policy,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,book_margin_gap015,entry_hour_utc,21,10,8,2,0.8,144.0,14.4,63.0
current,book_margin_gap015,entry_hour_utc,22,12,9,3,0.75,88.0,7.333333333333333,62.5
current,book_margin_gap015,entry_hour_utc,23,9,8,1,0.8888888888888888,206.0,22.88888888888889,63.0
current,book_margin_gap015,entry_hour_utc,3,13,7,6,0.5384615384615384,-156.0,-12.0,62.0
current,book_margin_gap015,entry_hour_utc,4,9,6,3,0.6666666666666666,-5.0,-0.5555555555555556,64.0
current,book_margin_gap015,entry_hour_utc,5,12,9,3,0.75,116.0,9.666666666666666,62.5
current,book_margin_gap015,entry_hour_utc,6,12,11,1,0.9166666666666666,282.0,23.5,64.5
current,book_margin_gap015,entry_hour_utc,7,12,7,5,0.5833333333333334,-95.0,-7.916666666666667,63.0
current,book_margin_gap015,entry_hour_utc,8,12,6,6,0.5,-199.0,-16.583333333333332,65.0
current,book_margin_gap015,entry_hour_utc,9,9,6,3,0.6666666666666666,-1.0,-0.1111111111111111,64.0
current,book_margin_gap015,ask_bucket,ask<=65,178,119,59,0.6685393258426966,423.0,2.3764044943820224,62.0
current,book_margin_gap015,ask_bucket,ask<=75,61,51,10,0.8360655737704918,787.0,12.901639344262295,68.0
current,book_margin_gap015,ask_bucket,ask<=85,10,10,0,1.0,196.0,19.6,78.0
current,book_margin_gap015,ask_bucket,ask<=95,1,1,0,1.0,10.0,10.0,89.0
current,book_margin_gap015,time_bucket,sec<=300,1,0,1,0.0,-67.0,-67.0,65.0
current,book_margin_gap015,time_bucket,sec<=600,17,13,4,0.7647058823529411,158.0,9.294117647058824,63.0
current,book_margin_gap015,time_bucket,sec<=900,232,168,64,0.7241379310344828,1325.0,5.711206896551724,63.0
current,score_min60,split,holdout,57,42,15,0.7368421052631579,25.0,0.43859649122807015,69.0
current,score_min60,split,train,166,123,43,0.7409638554216867,545.0,3.283132530120482,68.0
current,score_min60,split,validation,55,47,8,0.8545454545454545,748.0,13.6,69.0
current,score_min60,side,no,136,103,33,0.7573529411764706,571.0,4.198529411764706,69.0
current,score_min60,side,yes,142,109,33,0.7676056338028169,747.0,5.26056338028169,68.0
current,score_min60,entry_hour_utc,0,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,69.0
current,score_min60,entry_hour_utc,1,8,7,1,0.875,115.0,14.375,68.5
current,score_min60,entry_hour_utc,10,12,11,1,0.9166666666666666,233.0,19.416666666666668,69.0
current,score_min60,entry_hour_utc,11,12,9,3,0.75,21.0,1.75,70.5
current,score_min60,entry_hour_utc,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,score_min60,entry_hour_utc,13,12,8,4,0.6666666666666666,-67.0,-5.583333333333333,66.5
current,score_min60,entry_hour_utc,14,11,8,3,0.7272727272727273,9.0,0.8181818181818182,67.0
current,score_min60,entry_hour_utc,15,11,8,3,0.7272727272727273,18.0,1.6363636363636365,68.0
current,score_min60,entry_hour_utc,16,8,5,3,0.625,-69.0,-8.625,68.0
current,score_min60,entry_hour_utc,17,12,8,4,0.6666666666666666,-50.0,-4.166666666666667,69.0
current,score_min60,entry_hour_utc,18,12,10,2,0.8333333333333334,117.0,9.75,72.5
current,score_min60,entry_hour_utc,19,12,11,1,0.9166666666666666,246.0,20.5,68.5
current,score_min60,entry_hour_utc,2,14,9,5,0.6428571428571429,-84.0,-6.0,67.5
current,score_min60,entry_hour_utc,20,12,10,2,0.8333333333333334,151.0,12.583333333333334,69.0
current,score_min60,entry_hour_utc,21,12,10,2,0.8333333333333334,102.0,8.5,73.0
current,score_min60,entry_hour_utc,22,12,9,3,0.75,45.0,3.75,67.5
current,score_min60,entry_hour_utc,23,12,11,1,0.9166666666666666,280.0,23.333333333333332,64.5
current,score_min60,entry_hour_utc,3,13,8,5,0.6153846153846154,-146.0,-11.23076923076923,71.0
current,score_min60,entry_hour_utc,4,12,10,2,0.8333333333333334,127.0,10.583333333333334,72.0
