dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
all_heartbeats,v34_material_antipersist3,block20,13,988,-5.849629254267574e-05,-0.0003223797027499531
all_heartbeats,v34_material_antipersist3,block20,14,934,0.0001021842368366388,-0.00019265737594503785
all_heartbeats,v34_material_antipersist3,block20,15,965,7.448103129632788e-05,0.0002811967744774657
all_heartbeats,v34_material_antipersist3,block20,16,929,2.5377708839549595e-05,0.00019814534404333228
all_heartbeats,v34_material_antipersist3,block20,17,993,-5.231675121200596e-05,-0.00010668470640368133
all_heartbeats,v34_material_antipersist3,block20,18,931,-0.00019445515387953027,-0.0007087251325721411
all_heartbeats,v34_material_antipersist3,block20,19,952,-0.00016464059362888972,-0.0002711665739518754
all_heartbeats,v35_h150_t102_antipersist3,block10,0,1917,3.0506329393720222e-05,-0.0005503601525397861
all_heartbeats,v35_h150_t102_antipersist3,block10,1,1919,-7.681182897181782e-05,0.00028793665741833063
all_heartbeats,v35_h150_t102_antipersist3,block10,2,1921,0.00011065786348704587,-0.005564629090164974
all_heartbeats,v35_h150_t102_antipersist3,block10,3,1921,-0.00012957766860990927,-0.0007931679434312056
all_heartbeats,v35_h150_t102_antipersist3,block10,4,1858,-0.00015531004911908952,-0.00014823883503545243
all_heartbeats,v35_h150_t102_antipersist3,block10,5,1862,-0.00029495483939809275,-0.003262441147899253
all_heartbeats,v35_h150_t102_antipersist3,block10,6,1919,9.125910663290715e-05,8.210727726520872e-05
all_heartbeats,v35_h150_t102_antipersist3,block10,7,1899,7.620609018016422e-05,0.00028250102151039513
all_heartbeats,v35_h150_t102_antipersist3,block10,8,1922,3.3542168312791776e-05,0.0003441398822416897
all_heartbeats,v35_h150_t102_antipersist3,block10,9,1883,-9.306275552098398e-05,-0.0007919868763268667
all_heartbeats,v35_h150_t102_antipersist3,block20,0,984,8.801847875786195e-05,0.00032334562678187906
all_heartbeats,v35_h150_t102_antipersist3,block20,1,933,-3.0149570900306344e-05,-0.0014718247686733021
all_heartbeats,v35_h150_t102_antipersist3,block20,2,989,-8.118596462491912e-06,0.000982793289181938
all_heartbeats,v35_h150_t102_antipersist3,block20,3,930,-0.0001498630192424688,-0.00045100227679029103
all_heartbeats,v35_h150_t102_antipersist3,block20,4,992,5.648554119913607e-06,0.00016950090239825633
all_heartbeats,v35_h150_t102_antipersist3,block20,5,929,0.00022278836390907109,-0.011687618274904277
all_heartbeats,v35_h150_t102_antipersist3,block20,6,988,-0.00027683510792335386,-0.0018035329160857594
all_heartbeats,v35_h150_t102_antipersist3,block20,7,933,2.6360541509784507e-05,0.00027675766533896695
all_heartbeats,v35_h150_t102_antipersist3,block20,8,986,-0.00020045382094530106,-0.0002534220442180768
all_heartbeats,v35_h150_t102_antipersist3,block20,9,872,-0.00010426445391198413,-2.9304609973634932e-05
all_heartbeats,v35_h150_t102_antipersist3,block20,10,930,-0.000538713387997436,-0.003692646675249156
all_heartbeats,v35_h150_t102_antipersist3,block20,11,932,-5.1719377812897704e-05,-0.0028331588083764236
all_heartbeats,v35_h150_t102_antipersist3,block20,12,931,2.611940328139939e-05,0.00027852188152655
all_heartbeats,v35_h150_t102_antipersist3,block20,13,988,0.00015264075017576428,-0.00010297571521183935
all_heartbeats,v35_h150_t102_antipersist3,block20,14,934,8.776694739481838e-05,0.0003105939489772558
all_heartbeats,v35_h150_t102_antipersist3,block20,15,965,6.501661801588954e-05,0.0002553105611434736
all_heartbeats,v35_h150_t102_antipersist3,block20,16,929,-7.735910624351305e-05,-0.00013080145133276266
all_heartbeats,v35_h150_t102_antipersist3,block20,17,993,0.0001372957272883918,0.0007884706968344646
all_heartbeats,v35_h150_t102_antipersist3,block20,18,931,0.00013125487642684508,-0.00017218592748291517
all_heartbeats,v35_h150_t102_antipersist3,block20,19,952,-0.0003124322044111283,-0.001398115745416817
minute_bucket,v34_material_antipersist3,block10,0,494,-1.1382788089681073e-05,-2.6593528474228023e-05
minute_bucket,v34_material_antipersist3,block10,1,493,0.00010194562919360606,-0.00025066659130690283
minute_bucket,v34_material_antipersist3,block10,2,495,0.00011633553531723018,-0.00010951204657483338
minute_bucket,v34_material_antipersist3,block10,3,495,-0.0001544395844375046,-0.00027963941544018045
minute_bucket,v34_material_antipersist3,block10,4,480,8.458304257780158e-05,0.0004139924911145676
minute_bucket,v34_material_antipersist3,block10,5,481,-0.00012624383568424213,-0.000764964861074191
minute_bucket,v34_material_antipersist3,block10,6,493,-0.00024676142240276366,-0.0007365692539257895
minute_bucket,v34_material_antipersist3,block10,7,489,7.580032026203998e-05,-7.162211426631204e-05
minute_bucket,v34_material_antipersist3,block10,8,495,-3.4453600875686274e-05,-6.832721800270614e-05
minute_bucket,v34_material_antipersist3,block10,9,483,-0.0001448456668387832,-0.00043320923979262016
minute_bucket,v34_material_antipersist3,block20,0,254,3.9651760076753195e-05,0.00014452258306907328
minute_bucket,v34_material_antipersist3,block20,1,240,-6.539435156580065e-05,-0.00020769141319082474
minute_bucket,v34_material_antipersist3,block20,2,254,0.00016363478800579534,-0.00018759184125394235
minute_bucket,v34_material_antipersist3,block20,3,239,3.638476585329786e-05,-0.0003177000076813874
minute_bucket,v34_material_antipersist3,block20,4,255,0.0001814219149716828,0.0004480631603177576
minute_bucket,v34_material_antipersist3,block20,5,240,4.718125693442543e-05,-0.0007019357038983154
minute_bucket,v34_material_antipersist3,block20,6,255,-0.0001490478811681517,-0.00021476019097266263
minute_bucket,v34_material_antipersist3,block20,7,240,-0.00016016826916118165,-0.0003485735914368626
minute_bucket,v34_material_antipersist3,block20,8,254,0.00012962323112714058,0.0005248037828236018
minute_bucket,v34_material_antipersist3,block20,9,226,3.396265367724971e-05,0.00028945236680444353
minute_bucket,v34_material_antipersist3,block20,10,240,-0.00029400106125512804,-0.0015041672700039088
minute_bucket,v34_material_antipersist3,block20,11,241,4.0817301813669826e-05,-2.882968205708547e-05
minute_bucket,v34_material_antipersist3,block20,12,239,-0.0003900228434549624,-0.0009152479769543587
minute_bucket,v34_material_antipersist3,block20,13,254,-0.00011196032149141111,-0.0005684424239894015
minute_bucket,v34_material_antipersist3,block20,14,240,4.1777688014249525e-05,-0.00046406670411702766
minute_bucket,v34_material_antipersist3,block20,15,249,0.0001085932188141514,0.00030663773137284966
minute_bucket,v34_material_antipersist3,block20,16,240,-3.932080788392189e-05,-6.9667381557558805e-06
minute_bucket,v34_material_antipersist3,block20,17,255,-2.9872700162053567e-05,-0.0001260782578587638
minute_bucket,v34_material_antipersist3,block20,18,239,-5.882661109213316e-05,-6.712464612645963e-05
minute_bucket,v34_material_antipersist3,block20,19,244,-0.00022910203701675957,-0.0007917920999821471
minute_bucket,v35_h150_t102_antipersist3,block10,0,494,-6.360801640251101e-05,-0.0002718546068221639
minute_bucket,v35_h150_t102_antipersist3,block10,1,493,-0.00046262400919633295,-0.002475328084315387
minute_bucket,v35_h150_t102_antipersist3,block10,2,495,-0.00035424089468152897,-0.005158924574965418
minute_bucket,v35_h150_t102_antipersist3,block10,3,495,-0.00048614309623404295,-0.0011714975979780218
minute_bucket,v35_h150_t102_antipersist3,block10,4,480,-0.00010958956344142567,0.00043861063504069264
minute_bucket,v35_h150_t102_antipersist3,block10,5,481,-0.0005062672824510117,0.0002891176143456353
minute_bucket,v35_h150_t102_antipersist3,block10,6,493,0.00017717833999306154,0.0001319898513239548
minute_bucket,v35_h150_t102_antipersist3,block10,7,489,0.00018603883641214736,0.00048501371080450495
minute_bucket,v35_h150_t102_antipersist3,block10,8,495,0.00034558366204207047,0.0009655909796645878
minute_bucket,v35_h150_t102_antipersist3,block10,9,483,-0.00017955512957371078,-0.0012678392430449659
minute_bucket,v35_h150_t102_antipersist3,block20,0,254,-0.0001599428691095306,-0.0005284231045110666
minute_bucket,v35_h150_t102_antipersist3,block20,1,240,3.8346369379105294e-05,-3.196134346628021e-07
minute_bucket,v35_h150_t102_antipersist3,block20,2,254,-0.0005060242118752334,-0.003515018796748537
minute_bucket,v35_h150_t102_antipersist3,block20,3,239,-0.0004164999444246642,-0.001370384816708703
minute_bucket,v35_h150_t102_antipersist3,block20,4,255,0.00020563455346667148,0.001114721257866158
minute_bucket,v35_h150_t102_antipersist3,block20,5,240,-0.000949108558338907,-0.01182467327234904
minute_bucket,v35_h150_t102_antipersist3,block20,6,255,-0.0004078588961289459,-0.001118961243625649
minute_bucket,v35_h150_t102_antipersist3,block20,7,240,-0.0005693200588456626,-0.0012273174744773518
minute_bucket,v35_h150_t102_antipersist3,block20,8,254,-9.636670571905315e-05,0.00038952709594175516
minute_bucket,v35_h150_t102_antipersist3,block20,9,226,-0.0001244506513239929,0.0004937753205766504
minute_bucket,v35_h150_t102_antipersist3,block20,10,240,-0.001000807884166427,0.00151211225286918
minute_bucket,v35_h150_t102_antipersist3,block20,11,241,-1.3778716427409465e-05,-0.0009288023576279336
minute_bucket,v35_h150_t102_antipersist3,block20,12,239,0.0004738792218707266,0.0008734176929304782
minute_bucket,v35_h150_t102_antipersist3,block20,13,254,-0.00010200083626196732,-0.000565652881526324
minute_bucket,v35_h150_t102_antipersist3,block20,14,240,9.299974812429501e-05,0.0004355823265799752
minute_bucket,v35_h150_t102_antipersist3,block20,15,249,0.000275715066087201,0.0005326584184908167
minute_bucket,v35_h150_t102_antipersist3,block20,16,240,0.00017545623459526427,0.0002375149539364796
minute_bucket,v35_h150_t102_antipersist3,block20,17,255,0.0005057035937567345,0.0016508390038793008
minute_bucket,v35_h150_t102_antipersist3,block20,18,239,0.00023415393212700142,-0.0006191545835849688
minute_bucket,v35_h150_t102_antipersist3,block20,19,244,-0.0005847865465674063,-0.0019032311840733174
