name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fallback_break_even_for_empty_fresh,fresh_wilson_lower,fresh_wilson_minus_break_even,fresh_coverage,fresh_coverage_pass,fresh_positive_net,fresh_net_pnl_cents,fresh_net_roi,fresh_median_ask,all_accuracy,all_break_even,all_wilson_lower,all_net_pnl_cents,all_net_roi,all_coverage,fresh_ev_wilson_pass,extra_perfect_wins_for_fresh_ev_wilson,selected_n_needed_at_all_accuracy,additional_selected_n_needed_at_all_accuracy,completion_ready
logit_blend_edge10,logs\edge_research\profit_logit_blend_edge10_fresh_validation_latest.json,registered_signal_readiness,choose=blend_logit_book_rv_hazard_mean; fair_edge>=-10c; ask<=95; sec>=60,,2026-05-04T05:45:00+00:00,78,75,48,27,0.64,0.6225333333333333,0.6160750853242322,0.5270066131909779,-0.09552672014235541,0.9615384615384616,True,True,131.0,0.028057399871492826,,0.621160409556314,0.6160750853242322,0.5643859090894588,149.0,0.008254390338485403,0.9932203389830508,False,22,,,False
logit_blend_thresh55_edge15,logs\edge_research\profit_logit_blend_thresh55_edge15_fresh_validation_latest.json,registered_signal_readiness,choose=blend_logit_book_rv_hazard_mean; blend>=0.55; fair_edge>=-15c; ask<=95; sec>=60,,2026-05-04T06:15:00+00:00,76,69,49,20,0.7101449275362319,0.716376811594203,0.7042465753424657,0.5942855002638685,-0.12209131133033446,0.9078947368421053,True,False,-43.0,-0.008699170544203924,,0.7431506849315068,0.7042465753424657,0.6901086563374786,1136.0,0.055242170783894186,0.9898305084745763,False,33,486.0,417.0,False
hazard_fallback_logit55,logs\edge_research\profit_hazard_fallback_logit55_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T06:30:00+00:00,75,68,48,20,0.7058823529411765,0.7161764705882354,0.7046688741721855,0.5889372027651878,-0.12723926782304762,0.9066666666666666,True,False,-70.0,-0.014373716632443531,,0.7417218543046358,0.7046688741721855,0.6895390337123591,1119.0,0.05258211550209107,0.9901639344262295,False,34,534.0,466.0,False
hazard_fallback_logit55_wait8,logs\edge_research\profit_hazard_fallback_logit55_wait8_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T07:30:00+00:00,71,61,42,19,0.6885245901639344,0.7259016393442623,0.7195986622073578,0.5640856563035855,-0.1618159830406768,0.8591549295774648,True,False,-228.0,-0.051490514905149054,,0.7558528428093646,0.7195986622073578,0.7041165745821604,1084.0,0.050381111730804985,0.980327868852459,False,41,544.0,483.0,False
hazard_fallback_score60,logs\edge_research\profit_hazard_fallback_score60_fresh_validation_latest.json,registered_signal_readiness,,,2026-05-04T07:45:00+00:00,70,64,46,18,0.71875,0.72125,0.709635761589404,0.5986606971779259,-0.12258930282207403,0.9142857142857143,True,False,-16.0,-0.0034662045060658577,,0.7516556291390728,0.709635761589404,0.6999703921606919,1269.0,0.0592132891605618,0.9901639344262295,False,32,410.0,346.0,False
impulse_reversal_book_margin_fade,logs\edge_research\profit_impulse_reversal_book_margin_fade_fresh_validation_latest.json,registered_signal_readiness,,,,61,58,33,25,0.5689655172413793,0.5546551724137931,0.5546551724137931,0.4411810456996274,-0.11347412671416574,0.9508196721311475,True,True,83.0,0.025800435188063412,,0.5689655172413793,0.5546551724137931,0.4411810456996274,83.0,0.025800435188063412,0.9508196721311475,False,18,4503.0,4445.0,False
kinetic_guard,logs\edge_research\profit_kinetic_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,kinetic>=0.57 AND adverse15<=50,2026-05-03T02:30:00+00:00,186,126,89,37,0.7063492063492064,0.7006349206349206,0.6855670103092784,0.6216697176328737,-0.0789652030020469,0.6774193548387096,False,True,72.0,0.008155867693701857,,0.7044673539518901,0.6855670103092784,0.6496533636870517,550.0,0.02756892230576441,0.9864406779661017,False,36,2223.0,2097.0,False
kinetic_price_guard,logs\edge_research\profit_kinetic_price_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,adverse15<=100 AND ask<=70,2026-05-03T03:00:00+00:00,185,107,69,38,0.6448598130841121,0.6438317757009345,0.6448134328358209,0.5506079079663686,-0.09322386773456592,0.5783783783783784,False,True,11.0,0.0015967484395412977,,0.667910447761194,0.6448134328358209,0.609501723077221,619.0,0.035819686360743015,0.9084745762711864,False,31,1589.0,1482.0,False
kinetic_combo_price_guard,logs\edge_research\profit_kinetic_combo_price_guard_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,kinetic>=0.57 AND adverse15<=100 AND ask<=70,2026-05-03T09:45:00+00:00,158,100,67,33,0.67,0.6507999999999999,0.6509505703422053,0.5730534379509052,-0.07774656204909469,0.6329113924050633,False,True,192.0,0.02950215119852489,,0.6806083650190115,0.6509505703422053,0.6220067217723386,780.0,0.0455607476635514,0.8915254237288136,False,25,933.0,833.0,False
kinetic_path_confirm,logs\edge_research\profit_kinetic_path_confirm_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,same_side_for>=60s AND confirm_score>=0.6,2026-05-03T04:00:00+00:00,180,118,89,29,0.7542372881355932,0.7548305084745763,0.7450515463917526,0.6693551578119878,-0.08547535066258849,0.6555555555555556,False,False,-7.0,-0.0007858987313349051,,0.8006872852233677,0.7450515463917526,0.751002945639368,1619.0,0.07467367741340344,0.9864406779661017,False,45,205.0,87.0,False
book_p80_ask90_frontier,logs\edge_research\book_p80_ask90_frontier_validation_latest.json,registered_signal_readiness,,,,51,40,34,6,0.85,0.848,0.848,0.709276756335103,-0.13872324366489697,0.7843137254901961,False,True,8.0,0.0023584905660377358,,0.85,0.848,0.709276756335103,8.0,0.0023584905660377358,0.7843137254901961,False,42,,,False
book_p80_profit_frontier,logs\edge_research\book_p80_profit_frontier_validation_latest.json,registered_signal_readiness,,,,52,41,34,7,0.8292682926829268,0.8502439024390245,0.8502439024390245,0.6873738759959582,-0.16287002644306625,0.7884615384615384,False,False,-86.0,-0.024670109007458405,,0.8292682926829268,0.8502439024390245,0.6873738759959582,-86.0,-0.024670109007458405,0.7884615384615384,False,51,,,False
hazard_mean_touch80_ask76,logs\edge_research\hazard_mean_touch80_ask76_validation_latest.json,registered_signal_readiness,,,,65,53,37,16,0.6981132075471698,0.718867924528302,0.718867924528302,0.5646316733114987,-0.1542362512168033,0.8153846153846154,True,False,-110.0,-0.028871391076115485,,0.6981132075471698,0.718867924528302,0.5646316733114987,-110.0,-0.028871391076115485,0.8153846153846154,False,33,,,False
