dataset,policy,block,markets,wins,losses,net_pnl_cents
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,14,20,11,9,-346.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,15,20,10,10,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,1,20,7,13,-607.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,2,20,11,9,-372.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,4,20,13,7,-173.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,5,20,6,14,-806.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,6,20,11,9,-383.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,7,20,14,6,-193.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,8,20,13,7,-50.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,10,20,11,9,-285.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,11,20,10,10,-514.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,12,20,9,11,-411.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,14,20,9,11,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,15,20,9,11,-493.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age600,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,1,20,7,13,-607.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,2,20,11,9,-372.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,4,20,13,7,-173.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,5,20,6,14,-806.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,6,20,11,9,-383.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,7,20,14,6,-193.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,8,20,13,7,-50.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,10,20,11,9,-285.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,11,20,10,10,-514.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,12,20,9,11,-411.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,14,20,9,11,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,15,20,9,11,-493.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age900,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,1,20,9,11,-487.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,2,20,15,5,-108.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,3,20,13,7,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,4,20,16,4,-14.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,5,20,11,9,-476.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,6,20,14,6,-177.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,7,20,14,6,-256.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,8,20,12,8,-380.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,9,20,15,5,-124.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,10,20,16,4,-3.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,11,20,14,6,-237.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,12,20,12,8,-276.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,13,20,14,6,-117.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,14,20,13,7,-222.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,15,20,12,8,-353.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age180,16,6,3,3,-155.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,1,20,8,12,-564.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,2,20,12,8,-316.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,3,20,12,8,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,4,20,15,5,-33.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,5,20,7,13,-762.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,6,20,12,8,-311.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,7,20,15,5,-123.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,8,20,12,8,-187.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,10,20,12,8,-226.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,11,20,12,8,-374.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,14,20,10,10,-424.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,15,20,11,9,-360.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age300,16,6,4,2,35.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,1,20,7,13,-626.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,2,20,11,9,-388.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,4,20,13,7,-176.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,5,20,5,15,-893.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,6,20,11,9,-390.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,7,20,13,7,-270.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,8,20,12,8,-127.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,10,20,11,9,-290.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,11,20,10,10,-515.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,14,20,9,11,-494.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,15,20,9,11,-499.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age600,16,6,4,2,35.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,1,20,7,13,-626.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,2,20,11,9,-388.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,4,20,13,7,-176.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,5,20,5,15,-893.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,6,20,11,9,-390.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,7,20,13,7,-270.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,8,20,12,8,-127.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,10,20,11,9,-290.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,11,20,10,10,-515.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,14,20,9,11,-494.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,15,20,9,11,-499.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask60_age900,16,6,4,2,35.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,1,20,8,12,-575.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,2,20,15,5,-115.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,3,20,13,7,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,4,20,16,4,-14.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,5,20,11,9,-485.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,6,20,14,6,-177.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,7,20,14,6,-256.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,8,20,12,8,-380.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,9,20,15,5,-124.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,10,20,17,3,116.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,11,20,14,6,-237.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,12,20,12,8,-276.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,13,20,14,6,-117.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,14,20,13,7,-222.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,15,20,12,8,-353.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age180,16,6,3,3,-155.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,1,20,8,12,-575.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,2,20,12,8,-323.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,3,20,12,8,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,4,20,15,5,-33.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,5,20,7,13,-771.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,6,20,12,8,-311.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,7,20,15,5,-123.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,8,20,12,8,-187.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,10,20,12,8,-231.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,11,20,12,8,-374.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,14,20,10,10,-424.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,15,20,11,9,-360.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age300,16,6,4,2,32.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,1,20,7,13,-637.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,2,20,11,9,-395.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,4,20,13,7,-176.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,5,20,5,15,-902.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,6,20,11,9,-395.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,7,20,13,7,-270.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,8,20,12,8,-140.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,10,20,11,9,-295.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,11,20,10,10,-515.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,14,20,9,11,-494.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,15,20,9,11,-499.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age600,16,6,4,2,32.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,1,20,7,13,-637.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,2,20,11,9,-395.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,4,20,13,7,-176.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,5,20,5,15,-902.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,6,20,11,9,-395.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,7,20,13,7,-270.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,8,20,12,8,-140.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,9,20,10,10,-475.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,10,20,11,9,-295.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,11,20,10,10,-515.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,12,20,8,12,-486.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,13,20,13,7,-188.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,14,20,9,11,-494.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,15,20,9,11,-499.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask70_age900,16,6,4,2,32.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,1,20,9,11,-476.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,2,20,14,6,-227.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,3,20,13,7,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,4,20,16,4,-14.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,5,20,13,7,-325.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,6,20,14,6,-177.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,7,20,14,6,-256.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,8,20,13,7,-304.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,9,20,16,4,-48.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,10,20,16,4,-3.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,11,20,14,6,-237.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,12,20,13,7,-202.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,13,20,14,6,-110.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,14,20,14,6,-144.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,15,20,12,8,-353.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age180,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,1,20,8,12,-545.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,2,20,11,9,-435.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,3,20,12,8,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,4,20,14,6,-156.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,5,20,9,11,-606.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,6,20,12,8,-311.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,7,20,15,5,-123.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,8,20,12,8,-185.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,10,20,11,9,-350.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,11,20,12,8,-374.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,12,20,9,11,-411.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,14,20,11,9,-346.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,15,20,10,10,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age300,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,1,20,7,13,-607.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,2,20,11,9,-372.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,4,20,13,7,-173.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,5,20,6,14,-806.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,6,20,11,9,-383.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,7,20,14,6,-193.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,8,20,13,7,-50.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,10,20,11,9,-285.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,11,20,10,10,-514.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,12,20,9,11,-411.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,14,20,9,11,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,15,20,9,11,-493.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age600,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,1,20,7,13,-607.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,2,20,11,9,-372.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,3,20,12,8,-294.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,4,20,13,7,-173.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,5,20,6,14,-806.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,6,20,11,9,-383.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,7,20,14,6,-193.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,8,20,13,7,-50.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,10,20,11,9,-285.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,11,20,10,10,-514.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,12,20,9,11,-411.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,13,20,13,7,-181.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,14,20,9,11,-483.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,15,20,9,11,-493.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask55_age900,16,6,3,3,-79.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,1,20,9,11,-487.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,2,20,15,5,-108.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,3,20,13,7,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,4,20,16,4,-14.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,5,20,11,9,-476.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,6,20,14,6,-177.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,7,20,14,6,-256.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.4_ask60_age180,8,20,12,8,-380.0
