model,min_edge_cents,cost_cents,split,resolved_markets,selected_markets,coverage,gross_net_cents,cost_total_cents,net_after_cost_cents,roi_after_cost
book_platt,0.0,3.0,holdout,66,66,1.0,168.0,198.0,-30.0,-0.007633587786259542
book_platt,1.0,0.0,all,330,329,0.996969696969697,321.0,0.0,321.0,0.015907626740670994
book_platt,1.0,0.0,train,198,197,0.9949494949494949,-173.0,0.0,-173.0,-0.014449177315626827
book_platt,1.0,0.0,validation,66,66,1.0,173.0,0.0,173.0,0.04191906954204022
book_platt,1.0,0.0,holdout,66,66,1.0,321.0,0.0,321.0,0.07869575876440305
book_platt,1.0,0.5,all,330,329,0.996969696969697,321.0,164.5,156.5,0.007692874874038391
book_platt,1.0,0.5,train,198,197,0.9949494949494949,-173.0,98.5,-271.5,-0.022490991177566998
book_platt,1.0,0.5,validation,66,66,1.0,173.0,33.0,140.0,0.03365384615384615
book_platt,1.0,0.5,holdout,66,66,1.0,321.0,33.0,288.0,0.07003891050583658
book_platt,1.0,1.0,all,330,329,0.996969696969697,321.0,329.0,-8.0,-0.0003900916715428126
book_platt,1.0,1.0,train,198,197,0.9949494949494949,-173.0,197.0,-370.0,-0.030402629416598194
book_platt,1.0,1.0,validation,66,66,1.0,173.0,66.0,107.0,0.02551872167898879
book_platt,1.0,1.0,holdout,66,66,1.0,321.0,66.0,255.0,0.061519903498190594
book_platt,1.0,1.5,all,330,329,0.996969696969697,321.0,493.5,-172.5,-0.008344418914016206
book_platt,1.0,1.5,train,198,197,0.9949494949494949,-173.0,295.5,-468.5,-0.038187227452418794
book_platt,1.0,1.5,validation,66,66,1.0,173.0,99.0,74.0,0.017510648367250355
book_platt,1.0,1.5,holdout,66,66,1.0,321.0,99.0,222.0,0.05313547151747248
book_platt,1.0,2.0,all,330,329,0.996969696969697,321.0,658.0,-337.0,-0.016173153524979604
book_platt,1.0,2.0,train,198,197,0.9949494949494949,-173.0,394.0,-567.0,-0.04584782081345516
book_platt,1.0,2.0,validation,66,66,1.0,173.0,132.0,41.0,0.009626672927917352
book_platt,1.0,2.0,holdout,66,66,1.0,321.0,132.0,189.0,0.04488245072429352
book_platt,1.0,3.0,all,330,329,0.996969696969697,321.0,987.0,-666.0,-0.03146555797032977
book_platt,1.0,3.0,train,198,197,0.9949494949494949,-173.0,591.0,-764.0,-0.06080865966252786
book_platt,1.0,3.0,validation,66,66,1.0,173.0,198.0,-25.0,-0.005780346820809248
book_platt,1.0,3.0,holdout,66,66,1.0,321.0,198.0,123.0,0.028758475566986207
book_platt,2.0,0.0,all,330,241,0.7303030303030303,960.0,0.0,960.0,0.06177606177606178
book_platt,2.0,0.0,train,198,140,0.7070707070707071,582.0,0.0,582.0,0.06453759148369927
book_platt,2.0,0.0,validation,66,48,0.7272727272727273,96.0,0.0,96.0,0.030927835051546393
book_platt,2.0,0.0,holdout,66,53,0.803030303030303,282.0,0.0,282.0,0.08250438853130486
book_platt,2.0,0.5,all,330,241,0.7303030303030303,960.0,120.5,839.5,0.05360620669838128
book_platt,2.0,0.5,train,198,140,0.7070707070707071,582.0,70.0,512.0,0.056338028169014086
book_platt,2.0,0.5,validation,66,48,0.7272727272727273,96.0,24.0,72.0,0.023017902813299233
book_platt,2.0,0.5,holdout,66,53,0.803030303030303,282.0,26.5,255.5,0.07417622296414574
book_platt,2.0,1.0,all,330,241,0.7303030303030303,960.0,241.0,719.0,0.04556111779988594
book_platt,2.0,1.0,train,198,140,0.7070707070707071,582.0,140.0,442.0,0.048263813059620006
book_platt,2.0,1.0,validation,66,48,0.7272727272727273,96.0,48.0,48.0,0.015228426395939087
book_platt,2.0,1.0,holdout,66,53,0.803030303030303,282.0,53.0,229.0,0.06597522327859406
book_platt,2.0,1.5,all,330,241,0.7303030303030303,960.0,361.5,598.5,0.0376379586831431
book_platt,2.0,1.5,train,198,140,0.7070707070707071,582.0,210.0,372.0,0.04031209362808843
book_platt,2.0,1.5,validation,66,48,0.7272727272727273,96.0,72.0,24.0,0.007556675062972292
book_platt,2.0,1.5,holdout,66,53,0.803030303030303,282.0,79.5,202.5,0.057898498927805575
book_platt,2.0,2.0,all,330,241,0.7303030303030303,960.0,482.0,478.0,0.029833978279865184
book_platt,2.0,2.0,train,198,140,0.7070707070707071,582.0,280.0,302.0,0.032480103248010324
book_platt,2.0,2.0,validation,66,48,0.7272727272727273,96.0,96.0,0.0,0.0
book_platt,2.0,2.0,holdout,66,53,0.803030303030303,282.0,106.0,176.0,0.049943246311010214
book_platt,2.0,3.0,all,330,241,0.7303030303030303,960.0,723.0,237.0,0.014572957019000184
book_platt,2.0,3.0,train,198,140,0.7070707070707071,582.0,420.0,162.0,0.017164653528289893
book_platt,2.0,3.0,validation,66,48,0.7272727272727273,96.0,144.0,-48.0,-0.014778325123152709
book_platt,2.0,3.0,holdout,66,53,0.803030303030303,282.0,159.0,123.0,0.034386357282639085
book_platt,2.25,0.0,all,330,228,0.6909090909090909,726.0,0.0,726.0,0.046917409848778596
book_platt,2.25,0.0,train,198,131,0.6616161616161617,535.0,0.0,535.0,0.06034968979131416
book_platt,2.25,0.0,validation,66,46,0.696969696969697,-64.0,0.0,-64.0,-0.020227560050568902
book_platt,2.25,0.0,holdout,66,51,0.7727272727272727,255.0,0.0,255.0,0.07402031930333818
book_platt,2.25,0.5,all,330,228,0.6909090909090909,726.0,114.0,612.0,0.03926096997690531
book_platt,2.25,0.5,train,198,131,0.6616161616161617,535.0,65.5,469.5,0.05257264430882929
book_platt,2.25,0.5,validation,66,46,0.696969696969697,-64.0,23.0,-87.0,-0.027298399748980233
book_platt,2.25,0.5,holdout,66,51,0.7727272727272727,255.0,25.5,229.5,0.06612879988474284
book_platt,2.25,1.0,all,330,228,0.6909090909090909,726.0,228.0,498.0,0.03171570500573175
book_platt,2.25,1.0,train,198,131,0.6616161616161617,535.0,131.0,404.0,0.04490884837705647
book_platt,2.25,1.0,validation,66,46,0.696969696969697,-64.0,46.0,-110.0,-0.03426791277258567
book_platt,2.25,1.0,holdout,66,51,0.7727272727272727,255.0,51.0,204.0,0.05835240274599542
book_platt,2.25,1.5,all,330,228,0.6909090909090909,726.0,342.0,384.0,0.024279210925644917
book_platt,2.25,1.5,train,198,131,0.6616161616161617,535.0,196.5,338.5,0.03735584616233516
book_platt,2.25,1.5,validation,66,46,0.696969696969697,-64.0,69.0,-133.0,-0.04113826167646149
book_platt,2.25,1.5,holdout,66,51,0.7727272727272727,255.0,76.5,178.5,0.05068862700553741
book_platt,2.25,2.0,all,330,228,0.6909090909090909,726.0,456.0,270.0,0.01694915254237288
book_platt,2.25,2.0,train,198,131,0.6616161616161617,535.0,262.0,273.0,0.02991125232825682
book_platt,2.25,2.0,validation,66,46,0.696969696969697,-64.0,92.0,-156.0,-0.04791154791154791
book_platt,2.25,2.0,holdout,66,51,0.7727272727272727,255.0,102.0,153.0,0.04313504369890048
book_platt,2.25,3.0,all,330,228,0.6909090909090909,726.0,684.0,42.0,0.0025993316004456
book_platt,2.25,3.0,train,198,131,0.6616161616161617,535.0,393.0,142.0,0.015338085979693238
book_platt,2.25,3.0,validation,66,46,0.696969696969697,-64.0,138.0,-202.0,-0.06117504542701393
book_platt,2.25,3.0,holdout,66,51,0.7727272727272727,255.0,153.0,102.0,0.028349082823790995
book_platt,2.5,0.0,all,330,220,0.6666666666666666,240.0,0.0,240.0,0.01532567049808429
book_platt,2.5,0.0,train,198,125,0.6313131313131313,314.0,0.0,314.0,0.03533648435741616
book_platt,2.5,0.0,validation,66,44,0.6666666666666666,-159.0,0.0,-159.0,-0.050332383665717
book_platt,2.5,0.0,holdout,66,51,0.7727272727272727,85.0,0.0,85.0,0.02351313969571231
book_platt,2.5,0.5,all,330,220,0.6666666666666666,240.0,110.0,130.0,0.008243500317057704
book_platt,2.5,0.5,train,198,125,0.6313131313131313,314.0,62.5,251.5,0.028105269039503826
book_platt,2.5,0.5,validation,66,44,0.6666666666666666,-159.0,22.0,-181.0,-0.05690034580320654
book_platt,2.5,0.5,holdout,66,51,0.7727272727272727,85.0,25.5,59.5,0.016343908803735752
book_platt,2.5,1.0,all,330,220,0.6666666666666666,240.0,220.0,20.0,0.0012594458438287153
book_platt,2.5,1.0,train,198,125,0.6313131313131313,314.0,125.0,189.0,0.020974364665408946
book_platt,2.5,1.0,validation,66,44,0.6666666666666666,-159.0,44.0,-203.0,-0.0633780830471433
book_platt,2.5,1.0,holdout,66,51,0.7727272727272727,85.0,51.0,34.0,0.009274413529732678
book_platt,2.5,1.5,all,330,220,0.6666666666666666,240.0,330.0,-90.0,-0.005628517823639775
book_platt,2.5,1.5,train,198,125,0.6313131313131313,314.0,187.5,126.5,0.01394169835234474
book_platt,2.5,1.5,validation,66,44,0.6666666666666666,-159.0,66.0,-225.0,-0.06976744186046512
book_platt,2.5,1.5,holdout,66,51,0.7727272727272727,85.0,76.5,8.5,0.002302587024244887
book_platt,2.5,2.0,all,330,220,0.6666666666666666,240.0,440.0,-200.0,-0.012422360248447204
book_platt,2.5,2.0,train,198,125,0.6313131313131313,314.0,250.0,64.0,0.0070052539404553416
book_platt,2.5,2.0,validation,66,44,0.6666666666666666,-159.0,88.0,-247.0,-0.07607021866338158
book_platt,2.5,2.0,holdout,66,51,0.7727272727272727,85.0,102.0,-17.0,-0.0045735808447672855
book_platt,2.5,3.0,all,330,220,0.6666666666666666,240.0,660.0,-420.0,-0.025735294117647058
book_platt,2.5,3.0,train,198,125,0.6313131313131313,314.0,375.0,-61.0,-0.0065867616888025055
book_platt,2.5,3.0,validation,66,44,0.6666666666666666,-159.0,132.0,-291.0,-0.08842297174111212
book_platt,2.5,3.0,holdout,66,51,0.7727272727272727,85.0,153.0,-68.0,-0.018046709129511677
book_platt,2.75,0.0,all,330,185,0.5606060606060606,246.0,0.0,246.0,0.017629353590368352
book_platt,2.75,0.0,train,198,108,0.5454545454545454,270.0,0.0,270.0,0.033210332103321034
book_platt,2.75,0.0,validation,66,36,0.5454545454545454,-133.0,0.0,-133.0,-0.048664471276985
book_platt,2.75,0.0,holdout,66,41,0.6212121212121212,109.0,0.0,109.0,0.03526366871562601
book_platt,2.75,0.5,all,330,185,0.5606060606060606,246.0,92.5,153.5,0.010927989178798989
book_platt,2.75,0.5,train,198,108,0.5454545454545454,270.0,54.0,216.0,0.026392961876832845
book_platt,2.75,0.5,validation,66,36,0.5454545454545454,-133.0,18.0,-151.0,-0.05488913122500909
book_platt,2.75,0.5,holdout,66,41,0.6212121212121212,109.0,20.5,88.5,0.028442873212277037
book_platt,2.75,1.0,all,330,185,0.5606060606060606,246.0,185.0,61.0,0.004314307942570196
book_platt,2.75,1.0,train,198,108,0.5454545454545454,270.0,108.0,162.0,0.019664967225054626
book_platt,2.75,1.0,validation,66,36,0.5454545454545454,-133.0,36.0,-169.0,-0.06103286384976526
book_platt,2.75,1.0,holdout,66,41,0.6212121212121212,109.0,41.0,68.0,0.021711366538952746
book_platt,2.75,1.5,all,330,185,0.5606060606060606,246.0,277.5,-31.5,-0.0022133998524400096
book_platt,2.75,1.5,train,198,108,0.5454545454545454,270.0,162.0,108.0,0.013024602026049204
book_platt,2.75,1.5,validation,66,36,0.5454545454545454,-133.0,54.0,-187.0,-0.067097237172587
book_platt,2.75,1.5,holdout,66,41,0.6212121212121212,109.0,61.5,47.5,0.01506740681998414
book_platt,2.75,2.0,all,330,185,0.5606060606060606,246.0,370.0,-124.0,-0.008656799776598716
book_platt,2.75,2.0,train,198,108,0.5454545454545454,270.0,216.0,54.0,0.006470165348670022
book_platt,2.75,2.0,validation,66,36,0.5454545454545454,-133.0,72.0,-205.0,-0.07308377896613191
book_platt,2.75,2.0,holdout,66,41,0.6212121212121212,109.0,82.0,27.0,0.008509297195083518
book_platt,2.75,3.0,all,330,185,0.5606060606060606,246.0,555.0,-309.0,-0.021297125921841617
book_platt,2.75,3.0,train,198,108,0.5454545454545454,270.0,324.0,-54.0,-0.0063875088715401
book_platt,2.75,3.0,validation,66,36,0.5454545454545454,-133.0,108.0,-241.0,-0.0848292854628652
book_platt,2.75,3.0,holdout,66,41,0.6212121212121212,109.0,123.0,-14.0,-0.0043559427504667085
book_time_v32drift85,0.0,0.0,all,330,330,1.0,935.0,0.0,935.0,0.05091206098557038
book_time_v32drift85,0.0,0.0,train,198,198,1.0,669.0,0.0,669.0,0.06120208581099625
book_time_v32drift85,0.0,0.0,validation,66,66,1.0,-56.0,0.0,-56.0,-0.015317286652078774
book_time_v32drift85,0.0,0.0,holdout,66,66,1.0,322.0,0.0,322.0,0.08523028057173107
book_time_v32drift85,0.0,0.5,all,330,330,1.0,935.0,165.0,770.0,0.04155423637344846
book_time_v32drift85,0.0,0.5,train,198,198,1.0,669.0,99.0,570.0,0.051677243880326386
book_time_v32drift85,0.0,0.5,validation,66,66,1.0,-56.0,33.0,-89.0,-0.024125779343995662
book_time_v32drift85,0.0,0.5,holdout,66,66,1.0,322.0,33.0,289.0,0.07583311466806612
book_time_v32drift85,0.0,1.0,all,330,330,1.0,935.0,330.0,605.0,0.03236159400909334
book_time_v32drift85,0.0,1.0,train,198,198,1.0,669.0,198.0,471.0,0.04232186180249798
book_time_v32drift85,0.0,1.0,validation,66,66,1.0,-56.0,66.0,-122.0,-0.03277807630306287
book_time_v32drift85,0.0,1.0,holdout,66,66,1.0,322.0,66.0,256.0,0.06659729448491156
book_time_v32drift85,0.0,1.5,all,330,330,1.0,935.0,495.0,440.0,0.02332979851537646
book_time_v32drift85,0.0,1.5,train,198,198,1.0,669.0,297.0,372.0,0.033131457071606696
book_time_v32drift85,0.0,1.5,validation,66,66,1.0,-56.0,99.0,-155.0,-0.041278295605858856
book_time_v32drift85,0.0,1.5,holdout,66,66,1.0,322.0,99.0,223.0,0.05751870002579314
book_time_v32drift85,0.0,2.0,all,330,330,1.0,935.0,660.0,275.0,0.01445466491458607
book_time_v32drift85,0.0,2.0,train,198,198,1.0,669.0,396.0,273.0,0.02410170389335217
book_time_v32drift85,0.0,2.0,validation,66,66,1.0,-56.0,132.0,-188.0,-0.04963041182682154
book_time_v32drift85,0.0,2.0,holdout,66,66,1.0,322.0,132.0,190.0,0.04859335038363171
book_time_v32drift85,0.0,3.0,all,330,330,1.0,935.0,990.0,-55.0,-0.0028416429863084474
book_time_v32drift85,0.0,3.0,train,198,198,1.0,669.0,594.0,75.0,0.006507592190889371
book_time_v32drift85,0.0,3.0,validation,66,66,1.0,-56.0,198.0,-254.0,-0.065905552672548
book_time_v32drift85,0.0,3.0,holdout,66,66,1.0,322.0,198.0,124.0,0.03118712273641851
