model,threshold_cents,train_markets,train_trades,train_coverage,train_cost_dollars,train_pnl_dollars,train_roi,train_wins,train_losses,train_avg_edge_cents,train_avg_ask_cents,validation_markets,validation_trades,validation_coverage,validation_cost_dollars,validation_pnl_dollars,validation_roi,validation_wins,validation_losses,validation_avg_edge_cents,validation_avg_ask_cents,holdout_markets,holdout_trades,holdout_coverage,holdout_cost_dollars,holdout_pnl_dollars,holdout_roi,holdout_wins,holdout_losses,holdout_avg_edge_cents,holdout_avg_ask_cents,all_markets,all_trades,all_coverage,all_cost_dollars,all_pnl_dollars,all_roi,all_wins,all_losses,all_avg_edge_cents,all_avg_ask_cents,train_eligible_80,all_splits_eligible_80,all_splits_positive_pnl,min_split_pnl_dollars,mean_split_roi
v38_long60_antipersist,-5.5,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-5.25,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-5.0,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-4.75,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-4.5,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-4.25,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-4.0,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-3.75,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-3.5,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-3.25,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-3.0,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-2.75,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-2.5,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-2.25,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-2.0,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-1.75,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-1.5,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-1.25,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-1.0,198,198,1.0,181.0,-1.0,-0.0055248618784530384,90,108,6.923437905720374,45.707070707070706,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.28,12.72,0.04250200481154772,156,174,7.307853944324272,45.345454545454544,True,True,False,-2.06,0.07367793012813727
v38_long60_antipersist,-0.75,198,198,1.0,180.98,-0.98,-0.005414962979334734,90,108,6.929182829756931,45.7020202020202,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.26,12.74,0.04257167680278019,156,174,7.311300898746206,45.342424242424244,True,True,False,-2.06,0.07371456309451002
v38_long60_antipersist,-0.5,198,198,1.0,180.98,-0.98,-0.005414962979334734,90,108,6.929182829756931,45.7020202020202,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.06,-2.06,-0.03548053737512918,28,38,7.8342993427100724,43.984848484848484,330,330,1.0,299.26,12.74,0.04257167680278019,156,174,7.311300898746206,45.342424242424244,True,True,False,-2.06,0.07371456309451002
v38_long60_antipersist,-0.25,198,198,1.0,180.36,-6.36,-0.03526280771789754,87,111,7.056127601167896,45.54545454545455,66,66,1.0,60.22,15.78,0.262039189637994,38,28,7.934656661750162,45.621212121212125,66,66,1.0,58.02,-2.02,-0.0348155808341951,28,38,7.8627430557168,43.95454545454545,330,330,1.0,298.6,7.4,0.02478231748158071,153,177,7.393156504194132,45.24242424242424,True,True,False,-6.36,0.06398693369530045
