feature_set,model,gate,feature_count,spearman_pred_vs_pnl,top_quartile_net_dollars,entries,wins,losses,flats,net_dollars,avg_cents_per_entry,positive_windows,traded_windows,window_net_cents,locked_entries,locked_net_dollars,locked_avg_cents_per_entry
base_ev,rf_d3_leaf15,ev_all,7,-0.0017726202883618114,-1.9400000000000004,96,45,51,0,1.0399999999999998,1.083333333333333,3,4,"216.0,-140.0,0.0,28.0",58,6.29,10.844827586206897
standard6_social_pinball_control,rf_d3_leaf15,robust_ev_overlay,79,-0.1014244673672484,-6.11,19,10,9,0,0.91,4.7894736842105265,3,4,"-160.0,94.0,135.0,22.0",19,0.54,2.8421052631578947
all3_phi_social_pinball,rf_d3_leaf15,robust_ev_overlay,79,-0.1330757141651118,-5.15,23,11,12,0,0.89,3.869565217391304,3,4,"-176.0,72.0,135.0,58.0",19,1.06,5.578947368421052
phi_only,tree_d3_leaf20,ev_all,31,-0.06251852546720786,0.25999999999999995,87,40,45,2,0.25999999999999995,0.2988505747126436,3,4,"22.0,-300.0,142.0,162.0",161,-0.2700000000000004,-0.16770186335403753
base_ev,tree_d3_leaf20,ev_all,7,0.0009551637304030583,-3.21,111,51,59,1,-0.6900000000000003,-0.6216216216216218,3,4,"72.0,-269.0,122.0,6.0",152,6.54,4.302631578947368
social_only,tree_d2_leaf20,robust_ev_overlay,18,-0.07957569780719774,-2.08,40,21,19,0,3.8,9.5,2,4,"-84.0,486.0,64.0,-86.0",51,3.45,6.764705882352941
social_pinball,tree_d2_leaf20,robust_ev_overlay,55,-0.07957569780719774,-2.08,40,21,19,0,3.8,9.5,2,4,"-84.0,486.0,64.0,-86.0",51,3.45,6.764705882352941
base_ev,tree_d2_leaf20,ev_all,7,0.0019698268181444546,-1.36,158,75,82,1,2.4199999999999995,1.531645569620253,2,4,"-6.0,-169.0,117.0,300.0",238,3.1899999999999995,1.3403361344537812
phi_only,tree_d2_leaf20,ev_all,31,-0.09283350900444672,1.2799999999999998,101,43,55,3,1.2799999999999998,1.2673267326732671,2,4,"22.0,-188.0,-156.0,450.0",161,-0.2700000000000004,-0.16770186335403753
standard6_social_pinball_control,tree_d2_leaf20,ev_all,79,-0.04867748695687702,2.8,99,42,56,1,1.2399999999999998,1.2525252525252524,2,4,"-174.0,4.0,-156.0,450.0",165,-2.0000000000000004,-1.2121212121212124
all3_phi_social_pinball,tree_d2_leaf20,ev_all,79,-0.06821063077643919,-2.79,107,45,59,3,1.2399999999999998,1.158878504672897,2,4,"-174.0,4.0,-156.0,450.0",165,-2.0000000000000004,-1.2121212121212124
pinball_only,tree_d2_leaf20,ev_all,37,-0.007928097838616583,-0.78,89,44,44,1,1.06,1.1910112359550562,2,4,"-34.0,21.0,-37.0,156.0",17,-2.12,-12.470588235294118
pinball_only,hgb_leaf20_l2,robust_ev_overlay,37,-0.0763217972436875,-2.39,31,12,19,0,-0.07000000000000015,-0.2258064516129037,2,4,"-60.0,50.0,29.0,-26.0",38,5.06,13.31578947368421
all3_phi_social_pinball,hgb_leaf20_l2,ev_all,79,-0.1232839254608772,-1.3900000000000003,60,23,36,1,-0.07000000000000016,-0.11666666666666693,2,4,"-290.0,-147.0,36.0,394.0",37,-5.96,-16.10810810810811
standard6_social_pinball_control,tree_d3_leaf20,ev_all,79,-0.0896168480843136,-2.5200000000000005,57,21,34,2,-1.5700000000000003,-2.7543859649122813,2,4,"-138.0,4.0,-279.0,256.0",9,-1.1800000000000002,-13.111111111111112
social_pinball,hgb_leaf20_l2,ev_all,55,-0.08242199896475375,-2.0400000000000005,48,21,27,0,-1.9,-3.9583333333333335,2,4,"-238.0,-6.0,34.0,20.0",31,-2.1,-6.774193548387098
standard6_social_pinball_control,rf_d3_leaf15,ev_all,79,-0.1014244673672484,-6.11,64,25,38,1,-2.11,-3.296875,2,4,"-80.0,26.0,-189.0,32.0",13,-1.54,-11.846153846153847
pinball_only,tree_d3_leaf20,ev_all,37,-0.0749023146555483,-0.89,84,38,46,0,-2.12,-2.5238095238095237,2,4,"242.0,-312.0,-160.0,18.0",90,3.08,3.422222222222222
phi_pinball,tree_d3_leaf20,ev_all,68,-0.09628625424519346,-2.5,83,37,44,2,-2.5,-3.0120481927710845,2,4,"-156.0,-398.0,142.0,162.0",163,-2.24,-1.374233128834356
phi_only,rf_d3_leaf15,ev_all,31,-0.11687577157500402,-6.58,78,30,46,2,-2.68,-3.4358974358974357,2,4,"-96.0,-438.0,16.0,250.0",31,-2.1300000000000003,-6.870967741935485
all3_phi_social_pinball,tree_d3_leaf20,ev_all,79,-0.094715573248427,-3.76,50,18,30,2,-2.81,-5.62,2,4,"-138.0,4.0,-279.0,132.0",9,-1.1800000000000002,-13.111111111111112
phi_pinball,tree_d2_leaf20,ev_all,68,-0.103353997227251,-0.5000000000000001,102,43,56,3,-0.5000000000000001,-0.4901960784313727,1,4,"-156.0,-188.0,-156.0,450.0",163,-2.24,-1.374233128834356
pinball_only,hgb_leaf20_l2,ev_all,37,-0.0763217972436875,-2.39,111,49,62,0,-0.6000000000000001,-0.5405405405405406,1,4,"-6.0,13.0,-3.0,-64.0",92,0.9299999999999998,1.0108695652173911
base_ev,hgb_leaf20_l2,ev_all,7,0.017435212182461,-2.98,50,24,26,0,-0.9900000000000001,-1.9800000000000002,1,3,"0.0,-120.0,41.0,-20.0",12,0.21999999999999992,1.8333333333333328
social_only,rf_d3_leaf15,ev_all,18,-0.07448458567743309,-3.37,59,24,35,0,-3.32,-5.627118644067797,1,4,"-178.0,-15.0,-149.0,10.0",22,-2.88,-13.090909090909092
phi_only,hgb_leaf20_l2,ev_all,31,-0.1371112080482357,-6.89,84,31,51,2,-4.210000000000001,-5.011904761904763,1,4,"-530.0,-246.0,-39.0,394.0",53,-11.56,-21.81132075471698
standard6_social_pinball_control,hgb_leaf20_l2,ev_all,79,-0.14258539496762615,-8.65,68,25,43,0,-4.91,-7.220588235294118,1,4,"-260.0,-243.0,-186.0,198.0",35,-5.98,-17.085714285714285
all3_phi_social_pinball,rf_d3_leaf15,ev_all,79,-0.1330757141651118,-5.15,80,29,50,1,-5.17,-6.4625,1,4,"-180.0,-278.0,-135.0,76.0",20,-2.56,-12.8
phi_pinball,rf_d3_leaf15,ev_all,68,-0.1467889316507426,-7.81,70,23,45,2,-6.01,-8.585714285714285,1,4,"-166.0,-594.0,-85.0,244.0",33,-2.73,-8.272727272727273
phi_pinball,hgb_leaf20_l2,ev_all,68,-0.186621424887793,-8.77,105,38,65,2,-8.76,-8.342857142857143,1,4,"-306.0,-687.0,-389.0,506.0",37,-5.73,-15.486486486486486
social_only,tree_d2_leaf20,ev_all,18,-0.07957569780719774,-2.08,71,32,37,2,-2.08,-2.9295774647887325,0,3,"-174.0,0.0,-6.0,-28.0",165,-2.0000000000000004,-1.2121212121212124
social_pinball,tree_d2_leaf20,ev_all,55,-0.07957569780719774,-2.08,71,32,37,2,-2.08,-2.9295774647887325,0,3,"-174.0,0.0,-6.0,-28.0",165,-2.0000000000000004,-1.2121212121212124
social_only,tree_d3_leaf20,ev_all,18,-0.09060277727181613,-3.52,98,43,54,1,-3.52,-3.5918367346938775,0,4,"-138.0,-91.0,-47.0,-76.0",9,-1.1800000000000002,-13.111111111111112
social_pinball,tree_d3_leaf20,ev_all,55,-0.09060277727181613,-3.52,98,43,54,1,-3.52,-3.5918367346938775,0,4,"-138.0,-91.0,-47.0,-76.0",9,-1.1800000000000002,-13.111111111111112
social_only,hgb_leaf20_l2,ev_all,18,-0.08876169022765504,-4.42,43,17,26,0,-3.83,-8.906976744186046,0,4,"-238.0,-6.0,-83.0,-56.0",31,-2.1,-6.774193548387098
social_pinball,rf_d3_leaf15,ev_all,55,-0.0851998579441142,-0.5100000000000001,55,21,34,0,-4.97,-9.036363636363637,0,4,"-178.0,-15.0,-194.0,-110.0",21,-2.74,-13.047619047619047
