candidate_id,split,slice,rows,markets,avg_pred,win_rate,brier,logloss,ece_10bin,side_accuracy,calibration_intercept,calibration_slope,shadow_trades,shadow_coverage,shadow_net_pnl_cents,shadow_expected_ev_cents
v28_raw,train,all_rows,938,70,0.5047067974413646,0.5469083155650319,0.15681484862542858,0.5179462236494152,0.0899077846481876,0.8176972281449894,0.2750756805997782,0.6729368849836238,938,1.0,-108.0,6803.3062
v28_raw,train,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,train,near_boundary_abs_d_lte_1,555,58,0.45872941801801803,0.42882882882882883,0.14588947905224683,0.4726138658730749,0.037273317117117157,0.827027027027027,-0.23918312238025302,0.8258266160064531,555,1.0,1691.0,3759.6690999999996
v28_raw,train,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,train,prior_recross_seen,106,10,0.708142320754717,0.7264150943396226,0.03203450298062264,0.15812591262058998,0.06982167924528299,0.9716981132075472,-6.7619121128699184,4.874634694911628,106,1.0,1649.0,908.8902
v28_raw,train,adverse_memory_gt_1sigma,100,9,0.68669396,0.68,0.03969969839636,0.17489123154970554,0.06655236,0.96,-18.22275560017857,10.251433255203018,100,1.0,1432.0,900.59
v28_raw,train,late_lte_180s,48,7,0.5819681666666666,0.5833333333333334,0.011702316648833333,0.10864313801899299,0.10227366666666668,1.0,-0.18342016188201807,5.240733911947486,48,1.0,1192.0,701.0863999999999
v28_raw,train,fresh_feed_lte_1000ms,762,65,0.4589960853018373,0.494750656167979,0.15656108041164962,0.5201668185313162,0.08714590682414694,0.8188976377952756,0.1743591283082307,0.6798451984449678,762,1.0,482.0,5813.3579
v28_raw,train,stale_feed_gt_1000ms,176,34,0.702613403409091,0.7727272727272727,0.1579135496419034,0.5083320571720938,0.10186546022727276,0.8125,0.8689491563476973,0.5385222595232718,176,1.0,-590.0,989.9483
v28_raw,train,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,train,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,validation,all_rows,395,24,0.3319270075949367,0.3341772151898734,0.16734940218236458,0.5314717061672805,0.0848549063291139,0.7974683544303798,-0.26984710799083217,0.6188514424459832,395,1.0,-281.0,3070.7688
v28_raw,validation,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,validation,near_boundary_abs_d_lte_1,291,23,0.28599459793814436,0.28865979381443296,0.1781561123524055,0.5513784185014194,0.08527597250859106,0.7800687285223368,-0.3778053813469217,0.5787747634728947,291,1.0,-141.0,2340.5308
v28_raw,validation,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,validation,prior_recross_seen,48,4,0.35761729166666667,0.3958333333333333,0.29714048080979166,0.8696405123129175,0.2619740416666667,0.625,-0.2562654699661212,0.23515966614801673,48,1.0,-902.0,355.47540000000004
v28_raw,validation,adverse_memory_gt_1sigma,48,4,0.3749945833333333,0.4166666666666667,0.3295173751249167,0.9572725586611045,0.30360875,0.5833333333333334,-0.23317195525529819,0.16150086600509989,48,1.0,-1076.0,381.32200000000006
v28_raw,validation,late_lte_180s,20,4,0.42087060000000004,0.4,0.3076599819658,0.8768047417323956,0.3202662,0.6,-0.3263453508554384,0.2355434254556317,20,1.0,-420.0,148.67959999999994
v28_raw,validation,fresh_feed_lte_1000ms,355,24,0.3129360253521127,0.35774647887323946,0.15254851873285916,0.492027317093113,0.06608597464788733,0.8169014084507042,0.09522334702517316,0.7524090363512876,355,1.0,337.0,2683.0521
v28_raw,validation,stale_feed_gt_1000ms,40,8,0.500471975,0.125,0.298707242796725,0.8815406592005168,0.37547197499999996,0.625,-3.2589299232795117,1.051869385264771,40,1.0,-618.0,387.7167
v28_raw,validation,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,validation,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,chronological_holdout,all_rows,412,24,0.4111886019417476,0.36893203883495146,0.09951287382809708,0.3376480520454965,0.0422565631067961,0.883495145631068,-0.4549641924312304,0.9698469972600635,412,1.0,2800.0,3207.2255999999998
v28_raw,chronological_holdout,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,chronological_holdout,near_boundary_abs_d_lte_1,208,23,0.41560975,0.38461538461538464,0.1310765595200192,0.4331989735184397,0.03099436538461533,0.8461538461538461,-0.2710800758689903,0.9080290905978587,208,1.0,1444.0,1742.238
v28_raw,chronological_holdout,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,chronological_holdout,prior_recross_seen,34,6,0.5958029705882353,0.5294117647058824,0.07189517849432352,0.25070719950787324,0.10792767647058824,0.9117647058823529,-25.210373726989665,14.253961354981039,34,1.0,228.0,223.74829999999992
v28_raw,chronological_holdout,adverse_memory_gt_1sigma,36,6,0.548088888888889,0.4444444444444444,0.08754809056022221,0.28866234034004484,0.14287333333333332,0.8888888888888888,-13.99297589099928,10.190908712683866,36,1.0,144.0,229.7879999999999
v28_raw,chronological_holdout,late_lte_180s,20,4,0.43408299999999994,0.4,0.010632554405800002,0.10569902564513405,0.09994460000000002,1.0,-1.2491064071566638,4.87813648581748,20,1.0,320.0,120.11079999999998
v28_raw,chronological_holdout,fresh_feed_lte_1000ms,377,24,0.4042012546419098,0.35013262599469497,0.10174220525945092,0.34370485897381736,0.05406862864721485,0.8806366047745358,-0.5801593569500875,0.9587550118229051,377,1.0,2417.0,2904.4461
v28_raw,chronological_holdout,stale_feed_gt_1000ms,35,10,0.4864523142857143,0.5714285714285714,0.07549978955322856,0.27240758884615585,0.11262214285714288,0.9142857142857143,5.11081438212353,3.3796110825091423,35,1.0,383.0,302.77950000000004
v28_raw,chronological_holdout,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,chronological_holdout,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,all_rows,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,near_boundary_abs_d_lte_1,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,prior_recross_seen,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,adverse_memory_gt_1sigma,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,late_lte_180s,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,fresh_feed_lte_1000ms,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,stale_feed_gt_1000ms,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,post_freeze_forward,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28s_logistic_calibration_v001,all,all_rows,1745,118,0.5217505811724396,0.45673352435530085,0.1742401482660875,0.5349629022607019,0.17593762885606704,0.8286532951289398,-0.4458655648005082,2.365160082389632,32,0.01833810888252149,-688.0,261.4628566945471
v28s_logistic_calibration_v001,all,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
