dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,logit_thresh55_edge15,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,13,6,0.6842105263157895,-3.0,-0.0023023791250959325,68.0,False,True
v21,logit_thresh55_edge15,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,15,5,0.75,70.0,0.04895104895104895,70.0,True,True
v21,logit_thresh55_edge15,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,253.0,0.17484450587422254,68.0,True,True
v21,logit_thresh55_edge15,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,19,1,0.95,464.0,0.3231197771587744,68.5,True,True
v21,logit_thresh55_edge15,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,11,9,0.55,-321.0,-0.2258972554539057,68.0,False,True
v21,logit_thresh55_edge15,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,250.0,0.1724137931034483,70.0,True,True
v21,logit_thresh55_edge15,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,106.0,0.07604017216642754,69.0,True,True
v21,logit_thresh55_edge15,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,True,True
v21,book60,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,20,1.0,17,3,0.85,227.0,0.15410726408689748,70.5,True,True
v21,book60,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-208.0,-0.14772727272727273,67.5,False,True
v21,book60,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-138.0,-0.09596662030598054,68.0,False,True
v21,book60,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,15,5,0.75,102.0,0.07296137339055794,68.5,True,True
v21,book60,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,20,1.0,13,7,0.65,-68.0,-0.049707602339181284,67.0,False,True
v21,book60,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,14,6,0.7,-6.0,-0.004267425320056899,69.0,False,True
v21,book60,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,282.0,0.19887165021156558,68.0,True,True
v21,book60,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,19,1,0.95,462.0,0.32127955493741306,68.5,True,True
v21,book60,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,11,9,0.55,-299.0,-0.2137240886347391,66.5,False,True
v21,book60,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,250.0,0.1724137931034483,70.0,True,True
v21,book60,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,20,1.0,15,5,0.75,46.0,0.03163686382393398,68.5,True,True
v21,book60,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,True,True
v21,score_min60,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,20,1.0,17,3,0.85,227.0,0.15410726408689748,70.5,True,True
v21,score_min60,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-208.0,-0.14772727272727273,67.5,False,True
v21,score_min60,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-138.0,-0.09596662030598054,68.0,False,True
v21,score_min60,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,15,5,0.75,102.0,0.07296137339055794,68.5,True,True
v21,score_min60,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,13,6,0.6842105263157895,-3.0,-0.0023023791250959325,68.0,False,True
v21,score_min60,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,15,5,0.75,70.0,0.04895104895104895,70.0,True,True
v21,score_min60,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,253.0,0.17484450587422254,68.0,True,True
v21,score_min60,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,19,1,0.95,462.0,0.32127955493741306,68.5,True,True
v21,score_min60,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,11,9,0.55,-321.0,-0.2258972554539057,68.0,False,True
v21,score_min60,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,17,3,0.85,250.0,0.1724137931034483,70.0,True,True
v21,score_min60,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,85.0,0.06007067137809187,71.0,True,True
v21,score_min60,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,True,True
