feature,bucket,split,model,rows,mean_pred,realized,error,abs_error,brier,logloss
book_minus_model_p_side,"(-0.05, 0.0]",validation,v28_live_surface,2402,0.4940119480031929,0.4650291423813489,0.02898280562184402,0.02898280562184402,0.09777903472086742,0.30046278999116827
book_minus_model_p_side,"(-0.05, 0.0]",validation,v28_avg90,2402,0.49381419097390533,0.4650291423813489,0.028785048592556428,0.028785048592556428,0.09715915110083746,0.29605605820972347
book_minus_model_p_side,"(-0.05, 0.0]",validation,v31_avg90_final60_exact,2402,0.49418827648607055,0.4650291423813489,0.02915913410472165,0.02915913410472165,0.09700451246007812,0.29504032792748885
book_minus_model_p_side,"(-0.1, -0.05]",validation,v28_live_surface,696,0.554054529837942,0.44396551724137934,0.11008901259656267,0.11008901259656267,0.17014134960259072,0.5103729682193027
book_minus_model_p_side,"(-0.1, -0.05]",validation,v28_avg90,696,0.5525365934917247,0.44396551724137934,0.10857107625034534,0.10857107625034534,0.16888973654426412,0.5062252232193489
book_minus_model_p_side,"(-0.1, -0.05]",validation,v31_avg90_final60_exact,696,0.5523728030008375,0.44396551724137934,0.10840728575945813,0.10840728575945813,0.1686004611887969,0.5051646313097893
book_minus_model_p_side,"(-0.2, -0.1]",validation,v28_live_surface,546,0.5289044076018148,0.29120879120879123,0.23769561639302356,0.23769561639302356,0.22510720581521826,0.664567164734437
book_minus_model_p_side,"(-0.2, -0.1]",validation,v28_avg90,546,0.5272278972723226,0.29120879120879123,0.23601910606353133,0.23601910606353133,0.22469281945431857,0.666057795671389
book_minus_model_p_side,"(-0.2, -0.1]",validation,v31_avg90_final60_exact,546,0.5268998311786574,0.29120879120879123,0.23569103996986612,0.23569103996986612,0.22448659565618356,0.6655454206268431
book_minus_model_p_side,"(-1.001, -0.2]",validation,v28_live_surface,174,0.5793580336443781,0.25287356321839083,0.32648447042598727,0.32648447042598727,0.26219387650006454,0.7324537969705603
book_minus_model_p_side,"(-1.001, -0.2]",validation,v28_avg90,174,0.5835730850346735,0.25287356321839083,0.3306995218162827,0.3306995218162827,0.2666068702290118,0.7465615856448984
book_minus_model_p_side,"(-1.001, -0.2]",validation,v31_avg90_final60_exact,174,0.5829658532365561,0.25287356321839083,0.3300922900181653,0.3300922900181653,0.26615501096159544,0.7455922647820008
book_minus_model_p_side,"(0.0, 0.05]",validation,v28_live_surface,2402,0.5059880519968071,0.5349708576186512,-0.028982805621844077,0.028982805621844077,0.09777903472086742,0.30046278999116827
book_minus_model_p_side,"(0.0, 0.05]",validation,v28_avg90,2402,0.5061858090260947,0.5349708576186512,-0.028785048592556484,0.028785048592556484,0.09715915110083745,0.29605605820972347
book_minus_model_p_side,"(0.0, 0.05]",validation,v31_avg90_final60_exact,2402,0.5058117235139294,0.5349708576186512,-0.029159134104721707,0.029159134104721707,0.09700451246007812,0.29504032792748885
book_minus_model_p_side,"(0.05, 0.1]",validation,v28_live_surface,696,0.4459454701620578,0.5560344827586207,-0.11008901259656284,0.11008901259656284,0.17014134960259072,0.5103729682193027
book_minus_model_p_side,"(0.05, 0.1]",validation,v28_avg90,696,0.4474634065082753,0.5560344827586207,-0.10857107625034534,0.10857107625034534,0.16888973654426412,0.5062252232193489
book_minus_model_p_side,"(0.05, 0.1]",validation,v31_avg90_final60_exact,696,0.44762719699916254,0.5560344827586207,-0.10840728575945813,0.10840728575945813,0.16860046118879696,0.5051646313097893
book_minus_model_p_side,"(0.1, 0.2]",validation,v28_live_surface,546,0.4710955923981852,0.7087912087912088,-0.2376956163930236,0.2376956163930236,0.2251072058152183,0.6645671647344371
book_minus_model_p_side,"(0.1, 0.2]",validation,v28_avg90,546,0.47277210272767745,0.7087912087912088,-0.23601910606353138,0.23601910606353138,0.22469281945431857,0.6660577956713889
book_minus_model_p_side,"(0.1, 0.2]",validation,v31_avg90_final60_exact,546,0.47310016882134265,0.7087912087912088,-0.23569103996986618,0.23569103996986618,0.2244865956561836,0.6655454206268431
book_minus_model_p_side,"(0.2, 1.0]",validation,v28_live_surface,174,0.4206419663556219,0.7471264367816092,-0.32648447042598727,0.32648447042598727,0.26219387650006454,0.7324537969705603
book_minus_model_p_side,"(0.2, 1.0]",validation,v28_avg90,174,0.41642691496532647,0.7471264367816092,-0.3306995218162827,0.3306995218162827,0.26660687022901186,0.7465615856448985
book_minus_model_p_side,"(0.2, 1.0]",validation,v31_avg90_final60_exact,174,0.4170341467634438,0.7471264367816092,-0.33009229001816537,0.33009229001816537,0.26615501096159544,0.745592264782001
book_minus_model_p_side,"(-0.05, 0.0]",holdout,v28_live_surface,2195,0.4430960516233129,0.4182232346241458,0.024872816999167102,0.024872816999167102,0.1096999167594496,0.3356782086492957
book_minus_model_p_side,"(-0.05, 0.0]",holdout,v28_avg90,2195,0.44222024747145083,0.4182232346241458,0.023997012847305044,0.023997012847305044,0.10878024662085227,0.3315620536401707
book_minus_model_p_side,"(-0.05, 0.0]",holdout,v31_avg90_final60_exact,2195,0.4420116732746779,0.4182232346241458,0.023788438650532095,0.023788438650532095,0.10839260834422898,0.32947138012533217
book_minus_model_p_side,"(-0.1, -0.05]",holdout,v28_live_surface,787,0.46089726119847224,0.3684879288437103,0.09240933235476195,0.09240933235476195,0.18514801681759321,0.5518464307820846
book_minus_model_p_side,"(-0.1, -0.05]",holdout,v28_avg90,787,0.45553059522371897,0.3684879288437103,0.08704266638000868,0.08704266638000868,0.18314079488713925,0.5470816691537128
book_minus_model_p_side,"(-0.1, -0.05]",holdout,v31_avg90_final60_exact,787,0.45490904560745576,0.3684879288437103,0.08642111676374548,0.08642111676374548,0.182512733058131,0.5451622964795527
book_minus_model_p_side,"(-0.2, -0.1]",holdout,v28_live_surface,619,0.4649869746788159,0.3198707592891761,0.1451162153896398,0.1451162153896398,0.2064984730571153,0.6021075559113331
book_minus_model_p_side,"(-0.2, -0.1]",holdout,v28_avg90,619,0.4590387883819231,0.3198707592891761,0.139168029092747,0.139168029092747,0.2051564724110209,0.5986861093445154
book_minus_model_p_side,"(-0.2, -0.1]",holdout,v31_avg90_final60_exact,619,0.45949083036515515,0.3198707592891761,0.13962007107597907,0.13962007107597907,0.2048137637808604,0.597703083582369
book_minus_model_p_side,"(-1.001, -0.2]",holdout,v28_live_surface,204,0.5210747720975568,0.21568627450980393,0.3053884975877529,0.3053884975877529,0.25272434729333937,0.7104935849358052
book_minus_model_p_side,"(-1.001, -0.2]",holdout,v28_avg90,204,0.5229306690786827,0.21568627450980393,0.30724439456887875,0.30724439456887875,0.2544305729485465,0.7192098677515784
book_minus_model_p_side,"(-1.001, -0.2]",holdout,v31_avg90_final60_exact,204,0.5252490225779292,0.21568627450980393,0.3095627480681252,0.3095627480681252,0.2551717866008012,0.7211791773172125
book_minus_model_p_side,"(0.0, 0.05]",holdout,v28_live_surface,2195,0.556903948376687,0.5817767653758542,-0.024872816999167213,0.024872816999167213,0.1096999167594496,0.3356782086492957
book_minus_model_p_side,"(0.0, 0.05]",holdout,v28_avg90,2195,0.557779752528549,0.5817767653758542,-0.023997012847305155,0.023997012847305155,0.10878024662085227,0.3315620536401707
book_minus_model_p_side,"(0.0, 0.05]",holdout,v31_avg90_final60_exact,2195,0.5579883267253221,0.5817767653758542,-0.02378843865053215,0.02378843865053215,0.10839260834422898,0.3294713801253323
book_minus_model_p_side,"(0.05, 0.1]",holdout,v28_live_surface,787,0.5391027388015278,0.6315120711562897,-0.0924093323547619,0.0924093323547619,0.18514801681759321,0.5518464307820846
book_minus_model_p_side,"(0.05, 0.1]",holdout,v28_avg90,787,0.544469404776281,0.6315120711562897,-0.08704266638000868,0.08704266638000868,0.18314079488713925,0.547081669153713
book_minus_model_p_side,"(0.05, 0.1]",holdout,v31_avg90_final60_exact,787,0.5450909543925442,0.6315120711562897,-0.08642111676374553,0.08642111676374553,0.18251273305813098,0.5451622964795527
book_minus_model_p_side,"(0.1, 0.2]",holdout,v28_live_surface,619,0.5350130253211841,0.6801292407108239,-0.1451162153896398,0.1451162153896398,0.2064984730571153,0.6021075559113331
book_minus_model_p_side,"(0.1, 0.2]",holdout,v28_avg90,619,0.5409612116180769,0.6801292407108239,-0.13916802909274706,0.13916802909274706,0.2051564724110209,0.5986861093445154
book_minus_model_p_side,"(0.1, 0.2]",holdout,v31_avg90_final60_exact,619,0.5405091696348449,0.6801292407108239,-0.13962007107597907,0.13962007107597907,0.20481376378086036,0.597703083582369
book_minus_model_p_side,"(0.2, 1.0]",holdout,v28_live_surface,204,0.47892522790244313,0.7843137254901961,-0.30538849758775294,0.30538849758775294,0.2527243472933394,0.7104935849358052
book_minus_model_p_side,"(0.2, 1.0]",holdout,v28_avg90,204,0.47706933092131737,0.7843137254901961,-0.3072443945688787,0.3072443945688787,0.25443057294854654,0.7192098677515784
book_minus_model_p_side,"(0.2, 1.0]",holdout,v31_avg90_final60_exact,204,0.47475097742207084,0.7843137254901961,-0.3095627480681252,0.3095627480681252,0.2551717866008012,0.7211791773172124
signed_velocity_dps_1m,"(-0.0812, 0.0]",all,v28_live_surface,5134,0.479102680260593,0.46688741721854304,0.01221526304204995,0.01221526304204995,0.15354225319948087,0.4560243807141968
signed_velocity_dps_1m,"(-0.0812, 0.0]",all,v28_avg90,5134,0.47803257440061003,0.46688741721854304,0.01114515718206699,0.01114515718206699,0.15231703652648163,0.4510237450398677
signed_velocity_dps_1m,"(-0.0812, 0.0]",all,v31_avg90_final60_exact,5134,0.4779703886755419,0.46688741721854304,0.01108297145699888,0.01108297145699888,0.15257527008819607,0.45189308325581495
signed_velocity_dps_1m,"(-0.206, -0.0812]",all,v28_live_surface,4765,0.4619305173408174,0.45477439664218255,0.00715612069863486,0.00715612069863486,0.14332127257023963,0.43092296903124233
signed_velocity_dps_1m,"(-0.206, -0.0812]",all,v28_avg90,4765,0.4600992500816284,0.45477439664218255,0.005324853439445831,0.005324853439445831,0.14167056206,0.42450285664304815
signed_velocity_dps_1m,"(-0.206, -0.0812]",all,v31_avg90_final60_exact,4765,0.4600131410131915,0.45477439664218255,0.005238744371008963,0.005238744371008963,0.14133197941763337,0.42448550255257234
signed_velocity_dps_1m,"(-0.456, -0.206]",all,v28_live_surface,4754,0.42808837634147134,0.4190155658392932,0.009072810502178119,0.009072810502178119,0.15075252052838184,0.4501453009313273
signed_velocity_dps_1m,"(-0.456, -0.206]",all,v28_avg90,4754,0.42546455454634635,0.4190155658392932,0.006448988707053127,0.006448988707053127,0.1501450039694669,0.44881225743161357
signed_velocity_dps_1m,"(-0.456, -0.206]",all,v31_avg90_final60_exact,4754,0.4247920842571784,0.4190155658392932,0.005776518417885179,0.005776518417885179,0.15047508791117145,0.4575728842715253
signed_velocity_dps_1m,"(-8.247, -0.456]",all,v28_live_surface,4758,0.35307270432971144,0.3503572929802438,0.0027154113494676224,0.0027154113494676224,0.14094921817205142,0.42641187822957954
signed_velocity_dps_1m,"(-8.247, -0.456]",all,v28_avg90,4758,0.34845918203338594,0.3503572929802438,-0.0018981109468578783,0.0018981109468578783,0.14087335911606225,0.4269551422703106
signed_velocity_dps_1m,"(-8.247, -0.456]",all,v31_avg90_final60_exact,4758,0.34839959639768103,0.3503572929802438,-0.0019576965825627846,0.0019576965825627846,0.14096453981853277,0.4283038668164
