model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,entry_policy,exit_policy,veto_policy
v41_v38_physics_path_l210,KXBTC15M-26MAY010245-45,train,2026-05-01 06:33:21.577000+00:00,no,no,True,60.0,58.0,0.6534776720234243,0.34652232797657573,5.347767202342439,698.423,probability_reduce,2026-05-01 06:35:06.729000+00:00,593.271,37.0,0.3299798992257006,-4.002010077429944,-46.0,False,120.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010315-15,train,2026-05-01 07:03:09.314000+00:00,no,yes,False,66.0,65.0,0.6581140870403965,0.3418859129596035,-0.18859129596035018,710.686,probability_reduce,2026-05-01 07:10:10.020000+00:00,289.98,35.0,0.25153143255724364,-9.846856744275637,-62.0,False,132.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010330-30,train,2026-05-01 07:19:10.923000+00:00,yes,no,False,60.0,59.0,0.6537065252493253,0.6537065252493253,5.370652524932524,649.077,probability_reduce,2026-05-01 07:20:10.958000+00:00,589.042,55.0,0.5110912275718014,-3.8908772428198617,-10.0,False,120.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010345-45,train,2026-05-01 07:37:13.738000+00:00,yes,yes,True,61.0,60.0,0.6636480315002208,0.6636480315002208,5.364803150022084,466.262,settlement_win,,,,,,78.0,True,122.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010415-15,train,2026-05-01 08:03:00.980000+00:00,no,yes,False,74.0,73.0,0.7774197228935347,0.22258027710646533,3.7419722893534697,719.02,probability_reduce,2026-05-01 08:09:01.425000+00:00,358.575,43.0,0.31969011679809156,-11.030988320190843,-62.0,False,148.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010430-30,train,2026-05-01 08:17:32.279000+00:00,yes,yes,True,88.0,87.0,0.8888164366085444,0.8888164366085444,0.8816436608544365,747.721,settlement_win,,,,,,24.0,True,176.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010445-45,train,2026-05-01 08:35:19.069000+00:00,no,no,True,68.0,67.0,0.7483560525963906,0.2516439474036094,6.835605259639067,580.931,settlement_win,,,,,,64.0,True,136.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010530-30,train,2026-05-01 09:18:08.177000+00:00,no,yes,False,63.0,62.0,0.6827576089429753,0.3172423910570247,5.275760894297534,711.823,probability_reduce,2026-05-01 09:20:08.235000+00:00,591.765,54.0,0.4633269112185975,-7.667308878140254,-18.0,False,126.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010545-45,train,2026-05-01 09:33:24.518000+00:00,no,no,True,70.0,68.0,0.7155415268754395,0.2844584731245606,1.5541526875439473,695.482,settlement_win,,,,,,60.0,True,140.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010600-00,train,2026-05-01 09:47:55.782000+00:00,no,no,True,85.0,84.0,0.8495474885262431,0.150452511473757,-0.045251147375694245,724.218,settlement_win,,,,,,30.0,True,170.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010615-15,train,2026-05-01 10:04:12.169000+00:00,no,no,True,79.0,78.0,0.8339103084145704,0.16608969158542963,4.391030841457038,647.831,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010630-30,train,2026-05-01 10:17:13.722000+00:00,yes,yes,True,85.0,84.0,0.8706031233543814,0.8706031233543814,2.060312335438141,766.278,settlement_win,,,,,,30.0,True,170.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010645-45,train,2026-05-01 10:33:15.104000+00:00,no,no,True,69.0,68.0,0.6863225168807954,0.3136774831192047,-0.3677483119204652,704.896,settlement_win,,,,,,62.0,True,138.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010700-00,train,2026-05-01 10:49:01.520000+00:00,yes,yes,True,60.0,59.0,0.6791089625272191,0.6791089625272191,7.910896252721912,658.48,probability_reduce,2026-05-01 10:52:01.743000+00:00,478.257,47.0,0.4414733661351912,-2.8526633864808773,-26.0,False,120.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010715-15,train,2026-05-01 11:02:02.457000+00:00,yes,yes,True,68.0,67.0,0.6944930490806458,0.6944930490806458,1.4493049080645761,777.543,probability_reduce,2026-05-01 11:06:02.808000+00:00,537.192,54.0,0.46780007651839134,-7.219992348160865,-28.0,False,136.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010730-30,train,2026-05-01 11:17:03.735000+00:00,yes,yes,True,72.0,71.0,0.7533298093185987,0.7533298093185987,3.332980931859879,776.265,settlement_win,,,,,,56.0,True,144.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010745-45,train,2026-05-01 11:33:04.818000+00:00,yes,yes,True,65.0,64.0,0.6554572879226704,0.6554572879226704,0.5457287922670417,715.182,probability_reduce,2026-05-01 11:36:05.041000+00:00,534.959,37.0,0.30829343336222603,-6.170656663777397,-56.0,False,130.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010800-00,train,2026-05-01 11:50:06.575000+00:00,no,yes,False,74.0,73.0,0.8183523822480145,0.1816476177519854,7.835238224801458,593.425,probability_reduce,2026-05-01 11:52:06.728000+00:00,473.272,48.0,0.4757855058166911,-0.4214494183308872,-52.0,False,148.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010815-15,train,2026-05-01 12:03:07.543000+00:00,yes,yes,True,68.0,66.0,0.7115178267443258,0.7115178267443258,3.1517826744325816,712.457,probability_reduce,2026-05-01 12:06:07.792000+00:00,532.208,46.0,0.3872511885085552,-7.274881149144477,-44.0,False,136.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010830-30,train,2026-05-01 12:18:08.611000+00:00,yes,yes,True,75.0,73.0,0.7701543558292364,0.7701543558292364,2.0154355829236437,711.389,settlement_win,,,,,,50.0,True,150.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010845-45,train,2026-05-01 12:33:09.959000+00:00,yes,yes,True,81.0,80.0,0.8368849425710493,0.8368849425710493,2.688494257104935,710.041,settlement_win,,,,,,38.0,True,162.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010900-00,train,2026-05-01 12:49:11.307000+00:00,yes,yes,True,67.0,66.0,0.6686381704070867,0.6686381704070867,-0.1361829592913324,648.693,probability_reduce,2026-05-01 12:55:11.855000+00:00,288.145,68.0,0.376815562960792,-30.3184437039208,2.0,False,134.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010915-15,train,2026-05-01 13:05:42.658000+00:00,yes,yes,True,94.0,94.0,0.9423205079042523,0.9423205079042523,0.2320507904252196,557.342,settlement_win,,,,,,12.0,True,188.0,1.0,0.0,1.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010930-30,train,2026-05-01 13:19:13.694000+00:00,no,no,True,69.0,68.0,0.7605096008434281,0.23949039915657186,7.050960084342805,646.306,settlement_win,,,,,,62.0,True,138.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010945-45,train,2026-05-01 13:33:00.015000+00:00,yes,no,False,63.0,62.0,0.7298148232831269,0.7298148232831269,9.98148232831268,719.985,probability_reduce,2026-05-01 13:39:00.379000+00:00,359.621,56.0,0.4981466104871317,-6.18533895128683,-14.0,False,126.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011000-00,train,2026-05-01 13:47:00.991000+00:00,yes,yes,True,65.0,64.0,0.6829761270677187,0.6829761270677187,3.297612706771872,779.009,settlement_win,,,,,,70.0,True,130.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011030-30,train,2026-05-01 14:18:33.343000+00:00,no,no,True,75.0,74.0,0.745286524810516,0.254713475189484,-0.47134751894839155,686.657,settlement_win,,,,,,50.0,True,150.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011045-45,train,2026-05-01 14:37:04.784000+00:00,no,no,True,80.0,79.0,0.835169894864089,0.16483010513591098,3.516989486408903,475.216,settlement_win,,,,,,40.0,True,160.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011100-00,train,2026-05-01 14:47:05.613000+00:00,yes,yes,True,65.0,64.0,0.6908938229305062,0.6908938229305062,4.089382293050619,774.387,settlement_win,,,,,,70.0,True,130.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011115-15,train,2026-05-01 15:05:07.133000+00:00,no,yes,False,69.0,68.0,0.6894473307678243,0.3105526692321757,-0.055266923217573094,592.867,probability_reduce,2026-05-01 15:12:07.753000+00:00,172.247,50.0,0.42548178813947324,-7.451821186052676,-38.0,False,138.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011130-30,train,2026-05-01 15:24:08.912000+00:00,yes,yes,True,85.0,84.0,0.8746337271967326,0.8746337271967326,2.4633727196732593,351.088,settlement_win,,,,,,30.0,True,170.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011145-45,train,2026-05-01 15:35:09.708000+00:00,yes,yes,True,63.0,62.0,0.6767936788508,0.6767936788508,4.679367885079998,590.292,probability_reduce,2026-05-01 15:36:09.791000+00:00,530.209,56.0,0.46617602706600136,-9.382397293399862,-14.0,False,126.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011215-15,train,2026-05-01 16:03:57.280000+00:00,yes,no,False,80.0,79.0,0.8139002603477526,0.8139002603477526,1.3900260347752607,662.72,probability_reduce,2026-05-01 16:11:12.968000+00:00,227.032,80.0,0.5049835004213062,-29.501649957869375,0.0,False,160.0,3.0,3.0,6.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011230-30,train,2026-05-01 16:17:43.487000+00:00,no,no,True,58.0,57.0,0.6520054947749603,0.3479945052250397,7.2005494774960255,736.513,probability_reduce,2026-05-01 16:23:13.941000+00:00,406.059,29.0,0.247998849620243,-4.200115037975699,-58.0,False,116.0,4.0,3.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011245-45,train,2026-05-01 16:34:44.946000+00:00,no,no,True,75.0,74.0,0.7874228272953114,0.2125771727046886,3.7422827295311407,615.054,probability_reduce,2026-05-01 16:40:00.469000+00:00,299.531,49.0,0.44639700694792595,-4.3602993052074055,-52.0,False,150.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011300-00,train,2026-05-01 16:49:31.374000+00:00,no,no,True,76.0,75.0,0.7555468228053381,0.24445317719466186,-0.44531771946618903,628.626,probability_reduce,2026-05-01 16:55:01.875000+00:00,298.125,40.0,0.32536001480499355,-7.463998519500649,-72.0,False,152.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011315-15,train,2026-05-01 17:02:02.472000+00:00,yes,yes,True,70.0,69.0,0.7437007559746486,0.7437007559746486,4.3700755974648615,777.528,probability_reduce,2026-05-01 17:05:02.658000+00:00,597.342,27.0,0.3296037150421486,5.960371504214855,-86.0,False,140.0,3.0,3.0,6.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011345-45,train,2026-05-01 17:36:05.477000+00:00,yes,yes,True,72.0,71.0,0.7342365844226498,0.7342365844226498,1.4236584422649798,534.523,settlement_win,,,,,,56.0,True,144.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011400-00,train,2026-05-01 17:49:06.665000+00:00,no,yes,False,61.0,60.0,0.6645755373899429,0.33542446261005715,5.457553738994292,653.335,probability_reduce,2026-05-01 17:52:06.892000+00:00,473.108,26.0,0.37922102347632425,11.922102347632425,-70.0,False,122.0,4.0,3.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011415-15,train,2026-05-01 18:02:07.934000+00:00,no,no,True,76.0,75.0,0.7593011853234752,0.24069881467652476,-0.06988146765247905,772.066,probability_reduce,2026-05-01 18:05:08.148000+00:00,591.852,67.0,0.5088812701273974,-16.111872987260263,-18.0,False,152.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011430-30,train,2026-05-01 18:20:09.090000+00:00,yes,yes,True,67.0,66.0,0.6902641801340678,0.6902641801340678,2.026418013406783,590.91,settlement_win,,,,,,66.0,True,134.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011445-45,train,2026-05-01 18:32:39.990000+00:00,no,no,True,60.0,59.0,0.6593897411352061,0.34061025886479385,5.938974113520615,740.01,settlement_win,,,,,,80.0,True,120.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011500-00,train,2026-05-01 18:50:11.475000+00:00,yes,no,False,73.0,72.0,0.8189730355860392,0.8189730355860392,8.897303558603923,588.525,probability_reduce,2026-05-01 18:54:11.786000+00:00,348.214,47.0,0.5054529024559761,3.545290245597606,-52.0,False,146.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011530-30,train,2026-05-01 19:19:43.938000+00:00,no,no,True,91.0,90.0,0.9182710234203825,0.08172897657961754,0.8271023420382448,616.062,settlement_win,,,,,,18.0,True,182.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011545-45,train,2026-05-01 19:33:15.174000+00:00,no,no,True,71.0,70.0,0.7095806088521004,0.29041939114789955,-0.0419391147899546,704.826,settlement_win,,,,,,58.0,True,142.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011615-15,train,2026-05-01 20:03:33.158000+00:00,no,no,True,74.0,73.0,0.7519388489965277,0.24806115100347229,1.1938848996527724,686.842,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011630-30,train,2026-05-01 20:19:04.392000+00:00,no,no,True,90.0,89.0,0.9007032324272266,0.09929676757277338,0.07032324272266521,655.608,settlement_win,,,,,,20.0,True,180.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011700-00,train,2026-05-01 20:48:06.903000+00:00,yes,no,False,67.0,66.0,0.6876559272215106,0.6876559272215106,1.7655927221510552,713.097,probability_reduce,2026-05-01 20:50:07.046000+00:00,592.954,40.0,0.3497085071965701,-5.029149280342992,-54.0,False,134.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011715-15,train,2026-05-01 21:04:23.305000+00:00,yes,yes,True,77.0,76.0,0.7881644990211025,0.7881644990211025,1.81644990211025,636.695,settlement_win,,,,,,46.0,True,154.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011730-30,train,2026-05-01 21:18:09.551000+00:00,yes,yes,True,68.0,67.0,0.6836884040312853,0.6836884040312853,0.36884040312853017,710.449,settlement_win,,,,,,64.0,True,136.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011745-45,train,2026-05-01 21:33:10.835000+00:00,yes,yes,True,89.0,88.0,0.8928069187463937,0.8928069187463937,0.2806918746393734,709.165,settlement_win,,,,,,22.0,True,178.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011800-00,train,2026-05-01 21:49:11.983000+00:00,yes,yes,True,71.0,70.0,0.8007924480243507,0.8007924480243507,9.07924480243507,648.017,settlement_win,,,,,,58.0,True,142.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011815-15,train,2026-05-01 22:02:27.957000+00:00,yes,yes,True,75.0,74.0,0.771875972639639,0.771875972639639,2.1875972639639087,752.043,settlement_win,,,,,,50.0,True,150.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011830-30,train,2026-05-01 22:20:59.569000+00:00,yes,yes,True,79.0,77.0,0.7975460643036514,0.7975460643036514,0.7546064303651434,540.431,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011845-45,train,2026-05-01 22:34:15.681000+00:00,no,no,True,58.0,57.0,0.6641535990121847,0.33584640098781526,8.41535990121848,644.319,settlement_win,,,,,,84.0,True,116.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011900-00,train,2026-05-01 22:49:01.978000+00:00,no,no,True,77.0,76.0,0.7923497400030528,0.20765025999694717,2.234974000305286,658.022,settlement_win,,,,,,46.0,True,154.0,3.0,0.0,3.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011915-15,train,2026-05-01 23:02:17.931000+00:00,no,no,True,64.0,63.0,0.650529362516556,0.349470637483444,1.0529362516556091,762.069,probability_reduce,2026-05-01 23:04:03.084000+00:00,656.916,48.0,0.42432661892820855,-5.567338107179147,-32.0,False,128.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY011930-30,train,2026-05-01 23:20:49.608000+00:00,no,no,True,85.0,84.0,0.8704198432929311,0.12958015670706888,2.041984329293115,550.392,settlement_win,,,,,,30.0,True,170.0,2.0,0.0,2.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY012015-15,train,2026-05-02 00:02:56.383000+00:00,yes,no,False,62.0,61.0,0.6713145438535767,0.6713145438535767,5.131454385357671,723.617,probability_reduce,2026-05-02 00:13:12.242000+00:00,107.758,27.0,0.37672849873836894,10.672849873836896,-70.0,False,124.0,4.0,3.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
