dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,score_min60_lock_equiv,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,65.5,False,True
current,score_min60_lock_equiv,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,67.5,True,True
current,score_min60_lock_equiv,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,69.5,True,True
current,score_min60_lock_equiv,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,69.0,True,True
current,score_min60_lock_equiv,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,70.5,True,True
current,score_min60_lock_equiv,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,68.0,True,True
current,score_min60_lock_equiv,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,69.0,False,True
current,score_min60_lock_equiv,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,69.0,False,True
current,score_min60_lock_equiv,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,71.0,True,True
current,score_min60_lock_equiv,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,70.5,True,True
current,score_min60_lock_equiv,14,2026-05-04 03:15:00+00:00,2026-05-04 08:00:00+00:00,20,20,1.0,12,8,0.6,-220.0,-0.15492957746478872,68.5,False,True
current,score_min60_lock_equiv,15,2026-05-04 08:15:00+00:00,2026-05-04 09:45:00+00:00,7,7,1.0,5,2,0.7142857142857143,-6.0,-0.011857707509881422,72.0,False,True
