model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_days,total_days,worst_day_cents,block10_positive,block10_worst_cents
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-570,prob54,0.0,100.0,0.67,570.0,0.0,223,205,0.9192825112107623,15.76,337.06,0.046757253901382544,6.36,9.399999999999999,0.027888209814276387,5.299999999999999,4.359999999999999,173,32,158,47,82.20975609756097,3.8449395979031102,0.8605469569546408,402.85747317073174,74,67,0.9054054054054054,5.4,107.66,0.05015790451421141,2.27,3.1300000000000003,0.02907300761657069,1.7900000000000003,1.4500000000000002,53,14,50,17,80.34328358208955,4.384637109033399,0.8472792069112296,490.1413134328357,75,59,0.7866666666666666,2.0,97.8,0.02044989775051125,1.97,0.030000000000000027,0.000306748466257669,-1.15,-1.47,48,11,43,16,82.88135593220339,3.217871432981061,0.8609922736518446,416.93394915254237,372,331,0.8897849462365591,23.16,542.52,0.042689670426896704,10.6,12.56,0.023151220231512205,5.94,4.34,274,57,251,80,81.95166163141994,3.8424100254418674,0.8579407165686181,423.0342990936556,0.7866666666666666,2.0,0.030000000000000027,-1.47,True,True,False,False,-1.15,False,5,5,8.0,7,-350.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-570,prob56,0.0,100.0,0.67,570.0,0.0,223,205,0.9192825112107623,14.94,337.06,0.04432445261971162,6.45,8.489999999999998,0.025188393757787926,4.389999999999999,3.409999999999999,173,32,156,49,82.20975609756097,3.8449395979031102,0.8605469569546408,402.85747317073174,74,67,0.9054054054054054,3.52,107.66,0.03269552294259707,2.41,1.1099999999999999,0.010310235927921232,-0.2300000000000002,-0.6300000000000002,53,14,47,20,80.34328358208955,4.384637109033399,0.8472792069112296,490.1413134328357,75,59,0.7866666666666666,2.82,97.8,0.02883435582822086,2.01,0.81,0.008282208588957056,-0.3699999999999999,-0.71,48,11,42,17,82.88135593220339,3.217871432981061,0.8609922736518446,416.93394915254237,372,331,0.8897849462365591,21.28,542.52,0.039224360392243605,10.87,10.410000000000002,0.019188232691882332,3.790000000000002,2.070000000000002,274,57,245,86,81.95166163141994,3.8424100254418674,0.8579407165686181,423.0342990936556,0.7866666666666666,2.82,0.81,-0.71,True,True,False,False,-0.3699999999999999,False,3,5,-156.0,5,-343.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-600,prob50,0.0,100.0,0.67,600.0,0.0,223,205,0.9192825112107623,15.66,335.86,0.046626570594890726,6.33,9.33,0.027779431906151373,5.23,4.33,172,33,160,45,81.91707317073171,3.395019724337862,0.8531209289506955,415.4607902439025,74,67,0.9054054054054054,5.46,107.34,0.05086640581330352,2.29,3.17,0.029532327184646916,1.8299999999999998,1.4899999999999998,53,14,50,17,80.1044776119403,3.327750543649563,0.8343222815558987,508.7468507462687,75,59,0.7866666666666666,0.4,97.58,0.004099200655872106,1.95,-1.5499999999999998,-0.015884402541504406,-2.7299999999999995,-3.0499999999999994,48,11,43,16,82.69491525423729,2.9240323992530226,0.8561894765349032,425.082406779661,372,331,0.8897849462365591,21.52,540.78,0.039794371093605535,10.57,10.95,0.020248529901253743,4.329999999999999,2.769999999999999,273,58,253,78,81.68882175226587,3.297450880573144,0.84986272632839,436.05849848942603,0.7866666666666666,0.4,-1.5499999999999998,-3.0499999999999994,True,False,False,False,-2.7299999999999995,False,3,5,-197.0,7,-470.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-600,prob52,0.0,100.0,0.67,600.0,0.0,223,205,0.9192825112107623,15.9,335.86,0.04734115405228369,6.45,9.45,0.02813672363484785,5.35,4.41,172,33,158,47,81.91707317073171,3.395019724337862,0.8531209289506955,415.4607902439025,74,67,0.9054054054054054,5.72,107.34,0.05328861561393702,2.29,3.4299999999999997,0.03195453698528041,2.09,1.7499999999999998,53,14,50,17,80.1044776119403,3.327750543649563,0.8343222815558987,508.7468507462687,75,59,0.7866666666666666,2.22,97.58,0.022750563640090184,1.98,0.2400000000000002,0.0024595203935232654,-0.9399999999999997,-1.2599999999999998,48,11,43,16,82.69491525423729,2.9240323992530226,0.8561894765349032,425.082406779661,372,331,0.8897849462365591,23.84,540.78,0.04408447057953327,10.72,13.12,0.024261252265246495,6.499999999999999,4.899999999999999,273,58,251,80,81.68882175226587,3.297450880573144,0.84986272632839,436.05849848942603,0.7866666666666666,2.22,0.2400000000000002,-1.2599999999999998,True,True,False,False,-0.9399999999999997,False,5,5,5.0,7,-327.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-600,prob54,0.0,100.0,0.67,600.0,0.0,223,205,0.9192825112107623,15.96,335.86,0.04751979991663193,6.49,9.47,0.028196272256297266,5.370000000000001,4.410000000000001,172,33,157,48,81.91707317073171,3.395019724337862,0.8531209289506955,415.4607902439025,74,67,0.9054054054054054,5.72,107.34,0.05328861561393702,2.29,3.4299999999999997,0.03195453698528041,2.09,1.7499999999999998,53,14,50,17,80.1044776119403,3.327750543649563,0.8343222815558987,508.7468507462687,75,59,0.7866666666666666,2.22,97.58,0.022750563640090184,1.98,0.2400000000000002,0.0024595203935232654,-0.9399999999999997,-1.2599999999999998,48,11,43,16,82.69491525423729,2.9240323992530226,0.8561894765349032,425.082406779661,372,331,0.8897849462365591,23.9,540.78,0.044195421428307256,10.76,13.139999999999999,0.024298235881504492,6.519999999999999,4.899999999999999,273,58,250,81,81.68882175226587,3.297450880573144,0.84986272632839,436.05849848942603,0.7866666666666666,2.22,0.2400000000000002,-1.2599999999999998,True,True,False,False,-0.9399999999999997,False,5,5,14.0,7,-299.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.67_stc0-600,prob56,0.0,100.0,0.67,600.0,0.0,223,205,0.9192825112107623,15.14,335.86,0.04507830643720598,6.58,8.56,0.025486809980348954,4.460000000000001,3.460000000000001,172,33,155,50,81.91707317073171,3.395019724337862,0.8531209289506955,415.4607902439025,74,67,0.9054054054054054,3.84,107.34,0.03577417551704863,2.43,1.4099999999999997,0.01313583007266629,0.06999999999999962,-0.3300000000000004,53,14,47,20,80.1044776119403,3.327750543649563,0.8343222815558987,508.7468507462687,75,59,0.7866666666666666,3.04,97.58,0.031153924984628,2.02,1.02,0.010452961672473868,-0.15999999999999992,-0.49999999999999994,48,11,42,17,82.69491525423729,2.9240323992530226,0.8561894765349032,425.082406779661,372,331,0.8897849462365591,22.02,540.78,0.040718961500055474,11.03,10.99,0.02032249713376974,4.37,2.63,273,58,244,87,81.68882175226587,3.297450880573144,0.84986272632839,436.05849848942603,0.7866666666666666,3.04,1.02,-0.49999999999999994,True,True,False,False,-0.15999999999999992,False,3,5,-131.0,6,-299.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.68_stc0-570,prob50,0.0,100.0,0.68,570.0,0.0,223,205,0.9192825112107623,15.28,342.88,0.04456369575361643,5.93,9.35,0.0272690153989734,5.25,4.45,176,29,165,40,83.62926829268292,3.3023679672234287,0.8693163625990636,395.82353170731716,74,67,0.9054054054054054,5.22,109.06,0.04786356134238034,2.24,2.9799999999999995,0.027324408582431684,1.6399999999999995,1.3199999999999994,53,14,51,16,81.38805970149254,3.662277666065921,0.8505033736755847,486.55211940298506,75,59,0.7866666666666666,0.5,97.48,0.0051292572835453425,1.94,-1.44,-0.014772260976610586,-2.62,-2.94,48,11,43,16,82.61016949152543,3.7149184858582616,0.8632508797738369,415.1507627118644,372,331,0.8897849462365591,21.0,549.42,0.038222125150158354,10.11,10.89,0.019820902042153546,4.2700000000000005,2.8300000000000005,277,54,259,72,82.99395770392749,3.4487559745403535,0.8644271367846784,417.63356797583083,0.7866666666666666,0.5,-1.44,-2.94,True,False,False,False,-2.62,False,3,5,-148.0,7,-454.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.68_stc0-570,prob52,0.0,100.0,0.68,570.0,0.0,223,205,0.9192825112107623,15.96,342.88,0.046546896873541764,6.0,9.96,0.029048063462435842,5.860000000000001,5.040000000000001,176,29,164,41,83.62926829268292,3.3023679672234287,0.8693163625990636,395.82353170731716,74,67,0.9054054054054054,5.48,109.06,0.05024757014487438,2.24,3.24,0.02970841738492573,1.9000000000000001,1.58,53,14,51,16,81.38805970149254,3.662277666065921,0.8505033736755847,486.55211940298506,75,59,0.7866666666666666,2.32,97.48,0.023799753795650386,1.97,0.34999999999999987,0.0035904800984817384,-0.8300000000000001,-1.1500000000000001,48,11,43,16,82.61016949152543,3.7149184858582616,0.8632508797738369,415.1507627118644,372,331,0.8897849462365591,23.76,549.42,0.04324560445560774,10.21,13.55,0.02466237122784027,6.930000000000001,5.470000000000001,277,54,258,73,82.99395770392749,3.4487559745403535,0.8644271367846784,417.63356797583083,0.7866666666666666,2.32,0.34999999999999987,-1.1500000000000001,True,True,False,False,-0.8300000000000001,False,4,5,-5.0,7,-404.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.68_stc0-570,prob54,0.0,100.0,0.68,570.0,0.0,223,205,0.9192825112107623,16.02,342.88,0.04672188520765282,6.04,9.98,0.029106392907139525,5.880000000000001,5.040000000000001,176,29,163,42,83.62926829268292,3.3023679672234287,0.8693163625990636,395.82353170731716,74,67,0.9054054054054054,5.48,109.06,0.05024757014487438,2.24,3.24,0.02970841738492573,1.9000000000000001,1.58,53,14,51,16,81.38805970149254,3.662277666065921,0.8505033736755847,486.55211940298506,75,59,0.7866666666666666,2.32,97.48,0.023799753795650386,1.97,0.34999999999999987,0.0035904800984817384,-0.8300000000000001,-1.1500000000000001,48,11,43,16,82.61016949152543,3.7149184858582616,0.8632508797738369,415.1507627118644,372,331,0.8897849462365591,23.82,549.42,0.04335481052746533,10.25,13.57,0.024698773251792802,6.95,5.470000000000001,277,54,257,74,82.99395770392749,3.4487559745403535,0.8644271367846784,417.63356797583083,0.7866666666666666,2.32,0.34999999999999987,-1.1500000000000001,True,True,False,False,-0.8300000000000001,False,5,5,22.0,7,-384.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.68_stc0-570,prob56,0.0,100.0,0.68,570.0,0.0,223,205,0.9192825112107623,15.2,342.88,0.04433037797480168,6.13,9.07,0.026452403173121794,4.970000000000001,4.090000000000001,176,29,161,44,83.62926829268292,3.3023679672234287,0.8693163625990636,395.82353170731716,74,67,0.9054054054054054,3.6,109.06,0.03300935264991748,2.38,1.2200000000000002,0.011186502842472036,-0.11999999999999988,-0.4999999999999999,53,14,48,19,81.38805970149254,3.662277666065921,0.8505033736755847,486.55211940298506,75,59,0.7866666666666666,3.14,97.48,0.03221173574066475,2.01,1.1300000000000003,0.011592121460812477,-0.0499999999999996,-0.3899999999999996,48,11,42,17,82.61016949152543,3.7149184858582616,0.8632508797738369,415.1507627118644,372,331,0.8897849462365591,21.94,549.42,0.03993302027592735,10.52,11.420000000000002,0.02078555567689564,4.800000000000002,3.2000000000000015,277,54,251,80,82.99395770392749,3.4487559745403535,0.8644271367846784,417.63356797583083,0.7866666666666666,3.14,1.1300000000000003,-0.4999999999999999,True,True,False,False,-0.11999999999999988,False,3,5,-141.0,5,-377.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.68_stc0-600,prob50,0.0,100.0,0.68,600.0,0.0,223,205,0.9192825112107623,15.44,341.68,0.04518848044954343,6.06,9.379999999999999,0.027452587216108635,5.279999999999999,4.459999999999999,175,30,164,41,83.33658536585367,2.85244809365818,0.8618903345951183,408.42684878048783,74,67,0.9054054054054054,6.0,108.28,0.05541189508681197,2.26,3.74,0.03454008127077946,2.4000000000000004,2.0800000000000005,53,14,51,16,80.80597014925372,2.9552880213979105,0.8376125817065165,504.93317910447763,75,59,0.7866666666666666,0.42,97.56,0.004305043050430504,1.94,-1.52,-0.015580155801558016,-2.7,-3.02,48,11,43,16,82.67796610169492,3.4270355357985176,0.8610500163749344,422.5357966101695,372,331,0.8897849462365591,21.86,547.52,0.03992548217416715,10.26,11.6,0.0211864406779661,4.9799999999999995,3.5199999999999996,276,55,258,73,82.70694864048339,2.975683544548941,0.8568263218503231,430.47625075528697,0.7866666666666666,0.42,-1.52,-3.02,True,False,False,False,-2.7,False,3,5,-137.0,6,-470.0
