source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents
rejected_actionable,KXBTC15M-26MAY051700-00,yes,p_below_floor,0.429744,0.0,0.184679905536,00_50,True,-5.025597,44,884.255,125.125577,1.0866461461842227,True,-88
entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.877551,0.0,0.7700957576009999,85_90,True,2.255072,82,682.131,97.818587,0.3259898292285944,True,-28
entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.880552,0.0,0.775371824704,85_90,True,15.555165,69,156.131,47.477547,0.07487322238906284,False,-48
entry,KXBTC15M-26MAY051715-15,yes,approved_entry,0.868759,0.0,0.7547422000809999,85_90,True,42.87586,40,113.807,39.730028,0.05680344649000784,False,-22
rejected_actionable,KXBTC15M-26MAY051715-15,no,p_below_floor,0.520761,1.0,0.22967001912099996,50_60,True,-2.92387,51,884.029,115.037535,1.1005860740691689,True,98
rejected_actionable,KXBTC15M-26MAY051715-15,yes,p_below_floor,0.479239,0.0,0.22967001912100002,00_50,True,-7.07613,51,884.029,115.037535,1.1005860740691689,True,-102
rejected_actionable,KXBTC15M-26MAY051715-15,yes,edge_below_floor,0.857981,0.0,0.736131396361,85_90,True,-2.201885,85,695.111,98.737757,0.35580680472925746,True,-170
rejected_actionable,KXBTC15M-26MAY051730-30,no,p_below_floor,0.497567,1.0,0.252438919489,00_50,True,-5.243317,51,868.58,108.597345,1.051584673359244,True,98
rejected_actionable,KXBTC15M-26MAY051730-30,no,edge_below_floor,0.859928,1.0,0.019620165183999994,85_90,True,-0.007189,83,561.12,86.273775,0.28034185652786114,True,34
rejected_actionable,KXBTC15M-26MAY051730-30,no,ask_too_high,0.903371,1.0,0.009337163640999993,90_95,True,-3.662873,91,514.149,81.941701,0.21169473244963224,False,18
rejected_actionable,KXBTC15M-26MAY051730-30,yes,p_below_floor,0.502433,0.0,0.252438919489,50_60,True,-4.756683,51,868.58,108.597345,1.051584673359244,True,-102
entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.861462,1.0,0.019192777444000015,85_90,True,5.646183,77,792.338,103.356534,0.3993723747635055,True,-10
entry,KXBTC15M-26MAY051745-45,no,approved_entry,0.86177,1.0,0.01910753289999999,85_90,True,2.676999,80,725.465,99.180164,0.3597654028345304,True,-2
rejected_actionable,KXBTC15M-26MAY051745-45,no,p_below_floor,0.78022,1.0,0.04830324839999999,70_80,True,3.52204,71,868.757,107.444854,0.5423839624480261,True,58
rejected_actionable,KXBTC15M-26MAY051745-45,no,edge_below_floor,0.853765,1.0,0.021384675225,85_90,True,1.876518,80,725.514,99.187221,0.3708946579108287,True,40
