dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin_edge_m5__signed_move_30m_le_75,side=no,155,108,47,0.6967741935483871,143.0,0.9225806451612903,65.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,side=yes,127,87,40,0.6850393700787402,10.0,0.07874015748031496,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"score=(-1.001, 0.625]",117,76,41,0.6495726495726496,140.0,1.1965811965811965,62.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"score=(0.625, 0.65]",48,28,20,0.5833333333333334,-391.0,-8.145833333333334,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"score=(0.65, 0.7]",65,45,20,0.6923076923076923,-44.0,-0.676923076923077,68.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"score=(0.7, 0.8]",39,34,5,0.8717948717948718,375.0,9.615384615384615,76.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"score=(0.8, 2.0]",13,12,1,0.9230769230769231,73.0,5.615384615384615,84.0,-1.5
current,book_margin_edge_m5__signed_move_30m_le_75,"edge=(-3.0, 0.0]",238,167,71,0.7016806722689075,342.0,1.4369747899159664,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"edge=(-5.0, -3.0]",44,28,16,0.6363636363636364,-189.0,-4.295454545454546,64.0,-3.0
current,book_margin_edge_m5__signed_move_30m_le_75,"ask=(60.0, 70.0]",230,149,81,0.6478260869565218,-295.0,-1.2826086956521738,63.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"ask=(70.0, 80.0]",38,33,5,0.868421052631579,358.0,9.421052631578947,75.5,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"ask=(80.0, 90.0]",12,11,1,0.9166666666666666,76.0,6.333333333333333,83.0,-2.0
current,book_margin_edge_m5__signed_move_30m_le_75,"time=(-1.001, 600.0]",44,32,12,0.7272727272727273,60.0,1.3636363636363635,65.5,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"time=(600.0, 720.0]",52,36,16,0.6923076923076923,46.0,0.8846153846153846,65.5,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"time=(720.0, 840.0]",127,92,35,0.7244094488188977,559.0,4.4015748031496065,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_75,"time=(840.0, 10000.0]",59,35,24,0.5932203389830508,-512.0,-8.677966101694915,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,split=holdout,55,36,19,0.6545454545454545,-221.0,-4.0181818181818185,65.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,split=train,174,121,53,0.6954022988505747,368.0,2.1149425287356323,64.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,split=validation,59,41,18,0.6949152542372882,42.0,0.711864406779661,65.0,-2.5
current,book_margin_edge_m5__signed_move_30m_le_100,side=no,157,109,48,0.6942675159235668,185.0,1.178343949044586,64.0,-2.5
