market,entry_dt,side,split_base,outcome_base,win_base,entry_ask_cents_base,entry_p_side_base,entry_seconds_to_close_base,exit_type_base,exit_dt_base,exit_bid_cents_base,exit_p_side_base,settled_base,fee_1c_cents_base,split_asym,outcome_asym,win_asym,entry_ask_cents_asym,entry_p_side_asym,entry_seconds_to_close_asym,exit_type_asym,exit_dt_asym,exit_bid_cents_asym,exit_p_side_asym,settled_asym,fee_1c_cents_asym,delta_fee_1c_cents,abs_delta_fee_1c_cents
KXBTC15M-26MAY010830-30,2026-05-01 12:21:23.833000+00:00,yes,train,yes,True,89.0,0.8930117082251003,516.167,settlement_win,,,,True,18.0,train,yes,True,89.0,0.8930117082251003,516.167,settlement_win,,,,True,18.0,0.0,0.0
KXBTC15M-26MAY010845-45,2026-05-01 12:35:10.056000+00:00,yes,train,yes,True,89.0,0.9004169820883653,589.944,settlement_win,,,,True,18.0,train,yes,True,89.0,0.9004169820883653,589.944,settlement_win,,,,True,18.0,0.0,0.0
KXBTC15M-26MAY010900-00,2026-05-01 12:52:11.585000+00:00,yes,train,yes,True,70.0,0.7203714140666199,468.415,probability_reduce,2026-05-01 12:55:56.985000+00:00,53.0,0.515,False,-43.0,train,yes,True,70.0,0.7203714140666199,468.415,probability_reduce,2026-05-01 12:55:56.985000+00:00,53.0,0.515,False,-43.0,0.0,0.0
KXBTC15M-26MAY010915-15,2026-05-01 13:05:12.621000+00:00,yes,train,yes,True,96.0,0.9846775838486196,587.379,settlement_win,,,,True,5.0,train,yes,True,96.0,0.9846775838486196,587.379,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY010930-30,2026-05-01 13:26:14.486000+00:00,no,train,no,True,67.0,0.7038234270432775,225.514,settlement_win,,,,True,60.0,train,no,True,67.0,0.7038234270432775,225.514,settlement_win,,,,True,60.0,0.0,0.0
KXBTC15M-26MAY010945-45,2026-05-01 13:35:00.141000+00:00,yes,train,no,False,81.0,0.8243140548777361,599.859,probability_reduce,2026-05-01 13:39:30.477000+00:00,37.0,0.4038912266855924,False,-97.0,train,no,False,81.0,0.8243140548777361,599.859,probability_reduce,2026-05-01 13:39:30.477000+00:00,37.0,0.4038912266855924,False,-97.0,0.0,0.0
KXBTC15M-26MAY011000-00,2026-05-01 13:50:31.184000+00:00,yes,train,yes,True,81.0,0.8259060256169913,568.816,settlement_win,,,,True,33.0,train,yes,True,81.0,0.8259060256169913,568.816,settlement_win,,,,True,33.0,0.0,0.0
KXBTC15M-26MAY011015-15,2026-05-01 14:11:32.771000+00:00,no,train,yes,False,90.0,0.9,207.229,probability_reduce,2026-05-01 14:12:47.834000+00:00,49.0,0.5,False,-90.0,train,yes,False,90.0,0.9,207.229,probability_reduce,2026-05-01 14:12:47.834000+00:00,49.0,0.5,False,-90.0,0.0,0.0
KXBTC15M-26MAY011030-30,2026-05-01 14:20:03.486000+00:00,no,train,no,True,92.0,0.9769237337530567,596.514,settlement_win,,,,True,12.0,train,no,True,92.0,0.9769237337530567,596.514,settlement_win,,,,True,12.0,0.0,0.0
KXBTC15M-26MAY011045-45,2026-05-01 14:42:05.176000+00:00,no,train,no,True,96.0,0.96,174.824,settlement_win,,,,True,5.0,train,no,True,96.0,0.96,174.824,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY041145-45,2026-05-04 15:36:01.690000+00:00,no,holdout,yes,False,77.0,0.7875161042980414,538.31,probability_reduce,2026-05-04 15:39:01.867000+00:00,50.0,0.4859515855906733,False,-63.0,holdout,yes,False,77.0,0.7875161042980414,538.31,probability_reduce,2026-05-04 15:39:01.867000+00:00,50.0,0.4859515855906733,False,-63.0,0.0,0.0
KXBTC15M-26MAY041200-00,2026-05-04 15:52:33.130000+00:00,no,holdout,yes,False,88.0,0.9593561075425966,446.87,probability_reduce,2026-05-04 15:55:03.287000+00:00,37.0,0.37773269131508824,False,-110.0,holdout,yes,False,88.0,0.9593561075425966,446.87,probability_reduce,2026-05-04 15:55:03.287000+00:00,37.0,0.37773269131508824,False,-110.0,0.0,0.0
KXBTC15M-26MAY041215-15,2026-05-04 16:06:49.482000+00:00,no,holdout,no,True,72.0,0.7273811011754727,490.518,settlement_win,,,,True,51.0,holdout,no,True,72.0,0.7273811011754727,490.518,settlement_win,,,,True,51.0,0.0,0.0
KXBTC15M-26MAY041230-30,2026-05-04 16:22:06.062000+00:00,yes,holdout,yes,True,98.0,0.9958273122226986,473.938,settlement_win,,,,True,1.0,holdout,yes,True,98.0,0.9958273122226986,473.938,settlement_win,,,,True,1.0,0.0,0.0
KXBTC15M-26MAY041245-45,2026-05-04 16:37:07.460000+00:00,yes,holdout,yes,True,66.0,0.6664861548934661,472.54,settlement_win,,,,True,62.0,holdout,yes,True,66.0,0.6664861548934661,472.54,settlement_win,,,,True,62.0,0.0,0.0
KXBTC15M-26MAY011215-15,2026-05-01 16:05:12.463000+00:00,yes,train,no,False,93.0,0.9422120835781196,587.537,probability_reduce,2026-05-01 16:14:13.205000+00:00,1.0,2.278499167041037e-05,False,-188.0,train,no,False,93.0,0.9422120835781196,587.537,probability_reduce,2026-05-01 16:14:13.205000+00:00,1.0,2.278499167041037e-05,False,-188.0,0.0,0.0
KXBTC15M-26MAY010015-15,2026-05-01 04:14:08.446000+00:00,yes,train,yes,True,98.0,0.999326357099134,51.554,settlement_win,,,,True,1.0,train,yes,True,98.0,0.999326357099134,51.554,settlement_win,,,,True,1.0,0.0,0.0
KXBTC15M-26MAY011245-45,2026-05-01 16:36:00.115000+00:00,no,train,no,True,72.0,0.7248249387524706,539.885,probability_reduce,2026-05-01 16:40:00.469000+00:00,49.0,0.46330245103170187,False,-55.0,train,no,True,72.0,0.7248249387524706,539.885,probability_reduce,2026-05-01 16:40:00.469000+00:00,49.0,0.46330245103170187,False,-55.0,0.0,0.0
KXBTC15M-26MAY011315-15,2026-05-01 17:08:02.849000+00:00,no,train,yes,False,72.0,0.7727901633821646,417.151,probability_reduce,2026-05-01 17:11:03.147000+00:00,54.0,0.5154586572156026,False,-45.0,train,yes,False,72.0,0.7727901633821646,417.151,probability_reduce,2026-05-01 17:11:03.147000+00:00,54.0,0.5154586572156026,False,-45.0,0.0,0.0
KXBTC15M-26MAY011330-30,2026-05-01 17:23:34.431000+00:00,no,train,no,True,69.0,0.6992288670793392,385.569,settlement_win,,,,True,57.0,train,no,True,69.0,0.6992288670793392,385.569,settlement_win,,,,True,57.0,0.0,0.0
KXBTC15M-26MAY011345-45,2026-05-01 17:37:05.581000+00:00,yes,train,yes,True,88.0,0.887086087840822,474.419,settlement_win,,,,True,20.0,train,yes,True,88.0,0.887086087840822,474.419,settlement_win,,,,True,20.0,0.0,0.0
KXBTC15M-26MAY011400-00,2026-05-01 17:54:07.105000+00:00,yes,train,yes,True,74.0,0.755,352.895,settlement_win,,,,True,47.0,train,yes,True,74.0,0.755,352.895,settlement_win,,,,True,47.0,0.0,0.0
KXBTC15M-26MAY011415-15,2026-05-01 18:14:23.720000+00:00,no,train,no,True,96.0,0.96,36.28,settlement_win,,,,True,5.0,train,no,True,96.0,0.96,36.28,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY011430-30,2026-05-01 18:21:09.226000+00:00,yes,train,yes,True,74.0,0.7420628382513611,530.774,settlement_win,,,,True,47.0,train,yes,True,74.0,0.7420628382513611,530.774,settlement_win,,,,True,47.0,0.0,0.0
KXBTC15M-26MAY011445-45,2026-05-01 18:36:40.360000+00:00,no,train,no,True,67.0,0.7480686493952706,499.64,settlement_win,,,,True,60.0,train,no,True,67.0,0.7480686493952706,499.64,settlement_win,,,,True,60.0,0.0,0.0
KXBTC15M-26MAY010645-45,2026-05-01 10:40:00.627000+00:00,no,train,no,True,98.0,0.9866893547405267,299.373,settlement_win,,,,True,1.0,train,no,True,98.0,0.9866893547405267,299.373,settlement_win,,,,True,1.0,0.0,0.0
KXBTC15M-26MAY010715-15,2026-05-01 11:13:03.347000+00:00,yes,train,yes,True,93.0,0.9307774183587442,116.653,settlement_win,,,,True,11.0,train,yes,True,93.0,0.9307774183587442,116.653,settlement_win,,,,True,11.0,0.0,0.0
KXBTC15M-26MAY010730-30,2026-05-01 11:22:04.079000+00:00,yes,train,yes,True,97.0,0.9949886476763032,475.921,settlement_win,,,,True,3.0,train,yes,True,97.0,0.9949886476763032,475.921,settlement_win,,,,True,3.0,0.0,0.0
KXBTC15M-26MAY010745-45,2026-05-01 11:42:35.717000+00:00,yes,train,yes,True,64.0,0.6582469556172921,144.283,settlement_win,,,,True,66.0,train,yes,True,64.0,0.6582469556172921,144.283,settlement_win,,,,True,66.0,0.0,0.0
KXBTC15M-26MAY010800-00,2026-05-01 11:50:21.576000+00:00,no,train,yes,False,71.0,0.7389010933111446,578.424,probability_reduce,2026-05-01 11:52:06.728000+00:00,48.0,0.47888515980288493,False,-55.0,train,yes,False,71.0,0.7389010933111446,578.424,probability_reduce,2026-05-01 11:52:06.728000+00:00,48.0,0.47888515980288493,False,-55.0,0.0,0.0
KXBTC15M-26MAY011630-30,2026-05-01 20:22:34.651000+00:00,no,train,no,True,96.0,0.9778079245787634,445.349,settlement_win,,,,True,5.0,train,no,True,96.0,0.9778079245787634,445.349,settlement_win,,,,True,5.0,0.0,0.0
KXBTC15M-26MAY011645-45,2026-05-01 20:35:50.713000+00:00,no,train,no,True,63.0,0.6510545918574867,549.287,settlement_win,,,,True,68.0,train,no,True,63.0,0.6510545918574867,549.287,settlement_win,,,,True,68.0,0.0,0.0
KXBTC15M-26MAY011700-00,2026-05-01 20:53:07.382000+00:00,no,train,no,True,97.0,0.9836015091731718,412.618,settlement_win,,,,True,3.0,train,no,True,97.0,0.9836015091731718,412.618,settlement_win,,,,True,3.0,0.0,0.0
KXBTC15M-26MAY011715-15,2026-05-01 21:06:38.456000+00:00,yes,train,yes,True,67.0,0.6803648144432541,501.544,settlement_win,,,,True,60.0,train,yes,True,67.0,0.6803648144432541,501.544,settlement_win,,,,True,60.0,0.0,0.0
KXBTC15M-26MAY011730-30,2026-05-01 21:22:39.960000+00:00,yes,train,yes,True,60.0,0.6930282589058814,440.04,settlement_win,,,,True,74.0,train,yes,True,60.0,0.6930282589058814,440.04,settlement_win,,,,True,74.0,0.0,0.0
