model,split,bin,rows,mean_pred,realized,error
v28_avg60,all,"[0.700,0.750]",282,0.724224765356689,0.7163120567375887,0.007912708619100317
v28_avg60,all,"[0.750,0.800]",294,0.7760380375421907,0.7925170068027211,-0.016478969260530385
v28_avg60,all,"[0.800,0.850]",261,0.8265517050676562,0.8735632183908046,-0.04701151332314846
v28_avg60,all,"[0.850,0.900]",302,0.8751348255382297,0.9205298013245033,-0.045394975786273606
v28_avg60,all,"[0.900,0.950]",377,0.9270054819504568,0.9363395225464191,-0.009334040595962212
v28_avg60,all,"[0.950,0.975]",271,0.9631552412461074,0.948339483394834,0.014815757851273426
v28_avg60,all,"[0.975,1.000]",832,0.993009235184995,0.9915865384615384,0.001422696723456518
v28_avg60,train,"[0.500,0.550]",528,0.524714632740176,0.5359848484848485,-0.011270215744672463
v28_avg60,train,"[0.550,0.600]",400,0.5732556874864382,0.6075,-0.03424431251356186
v28_avg60,train,"[0.600,0.650]",286,0.6233262720204813,0.6958041958041958,-0.07247792378371454
v28_avg60,train,"[0.650,0.700]",215,0.6745865195654498,0.7116279069767442,-0.03704138741129437
v28_avg60,train,"[0.700,0.750]",180,0.7244200540292285,0.7388888888888889,-0.01446883485966044
v28_avg60,train,"[0.750,0.800]",164,0.7762991535990906,0.7926829268292683,-0.0163837732301777
v28_avg60,train,"[0.800,0.850]",165,0.8278743509954917,0.8848484848484849,-0.056974133852993214
v28_avg60,train,"[0.850,0.900]",193,0.8749132512299749,0.9222797927461139,-0.04736654151613906
v28_avg60,train,"[0.900,0.950]",225,0.9268627494862782,0.9422222222222222,-0.015359472735943958
v28_avg60,train,"[0.950,0.975]",156,0.962594462785803,0.9551282051282052,0.007466257657597786
v28_avg60,train,"[0.975,1.000]",426,0.9928459890264957,0.9906103286384976,0.0022356603879980508
v28_avg60,validation,"[0.500,0.550]",143,0.5232892233264,0.48951048951048953,0.03377873381591051
v28_avg60,validation,"[0.550,0.600]",104,0.5747297242956797,0.6057692307692307,-0.031039506473551026
