dataset,score,bin,rows,wins,accuracy,mean_score,median_ask,median_seconds_to_close
current,tail_p_min_rv_200,"[0.7, 0.8)",1066,1024,0.9606003752345216,0.745062800661416,95.0,299.07
current,tail_p_min_rv_200,"[0.8, 0.9)",704,700,0.9943181818181818,0.8483383956726264,99.0,211.5935
current,tail_p_min_rv_200,"[0.9, 0.95)",276,276,1.0,0.9234665607744368,100.0,123.4785
current,tail_p_min_rv_200,"[0.95, 0.975)",138,138,1.0,0.9630795110602225,100.0,105.88550000000001
current,tail_p_min_rv_200,"[0.975, 1.001)",418,418,1.0,0.9933470334612221,100.0,41.013999999999996
v21,brownian_p_rv_30m,"[0.5, 0.6)",998,579,0.5801603206412825,0.5461501422212629,56.0,719.1933544999999
v21,brownian_p_rv_30m,"[0.6, 0.7)",655,443,0.6763358778625954,0.6479192004041153,68.0,599.371055
v21,brownian_p_rv_30m,"[0.7, 0.8)",445,331,0.7438202247191011,0.7469324676426281,80.0,479.439672
v21,brownian_p_rv_30m,"[0.8, 0.9)",394,346,0.8781725888324873,0.8487180618117931,90.0,419.1281045
v21,brownian_p_rv_30m,"[0.9, 0.95)",217,204,0.9400921658986175,0.923380249100726,94.0,299.990516
v21,brownian_p_rv_30m,"[0.95, 0.975)",122,117,0.9590163934426229,0.9636354027619415,97.0,239.73468300000002
v21,brownian_p_rv_30m,"[0.975, 1.001)",446,446,1.0,0.9947202569534075,100.0,179.0097045
v21,tail_p_rv_30m_100,"[0.5, 0.6)",998,579,0.5801603206412825,0.5461501422212629,56.0,719.1933544999999
v21,tail_p_rv_30m_100,"[0.6, 0.7)",655,443,0.6763358778625954,0.6479192004041153,68.0,599.371055
v21,tail_p_rv_30m_100,"[0.7, 0.8)",445,331,0.7438202247191011,0.7469324676426281,80.0,479.439672
v21,tail_p_rv_30m_100,"[0.8, 0.9)",394,346,0.8781725888324873,0.8487180618117931,90.0,419.1281045
v21,tail_p_rv_30m_100,"[0.9, 0.95)",217,204,0.9400921658986175,0.923380249100726,94.0,299.990516
v21,tail_p_rv_30m_100,"[0.95, 0.975)",122,117,0.9590163934426229,0.9636354027619415,97.0,239.73468300000002
v21,tail_p_rv_30m_100,"[0.975, 1.001)",446,446,1.0,0.9947202569534075,100.0,179.0097045
v21,tail_p_rv_30m_150,"[0.5, 0.6)",1337,792,0.5923709798055348,0.5442087036578392,58.0,659.856008
v21,tail_p_rv_30m_150,"[0.6, 0.7)",686,501,0.7303206997084548,0.6430768483999109,75.0,479.9558015
v21,tail_p_rv_30m_150,"[0.7, 0.8)",459,398,0.8671023965141612,0.745919521379246,89.0,419.439141
v21,tail_p_rv_30m_150,"[0.8, 0.9)",337,318,0.9436201780415431,0.8465314100088817,95.0,299.536246
v21,tail_p_rv_30m_150,"[0.9, 0.95)",147,146,0.9931972789115646,0.9257849999689028,98.0,239.455146
v21,tail_p_rv_30m_150,"[0.95, 0.975)",86,86,1.0,0.9637822341766065,99.0,179.6806545
v21,tail_p_rv_30m_150,"[0.975, 1.001)",225,225,1.0,0.9934707109310228,100.0,118.898215
v21,tail_p_rv_30m_200,"[0.5, 0.6)",1619,997,0.6158122297714639,0.5426639292283958,60.0,659.431468
v21,tail_p_rv_30m_200,"[0.6, 0.7)",688,533,0.7747093023255814,0.6444189346013265,82.0,479.31879200000003
v21,tail_p_rv_30m_200,"[0.7, 0.8)",416,385,0.9254807692307693,0.7439874985034636,93.0,359.191399
v21,tail_p_rv_30m_200,"[0.8, 0.9)",259,256,0.9884169884169884,0.8468426500673752,98.0,239.49948
