dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,mean_p_yes,yes_rate
all_heartbeats,train,seconds_to_close,"(60.0, 90.0]",394,-0.001486028304014786,-0.004007829302084376,0.038348376482406334,0.14430696640939114,0.522189925855269,0.5050761421319797
all_heartbeats,train,seconds_to_close,"(600.0, 900.0]",3568,8.69698038359068e-05,0.00013892060118370075,0.21980778747881932,0.629077781665886,0.5038937630634404,0.5089686098654709
all_heartbeats,train,seconds_to_close,"(90.0, 120.0]",391,0.001181437638151643,0.001450596662363135,0.04265960182955411,0.16025583950003114,0.5262665596223085,0.5115089514066496
all_heartbeats,validation,seconds_to_close,"(-0.001, 60.0]",264,-0.0002377982552330909,-0.0012627930251847567,0.000204943137238016,0.0018010810622485004,0.5167389944980927,0.5151515151515151
all_heartbeats,validation,seconds_to_close,"(120.0, 180.0]",263,0.00024388298470760794,0.004323549639478896,0.04044822216825945,0.1294708998773294,0.5274145204179029,0.5171102661596958
all_heartbeats,validation,seconds_to_close,"(180.0, 300.0]",527,-0.000665741136347188,-0.0019351544189750158,0.05604007421565329,0.2060467908097299,0.5345870852699581,0.5142314990512334
all_heartbeats,validation,seconds_to_close,"(300.0, 600.0]",1303,3.760353443119091e-05,8.697888224662442e-06,0.14421192445245368,0.43667821124195344,0.527617910101316,0.5203376822716808
all_heartbeats,validation,seconds_to_close,"(60.0, 90.0]",131,0.00029183293083670167,-0.0020371275059842125,0.0271266725394386,0.08193331254343002,0.521882155529125,0.5190839694656488
all_heartbeats,validation,seconds_to_close,"(600.0, 900.0]",1198,-0.00015436698666426718,-0.0010592321886890854,0.23129206971837937,0.6661186137349095,0.5031458773468835,0.5208681135225376
all_heartbeats,validation,seconds_to_close,"(90.0, 120.0]",132,-0.0008954004103300175,0.0002466747753959303,0.027215172418215493,0.09176064991650987,0.5182009453712656,0.5151515151515151
all_heartbeats,holdout,seconds_to_close,"(-0.001, 60.0]",263,-0.00046490735455207224,-0.0024165059660362746,0.009873488300628753,0.030554861231856214,0.45927334876331755,0.44106463878326996
all_heartbeats,holdout,seconds_to_close,"(120.0, 180.0]",263,0.0008563568600449684,0.003646670446884992,0.06917553849031763,0.22153478565013415,0.45987687907027625,0.4372623574144487
all_heartbeats,holdout,seconds_to_close,"(180.0, 300.0]",527,-0.0002591887298394324,0.0005031036904444286,0.09770662352832042,0.32980256012044834,0.45047025015951814,0.43833017077798864
all_heartbeats,holdout,seconds_to_close,"(300.0, 600.0]",1300,-0.0001891554823791608,-0.0007832849906922457,0.1573732082789449,0.4785046715882351,0.4637666049027919,0.4307692307692308
all_heartbeats,holdout,seconds_to_close,"(60.0, 90.0]",132,0.00028730457551542216,0.00031127696209085065,0.05420150404920302,0.1738242294836162,0.47440329784744995,0.4393939393939394
all_heartbeats,holdout,seconds_to_close,"(600.0, 900.0]",1189,-5.06668819565681e-05,-0.0001701295429956673,0.22534213192016617,0.6375367944984688,0.5030534945393605,0.4272497897392767
all_heartbeats,holdout,seconds_to_close,"(90.0, 120.0]",131,0.00035481657834195157,0.004433869625831449,0.05467371993248975,0.17902249403300002,0.4726420840385269,0.4351145038167939
all_heartbeats,all,abs_v32_d_sigma,"(-0.001, 0.25]",5297,5.415410089995576e-05,0.00010907909725732523,0.24383395965096144,0.6807170691560068,0.4941948077278568,0.4744194827260714
all_heartbeats,all,abs_v32_d_sigma,"(0.25, 0.5]",3187,-4.54361268446557e-05,-0.00010865882381894121,0.2142754788460677,0.6197596956974389,0.4914916492736958,0.48823344838406024
all_heartbeats,all,abs_v32_d_sigma,"(0.5, 0.75]",2024,-0.0003033681130599486,-0.0011123425395509479,0.18702299649768334,0.5603550733873963,0.4772980134692165,0.4782608695652174
all_heartbeats,all,abs_v32_d_sigma,"(0.75, 1.0]",1480,0.0005575506046512357,0.001985653468244808,0.1115930501591724,0.3810455325667834,0.48036715227787835,0.4445945945945946
all_heartbeats,all,abs_v32_d_sigma,"(1.0, 1.5]",1898,-3.6789136899223474e-05,-0.001059981808707089,0.07123205011047129,0.26782429870541125,0.49748398370528407,0.5021074815595363
all_heartbeats,all,abs_v32_d_sigma,"(1.5, 2.0]",1131,0.00039731741461718206,0.005843242519726344,0.07061036295655394,0.28818719335503534,0.5129472711690326,0.4880636604774536
all_heartbeats,all,abs_v32_d_sigma,"(2.0, inf]",4004,1.52592653178997e-05,0.0022010792471580942,0.011109871894162028,0.06906505194087759,0.5625666753834506,0.5571928071928072
all_heartbeats,train,abs_v32_d_sigma,"(-0.001, 0.25]",3370,3.6460387255465854e-06,2.342035918423413e-06,0.24309927348087038,0.6793209367726755,0.494117878024146,0.4943620178041543
all_heartbeats,train,abs_v32_d_sigma,"(0.25, 0.5]",1975,5.551466859865517e-05,8.211371969657488e-05,0.21019962873241244,0.6115384469720574,0.49545184772984097,0.5027848101265823
all_heartbeats,train,abs_v32_d_sigma,"(0.5, 0.75]",1224,-0.00017822359720454095,-0.0007233447135379656,0.1825769130631651,0.5505381342715538,0.48712766849101585,0.4959150326797386
all_heartbeats,train,abs_v32_d_sigma,"(0.75, 1.0]",916,0.0011546670390706198,0.004219878291238377,0.10440194566617829,0.3646912585276167,0.4813995559416791,0.46179039301310043
all_heartbeats,train,abs_v32_d_sigma,"(1.0, 1.5]",1170,0.0003152176546085267,0.0008527543932755344,0.06838584603707701,0.2613272441062746,0.5233559109148288,0.5222222222222223
all_heartbeats,train,abs_v32_d_sigma,"(1.5, 2.0]",646,0.0004801799290659048,0.008126604620612266,0.06514013124222305,0.2730042664362998,0.5571943443361824,0.5061919504643962
all_heartbeats,train,abs_v32_d_sigma,"(2.0, inf]",2097,-1.2328164206432124e-05,0.003170841179935352,0.014616127683739563,0.09688396383327873,0.570462110923315,0.5617548879351455
all_heartbeats,validation,abs_v32_d_sigma,"(-0.001, 0.25]",876,0.00012098337909380308,0.0002534655807513442,0.24283715812811715,0.6783739294259273,0.4971187491496512,0.4908675799086758
all_heartbeats,validation,abs_v32_d_sigma,"(0.25, 0.5]",588,-0.00033123954301136904,-0.0006958517441333356,0.2206825326843244,0.6323577685748917,0.48595485118358966,0.5459183673469388
all_heartbeats,validation,abs_v32_d_sigma,"(0.5, 0.75]",403,-0.0003777918413821746,-0.0012578489454896369,0.20711943514437908,0.6042502487729409,0.45558780914967995,0.4466501240694789
all_heartbeats,validation,abs_v32_d_sigma,"(0.75, 1.0]",255,-0.0008753833333694783,-0.0038556426029118795,0.12722887126208657,0.412379187197789,0.5261410199974514,0.4745098039215686
all_heartbeats,validation,abs_v32_d_sigma,"(1.0, 1.5]",420,-0.00047601100366251314,-0.00369943294549277,0.06464237246511398,0.24550538821256565,0.4983653472127998,0.5071428571428571
all_heartbeats,validation,abs_v32_d_sigma,"(1.5, 2.0]",294,0.00022408157905938475,0.0026700347774523125,0.06458663119567276,0.2620640560238506,0.49167603354479067,0.4523809523809524
all_heartbeats,validation,abs_v32_d_sigma,"(2.0, inf]",982,3.352834261031133e-05,0.0007514856916835261,0.007973218121856453,0.038747352799781226,0.6018624936988961,0.5936863543788188
all_heartbeats,holdout,abs_v32_d_sigma,"(-0.001, 0.25]",1051,0.00016040502557160274,0.00033098331911418644,0.24702053484336728,0.6871467138138341,0.49200439898952486,0.3967649857278782
all_heartbeats,holdout,abs_v32_d_sigma,"(0.25, 0.5]",624,-9.563710808574433e-05,-0.00015914974737429866,0.2211383896114111,0.6339092139357178,0.48417473473218264,0.38782051282051283
