model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive
book_v39_platt,edge0_ask90_p0.55_stc0-780,prob54,0.0,90.0,0.55,780.0,0.0,198,197,0.9949494949494949,14.12,261.62,0.05397140891369161,11.54,2.58,0.009861631373748184,-1.3599999999999999,-3.6199999999999997,135,62,84,113,66.4010152284264,1.663935508356682,0.6806495073678309,737.9143401015228,66,65,0.9848484848484849,7.36,88.94,0.082752417360018,3.42,3.9400000000000004,0.04429952777153137,2.6400000000000006,2.0200000000000005,43,22,34,31,68.41538461538461,1.7463549431886534,0.7016173955857327,731.0973538461539,66,65,0.9848484848484849,-0.78,86.74,-0.008992391053723773,3.96,-4.74,-0.05464606871109062,-6.04,-6.88,45,20,23,42,66.72307692307692,1.7406898027345128,0.6846376672581144,734.1144923076923,330,327,0.990909090909091,20.7,437.3,0.047335924994283095,18.92,1.7799999999999976,0.004070432197576029,-4.7600000000000025,-8.480000000000002,223,104,141,186,66.86544342507645,1.6955755462730038,0.6856101897134945,735.8039602446484,0.9848484848484849,-0.78,-4.74,-6.88,False,False,False,True,-6.04,False
book_v39_platt,edge0_ask90_p0.55_stc0-780,take10_or_prob52,0.0,90.0,0.55,780.0,0.0,198,197,0.9949494949494949,7.08,261.62,0.027062151211681065,13.07,-5.99,-0.022895803073159544,-9.93,-13.87,135,62,0,197,66.4010152284264,1.663935508356682,0.6806495073678309,737.9143401015228,66,65,0.9848484848484849,4.12,88.94,0.046323364065662245,4.07,0.04999999999999982,0.0005621767483696854,-1.2500000000000002,-2.5500000000000003,43,22,0,65,68.41538461538461,1.7463549431886534,0.7016173955857327,731.0973538461539,66,65,0.9848484848484849,-1.02,86.74,-0.011759280608715703,4.36,-5.380000000000001,-0.06202444085773577,-6.680000000000001,-7.98,45,20,0,65,66.72307692307692,1.7406898027345128,0.6846376672581144,734.1144923076923,330,327,0.990909090909091,10.18,437.3,0.023279213354676424,21.5,-11.32,-0.025886119368854335,-17.86,-24.4,223,104,0,327,66.86544342507645,1.6955755462730038,0.6856101897134945,735.8039602446484,0.9848484848484849,-1.02,-5.99,-13.87,False,False,False,True,-9.93,False
book_v39_platt,edge0_ask90_p0.55_stc0-900,hold,0.0,90.0,0.55,900.0,0.0,198,197,0.9949494949494949,19.82,244.18,0.08116962896224098,7.51,12.31,0.05041362928986813,8.370000000000001,8.370000000000001,132,65,197,0,61.974619289340104,1.714833915573377,0.6368945320491347,821.5707868020305,66,66,1.0,-5.26,83.26,-0.06317559452318039,2.44,-7.699999999999999,-0.09248138361758346,-9.02,-9.02,39,27,66,0,63.07575757575758,1.7775791796600393,0.6485333675541762,817.3631515151516,66,66,1.0,6.08,81.92,0.07421875,2.48,3.6,0.0439453125,2.2800000000000002,2.2800000000000002,44,22,66,0,62.06060606060606,2.0021294718815583,0.6406273553248761,830.3847424242424,330,329,0.996969696969697,20.64,409.36,0.05042016806722689,12.43,8.21,0.020055696697283566,1.6300000000000008,1.6300000000000008,215,114,329,0,62.212765957446805,1.7850548704246223,0.6399782082787143,822.4948510638297,0.9949494949494949,-5.26,-7.699999999999999,-9.02,False,False,False,True,-9.02,False
book_v39_platt,edge0_ask90_p0.55_stc0-900,prob50,0.0,90.0,0.55,900.0,0.0,198,197,0.9949494949494949,6.94,244.18,0.028421656155295273,12.54,-5.599999999999999,-0.022933901220411168,-9.54,-12.079999999999998,132,65,70,127,61.974619289340104,1.714833915573377,0.6368945320491347,821.5707868020305,66,66,1.0,5.58,83.26,0.06701897669949555,3.91,1.67,0.020057650732644726,0.34999999999999987,-0.41000000000000014,39,27,28,38,63.07575757575758,1.7775791796600393,0.6485333675541762,817.3631515151516,66,66,1.0,3.98,81.92,0.048583984375,4.15,-0.17000000000000037,-0.0020751953125000043,-1.4900000000000004,-2.3300000000000005,44,22,24,42,62.06060606060606,2.0021294718815583,0.6406273553248761,830.3847424242424,330,329,0.996969696969697,16.5,409.36,0.040306820402579636,20.6,-4.100000000000001,-0.010015634160641003,-10.680000000000001,-14.82,215,114,122,207,62.212765957446805,1.7850548704246223,0.6399782082787143,822.4948510638297,0.9949494949494949,3.98,-5.599999999999999,-12.079999999999998,True,False,False,True,-9.54,False
book_v39_platt,edge0_ask90_p0.55_stc0-900,prob52,0.0,90.0,0.55,900.0,0.0,198,197,0.9949494949494949,10.28,244.18,0.042100090097469074,12.58,-2.3000000000000007,-0.009419280858383162,-6.24,-8.8,132,65,69,128,61.974619289340104,1.714833915573377,0.6368945320491347,821.5707868020305,66,66,1.0,6.14,83.26,0.07374489550804707,3.91,2.2299999999999995,0.026783569541196244,0.9099999999999995,0.14999999999999947,39,27,28,38,63.07575757575758,1.7775791796600393,0.6485333675541762,817.3631515151516,66,66,1.0,5.1,81.92,0.06225585937499999,4.16,0.9399999999999995,0.011474609374999993,-0.38000000000000056,-1.2200000000000006,44,22,24,42,62.06060606060606,2.0021294718815583,0.6406273553248761,830.3847424242424,330,329,0.996969696969697,21.52,409.36,0.05256986515536447,20.65,0.870000000000001,0.0021252687121360195,-5.709999999999999,-9.87,215,114,121,208,62.212765957446805,1.7850548704246223,0.6399782082787143,822.4948510638297,0.9949494949494949,5.1,-2.3000000000000007,-8.8,True,False,False,True,-6.24,False
book_v39_platt,edge0_ask90_p0.55_stc0-900,prob54,0.0,90.0,0.55,900.0,0.0,198,197,0.9949494949494949,11.66,244.18,0.04775165861249898,12.7,-1.0399999999999991,-0.004259153083790643,-4.979999999999999,-7.599999999999999,132,65,66,131,61.974619289340104,1.714833915573377,0.6368945320491347,821.5707868020305,66,66,1.0,4.84,83.26,0.05813115541676675,4.04,0.7999999999999998,0.00960845544078789,-0.5200000000000002,-1.3400000000000003,39,27,25,41,63.07575757575758,1.7775791796600393,0.6485333675541762,817.3631515151516,66,66,1.0,1.82,81.92,0.022216796875,4.36,-2.54,-0.031005859375,-3.8600000000000003,-4.800000000000001,44,22,19,47,62.06060606060606,2.0021294718815583,0.6406273553248761,830.3847424242424,330,329,0.996969696969697,18.32,409.36,0.044752784834864175,21.1,-2.780000000000001,-0.006791088528434632,-9.360000000000001,-13.740000000000002,215,114,110,219,62.212765957446805,1.7850548704246223,0.6399782082787143,822.4948510638297,0.9949494949494949,1.82,-2.54,-7.599999999999999,True,False,False,True,-4.979999999999999,False
book_v39_platt,edge0_ask90_p0.55_stc0-900,take10_or_prob52,0.0,90.0,0.55,900.0,0.0,198,197,0.9949494949494949,1.34,244.18,0.0054877549348841025,14.28,-12.94,-0.05299369317716438,-16.88,-20.82,132,65,0,197,61.974619289340104,1.714833915573377,0.6368945320491347,821.5707868020305,66,66,1.0,3.62,83.26,0.043478260869565216,4.61,-0.9900000000000002,-0.01189046360797502,-2.3100000000000005,-3.630000000000001,39,27,0,66,63.07575757575758,1.7775791796600393,0.6485333675541762,817.3631515151516,66,66,1.0,0.06,81.92,0.000732421875,4.78,-4.720000000000001,-0.05761718750000001,-6.040000000000001,-7.360000000000001,44,22,0,66,62.06060606060606,2.0021294718815583,0.6406273553248761,830.3847424242424,330,329,0.996969696969697,5.02,409.36,0.012263044752784833,23.67,-18.650000000000002,-0.04555892124291577,-25.230000000000004,-31.810000000000002,215,114,0,329,62.212765957446805,1.7850548704246223,0.6399782082787143,822.4948510638297,0.9949494949494949,0.06,-12.94,-20.82,True,False,False,True,-16.88,False
book_v39_platt,edge0_ask90_p0.60_stc0-600,hold,0.0,90.0,0.6,600.0,0.0,198,184,0.9292929292929293,-8.02,270.02,-0.029701503592326494,5.79,-13.809999999999999,-0.051144359677060956,-17.49,-17.49,131,53,184,0,73.375,1.7677399457552834,0.751427399457553,559.8604565217391,66,60,0.9090909090909091,-8.46,90.46,-0.09352199867344685,1.81,-10.270000000000001,-0.11353084236126466,-11.47,-11.47,41,19,60,0,75.38333333333334,1.783796396125558,0.7716712972945888,568.8851500000001,66,58,0.8787878787878788,-4.28,84.28,-0.05078310393925012,1.84,-6.12,-0.07261509254864737,-7.28,-7.28,40,18,58,0,72.65517241379311,1.8434196412375727,0.7449859205503069,556.5266034482759,330,302,0.9151515151515152,-20.76,444.76,-0.046676859429804846,9.44,-30.200000000000003,-0.06790178972929221,-36.24,-36.24,212,90,302,0,73.63576158940397,1.7854644800605457,0.7542122606946451,561.0131655629139,0.8787878787878788,-8.46,-13.809999999999999,-17.49,False,False,False,True,-17.49,False
book_v39_platt,edge0_ask90_p0.60_stc0-600,prob50,0.0,90.0,0.6,600.0,0.0,198,184,0.9292929292929293,2.42,270.02,0.008962299088956373,9.12,-6.699999999999999,-0.024812976816532106,-10.379999999999999,-12.079999999999998,131,53,99,85,73.375,1.7677399457552834,0.751427399457553,559.8604565217391,66,60,0.9090909090909091,3.14,90.46,0.03471147468494363,2.7,0.43999999999999995,0.004864028299801017,-0.76,-1.22,41,19,37,23,75.38333333333334,1.783796396125558,0.7716712972945888,568.8851500000001,66,58,0.8787878787878788,-1.9,84.28,-0.022543901281442808,3.01,-4.91,-0.058258186995728524,-6.07,-6.67,40,18,28,30,72.65517241379311,1.8434196412375727,0.7449859205503069,556.5266034482759,330,302,0.9151515151515152,3.66,444.76,0.008229157298318194,14.83,-11.17,-0.025114668585304433,-17.21,-19.97,212,90,164,138,73.63576158940397,1.7854644800605457,0.7542122606946451,561.0131655629139,0.8787878787878788,-1.9,-6.699999999999999,-12.079999999999998,False,False,False,True,-10.379999999999999,False
book_v39_platt,edge0_ask90_p0.60_stc0-600,prob52,0.0,90.0,0.6,600.0,0.0,198,184,0.9292929292929293,3.28,270.02,0.012147248351973929,9.16,-5.880000000000001,-0.021776164728538633,-9.56,-11.280000000000001,131,53,98,86,73.375,1.7677399457552834,0.751427399457553,559.8604565217391,66,60,0.9090909090909091,3.54,90.46,0.03913331859385364,2.7,0.8399999999999999,0.009285872208711032,-0.3600000000000001,-0.8200000000000001,41,19,37,23,75.38333333333334,1.783796396125558,0.7716712972945888,568.8851500000001,66,58,0.8787878787878788,-1.12,84.28,-0.013289036544850499,3.02,-4.140000000000001,-0.049121974371143816,-5.300000000000001,-5.9,40,18,28,30,72.65517241379311,1.8434196412375727,0.7449859205503069,556.5266034482759,330,302,0.9151515151515152,5.7,444.76,0.01281590071049555,14.88,-9.18,-0.020640345354798095,-15.219999999999999,-18.0,212,90,163,139,73.63576158940397,1.7854644800605457,0.7542122606946451,561.0131655629139,0.8787878787878788,-1.12,-5.880000000000001,-11.280000000000001,False,False,False,True,-9.56,False
book_v39_platt,edge0_ask90_p0.60_stc0-600,prob54,0.0,90.0,0.6,600.0,0.0,198,184,0.9292929292929293,3.7,270.02,0.013702688689726688,9.24,-5.54,-0.020516998740834014,-9.22,-10.98,131,53,96,88,73.375,1.7677399457552834,0.751427399457553,559.8604565217391,66,60,0.9090909090909091,3.16,90.46,0.03493256688038913,2.75,0.41000000000000014,0.004532390006632768,-0.7899999999999998,-1.2699999999999998,41,19,36,24,75.38333333333334,1.783796396125558,0.7716712972945888,568.8851500000001,66,58,0.8787878787878788,0.04,84.28,0.00047460844803037496,3.02,-2.98,-0.035358329378262936,-4.14,-4.739999999999999,40,18,28,30,72.65517241379311,1.8434196412375727,0.7449859205503069,556.5266034482759,330,302,0.9151515151515152,6.9,444.76,0.015513985070599876,15.01,-8.11,-0.0182345534670384,-14.149999999999999,-16.99,212,90,160,142,73.63576158940397,1.7854644800605457,0.7542122606946451,561.0131655629139,0.8787878787878788,0.04,-5.54,-10.98,True,False,False,True,-9.22,False
book_v39_platt,edge0_ask90_p0.60_stc0-600,take10_or_prob52,0.0,90.0,0.6,600.0,0.0,198,184,0.9292929292929293,3.22,270.02,0.011925042589437822,10.35,-7.129999999999999,-0.026405451448040886,-10.809999999999999,-14.489999999999998,131,53,0,184,73.375,1.7677399457552834,0.751427399457553,559.8604565217391,66,60,0.9090909090909091,-1.22,90.46,-0.013486623922175547,3.28,-4.5,-0.04974574397523768,-5.7,-6.9,41,19,0,60,75.38333333333334,1.783796396125558,0.7716712972945888,568.8851500000001,66,58,0.8787878787878788,-3.48,84.28,-0.04129093497864262,3.45,-6.93,-0.08222591362126246,-8.09,-9.25,40,18,0,58,72.65517241379311,1.8434196412375727,0.7449859205503069,556.5266034482759,330,302,0.9151515151515152,-1.48,444.76,-0.003327637377462002,17.08,-18.56,-0.041730371436280236,-24.599999999999998,-30.639999999999997,212,90,0,302,73.63576158940397,1.7854644800605457,0.7542122606946451,561.0131655629139,0.8787878787878788,-3.48,-7.129999999999999,-14.489999999999998,False,False,False,True,-10.809999999999999,False
