dataset,candidate,split,bucket,paired_markets,candidate_wins,v2_wins,candidate_accuracy,v2_accuracy,candidate_net_pnl_cents,v2_net_pnl_cents,candidate_minus_v2_cents,mean_candidate_minus_v2_cents
v21,book_margin_early,all,disagree,51,30,21,0.5882352941176471,0.4117647058823529,-517.0,-610.0,93.0,1.8235294117647058
v21,book_margin_early,train,all_pairs,124,88,82,0.7096774193548387,0.6612903225806451,226.0,465.0,-239.0,-1.9274193548387097
v21,book_margin_early,train,same_side,92,69,69,0.75,0.75,518.0,851.0,-333.0,-3.619565217391304
v21,book_margin_early,train,disagree,32,19,13,0.59375,0.40625,-292.0,-386.0,94.0,2.9375
v21,book_margin_early,validation,all_pairs,42,31,27,0.7380952380952381,0.6428571428571429,243.0,102.0,141.0,3.357142857142857
v21,book_margin_early,validation,same_side,32,24,24,0.75,0.75,235.0,341.0,-106.0,-3.3125
v21,book_margin_early,validation,disagree,10,7,3,0.7,0.3,8.0,-239.0,247.0,24.7
v21,book_margin_early,holdout,all_pairs,42,32,33,0.7619047619047619,0.7857142857142857,250.0,642.0,-392.0,-9.333333333333334
v21,book_margin_early,holdout,same_side,33,28,28,0.8484848484848485,0.8484848484848485,483.0,627.0,-144.0,-4.363636363636363
v21,book_margin_early,holdout,disagree,9,4,5,0.4444444444444444,0.5555555555555556,-233.0,15.0,-248.0,-27.555555555555557
v21,book_margin_gap015,all,all_pairs,214,151,145,0.705607476635514,0.677570093457944,306.0,1254.0,-948.0,-4.429906542056075
v21,book_margin_gap015,all,same_side,158,120,120,0.759493670886076,0.759493670886076,1094.0,1749.0,-655.0,-4.1455696202531644
v21,book_margin_gap015,all,disagree,56,31,25,0.5535714285714286,0.44642857142857145,-788.0,-495.0,-293.0,-5.232142857142857
v21,book_margin_gap015,train,all_pairs,128,87,85,0.6796875,0.6640625,-165.0,576.0,-741.0,-5.7890625
v21,book_margin_gap015,train,same_side,94,69,69,0.7340425531914894,0.7340425531914894,374.0,779.0,-405.0,-4.308510638297872
v21,book_margin_gap015,train,disagree,34,18,16,0.5294117647058824,0.47058823529411764,-539.0,-203.0,-336.0,-9.882352941176471
v21,book_margin_gap015,validation,all_pairs,44,32,28,0.7272727272727273,0.6363636363636364,212.0,92.0,120.0,2.727272727272727
v21,book_margin_gap015,validation,same_side,32,24,24,0.75,0.75,235.0,341.0,-106.0,-3.3125
v21,book_margin_gap015,validation,disagree,12,8,4,0.6666666666666666,0.3333333333333333,-23.0,-249.0,226.0,18.833333333333332
v21,book_margin_gap015,holdout,all_pairs,42,32,32,0.7619047619047619,0.7619047619047619,259.0,586.0,-327.0,-7.785714285714286
v21,book_margin_gap015,holdout,same_side,32,27,27,0.84375,0.84375,485.0,629.0,-144.0,-4.5
v21,book_margin_gap015,holdout,disagree,10,5,5,0.5,0.5,-226.0,-43.0,-183.0,-18.3
v21,score_min60,all,all_pairs,218,161,148,0.7385321100917431,0.6788990825688074,534.0,1237.0,-703.0,-3.2247706422018347
v21,score_min60,all,same_side,159,125,125,0.7861635220125787,0.7861635220125787,1115.0,2136.0,-1021.0,-6.421383647798742
v21,score_min60,all,disagree,59,36,23,0.6101694915254238,0.3898305084745763,-581.0,-899.0,318.0,5.389830508474576
v21,score_min60,train,all_pairs,130,92,86,0.7076923076923077,0.6615384615384615,-19.0,525.0,-544.0,-4.184615384615385
v21,score_min60,train,same_side,92,70,70,0.7608695652173914,0.7608695652173914,447.0,979.0,-532.0,-5.782608695652174
v21,score_min60,train,disagree,38,22,16,0.5789473684210527,0.42105263157894735,-466.0,-454.0,-12.0,-0.3157894736842105
v21,score_min60,validation,all_pairs,44,35,28,0.7954545454545454,0.6363636363636364,398.0,92.0,306.0,6.954545454545454
v21,score_min60,validation,same_side,33,26,26,0.7878787878787878,0.7878787878787878,270.0,500.0,-230.0,-6.96969696969697
v21,score_min60,validation,disagree,11,9,2,0.8181818181818182,0.18181818181818182,128.0,-408.0,536.0,48.72727272727273
v21,score_min60,holdout,all_pairs,44,34,34,0.7727272727272727,0.7727272727272727,155.0,620.0,-465.0,-10.568181818181818
v21,score_min60,holdout,same_side,34,29,29,0.8529411764705882,0.8529411764705882,398.0,657.0,-259.0,-7.617647058823529
v21,score_min60,holdout,disagree,10,5,5,0.5,0.5,-243.0,-37.0,-206.0,-20.6
v21,score_min60_gap020,all,all_pairs,218,161,148,0.7385321100917431,0.6788990825688074,534.0,1237.0,-703.0,-3.2247706422018347
v21,score_min60_gap020,all,same_side,159,125,125,0.7861635220125787,0.7861635220125787,1115.0,2136.0,-1021.0,-6.421383647798742
v21,score_min60_gap020,all,disagree,59,36,23,0.6101694915254238,0.3898305084745763,-581.0,-899.0,318.0,5.389830508474576
v21,score_min60_gap020,train,all_pairs,130,92,86,0.7076923076923077,0.6615384615384615,-19.0,525.0,-544.0,-4.184615384615385
v21,score_min60_gap020,train,same_side,92,70,70,0.7608695652173914,0.7608695652173914,447.0,979.0,-532.0,-5.782608695652174
v21,score_min60_gap020,train,disagree,38,22,16,0.5789473684210527,0.42105263157894735,-466.0,-454.0,-12.0,-0.3157894736842105
v21,score_min60_gap020,validation,all_pairs,44,35,28,0.7954545454545454,0.6363636363636364,398.0,92.0,306.0,6.954545454545454
v21,score_min60_gap020,validation,same_side,33,26,26,0.7878787878787878,0.7878787878787878,270.0,500.0,-230.0,-6.96969696969697
v21,score_min60_gap020,validation,disagree,11,9,2,0.8181818181818182,0.18181818181818182,128.0,-408.0,536.0,48.72727272727273
v21,score_min60_gap020,holdout,all_pairs,44,34,34,0.7727272727272727,0.7727272727272727,155.0,620.0,-465.0,-10.568181818181818
v21,score_min60_gap020,holdout,same_side,34,29,29,0.8529411764705882,0.8529411764705882,398.0,657.0,-259.0,-7.617647058823529
v21,score_min60_gap020,holdout,disagree,10,5,5,0.5,0.5,-243.0,-37.0,-206.0,-20.6
