model,entry_policy,exit_policy,trades,min_split_coverage,all_net_after_fees_1c_entry_dollars,min_split_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_entry_dollars,positive_1c_days,total_days,worst_1c_day_dollars,settled_count,exit_count,losses,block10_positive,block10_worst_dollars
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold45_prob52,333,0.8133333333333334,11.23,-0.04,7.02,4.25,-0.04,4,5,-0.21,251,82,57,7,-2.15
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold45_prob54,333,0.8133333333333334,11.69,0.4,7.04,4.25,0.4,4,5,-0.21,250,83,57,7,-1.95
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold45_prob56,333,0.8133333333333334,9.11,1.25,6.32,1.25,1.54,3,5,-1.06,243,90,57,7,-3.46
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold45_prob57,333,0.8133333333333334,7.32,1.21,4.65,1.46,1.21,3,5,-1.49,236,97,57,7,-3.12
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold60_prob52,333,0.8133333333333334,10.61,-0.41,6.87,4.15,-0.41,4,5,-0.31,251,82,57,7,-2.25
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold60_prob54,333,0.8133333333333334,11.11,0.07,6.89,4.15,0.07,4,5,-0.31,250,83,57,7,-2.05
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold60_prob56,333,0.8133333333333334,8.74,1.17,6.21,1.17,1.36,3,5,-1.1,244,89,57,7,-3.5
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold60_prob57,333,0.8133333333333334,6.82,0.92,4.52,1.38,0.92,3,5,-1.57,236,97,57,7,-3.16
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold90_prob52,333,0.8133333333333334,12.07,-0.81,8.64,4.24,-0.81,4,5,-0.31,253,80,57,8,-2.76
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold90_prob54,333,0.8133333333333334,12.43,-0.35,8.54,4.24,-0.35,4,5,-0.31,252,81,57,8,-2.48
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold90_prob56,333,0.8133333333333334,10.01,0.68,8.47,0.86,0.68,4,5,-0.23,247,86,57,7,-3.79
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold90_prob57,333,0.8133333333333334,6.18,0.29,4.69,1.2,0.29,2,5,-0.73,240,93,57,7,-3.35
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold120_prob52,333,0.8133333333333334,12.0,-2.0,8.52,5.48,-2.0,3,5,-0.53,257,76,57,7,-2.1
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold120_prob54,333,0.8133333333333334,11.82,-2.0,8.34,5.48,-2.0,3,5,-0.41,256,77,57,7,-1.82
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold120_prob56,333,0.8133333333333334,9.44,-0.1,7.65,1.89,-0.1,3,5,-0.61,250,83,57,6,-3.47
v50_thinedge_ask90_edge1_stc450_cap75,edge0_ask100_p0.65_stc0-600,hold120_prob57,333,0.8133333333333334,8.22,-0.1,5.26,3.06,-0.1,3,5,-1.09,246,87,57,5,-3.05
