chooser,gate_family,gate,pass_80_retention,target_pass,min_test_accuracy,min_test_retention,all_rows,all_wins,all_losses,all_base_rows,all_accuracy,all_retention,train_rows,train_wins,train_losses,train_base_rows,train_accuracy,train_retention,validation_rows,validation_wins,validation_losses,validation_base_rows,validation_accuracy,validation_retention,holdout_rows,holdout_wins,holdout_losses,holdout_base_rows,holdout_accuracy,holdout_retention
brownian_p_rv_30m,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_60m,book_p_side,book_p_side>=0.55,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_60m,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
score_mean_book_rv15,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
score_mean_book_rv30,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
score_min_book_rv15,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8490066225165563,0.839907192575406,3630,2993,637,4310,0.8245179063360881,0.8422273781902552,2151,1737,414,2586,0.8075313807531381,0.8317865429234339,724,615,109,862,0.8494475138121547,0.839907192575406,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_15m,physics_pair,book_p_side>=0.55 and spread_cents<=4,True,False,0.8490066225165563,0.8375870069605569,3625,2989,636,4310,0.824551724137931,0.8410672853828306,2148,1735,413,2586,0.8077281191806331,0.8306264501160093,722,613,109,862,0.8490304709141274,0.8375870069605569,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_30m,physics_pair,book_p_side>=0.55 and spread_cents<=4,True,False,0.8490066225165563,0.8375870069605569,3625,2989,636,4310,0.824551724137931,0.8410672853828306,2148,1735,413,2586,0.8077281191806331,0.8306264501160093,722,613,109,862,0.8490304709141274,0.8375870069605569,755,641,114,862,0.8490066225165563,0.8758700696055685
brownian_p_rv_60m,physics_pair,book_p_side>=0.55 and spread_cents<=4,True,False,0.8490066225165563,0.8375870069605569,3625,2989,636,4310,0.824551724137931,0.8410672853828306,2148,1735,413,2586,0.8077281191806331,0.8306264501160093,722,613,109,862,0.8490304709141274,0.8375870069605569,755,641,114,862,0.8490066225165563,0.8758700696055685
score_regime_blend,physics_pair,book_p_side>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8489304812834224,0.8294663573085846,3591,2969,622,4310,0.8267891952102479,0.8331786542923434,2128,1725,403,2586,0.8106203007518797,0.822892498066512,715,609,106,862,0.8517482517482518,0.8294663573085846,748,635,113,862,0.8489304812834224,0.8677494199535963
score_min_book_rv15_drift5,physics_composite,book>=0.55 and abs(book-rv15)<=0.20,True,False,0.8487738419618529,0.802784222737819,3501,2897,604,4310,0.8274778634675807,0.8122969837587007,2075,1681,394,2586,0.8101204819277108,0.8023975251353441,692,593,99,862,0.8569364161849711,0.802784222737819,734,623,111,862,0.8487738419618529,0.851508120649652
brownian_p_rv_15m,physics_pair,book_p_side>=0.55 and adverse_move_5m<=50,True,False,0.8486932599724897,0.8259860788863109,3535,2914,621,4310,0.8243281471004243,0.820185614849188,2096,1692,404,2586,0.8072519083969466,0.8105181747873164,712,605,107,862,0.8497191011235955,0.8259860788863109,727,617,110,862,0.8486932599724897,0.8433874709976799
brownian_p_rv_30m,physics_pair,book_p_side>=0.55 and adverse_move_5m<=50,True,False,0.8486932599724897,0.8259860788863109,3535,2914,621,4310,0.8243281471004243,0.820185614849188,2096,1692,404,2586,0.8072519083969466,0.8105181747873164,712,605,107,862,0.8497191011235955,0.8259860788863109,727,617,110,862,0.8486932599724897,0.8433874709976799
brownian_p_rv_60m,physics_pair,book_p_side>=0.55 and adverse_move_5m<=50,True,False,0.8486932599724897,0.8259860788863109,3535,2914,621,4310,0.8243281471004243,0.820185614849188,2096,1692,404,2586,0.8072519083969466,0.8105181747873164,712,605,107,862,0.8497191011235955,0.8259860788863109,727,617,110,862,0.8486932599724897,0.8433874709976799
brownian_p_rv_15m,physics_pair,score_regime_blend>=0.58 and abs_book_rv30_gap<=0.3,True,False,0.8486111111111111,0.8190255220417634,3535,2923,612,4310,0.8268741159830268,0.820185614849188,2109,1705,404,2586,0.8084400189663348,0.8155452436194895,706,607,99,862,0.8597733711048159,0.8190255220417634,720,611,109,862,0.8486111111111111,0.8352668213457076
brownian_p_rv_30m,physics_pair,score_regime_blend>=0.58 and abs_book_rv30_gap<=0.3,True,False,0.8486111111111111,0.8190255220417634,3535,2923,612,4310,0.8268741159830268,0.820185614849188,2109,1705,404,2586,0.8084400189663348,0.8155452436194895,706,607,99,862,0.8597733711048159,0.8190255220417634,720,611,109,862,0.8486111111111111,0.8352668213457076
brownian_p_rv_60m,physics_pair,score_regime_blend>=0.58 and abs_book_rv30_gap<=0.3,True,False,0.8486111111111111,0.8190255220417634,3535,2923,612,4310,0.8268741159830268,0.820185614849188,2109,1705,404,2586,0.8084400189663348,0.8155452436194895,706,607,99,862,0.8597733711048159,0.8190255220417634,720,611,109,862,0.8486111111111111,0.8352668213457076
brownian_p_rv_15m,physics_pair,book_p_side>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.848605577689243,0.8375870069605569,3620,2983,637,4310,0.8240331491712707,0.839907192575406,2145,1731,414,2586,0.806993006993007,0.8294663573085846,722,613,109,862,0.8490304709141274,0.8375870069605569,753,639,114,862,0.848605577689243,0.8735498839907193
brownian_p_rv_30m,physics_pair,book_p_side>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.848605577689243,0.8375870069605569,3620,2983,637,4310,0.8240331491712707,0.839907192575406,2145,1731,414,2586,0.806993006993007,0.8294663573085846,722,613,109,862,0.8490304709141274,0.8375870069605569,753,639,114,862,0.848605577689243,0.8735498839907193
brownian_p_rv_60m,physics_pair,book_p_side>=0.55 and abs_book_rv30_gap<=0.3,True,False,0.848605577689243,0.8375870069605569,3620,2983,637,4310,0.8240331491712707,0.839907192575406,2145,1731,414,2586,0.806993006993007,0.8294663573085846,722,613,109,862,0.8490304709141274,0.8375870069605569,753,639,114,862,0.848605577689243,0.8735498839907193
book_p_side,score_regime_blend,score_regime_blend>=0.58,True,False,0.8484848484848485,0.8167053364269141,3544,2932,612,4310,0.827313769751693,0.8222737819025522,2114,1710,404,2586,0.8088930936613056,0.8174787316318639,704,606,98,862,0.8607954545454546,0.8167053364269141,726,616,110,862,0.8484848484848485,0.8422273781902552
book_p_side,physics_pair,score_regime_blend>=0.58 and spread_cents<=4,True,False,0.8484848484848485,0.814385150812065,3540,2928,612,4310,0.8271186440677966,0.8213457076566125,2112,1708,404,2586,0.8087121212121212,0.8167053364269141,702,604,98,862,0.8603988603988604,0.814385150812065,726,616,110,862,0.8484848484848485,0.8422273781902552
brownian_p_rv_15m,physics_pair,book_p_side>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.848404255319149,0.839907192575406,3623,2986,637,4310,0.8241788573005796,0.8406032482598608,2147,1733,414,2586,0.8071727992547741,0.8302397525135344,724,615,109,862,0.8494475138121547,0.839907192575406,752,638,114,862,0.848404255319149,0.8723897911832946
brownian_p_rv_30m,physics_pair,book_p_side>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.848404255319149,0.839907192575406,3623,2986,637,4310,0.8241788573005796,0.8406032482598608,2147,1733,414,2586,0.8071727992547741,0.8302397525135344,724,615,109,862,0.8494475138121547,0.839907192575406,752,638,114,862,0.848404255319149,0.8723897911832946
brownian_p_rv_60m,physics_pair,book_p_side>=0.55 and abs_book_rv15_gap<=0.3,True,False,0.848404255319149,0.839907192575406,3623,2986,637,4310,0.8241788573005796,0.8406032482598608,2147,1733,414,2586,0.8071727992547741,0.8302397525135344,724,615,109,862,0.8494475138121547,0.839907192575406,752,638,114,862,0.848404255319149,0.8723897911832946
brownian_p_rv_15m,physics_pair,score_regime_blend>=0.58 and abs_book_rv15_gap<=0.3,True,False,0.8484005563282336,0.8213457076566125,3538,2926,612,4310,0.8270209157716224,0.8208816705336427,2111,1707,404,2586,0.8086215063950735,0.8163186388244393,708,609,99,862,0.8601694915254238,0.8213457076566125,719,610,109,862,0.8484005563282336,0.834106728538283
brownian_p_rv_30m,physics_pair,score_regime_blend>=0.58 and abs_book_rv15_gap<=0.3,True,False,0.8484005563282336,0.8213457076566125,3538,2926,612,4310,0.8270209157716224,0.8208816705336427,2111,1707,404,2586,0.8086215063950735,0.8163186388244393,708,609,99,862,0.8601694915254238,0.8213457076566125,719,610,109,862,0.8484005563282336,0.834106728538283
brownian_p_rv_60m,physics_pair,score_regime_blend>=0.58 and abs_book_rv15_gap<=0.3,True,False,0.8484005563282336,0.8213457076566125,3538,2926,612,4310,0.8270209157716224,0.8208816705336427,2111,1707,404,2586,0.8086215063950735,0.8163186388244393,708,609,99,862,0.8601694915254238,0.8213457076566125,719,610,109,862,0.8484005563282336,0.834106728538283
score_mean_book_rv15_drift5,brownian_p_rv_30m,brownian_p_rv_30m>=0.55,True,False,0.8481894150417827,0.8132250580046404,3501,2894,607,4310,0.8266209654384462,0.8122969837587007,2082,1679,403,2586,0.8064361191162344,0.8051044083526682,701,606,95,862,0.8644793152639088,0.8132250580046404,718,609,109,862,0.8481894150417827,0.8329466357308585
score_mean_book_rv15_drift5,physics_pair,brownian_p_rv_30m>=0.55 and margin_per_rv_sigma_15m>=0,True,False,0.8481894150417827,0.8132250580046404,3501,2894,607,4310,0.8266209654384462,0.8122969837587007,2082,1679,403,2586,0.8064361191162344,0.8051044083526682,701,606,95,862,0.8644793152639088,0.8132250580046404,718,609,109,862,0.8481894150417827,0.8329466357308585
score_mean_book_rv15_drift5,physics_pair,brownian_p_rv_30m>=0.55 and spread_cents<=4,True,False,0.8481894150417827,0.8109048723897911,3497,2890,607,4310,0.8264226479839862,0.811368909512761,2080,1677,403,2586,0.80625,0.8043310131477185,699,604,95,862,0.8640915593705293,0.8109048723897911,718,609,109,862,0.8481894150417827,0.8329466357308585
score_regime_blend,physics_pair,book_p_side>=0.55 and rv_sigma_t_15m<=200,True,False,0.8481532147742818,0.8051044083526682,3530,2909,621,4310,0.8240793201133144,0.8190255220417634,2105,1697,408,2586,0.8061757719714965,0.8139984532095901,731,620,111,862,0.8481532147742818,0.8480278422273781,694,592,102,862,0.8530259365994236,0.8051044083526682
book_p_side,physics_pair,score_regime_blend>=0.58 and abs_book_rv30_gap<=0.3,True,False,0.8478561549100968,0.814385150812065,3532,2920,612,4310,0.8267270668176671,0.8194895591647332,2107,1703,404,2586,0.8082581869957285,0.8147718484145399,702,604,98,862,0.8603988603988604,0.814385150812065,723,613,110,862,0.8478561549100968,0.8387470997679815
