dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
minute_bucket,v38_long60_antipersist,block10,3,495,0.000599448555424209,0.0019688344661868973
minute_bucket,v38_long60_antipersist,block10,4,480,-0.0005210924818201956,-0.0012438472024018377
minute_bucket,v38_long60_antipersist,block10,5,481,0.0007576036384895346,0.001744650787060098
minute_bucket,v38_long60_antipersist,block10,6,493,-0.0001933840885270932,-8.740914716298676e-05
minute_bucket,v38_long60_antipersist,block10,7,489,-0.00018288126031645868,-0.0003806314029812796
minute_bucket,v38_long60_antipersist,block10,8,495,0.0002445626621847413,0.0010989354145665708
minute_bucket,v38_long60_antipersist,block10,9,483,-0.00042217064407618077,-0.0018931658308288801
minute_bucket,v38_long60_antipersist,block20,0,254,-0.00033333061307841416,-0.0004791873902992849
minute_bucket,v38_long60_antipersist,block20,1,240,-0.0007581505901443908,-0.002547625258412123
minute_bucket,v38_long60_antipersist,block20,2,254,-0.00034477486723064055,-0.0019327098726371617
minute_bucket,v38_long60_antipersist,block20,3,239,0.00024574440075347814,-0.0014657764067970147
minute_bucket,v38_long60_antipersist,block20,4,255,0.0011107830028099508,0.003297093150704533
minute_bucket,v38_long60_antipersist,block20,5,240,-0.0009234568070443372,-0.002279427122091615
minute_bucket,v38_long60_antipersist,block20,6,255,0.0006664757175205288,0.002128778494540351
minute_bucket,v38_long60_antipersist,block20,7,240,0.0005282321956969205,0.0017988939360615297
minute_bucket,v38_long60_antipersist,block20,8,254,-0.0006888117821255979,-0.002157620432366336
minute_bucket,v38_long60_antipersist,block20,9,226,-0.0003325937991759953,-0.0002168631297868595
minute_bucket,v38_long60_antipersist,block20,10,240,0.00016902276291735907,-0.0003718413412463484
minute_bucket,v38_long60_antipersist,block20,11,241,0.0013437422697647056,0.003852360790352838
minute_bucket,v38_long60_antipersist,block20,12,239,0.0001410320796064457,0.0007676287980781793
minute_bucket,v38_long60_antipersist,block20,13,254,-0.0005080512703536377,-0.000891952725559253
minute_bucket,v38_long60_antipersist,block20,14,240,-0.0007936675538473548,-0.0023014352793370163
minute_bucket,v38_long60_antipersist,block20,15,249,0.0004058284201952783,0.001470745827241049
minute_bucket,v38_long60_antipersist,block20,16,240,0.00028812670475932,0.0011920287540868602
minute_bucket,v38_long60_antipersist,block20,17,255,0.00020356121034989516,0.001011318153841534
minute_bucket,v38_long60_antipersist,block20,18,239,0.00014453273523376553,0.000332066387540797
minute_bucket,v38_long60_antipersist,block20,19,244,-0.000977261249219985,-0.004072799028330132
