lock_name,market,registered_utc,lock_close_dt,initial_entry_dt,entry_dt,close_dt,confirm_delay_sec,side,initial_ask_cents,ask_cents,bid_cents,seconds_to_close,source_line_no,decision_key,chooser,score_value,confirmation,book_p_side,brownian_p_rv_15m,adverse_move_15m,touch_loss_rv_15m,kinetic_touch_score_15,outcome_available,outcome,win,entry_fee_cents,net_pnl_cents
kinetic_path_confirm,KXBTC15M-26MAY032245-45,2026-05-04T02:32:00.130591+00:00,2026-05-03T04:15:00+00:00,2026-05-04T02:31:06.969000+00:00,2026-05-04T02:32:07.135000+00:00,2026-05-04T02:45:00+00:00,60.166,yes,68.0,67.0,63.0,772.865,43657,heartbeat:43657,kinetic_touch_score_15,0.6503828980989093,same_side_for>=60s AND confirm_score>=0.6,0.65,0.6651442902200804,2.5,0.6697114195598393,0.6503828980989093,True,yes,True,2,31.0
kinetic_path_confirm,KXBTC15M-26MAY032300-00,2026-05-04T02:49:58.944886+00:00,2026-05-03T04:15:00+00:00,2026-05-04T02:47:38.398000+00:00,2026-05-04T02:48:38.560000+00:00,2026-05-04T03:00:00+00:00,60.162,no,70.0,73.0,72.0,681.44,43729,heartbeat:43729,kinetic_touch_score_15,0.6031160238286692,same_side_for>=60s AND confirm_score>=0.6,0.725,0.5689799049255622,374.679999999993,0.8620401901488757,0.6031160238286692,True,yes,False,2,-75.0
kinetic_path_confirm,KXBTC15M-26MAY032315-15,2026-05-04T03:03:17.457340+00:00,2026-05-03T04:15:00+00:00,2026-05-04T03:00:39.715000+00:00,2026-05-04T03:01:39.867000+00:00,2026-05-04T03:15:00+00:00,60.152,no,62.0,83.0,82.0,800.133,43805,heartbeat:43805,kinetic_touch_score_15,0.6626846478340728,same_side_for>=60s AND confirm_score>=0.6,0.825,0.5700225999249967,50.30000000000291,0.8599548001500066,0.6626846478340728,True,yes,False,1,-84.0
kinetic_path_confirm,KXBTC15M-26MAY032330-30,2026-05-04T03:19:11.788710+00:00,2026-05-03T04:15:00+00:00,2026-05-04T03:17:11.185000+00:00,2026-05-04T03:18:11.263000+00:00,2026-05-04T03:30:00+00:00,60.078,no,70.0,61.0,60.0,708.737,43894,heartbeat:43894,kinetic_touch_score_15,0.6080995087021785,same_side_for>=60s AND confirm_score>=0.6,0.605,0.6444232161068979,208.13999999999945,0.7111535677862042,0.6080995087021785,True,no,True,2,37.0
kinetic_path_confirm,KXBTC15M-26MAY032345-45,2026-05-04T03:40:22.166861+00:00,2026-05-03T04:15:00+00:00,2026-05-04T03:35:12.715000+00:00,2026-05-04T03:36:12.870000+00:00,2026-05-04T03:45:00+00:00,60.155,no,56.0,69.0,68.0,527.13,43972,heartbeat:43972,kinetic_touch_score_15,0.7707459562418241,same_side_for>=60s AND confirm_score>=0.6,0.685,0.7946466515802475,0.0,0.410706696839505,0.7707459562418241,True,no,True,2,29.0
kinetic_path_confirm,KXBTC15M-26MAY040000-00,2026-05-04T03:49:44.439836+00:00,2026-05-03T04:15:00+00:00,2026-05-04T03:47:13.963000+00:00,2026-05-04T03:48:14.132000+00:00,2026-05-04T04:00:00+00:00,60.169,yes,80.0,89.0,87.0,705.868,44026,heartbeat:44026,kinetic_touch_score_15,0.8593731188592607,same_side_for>=60s AND confirm_score>=0.6,0.88,0.8147721265913578,0.0,0.3704557468172844,0.8593731188592607,True,yes,True,1,10.0
kinetic_path_confirm,KXBTC15M-26MAY040015-15,2026-05-04T04:01:36.085748+00:00,2026-05-03T04:15:00+00:00,2026-05-04T04:00:45.169000+00:00,2026-05-04T04:01:45.213000+00:00,2026-05-04T04:15:00+00:00,60.044,yes,58.0,75.0,74.0,794.787,44086,heartbeat:44086,kinetic_touch_score_15,0.7105313311098556,same_side_for>=60s AND confirm_score>=0.6,0.745,0.6341725342897191,0.0,0.7316549314205618,0.7105313311098556,True,yes,True,2,23.0
kinetic_path_confirm,KXBTC15M-26MAY040030-30,2026-05-04T04:18:34.341975+00:00,2026-05-03T04:15:00+00:00,2026-05-04T04:16:01.419000+00:00,2026-05-04T04:17:46.657000+00:00,2026-05-04T04:30:00+00:00,105.238,yes,68.0,58.0,57.0,733.343,44156,heartbeat:44156,kinetic_touch_score_15,0.6543732504530105,same_side_for>=60s AND confirm_score>=0.6,0.575,0.6829794628339304,0.0,0.6340410743321392,0.6543732504530105,True,no,False,2,-60.0
kinetic_path_confirm,KXBTC15M-26MAY040045-45,2026-05-04T04:37:05.815062+00:00,2026-05-03T04:15:00+00:00,2026-05-04T04:35:03.054000+00:00,2026-05-04T04:36:03.113000+00:00,2026-05-04T04:45:00+00:00,60.059,yes,69.0,72.0,71.0,536.887,44252,heartbeat:44252,kinetic_touch_score_15,0.6582756022252161,same_side_for>=60s AND confirm_score>=0.6,0.715,0.6933533785039625,48.25,0.613293242992075,0.6582756022252161,True,no,False,2,-74.0
kinetic_path_confirm,KXBTC15M-26MAY040100-00,2026-05-04T04:54:07.343655+00:00,2026-05-03T04:15:00+00:00,2026-05-04T04:48:19.178000+00:00,2026-05-04T04:52:04.607000+00:00,2026-05-04T05:00:00+00:00,225.429,yes,62.0,60.0,58.0,475.393,44322,heartbeat:44322,kinetic_touch_score_15,0.6036211384015485,same_side_for>=60s AND confirm_score>=0.6,0.59,0.6341933049982952,0.0,0.7316133900034096,0.6036211384015485,True,no,False,2,-62.0
kinetic_path_confirm,KXBTC15M-26MAY040115-15,2026-05-04T05:11:09.074600+00:00,2026-05-03T04:15:00+00:00,2026-05-04T05:08:05.956000+00:00,2026-05-04T05:09:06.032000+00:00,2026-05-04T05:15:00+00:00,60.076,no,69.0,92.0,92.0,353.968,44432,heartbeat:44432,kinetic_touch_score_15,0.8872669894008366,same_side_for>=60s AND confirm_score>=0.6,0.92,0.8475551052931946,0.0,0.3048897894136109,0.8872669894008366,True,no,True,1,7.0
kinetic_path_confirm,KXBTC15M-26MAY040130-30,2026-05-04T05:19:06.673953+00:00,2026-05-03T04:15:00+00:00,2026-05-04T05:17:06.838000+00:00,2026-05-04T05:18:06.876000+00:00,2026-05-04T05:30:00+00:00,60.038,no,66.0,59.0,58.0,713.124,44474,heartbeat:44474,kinetic_touch_score_15,0.6116143096058508,same_side_for>=60s AND confirm_score>=0.6,0.585,0.5757991649923485,0.0,0.848401670015303,0.6116143096058508,True,no,True,2,39.0
kinetic_path_confirm,KXBTC15M-26MAY040145-45,2026-05-04T05:41:38.527372+00:00,2026-05-03T04:15:00+00:00,2026-05-04T05:30:38.197000+00:00,2026-05-04T05:31:38.275000+00:00,2026-05-04T05:45:00+00:00,60.078,no,60.0,54.0,53.0,801.725,44534,heartbeat:44534,kinetic_touch_score_15,0.6085373915930142,same_side_for>=60s AND confirm_score>=0.6,0.535,0.5956237716848014,0.0,0.8087524566303972,0.6085373915930142,True,yes,False,2,-56.0
kinetic_path_confirm,KXBTC15M-26MAY040200-00,2026-05-04T05:49:13.428504+00:00,2026-05-03T04:15:00+00:00,2026-05-04T05:48:09.409000+00:00,2026-05-04T05:49:09.443000+00:00,2026-05-04T06:00:00+00:00,60.034,no,69.0,65.0,64.0,650.557,44610,heartbeat:44610,kinetic_touch_score_15,0.7207157746589993,same_side_for>=60s AND confirm_score>=0.6,0.645,0.7557249186986312,12.360000000000582,0.4885501626027375,0.7207157746589993,True,no,True,2,33.0
kinetic_path_confirm,KXBTC15M-26MAY040215-15,2026-05-04T06:07:15.591498+00:00,2026-05-03T04:15:00+00:00,2026-05-04T06:02:10.592000+00:00,2026-05-04T06:04:10.822000+00:00,2026-05-04T06:15:00+00:00,120.23,no,60.0,58.0,57.0,649.178,44676,heartbeat:44676,kinetic_touch_score_15,0.6307095988458665,same_side_for>=60s AND confirm_score>=0.6,0.575,0.6506137247812718,0.0,0.6987725504374565,0.6307095988458665,True,no,True,2,40.0
kinetic_path_confirm,KXBTC15M-26MAY040230-30,2026-05-04T06:16:56.514500+00:00,2026-05-03T04:15:00+00:00,2026-05-04T06:15:26.884000+00:00,2026-05-04T06:16:26.929000+00:00,2026-05-04T06:30:00+00:00,60.045,no,79.0,81.0,80.0,813.071,44747,heartbeat:44747,kinetic_touch_score_15,0.7999338780445759,same_side_for>=60s AND confirm_score>=0.6,0.805,0.7573523386256371,0.0,0.4852953227487258,0.7999338780445759,True,no,True,2,17.0
kinetic_path_confirm,KXBTC15M-26MAY040245-45,2026-05-04T06:34:24.500710+00:00,2026-05-03T04:15:00+00:00,2026-05-04T06:31:13.416000+00:00,2026-05-04T06:32:13.465000+00:00,2026-05-04T06:45:00+00:00,60.049,yes,62.0,75.0,73.0,766.535,44816,heartbeat:44816,kinetic_touch_score_15,0.6207244712404193,same_side_for>=60s AND confirm_score>=0.6,0.74,0.5518374825086526,148.60000000000582,0.8963250349826948,0.6207244712404193,True,yes,True,2,23.0
kinetic_path_confirm,KXBTC15M-26MAY040300-00,2026-05-04T06:47:06.362842+00:00,2026-05-03T04:15:00+00:00,2026-05-04T06:46:14.787000+00:00,2026-05-04T06:47:14.897000+00:00,2026-05-04T07:00:00+00:00,60.11,yes,75.0,75.0,74.0,765.103,44882,heartbeat:44882,kinetic_touch_score_15,0.7583248319907865,same_side_for>=60s AND confirm_score>=0.6,0.745,0.730478621859908,0.0,0.539042756280184,0.7583248319907865,True,yes,True,2,23.0
kinetic_path_confirm,KXBTC15M-26MAY040315-15,2026-05-04T07:02:26.070514+00:00,2026-05-03T04:15:00+00:00,2026-05-04T07:00:16.468000+00:00,2026-05-04T07:01:16.493000+00:00,2026-05-04T07:15:00+00:00,60.025,no,72.0,58.0,57.0,823.507,44943,heartbeat:44943,kinetic_touch_score_15,0.697826219643928,same_side_for>=60s AND confirm_score>=0.6,0.575,0.7437110520728193,3.9499999999970896,0.5125778958543614,0.697826219643928,True,no,True,2,40.0
kinetic_path_confirm,KXBTC15M-26MAY040330-30,2026-05-04T07:22:05.122809+00:00,2026-05-03T04:15:00+00:00,2026-05-04T07:20:03.067000+00:00,2026-05-04T07:21:03.200000+00:00,2026-05-04T07:30:00+00:00,60.133,no,59.0,66.0,63.0,536.8,45028,heartbeat:45028,kinetic_touch_score_15,0.6536383610002705,same_side_for>=60s AND confirm_score>=0.6,0.645,0.6082106402738814,0.0,0.7835787194522372,0.6536383610002705,True,no,True,2,32.0
