entry_ts,market,side,qty,entry_trigger_cents,entry_fill_event_ts_list,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_accounting_source,entry_fee_cents,entry_notional_dollars,entry_exchange_qty,entry_exchange_fill_ids,entry_api_fill_ids,exit_ts,exit_trigger_cents,exit_fill_event_ts_list,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_accounting_source,exit_fee_cents,exit_notional_dollars,exit_exchange_qty,exit_exchange_fill_ids,exit_api_fill_ids,total_fees_dollars,outcome,resolution_source,accounting_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-10 14:41:08,KXBTC15M-26MAY101445-45,yes,2.0,5,2026-05-10 14:41:08,5.0,4.8,4.8,kalshi_api,1.4,0.096,2.0,59dbb10f-26b1-7345-1009-c4767f312434,59dbb10f-26b1-7345-1009-c4767f312434,2026-05-10 14:41:41,5,2026-05-10 14:41:41,5.0,5.0,5.0,kalshi_api,1.0,0.1,2.0,34df81ab-85af-76f1-f053-d613d6520b27,34df81ab-85af-76f1-f053-d613d6520b27,0.024,exited_before_settlement,bot_exit_signal,kalshi_api,,0.004,-0.02,-20.8333,4.1667,,,
2026-05-10 14:51:57,KXBTC15M-26MAY101500-00,no,3.0,70,2026-05-10 14:51:57,70,70.0,70.0,kalshi_api,6.0,2.1,3.0,b2a7d201-5a29-4add-2264-811a2c6d5b21|3d7a2241-13d8-422e-0d65-5dbbc2f90218|0983e6a7-00b1-5f75-5654-b9401ad3bbc9,b2a7d201-5a29-4add-2264-811a2c6d5b21|3d7a2241-13d8-422e-0d65-5dbbc2f90218|0983e6a7-00b1-5f75-5654-b9401ad3bbc9,2026-05-10 14:52:28,46,2026-05-10 14:52:28,46.0,47.0,47.0,kalshi_api,6.0,1.41,3.0,01040ed2-3019-5bb4-3a98-b1057cc2d715,01040ed2-3019-5bb4-3a98-b1057cc2d715,0.12,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.69,-0.81,-38.5714,-32.8571,,,
2026-05-10 15:01:03,KXBTC15M-26MAY101515-15,no,3.0,78,2026-05-10 15:01:03|2026-05-10 15:01:11,78,78.0,78.0,kalshi_api,5.0,2.34,3.0,6b5a34d7-16c4-5368-2186-611de2d4242e|49952d68-d0a1-5447-0559-6d0231ef9fc5,6b5a34d7-16c4-5368-2186-611de2d4242e|49952d68-d0a1-5447-0559-6d0231ef9fc5,2026-05-10 15:05:24,80,2026-05-10 15:05:24,80.0,80.0,80.0,kalshi_api,4.0,2.4,3.0,da8b3ef9-b444-629b-06dd-d311e38e23cd,da8b3ef9-b444-629b-06dd-d311e38e23cd,0.09,exited_before_settlement,bot_exit_signal,kalshi_api,,0.06,-0.03,-1.2821,2.5641,,,
2026-05-10 15:06:11,KXBTC15M-26MAY101515-15,no,3.0,78,2026-05-10 15:06:11|2026-05-10 15:06:43,80,79.0,79.0,kalshi_api,4.0,2.37,3.0,540f7564-23dd-544e-376b-4b99c8d97078|b46af3c0-c890-5370-f776-a7c07df1cc32,540f7564-23dd-544e-376b-4b99c8d97078|b46af3c0-c890-5370-f776-a7c07df1cc32,2026-05-10 15:07:14,81,2026-05-10 15:07:14,81.0,81.0,81.0,kalshi_api,4.0,2.43,3.0,a31c0e63-673e-4476-63ef-b1495fc50bc5,a31c0e63-673e-4476-63ef-b1495fc50bc5,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,0.06,-0.02,-0.8439,2.5316,,,
2026-05-10 15:10:04,KXBTC15M-26MAY101515-15,yes,3.0,75,2026-05-10 15:10:04,75,75.0,75.0,kalshi_api,5.0,2.25,3.0,227982dc-b55e-7de4-054b-c1cb809d29df|addeebc6-63f2-43bc-08ae-e2121605e157,227982dc-b55e-7de4-054b-c1cb809d29df|addeebc6-63f2-43bc-08ae-e2121605e157,2026-05-10 15:11:06,96,2026-05-10 15:11:06,96.0,96.0,96.0,kalshi_api,1.0,2.88,3.0,4506adaf-6731-41c0-5d9c-55be340cae59,4506adaf-6731-41c0-5d9c-55be340cae59,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,0.63,0.57,25.3333,28.0,,,
2026-05-10 15:16:15,KXBTC15M-26MAY101530-30,yes,3.0,76,2026-05-10 15:16:15|2026-05-10 15:16:16,76,76.0,76.0,kalshi_api,5.0,2.28,3.0,8d9c9453-e5ab-627f-8a10-01070ac82075|6d30d9fb-6652-6ee8-ba72-f7ad5979618d|a8ca6ffd-8ad7-42bf-0325-45fb774640a9,8d9c9453-e5ab-627f-8a10-01070ac82075|6d30d9fb-6652-6ee8-ba72-f7ad5979618d|a8ca6ffd-8ad7-42bf-0325-45fb774640a9,2026-05-10 15:17:09,75,2026-05-10 15:17:09,75.0,75.0,75.0,kalshi_api,5.0,2.25,3.0,6823268b-2789-5868-7ff5-36a3f42d6e6f|d3417ba9-5ee1-6710-a22f-77b6e046848f,6823268b-2789-5868-7ff5-36a3f42d6e6f|d3417ba9-5ee1-6710-a22f-77b6e046848f,0.1,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.03,-0.13,-5.7018,-1.3158,,,
2026-05-10 15:17:30,KXBTC15M-26MAY101530-30,yes,3.0,77,2026-05-10 15:17:31,77,77.0,77.0,kalshi_api,5.0,2.31,3.0,b6f8326b-f480-6904-7197-6647f85919ef|2cf5394e-b134-4928-90ed-45785a761d97,b6f8326b-f480-6904-7197-6647f85919ef|2cf5394e-b134-4928-90ed-45785a761d97,2026-05-10 15:20:59,86,2026-05-10 15:20:59,86.0,86.0,86.0,kalshi_api,3.0,2.58,3.0,3fdf8491-8eac-7fe2-8dbc-fa0c32f5239c,3fdf8491-8eac-7fe2-8dbc-fa0c32f5239c,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,0.27,0.19,8.2251,11.6883,,,
2026-05-10 15:38:44,KXBTC15M-26MAY101545-45,yes,3.0,8,2026-05-10 15:38:44,8,8.0,8.0,kalshi_api,3.0,0.24,3.0,88fbd846-3f27-67f8-5baa-a54ada4ee1e2|b1078a40-b58b-6f7c-dca2-858d1f21f432,88fbd846-3f27-67f8-5baa-a54ada4ee1e2|b1078a40-b58b-6f7c-dca2-858d1f21f432,2026-05-10 15:39:15,4,2026-05-10 15:39:15,4.0,4.2,4.2,kalshi_api,1.6,0.126,3.0,13676cfc-8ee2-7250-f611-a03338cd1361,13676cfc-8ee2-7250-f611-a03338cd1361,0.046,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.114,-0.16,-66.6667,-47.5,,,
2026-05-10 15:41:06,KXBTC15M-26MAY101545-45,yes,3.0,9,2026-05-10 15:41:06|2026-05-10 15:41:17,9,8.8667,8.8667,kalshi_api,2.4,0.266,3.0,8fbcb865-a157-4d18-2053-594056b0727a|83b012f0-66fa-578e-56f8-b06a0b400fef,8fbcb865-a157-4d18-2053-594056b0727a|83b012f0-66fa-578e-56f8-b06a0b400fef,2026-05-10 15:41:52,7,2026-05-10 15:41:52,7.0,7.3,7.3,kalshi_api,1.9,0.219,3.0,a94c639e-5b73-7a41-71bb-cfcd150b59e6,a94c639e-5b73-7a41-71bb-cfcd150b59e6,0.043,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.047,-0.09,-33.8346,-17.6692,,,
2026-05-10 15:41:52,KXBTC15M-26MAY101545-45,yes,3.0,8,2026-05-10 15:41:52|2026-05-10 15:41:57,8,7.2667,7.2667,kalshi_api,2.2,0.218,3.0,ce83e92b-be20-7bd4-bd1d-bd0a75e30800|27021aa7-0f21-4bc4-8cf5-2774994c2081,ce83e92b-be20-7bd4-bd1d-bd0a75e30800|27021aa7-0f21-4bc4-8cf5-2774994c2081,2026-05-10 15:42:29,4,2026-05-10 15:42:29,4.0,4.1,4.1,kalshi_api,1.3,0.123,3.0,7ee017e0-94b5-7ead-2b7a-2443f6717b04,7ee017e0-94b5-7ead-2b7a-2443f6717b04,0.035,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.095,-0.13,-59.633,-43.578,,,
